Gene	Brain_Female1	Brain_Male1	Brain_Male2	Cerebellum_Female1	Cerebellum_Male1	Heart_Female1	Heart_Male1	Kidney_Female1	Kidney_Male1	Liver_Female1	Liver_Male1	Ovary_Female1	Ovary_Female2	Ovary_Female3	Testis_Male1	Testis_Male2	Testis_Male3	Testis_Male4
ENSOANG00000005647	112	79	245	350	193	28	14	85	168	223	128	1801	1044	507	84	439	94	656
ENSOANG00000014901	40	31	113	28	24	30	29	46	27	24	24	249	107	119	66	225	101	485
ENSOANG00000010240	1408	1094	7781	2163	1385	321	227	375	396	39	40	8322	1905	607	265	1004	422	3281
ENSOANG00000011513	89	43	30	79	124	12	6	82	72	0	1	10	44	22	0	8	3	9
ENSOANG00000008626	11	2	22	12	11	0	0	7	4	0	0	10	1	2	159	398	259	1688
ENSOANG00000012043	0	0	2	1	2	10	2	0	0	0	0	1	0	2	0	0	2	1
ENSOANG00000002269	647	268	690	330	314	229	272	107	237	320	153	2178	1481	1577	265	1283	485	2964
ENSOANG00000010524	57	30	15	16	25	2	1	3	1	1	1	2	6	5	2	13	4	9
ENSOANG00000004454	142	52	361	81	69	38	76	12	84	82	24	1061	177	205	107	416	219	2973
Locus_148009	0	0	0	0	1	0	0	0	1	0	0	15	9	37	55	122	82	186
ENSOANG00000013042	6	1	2	0	0	0	0	0	2	3	0	0	0	2	1	3	1	1
ENSOANG00000001593	224	157	2015	223	128	57	50	110	209	152	65	6719	858	1401	247	682	603	6673
ENSOANG00000007522	347	148	425	186	151	130	225	59	191	328	146	1651	715	1122	175	660	506	2651
ENSOANG00000011334	660	320	2437	508	545	143	140	161	560	482	218	3481	646	563	171	758	627	13892
ENSOANG00000019978	102	104	53	84	64	35	28	14	23	15	11	71	54	48	37	123	53	147
ENSOANG00000007994	97	112	66	9	13	84	0	0	0	0	0	24	11	18	46	107	77	108
ENSOANG00000007914	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	2
Locus_83729	2	2	0	1	0	0	0	0	0	0	0	0	0	0	6	21	6	20
ENSOANG00000012643	118	39	23	26	42	4	2	540	229	387	465	2	5	12	12	39	52	39
ENSOANG00000015042	377	205	1154	290	272	77	122	112	286	136	109	2838	788	1025	218	989	414	6284
Locus_68241	17	57	60	192	95	18	9	8	8	1	5	4	9	3	1	11	9	6
ENSOANG00000011788	429	324	569	353	298	222	128	205	136	137	99	621	442	324	126	617	231	947
Locus_81573	0	0	0	0	0	0	0	0	0	0	0	0	0	0	105	188	174	503
ENSOANG00000022153	0	0	1	0	0	0	0	2	0	0	0	4	0	2	0	0	1	3
ENSOANG00000005372	484	145	392	308	258	36	57	805	1165	40	26	412	471	438	95	617	109	669
Locus_154018	2	0	3	2	6	1	0	0	2	2	2	5	0	2	2	6	1	3
Locus_50281	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	8
ENSOANG00000008596	6	2	6	1	0	7	9	2	2	1	1	1968	621	591	15	167	33	185
ENSOANG00000003186	2823	1784	2450	2750	2557	5009	5321	1313	1831	1915	1508	1938	1758	2102	847	4866	2729	6769
ENSOANG00000004218	73	181	73	34	56	38	0	1	1	12	3	19	29	70	0	2	2	0
ENSOANG00000022498	1	1	39	2	0	0	0	0	0	0	0	174	26	40	70	160	144	2654
ENSOANG00000004166	0	3	1	0	0	33	10	899	950	0	3	1	1	2	1	0	1	0
ENSOANG00000015220	1	0	2	1	0	0	0	4	6	1	2	37	21	27	1	0	0	1
Locus_94636	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	62	48	184
ENSOANG00000020385	343	142	165	575	570	0	0	0	1	0	0	11	3	1	21	47	42	254
Locus_195570	0	0	9	0	2	0	0	1	1	0	0	1	1	0	1	2	1	4
ENSOANG00000010105	26	5	9	17	9	8	12	6	13	8	8	51	135	138	3	29	13	24
ENSOANG00000002698	1095	715	1241	156	150	9	9	2	13	1	3	258	149	276	268	912	604	2841
ENSOANG00000011641	125	47	517	67	58	71	50	358	354	105	123	2179	261	401	17	92	32	473
ENSOANG00000001163	766	1007	1196	1644	1325	200	77	90	103	77	119	670	396	123	35	177	47	233
