Gene	Brain_Female1	Brain_Male1	Brain_Male2	Cerebellum_Female1	Cerebellum_Male1	Heart_Female1	Heart_Male1	Kidney_Female1	Kidney_Male1	Liver_Female1	Liver_Male1	Ovary_Female1	Ovary_Female2	Ovary_Female3	Testis_Male1	Testis_Male2	Testis_Male3	Testis_Male4
ENSOANG00000005647	2.36	2.45	5.35	8.25	5.15	1.53	0.92	5.26	6.04	11.37	8.34	25.15	20.15	8.88	5.53	6.25	3.02	6.72
ENSOANG00000014901	3.77	4.31	11.05	2.95	2.87	7.32	8.54	12.73	4.34	5.48	7	15.55	9.24	9.33	19.45	14.33	14.52	22.22
ENSOANG00000010240	29.84	34.16	171.01	51.3	37.19	17.6	15.03	23.33	14.31	2	2.62	116.88	36.99	10.7	17.56	14.37	13.64	33.79
ENSOANG00000011513	12.3	8.76	4.3	12.22	21.71	4.29	2.59	33.26	16.97	0	0.43	0.92	5.57	2.53	0	0.75	0.63	0.6
ENSOANG00000008626	0.26	0.07	0.53	0.31	0.33	0	0	0.48	0.16	0	0	0.15	0.02	0.04	11.63	6.29	9.24	19.19
ENSOANG00000012043	0	0	0.28	0.15	0.34	3.48	0.84	0	0	0	0	0.09	0	0.22	0	0	0.41	0.07
ENSOANG00000002269	46.39	28.31	51.3	26.47	28.52	42.47	60.91	22.51	28.98	55.54	33.92	103.47	97.26	94.01	59.39	62.13	53.03	103.27
ENSOANG00000010524	21.98	17.04	6	6.9	12.21	1.99	1.2	3.39	0.66	0.93	1.19	0.51	2.12	1.6	2.41	3.39	2.35	1.69
ENSOANG00000004454	21.53	11.62	56.76	13.74	13.25	14.9	36	5.34	21.72	30.1	11.25	106.6	24.58	25.84	50.72	42.6	50.64	219.06
Locus_148009	0	0	0	0	0.15	0	0	0	0.21	0	0	1.21	1	3.74	20.92	10.03	15.22	11
ENSOANG00000013042	1.33	0.33	0.46	0	0	0	0	0	0.76	1.61	0	0	0	0.37	0.69	0.45	0.34	0.11
ENSOANG00000001593	11.39	11.77	106.29	12.69	8.25	7.5	7.95	16.42	18.13	18.72	10.22	226.49	39.98	59.26	39.28	23.43	46.78	164.96
ENSOANG00000007522	48.75	30.63	61.91	29.24	26.87	47.24	98.74	24.32	45.76	111.54	63.43	153.69	92.01	131.06	76.86	62.62	108.42	180.98
ENSOANG00000011334	34.04	24.31	130.32	29.31	35.6	19.08	22.55	24.37	49.25	60.17	34.76	118.95	30.52	24.14	27.57	26.4	49.32	348.15
ENSOANG00000019978	10.64	15.99	5.73	9.81	8.46	9.45	9.13	4.29	4.09	3.79	3.55	4.91	5.16	4.16	12.07	8.67	8.43	7.45
ENSOANG00000007994	1.79	3.04	1.26	0.19	0.3	4	0	0	0	0	0	0.29	0.19	0.28	2.65	1.33	2.16	0.97
ENSOANG00000007914	0	0	0	0.12	0	0	0	0	0	0	0	0	0.19	0	0	0	0	0.1
Locus_83729	0.48	0.7	0	0.27	0	0	0	0	0	0	0	0	0	0	4.46	3.37	2.18	2.31
ENSOANG00000012643	11.18	5.44	2.26	2.76	5.04	0.98	0.59	150.15	37	88.76	136.24	0.13	0.43	0.95	3.55	2.5	7.51	1.8
ENSOANG00000015042	25.23	20.22	80.09	21.72	23.06	13.33	25.51	22	32.65	22.03	22.56	125.87	48.31	57.04	45.61	44.71	42.26	204.39
Locus_68241	0.71	3.51	2.6	8.98	5.03	1.95	1.18	0.98	0.57	0.1	0.65	0.11	0.34	0.1	0.13	0.31	0.57	0.12
ENSOANG00000011788	22.71	25.27	31.23	20.91	19.98	30.4	21.17	31.85	12.28	17.56	16.21	21.78	21.43	14.26	20.85	22.06	18.65	24.36
Locus_81573	0	0	0	0	0	0	0	0	0	0	0	0	0	0	43.5	16.83	35.17	32.4
ENSOANG00000022153	0	0	0.13	0	0	0	0	0.75	0	0	0	0.34	0	0.21	0	0	0.2	0.19
ENSOANG00000005372	9.64	4.25	8.1	6.86	6.51	1.85	3.55	47.05	39.57	1.93	1.6	5.44	8.59	7.25	5.91	8.3	3.31	6.47
Locus_154018	0.25	0	0.4	0.28	0.97	0.33	0	0	0.43	0.62	0.79	0.42	0	0.21	0.8	0.52	0.19	0.19
Locus_50281	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.47	0.53	1.34
ENSOANG00000008596	0.3	0.15	0.31	0.06	0	0.89	1.38	0.29	0.17	0.12	0.15	64.18	27.99	24.18	2.31	5.55	2.48	4.42
ENSOANG00000003186	116.22	108.22	104.59	126.69	133.35	533.41	684.3	158.64	128.56	190.85	191.98	52.87	66.3	71.95	109.01	135.31	171.36	135.43
ENSOANG00000004218	8.18	29.89	8.48	4.26	7.95	11.02	0	0.33	0.19	3.26	1.04	1.41	2.98	6.52	0	0.15	0.34	0
ENSOANG00000022498	0.14	0.21	5.74	0.32	0	0	0	0	0	0	0	16.37	3.38	4.72	31.07	15.34	31.18	183.11
ENSOANG00000004166	0	0.18	0.04	0	0	3.55	1.3	109.63	67.32	0	0.39	0.03	0.04	0.07	0.13	0	0.06	0
ENSOANG00000015220	0.05	0	0.11	0.06	0	0	0	0.63	0.55	0.13	0.33	1.31	1.02	1.2	0.17	0	0	0.03
Locus_94636	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.61	3.58	6.26	7.64
ENSOANG00000020385	17.57	10.72	8.77	32.96	36.99	0	0	0	0.09	0	0	0.37	0.14	0.04	3.36	1.63	3.28	6.32
Locus_195570	0	0	2.29	0	0.62	0	0	0.72	0.42	0	0	0.16	0.22	0	0.77	0.33	0.37	0.48
ENSOANG00000010105	2.51	0.71	0.9	1.84	1.1	2	3.62	1.7	2.14	1.87	2.39	3.26	11.93	11.07	0.91	1.89	1.91	1.13
ENSOANG00000002698	106.44	102.4	125.08	16.97	18.47	2.26	2.73	0.57	2.15	0.24	0.9	16.62	13.27	22.31	81.44	59.87	89.54	134.2
ENSOANG00000011641	8.12	4.5	34.84	4.87	4.77	11.93	10.15	68.27	39.23	16.52	24.72	93.83	15.54	21.67	3.45	4.04	3.17	14.94
ENSOANG00000001163	42.2	81.73	68.32	101.34	92.46	28.5	13.25	14.55	9.68	10.27	20.27	24.46	19.98	5.63	6.03	6.59	3.95	6.24
Locus_144669	0	0	0	0	0	0	0	0	0	0	0	0.14	0	0	0.66	0.71	1.6	1.23
Locus_36144	0.26	0	0	0	0	0	0	0	0.45	0	0	0	0	0	10.64	8.13	31.14	1.27
Locus_185726	3.5	3.58	15.21	3.66	4.24	0	0	0.22	0	0.18	0	0	0.14	0.06	0	0	0	0.18
Locus_173162	0	0	0.07	0	0	0	0	0	0	0	0	4.18	1.63	2.46	0.41	0.49	0.1	0.93
Locus_48382	0.39	0	2.83	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.33
ENSOANG00000006618	327.46	249.09	418.47	344.79	412.94	902.81	999.68	314.28	259.15	227.43	328.85	276.29	207.77	211.27	278.98	207.94	364.09	442.71
ENSOANG00000004287	3.59	2.14	1.15	3.92	5.84	7.51	6.67	13.29	12.53	11.58	32.75	1.42	0.16	0.92	61.42	35.71	74.65	30.51
ENSOANG00000014078	0	0	0	0	0	0	0	0.09	0	0	0	0.04	0.06	0.11	26.28	20.12	24.32	34.76
ENSOANG00000011423	54.26	56.86	78.95	37.89	27.91	49.2	59.88	186.04	119.04	22	32.38	85.54	30.61	22.39	35.59	30.6	31.16	29.52
