Gene	Brain_Male2	Ovary_Female1	Ovary_Female2	Ovary_Female3	Testis_Male4
ENSOANG00000005647	4.38	21.44	16.95	8.32	6.29
ENSOANG00000014901	9.13	13.4	7.92	8.91	21.1
ENSOANG00000010240	127.18	90.34	27.52	8.95	28.71
ENSOANG00000011513	3.53	0.69	4.19	2.21	0.62
ENSOANG00000008626	0.37	0.11	0.02	0.03	15.7
ENSOANG00000012043	0	0.08	0	0.21	0.06
ENSOANG00000002269	61.79	121.43	82.17	88.54	142.74
ENSOANG00000010524	4.96	0.44	1.82	1.53	1.6
ENSOANG00000004454	46.91	91.81	21.08	24.69	208.01
Locus_148009	0	0.9	0.48	3.19	9.66
ENSOANG00000013042	0.38	0	0	0.35	0.1
ENSOANG00000001593	79.47	173.9	36.3	68.06	144.01
ENSOANG00000007522	78.32	218.69	68.94	106.75	272.08
ENSOANG00000011334	107.7	102.46	26.17	23.02	330.7
ENSOANG00000019978	4.93	4.38	4.81	4.35	6.96
ENSOANG00000007994	1.04	0.25	0.16	0.26	0.92
ENSOANG00000007914	0	0	0.16	0	0.1
Locus_83729	0	0	0	0	2.2
ENSOANG00000012643	1.57	0	0.06	0.06	1.59
ENSOANG00000015042	66.19	108.41	41.38	54.43	194.15
Locus_68241	2.15	0.1	0.3	0.1	0.12
ENSOANG00000011788	24.86	18.16	16.39	11.48	22.38
Locus_81573	0	0	0	0	30.77
ENSOANG00000022153	0.11	0.29	0	0.2	0.18
ENSOANG00000005372	7	4.78	7.57	6.99	6.19
Locus_154018	0.33	0.36	0	0.1	0.12
Locus_50281	0	0	0	0	1.11
ENSOANG00000008596	0.25	55.28	24.01	22.98	4.18
ENSOANG00000003186	82.5	45.24	53.15	62.82	122.31
ENSOANG00000004218	7.01	1.22	2.55	6.23	0
ENSOANG00000022498	4.62	14.1	2.9	4.4	173.93
ENSOANG00000004166	0.03	0.02	0.03	0.06	0
ENSOANG00000015220	0.09	1.12	0.88	1.14	0.02
Locus_94636	0	0	0	0	7.26
ENSOANG00000020385	7.24	0.32	0.12	0.04	5.91
Locus_195570	0	0	0	0	0.11
ENSOANG00000010105	0.66	2.81	10.23	10.58	1.07
ENSOANG00000002698	103.38	14.31	11.38	21.31	127.47
ENSOANG00000011641	28.79	80.81	13.32	20.64	14.19
ENSOANG00000001163	42.05	15.84	16.55	5.62	4.53
Locus_144669	0	0.12	0	0	1.16
Locus_36144	0	0	0	0	1.21
Locus_185726	11.14	0.04	0.05	0	0.15
Locus_173162	0.05	2.98	1.15	1.94	1
Locus_48382	2.34	0	0	0	1.26
ENSOANG00000003743	33.04	7.8	9.59	21.71	10.81
ENSOANG00000006618	508.26	299.88	132.28	147.32	542.22
ENSOANG00000004287	0.06	0	0	0.22	23.16
ENSOANG00000014078	0	0	0.02	0	29.56
ENSOANG00000011423	65.25	73.67	26.17	21.29	28.01
ENSOANG00000004966	106.78	2.5	0.13	0.33	23.71
ENSOANG00000003960	7.77	8.11	13.46	15.47	29.46
Locus_172095	15.32	79.94	8.84	11.31	81.92
ENSOANG00000003502	2.44	6.65	8.82	11.58	32.06
ENSOANG00000008530	32.85	34.37	34.46	28.95	17.81
blastnHuman.ENSG00000235533	0	0	0	0	0
ENSOANG00000004928	0	0	0.06	0	0.91
ENSOANG00000006296	9.28	51.02	21.07	24.56	13.59
ENSOANG00000007757	2.94	10.04	9.4	13.08	26.27
Locus_84600	0.12	0.04	0.06	0	0.34
Locus_77376	0.3	0	0.28	0	0.24
ENSOANG00000007243	0.34	13.06	1.89	2.93	55.93
ENSOANG00000003275	68.1	73.02	181.21	216.45	33.34
CUFF.80889	0.76	0.13	0	0	0
ENSOANG00000003770	15.61	19.99	8.79	6.82	32.63
Locus_109587	0	0.29	0.2	0.61	1.53
ENSOANG00000000798	0.09	0.03	0.04	0.04	1.33
