Gene	Brain_Female1	Brain_Male1	Heart_Female1	Heart_Male1	Kidney_Female1	Kidney_Male1	Liver_Female1	Liver_Male1	Ovary_Female1	Ovary_Female2	Testis_Male1	Testis_Male2
ENSXETG00000015991	3	5	1	1	0	0	0	0	0	1	2	11
ENSXETG00000019915	1695	2075	20346	4837	1901	1444	425	540	24	3	410	119
Locus_131897	36	42	7	2	34	42	5	15	0	0	20	19
Locus_57745	9	13	0	0	0	0	0	0	0	0	0	2
ENSXETG00000014617	624	803	67	73	121	153	94	172	112	320	419	961
ENSXETG00000007178	4253	5111	2107	2970	2703	3340	1279	1927	14131	11128	4750	3060
ENSXETG00000030653	3	0	0	0	25	25	0	1	5220	3628	792	859
ENSXETG00000014539	441	406	606	531	642	523	281	299	5069	2982	1364	448
ENSXETG00000001816	56	72	69	40	193	190	202	239	219	596	49	77
ENSXETG00000030562	7	4	5	5	17	11	6	8	30	23	28	89
ENSXETG00000010927	9	4	1	2	1	1	0	0	284	260	7	29
ENSXETG00000031697	1	0	38	47	414	383	1738	1037	2	3	149	653
ENSXETG00000013014	18	28	7	1	27	19	38	15	3041	3634	4199	3269
ENSXETG00000002816	105	0	291	558	560	511	0	0	1	1	26	14
ENSXETG00000006176	47	67	58	49	71	44	20	23	171	284	174	331
ENSXETG00000023395	252	0	123	23	3641	1922	815556	1724641	6	0	302	127
ENSXETG00000024379	0	0	0	0	0	0	0	0	1	3	16	53
ENSXETG00000030733	2163	2081	2687	2689	3673	4374	2144	2955	3811	1619	2287	1493
ENSXETG00000007230	346	366	174	114	225	239	87	117	2711	3158	696	870
ENSXETG00000014008	341	351	189	210	323	349	98	192	9	26	533	731
ENSXETG00000032246	0	0	0	0	1	2	0	0	0	1	8	8
ENSXETG00000027182	0	0	0	0	0	0	0	0	0	0	0	0
Locus_190493	0	0	0	0	0	0	0	0	11	6	4	1
ENSXETG00000007848	4285	4863	0	1	4	7	2	2	1	0	268	141
ENSXETG00000000967	144	151	128	98	366	383	195	265	1246	1287	471	981
ENSXETG00000001533	481	591	72	78	86	80	47	89	671	329	268	205
Locus_120803	0	0	0	0	1	3	0	0	0	1	3	2
ENSXETG00000003403	343	384	1562	1759	3532	2723	450	844	2091	4003	1640	1751
ENSXETG00000007888	136	97	43	22	732	406	41	39	102	26	76	20
ENSXETG00000013852	88	126	149	100	139	193	41	46	548	308	777	1726
ENSXETG00000013164	733	705	1126	948	5675	4826	3583	4210	3257	5710	3828	4521
ENSXETG00000005162	529	397	638	320	810	727	740	730	15741	3001	2937	865
Locus_42066	13	11	0	0	0	0	0	0	0	0	0	1
ENSXETG00000008208	124	91	108	65	246	159	154	131	611	553	1600	1526
ENSXETG00000014235	2	6	8	18	2	130	7	113	0	0	181	95
ENSXETG00000030339	206	152	183	158	495	494	344	417	3262	5991	2055	1952
ENSXETG00000006828	107	129	53	71	103	114	45	68	178	395	111	274
ENSXETG00000022346	264	180	73	49	103	127	33	76	1	2	109	183
ENSXETG00000034287	70	51	90	36	88	60	63	49	144	965	183	1098
ENSXETG00000019932	558	565	2375	2862	883	931	251	362	667	2488	1139	2705
ENSXETG00000010030	48	51	260	170	127	173	100	133	206	696	85	302
ENSXETG00000008629	126	147	263	231	329	395	204	426	509	167	374	374
ENSXETG00000016403	23	30	6	6	12	20	10	9	24	117	48	166
ENSXETG00000007364	108	25	602	282	1341	1323	827	490	101	76	12	39
ENSXETG00000001850	776	865	375	275	1415	987	443	474	2002	1537	2396	2487
ENSXETG00000030877	14	20	13	11	40	45	241	189	2	1	5	17
ENSXETG00000019498	33	64	286	210	253	315	78	143	2	5	7	69
ENSXETG00000002097	6	4	0	0	3	0	2	0	0	0	3	3
ENSXETG00000022083	809	950	515	398	627	579	225	276	1374	875	1260	1125
ENSXETG00000031541	2	0	2	3	946	904	44	136	84	377	2	2
ENSXETG00000017957	2778	2736	539	493	1534	1415	558	690	71	35	170	196
ENSXETG00000020457	1157	1129	1606	1384	5530	7106	4466	6992	2880	5603	3628	3349
ENSXETG00000027221	12	19	20	51	15	11	5	3	0	6	22	55
ENSXETG00000016943	3	4	3	2	4	7	0	0	0	0	2	7
Locus_114409	30	21	37	27	42	21	15	5	0	0	376	688
ENSXETG00000013330	2	0	19	22	1	2	3	3	0	0	33	54
ENSXETG00000003421	224	169	92	80	85	128	34	75	1439	1056	437	273
ENSXETG00000032170	141	224	0	0	1	0	0	1	0	0	0	1
ENSXETG00000003183	0	0	0	0	0	0	0	0	0	0	0	0
ENSXETG00000009512	18	3	0	0	1	1	0	0	0	0	5	9
ENSXETG00000019998	218	226	307	319	405	483	85	176	588	935	308	439
ENSXETG00000033286	80	37	103	121	212	175	161	176	803	1470	602	1029
ENSXETG00000013983	570	599	230	269	176	242	83	141	1389	1631	476	765
ENSXETG00000015865	432	543	259	271	430	521	223	321	3442	2831	1316	930
Locus_121697	13	3	89	43	70	28	33	52	1	0	0	0
ENSXETG00000015309	1570	1766	2547	2034	4687	3547	2947	3175	3617	10701	3060	4668
ENSXETG00000014344	4989	5664	9	8	49	64	36	115	3	15	178	567
Locus_117676	618	893	287	559	402	866	247	616	6	13	702	561
ENSXETG00000018852	1284	1261	1296	849	1893	1548	97	187	1053	557	1770	873
ENSXETG00000027983	4232	6033	12	9	15	10	2	7	0	0	12	7
ENSXETG00000020089	2094	2244	1743	1597	2328	2316	936	1198	2799	3328	1551	1409
ENSXETG00000030711	1	0	0	0	0	0	0	0	0	5	4	7
ENSXETG00000021305	156	430	165	113	600	568	264	466	461	86	187	395
ENSXETG00000008719	62	18	306	207	343	238	151	200	0	3	30	38
CUFF.106602	0	0	1	1	0	0	0	9	1	0	0	1
ENSXETG00000021546	174	42	489	593	95	150	120	244	1	1	4384	3843
ENSXETG00000017998	593	692	254	375	437	332	152	168	645	1406	356	679
ENSXETG00000031687	149	207	90	114	149	163	66	101	2615	4399	965	1716
Locus_24195	22	19	11	0	3	5	0	0	1	5	6	6
ENSXETG00000010789	69	83	54	32	109	94	57	89	648	298	495	1147
Locus_120851	0	3	3	3	0	1	0	0	0	0	10	2
ENSXETG00000011291	744	671	285	216	429	382	206	218	2984	1654	1832	1200
ENSXETG00000019537	65	40	19	16	299	319	2	1	12	22	154	135
ENSXETG00000009131	1225	1244	471	478	2269	1868	390	387	3561	1662	1177	974
ENSXETG00000008702	1469	1644	1079	1699	1085	1224	790	1367	2587	2432	1293	1133
ENSXETG00000024565	0	0	0	0	3	0	0	0	1168	2586	2	9
ENSXETG00000026140	0	0	0	0	0	0	0	0	0	0	0	0
ENSXETG00000021451	266	274	178	237	293	310	146	278	4904	3747	705	610
ENSXETG00000032860	0	0	0	0	0	0	0	0	0	0	0	1
ENSXETG00000033380	184	141	0	1	129	396	3	5	5	31	4	5
ENSXETG00000015611	2	1	11	1	1	3	10	3	0	1	1	3
ENSXETG00000003130	770	832	390	366	694	614	302	397	3856	952	1161	753
Locus_100028	0	0	0	0	0	0	63	84	0	0	58	121
ENSXETG00000033245	224	185	538	616	881	1408	54	120	4	18	295	295
Locus_63502	0	0	0	0	0	0	0	0	0	1	20	147
Locus_118524	228	146	101	104	107	137	51	92	26	3	212	105
ENSXETG00000007710	186	349	0	0	0	1	0	0	2	4	64	156
ENSXETG00000026585	255	474	329	246	513	623	183	239	2155	3515	437	633
ENSXETG00000015084	377	277	0	1	3	1	1	1	2	0	21	22
Locus_76196	0	0	1	1	1	2	0	1	3	21	1	1
ENSXETG00000009728	411	466	86	98	195	223	75	101	1911	2781	2348	4120
ENSXETG00000009449	81	122	21	21	61	53	31	24	907	285	186	250
ENSXETG00000030388	69	44	75	12	39	14	60	47	2	3	60	68
ENSXETG00000000517	539	594	682	567	1756	1428	864	1468	10	15	732	678
ENSXETG00000010771	48	40	50	79	100	58	38	46	192	918	284	1177
ENSXETG00000033439	11	9	111	131	54	47	85	229	0	3	86	169
ENSXETG00000013343	210	220	146	147	238	266	99	139	1569	1296	197	154
ENSXETG00000027269	0	0	0	0	0	0	0	0	0	0	3	1
ENSXETG00000002258	153	304	231	324	40	77	5	22	0	2	117	218
ENSXETG00000030610	4	20	2	0	1	0	0	0	0	1	1	11
Locus_51798	2	2	0	0	1	1	0	3	0	0	20	6
ENSXETG00000007868	511	929	778	681	35	116	2	6	189	173	173	358
ENSXETG00000027965	0	0	0	0	0	0	0	0	1	0	0	1
ENSXETG00000031871	88	103	104	87	89	118	43	61	108	567	196	576
CUFF.66248	10	3	6	2	3	1	0	0	0	9	26	53
ENSXETG00000030949	3359	2693	6050	5796	7349	6984	3961	5437	3725	1946	6109	1704
Locus_175354	2	0	0	0	0	0	0	0	0	0	11	16
ENSXETG00000003671	3670	4502	949	810	1574	1834	1063	1543	6168	4820	2707	3085
ENSXETG00000022908	697	779	761	559	1708	2636	745	755	4315	2055	477	359
ENSXETG00000005650	120	61	159	36	863	837	611	447	492	468	239	173
Locus_131879	18	3	112	13	153	17	288	63	3	0	10	7
ENSXETG00000007895	1648	1280	1020	1022	2473	1631	1436	971	793	1536	2356	2863
Locus_161292	0	0	0	0	7	3	0	0	3	4	0	6
Locus_105613	0	0	0	0	0	0	0	0	0	0	84	34
ENSXETG00000006155	0	0	1	0	1210	1058	443	947	0	0	4	4
ENSXETG00000010235	1219	1576	175	332	184	310	73	162	769	546	1886	3794
ENSXETG00000031702	1	0	0	0	0	1	1	3	0	0	0	1
ENSXETG00000013902	37	24	665	901	895	1414	214	265	314	1186	333	631
ENSXETG00000022467	9	3	6	3	2	4	0	3	1	10	34	106
Locus_189686	0	0	0	0	0	0	0	0	0	0	8	17
ENSXETG00000003545	3238	3514	10	23	4	13	0	0	0	0	3	8
ENSXETG00000019946	18	32	15	21	29	25	16	21	26	139	55	154
ENSXETG00000027277	0	0	1	0	0	0	8	1	0	0	19	59
ENSXETG00000005920	1207	1421	23	5	3	8	44	61	20	11	227	268
ENSXETG00000026753	0	0	0	0	0	0	0	0	0	0	0	1
ENSXETG00000004252	381	229	330	209	566	422	220	246	2601	4180	1562	2775
ENSXETG00000008514	444	492	489	510	587	588	293	457	1134	1922	1863	3222
CUFF.156224	6	8	3	10	4	4	5	2	0	6	2	7
ENSXETG00000011232	21	1	4	5	40	38	21	18	5	0	107	111
ENSXETG00000034331	3	0	0	0	12	2	0	0	0	0	30	25
ENSXETG00000010315	1766	2528	24	11	206	227	11	33	22	9	918	754
Locus_184807	0	0	15	16	9	18	4	27	0	1	1	4
ENSXETG00000032164	2	1	0	3	217	96	57	54	0	0	2	3
ENSXETG00000003217	119	147	2	0	3	9	0	4	0	2	34	27
ENSXETG00000032948	0	0	0	2	1	0	2	1	0	0	25	11
Locus_148337	1	1	1	1	0	1	0	0	2	1	14	12
ENSXETG00000021437	26	19	4	6	6	24	5	12	2	1	19	16
ENSXETG00000013837	207	202	69	109	126	139	77	138	1770	550	668	395
ENSXETG00000020636	436	538	274	327	420	426	261	282	1788	4579	516	997
ENSXETG00000002126	98	69	32	36	377	384	850	994	218	938	159	1100
ENSXETG00000014976	753	731	355	312	239	268	95	163	1208	585	1225	760
ENSXETG00000027350	0	1	0	0	283	252	1	0	0	3	66	44
ENSXETG00000019675	179	35	0	1	0	0	0	0	0	0	12	8
ENSXETG00000031751	3	2	1	1	0	0	0	0	0	0	1	0
ENSXETG00000029937	1369	1626	1139	1087	1654	1413	723	906	2321	5027	1811	2292
CUFF.163357	0	1	1	0	0	0	0	0	0	0	263	38
ENSXETG00000019180	1	0	0	0	0	0	0	0	0	0	1	22
ENSXETG00000021274	4	5	19	0	21	6	43	5	0	0	40	13
ENSXETG00000000521	0	2	0	0	1	0	0	0	0	0	0	0
ENSXETG00000021355	2641	2984	2051	2786	2682	2538	1066	1315	4294	5185	1762	1486
Locus_185540	8	7	6	1	8	12	0	0	0	1	86	46
ENSXETG00000027075	231	234	236	129	408	341	253	300	469	474	122	132
ENSXETG00000004470	2790	2056	1196	1194	1376	1143	491	571	795	14	25445	11220
Locus_61292	0	0	0	0	2	1	0	0	123	45	0	1
ENSXETG00000020868	3079	2799	1758	1831	2440	2448	1556	1624	5198	1243	9167	3055
ENSXETG00000019084	1261	1536	712	604	1502	1460	755	655	1689	1889	2069	2423
Locus_32382	9	33	17	40	11	26	171	662	23	8	0	1
ENSXETG00000020309	2161	2729	529	552	564	673	147	204	250	513	665	1008
ENSXETG00000008349	0	0	0	0	0	0	0	0	0	0	0	0
ENSXETG00000000715	0	0	3	3	5	6	2	17	0	3	20	70
ENSXETG00000011624	116	131	38	32	82	78	38	30	563	463	102	106
ENSXETG00000026031	333	292	7	2	2	12	63	50	0	0	4	1
ENSXETG00000021567	2016	1791	341	298	1674	1298	593	535	1120	744	3791	1662
Locus_163590	0	0	0	0	0	0	29	38	0	0	0	1
ENSXETG00000023413	9510	8889	151	155	139	151	0	1	16	38	1399	1155
ENSXETG00000013548	0	0	0	0	0	0	0	0	0	0	0	0
Locus_7098	12	2	4	1	31	31	11	14	1	0	119	54
Locus_103100	34	48	19	12	4	8	1	3	0	1	7	43
ENSXETG00000034035	0	0	0	0	0	0	0	0	0	0	0	0
ENSXETG00000021149	236	374	4	3	42	86	1	12	641	1507	260	743
ENSXETG00000014730	91	55	700	584	4853	1849	516	370	431	1057	506	835
ENSXETG00000023424	12	10	114	96	297	303	156	205	14	21	128	196
ENSXETG00000011170	137	187	125	181	237	356	133	375	1177	635	131	187
Locus_186763	31	40	0	0	0	1	0	0	0	0	1	2
ENSXETG00000016354	30	8	14	0	161	18	49	22	39070	43847	6575	10563
ENSXETG00000027617	843	1278	744	712	981	959	464	855	1771	811	912	1073
ENSXETG00000001248	715	701	402	375	2986	1619	1851	1205	2208	2348	642	377
ENSXETG00000031727	350	347	89	90	423	371	62	124	573	742	851	1046
ENSXETG00000013792	1	0	1	1	1	4	4	33	15	155	3	22
ENSXETG00000007424	5	4	5	2	17	47	3	8	95	29	96	201
ENSXETG00000022994	258	420	0	0	3	0	0	0	0	0	8	7
ENSXETG00000016761	177	154	125	119	274	270	48	56	2	2	93	64
ENSXETG00000025410	1	1	0	0	0	0	0	0	0	0	0	0
Locus_104415	6	0	5	0	2	0	0	0	229	28	0	2
ENSXETG00000022556	1492	2290	483	486	552	516	70	140	104	165	528	970
ENSXETG00000011850	410	544	79	71	117	134	52	87	597	622	597	1360
ENSXETG00000011742	4497	3794	1517	1366	1837	1899	451	927	13932	839	5539	1391
ENSXETG00000024038	2412	2639	271	211	452	439	179	261	889	573	286	300
ENSXETG00000000453	415	468	155	166	180	183	92	105	1394	1872	455	668
