Gene	Brain_Female1	Brain_Male1	Heart_Female1	Heart_Male1	Kidney_Female1	Kidney_Male1	Liver_Female1	Liver_Male1	Ovary_Female1	Ovary_Female2	Testis_Male1	Testis_Male2
ENSXETG00000015991	0.17	0.25	0.11	0.1	0	0	0	0	0	0.03	0.08	0.39
ENSXETG00000019915	18.42	20.01	408.65	95.66	23.68	17.52	11.77	10.99	0.14	0.02	3.3	0.81
Locus_131897	1.82	1.89	0.66	0.18	1.98	2.38	0.65	1.42	0	0	0.75	0.6
Locus_57745	1.1	1.4	0	0	0	0	0	0	0	0	0	0.15
ENSXETG00000014617	7.15	8.16	1.42	1.52	1.59	1.96	2.74	3.69	0.71	1.86	3.56	6.88
ENSXETG00000007178	43.63	46.52	39.95	55.44	31.78	38.25	33.42	37.01	79.83	57.94	36.14	19.61
ENSXETG00000030653	0.06	0	0	0	0.59	0.57	0	0.04	59.19	37.92	12.1	11.05
ENSXETG00000014539	40.13	32.78	101.92	87.94	66.96	53.14	65.14	50.94	254.05	137.74	92.07	25.47
ENSXETG00000001816	1.36	1.55	3.1	1.77	5.38	5.16	12.51	10.88	2.93	7.36	0.88	1.17
ENSXETG00000030562	0.51	0.26	0.68	0.67	1.43	0.9	1.12	1.1	1.21	0.85	1.52	4.07
ENSXETG00000010927	0.27	0.11	0.05	0.11	0.03	0.03	0	0	4.64	3.91	0.15	0.54
ENSXETG00000031697	0.01	0	1.04	1.27	7.05	6.35	65.78	28.84	0.02	0.02	1.64	6.06
ENSXETG00000013014	0.28	0.38	0.2	0.03	0.47	0.33	1.48	0.43	25.68	28.29	47.76	31.31
ENSXETG00000002816	3.28	0	16.79	31.7	20.04	17.81	0	0	0.02	0.02	0.6	0.27
ENSXETG00000006176	2.45	3.1	5.59	4.65	4.24	2.56	2.66	2.24	4.91	7.51	6.73	10.78
ENSXETG00000023395	12.54	0	11.31	2.08	207.63	106.77	103363.14	160637.83	0.16	0	11.14	3.95
ENSXETG00000024379	0	0	0	0	0	0	0	0	0.02	0.04	0.33	0.92
ENSXETG00000030733	85.6	73.08	196.54	193.66	166.61	193.27	216.14	218.93	83.06	32.52	67.13	36.91
ENSXETG00000007230	8.03	7.54	7.46	4.82	5.99	6.19	5.14	5.08	34.66	37.21	11.98	12.61
ENSXETG00000014008	7.58	6.92	7.76	8.49	8.22	8.66	5.55	7.99	0.11	0.29	8.78	10.14
ENSXETG00000032246	0	0	0	0	0.07	0.13	0	0	0	0.03	0.35	0.29
ENSXETG00000027182	0	0	0	0	0	0	0	0	0	0	0	0
Locus_190493	0	0	0	0	0	0	0	0	0.73	0.37	0.36	0.08
ENSXETG00000007848	110.48	111.25	0	0.05	0.12	0.2	0.13	0.1	0.01	0	5.13	2.27
ENSXETG00000000967	3.34	3.11	5.49	4.14	9.74	9.93	11.54	11.52	15.94	15.17	8.11	14.23
ENSXETG00000001533	12.64	13.78	3.5	3.73	2.59	2.35	3.15	4.38	9.71	4.39	5.23	3.37
Locus_120803	0	0	0	0	0.24	0.7	0	0	0	0.11	0.46	0.26
ENSXETG00000003403	5.39	5.36	45.37	50.31	63.63	47.78	18.02	24.83	18.1	31.93	19.12	17.19
ENSXETG00000007888	7.57	4.79	4.42	2.23	46.71	25.24	5.81	4.07	3.13	0.73	3.14	0.7
ENSXETG00000013852	1.14	1.45	3.57	2.36	2.06	2.79	1.35	1.12	3.91	2.03	7.47	13.97
ENSXETG00000013164	19.96	17.03	56.67	46.98	177.13	146.73	248.55	214.63	48.85	78.93	77.32	76.9
ENSXETG00000005162	11.72	7.81	26.13	12.9	20.57	17.99	41.77	30.29	192.11	33.76	48.27	11.97
Locus_42066	2.75	2.07	0	0	0	0	0	0	0	0	0	0.13
ENSXETG00000008208	2.89	1.88	4.65	2.75	6.56	4.13	9.13	5.71	7.83	6.54	27.63	22.19
ENSXETG00000014235	0.02	0.05	0.15	0.33	0.02	1.47	0.18	2.14	0	0	1.36	0.6
ENSXETG00000030339	2.01	1.32	3.31	2.81	5.54	5.39	8.56	7.63	17.56	29.72	14.9	11.92
ENSXETG00000006828	7.38	7.89	6.75	8.91	8.14	8.78	7.9	8.78	6.76	13.82	5.68	11.8
ENSXETG00000022346	15.78	9.54	8.06	5.33	7.05	8.47	5.02	8.5	0.03	0.06	4.83	6.83
ENSXETG00000034287	9.96	6.44	23.67	9.32	14.35	9.53	22.83	13.05	11.28	69.69	19.31	97.58
ENSXETG00000019932	45.2	40.61	355.54	421.86	81.98	84.2	51.79	54.89	29.75	102.29	68.43	136.86
ENSXETG00000010030	2.04	1.93	20.46	13.17	6.2	8.23	10.85	10.6	4.83	15.04	2.68	8.03
ENSXETG00000008629	2.5	2.59	9.65	8.35	7.49	8.76	10.32	15.84	5.57	1.68	5.51	4.64
ENSXETG00000016403	0.82	0.94	0.39	0.39	0.49	0.79	0.9	0.6	0.47	2.11	1.26	3.68
ENSXETG00000007364	1.48	0.3	15.2	7.01	20.99	20.17	28.77	12.53	0.76	0.53	0.12	0.33
ENSXETG00000001850	7.49	7.41	6.69	4.83	15.66	10.64	10.89	8.57	10.64	7.53	17.16	15
ENSXETG00000030877	0.64	0.81	1.1	0.91	2.09	2.29	28.01	16.14	0.05	0.02	0.17	0.48
ENSXETG00000019498	1.08	1.86	17.3	12.51	9.49	11.51	6.5	8.76	0.04	0.08	0.17	1.41
ENSXETG00000002097	0.19	0.11	0	0	0.11	0	0.16	0	0	0	0.07	0.06
ENSXETG00000022083	12.33	12.84	14.5	11.04	10.95	9.85	8.73	7.87	11.53	6.77	14.24	10.71
ENSXETG00000031541	0.09	0	0.17	0.25	48.68	45.31	5.03	11.43	2.08	8.59	0.07	0.06
ENSXETG00000017957	47.95	41.9	17.19	15.49	30.35	27.27	24.53	22.3	0.67	0.31	2.18	2.11
ENSXETG00000020457	33.91	29.36	87	73.82	185.77	232.54	333.44	383.65	46.49	83.36	78.87	61.31
ENSXETG00000027221	1.73	2.44	5.34	13.42	2.49	1.78	1.84	0.81	0	0.44	2.36	4.97
ENSXETG00000016943	0.11	0.14	0.21	0.14	0.17	0.3	0	0	0	0	0.06	0.17
Locus_114409	1.61	1	3.66	2.63	2.58	1.25	2.04	0.5	0	0	14.92	23
ENSXETG00000013330	0.06	0	1	1.14	0.03	0.06	0.22	0.16	0	0	0.7	0.96
ENSXETG00000003421	9.88	6.61	7.5	6.42	4.29	6.3	3.82	6.19	34.94	23.63	14.29	7.52
ENSXETG00000032170	14.56	20.52	0	0	0.12	0	0	0.19	0	0	0	0.06
ENSXETG00000003183	0	0	0	0	0	0	0	0	0	0	0	0
ENSXETG00000009512	0.4	0.06	0	0	0.03	0.03	0	0	0	0	0.08	0.13
ENSXETG00000019998	6.49	5.97	16.88	17.27	13.81	16.04	6.44	9.8	9.63	14.12	6.8	8.16
ENSXETG00000033286	2.87	1.18	6.83	7.91	8.72	7.02	14.72	11.83	15.88	26.79	16.03	23.08
ENSXETG00000013983	11.54	10.76	8.6	9.91	4.08	5.47	4.28	5.34	15.48	16.76	7.15	9.67
ENSXETG00000015865	6.13	6.84	6.79	7	6.99	8.25	8.06	8.53	26.89	20.39	13.85	8.24
Locus_121697	0.92	0.19	11.67	5.55	5.69	2.22	5.96	6.91	0.04	0	0	0
ENSXETG00000015309	163.33	163.01	489.7	385.06	558.85	411.98	780.96	618.34	207.23	565.05	236.11	303.33
ENSXETG00000014344	41.02	41.32	0.14	0.12	0.46	0.59	0.75	1.77	0.01	0.06	1.09	2.91
Locus_117676	12.63	16.2	10.84	20.8	9.42	19.77	12.86	23.57	0.07	0.13	10.64	7.16
ENSXETG00000018852	30.34	26.44	56.6	36.51	51.27	40.84	5.84	8.27	13.7	6.68	31.02	12.89
ENSXETG00000027983	105.28	133.17	0.55	0.41	0.43	0.28	0.13	0.33	0	0	0.22	0.11
ENSXETG00000020089	49.2	46.78	75.69	68.29	62.69	60.76	56.02	52.7	36.22	39.69	27.03	20.68
ENSXETG00000030711	0.06	0	0	0	0	0	0	0	0	0.15	0.17	0.25
ENSXETG00000021305	1.06	2.6	2.08	1.4	4.68	4.32	4.58	5.94	1.73	0.3	0.94	1.68
ENSXETG00000008719	2.07	0.53	18.9	12.59	13.14	8.88	12.86	12.52	0	0.05	0.74	0.79
CUFF.106602	0	0	0.19	0.19	0	0	0	1.74	0.06	0	0	0.06
ENSXETG00000021546	2.36	0.51	12.28	14.66	1.48	2.28	4.15	6.21	0.01	0.01	44.17	32.61
ENSXETG00000017998	28.03	29.02	22.19	32.25	23.67	17.52	18.3	14.86	16.79	33.73	12.48	20.04
ENSXETG00000031687	3.45	4.25	3.85	4.8	3.95	4.21	3.89	4.37	33.3	51.63	16.55	24.78
Locus_24195	2.57	1.97	2.37	0	0.4	0.65	0	0	0.06	0.3	0.52	0.44
ENSXETG00000010789	0.6	0.64	0.87	0.51	1.09	0.91	1.26	1.45	3.11	1.32	3.2	6.24
Locus_120851	0	0.5	1.04	1.03	0	0.21	0	0	0	0	1.39	0.23
ENSXETG00000011291	34.65	27.72	24.53	18.3	22.9	19.86	24.44	19	76.53	39.09	63.27	34.9
ENSXETG00000019537	1.89	1.03	1.02	0.85	9.96	10.35	0.15	0.05	0.19	0.32	3.32	2.45
ENSXETG00000009131	17.26	15.55	12.26	12.25	36.63	29.38	13.99	10.21	27.63	11.88	12.3	8.57
ENSXETG00000008702	37.52	37.25	50.93	78.96	31.76	34.9	51.39	65.36	36.39	31.53	24.49	18.07
ENSXETG00000024565	0	0	0	0	0.3	0	0	0	56.07	114.42	0.13	0.49
ENSXETG00000026140	0	0	0	0	0	0	0	0	0	0	0	0
ENSXETG00000021451	6.72	6.14	8.31	10.89	8.48	8.74	9.39	13.14	68.2	48.02	13.2	9.62
ENSXETG00000032860	0	0	0	0	0	0	0	0	0	0	0	0.01
ENSXETG00000033380	5.13	3.49	0	0.05	4.12	12.32	0.21	0.26	0.08	0.44	0.08	0.09
ENSXETG00000015611	0.11	0.05	1.14	0.1	0.06	0.19	1.42	0.31	0	0.03	0.04	0.1
ENSXETG00000003130	10.68	10.24	10	9.24	11.03	9.51	10.67	10.31	29.45	6.7	11.94	6.52
Locus_100028	0	0	0	0	0	0	7.13	6.98	0	0	1.91	3.36
ENSXETG00000033245	2.65	1.94	11.75	13.24	11.93	18.57	1.62	2.65	0.03	0.11	2.58	2.18
Locus_63502	0	0	0	0	0	0	0	0	0	0.07	2.02	12.53
Locus_118524	6.48	3.68	5.31	5.38	3.49	4.35	3.7	4.9	0.41	0.04	4.47	1.87
ENSXETG00000007710	1.09	1.82	0	0	0	0.01	0	0	0.01	0.01	0.28	0.57
ENSXETG00000026585	4.88	8.06	11.65	8.57	11.26	13.32	8.93	8.57	22.73	34.17	6.21	7.57
ENSXETG00000015084	4.64	3.03	0	0.02	0.04	0.01	0.03	0.02	0.01	0	0.19	0.17
Locus_76196	0	0	0.34	0.34	0.21	0.42	0	0.35	0.31	1.98	0.14	0.12
ENSXETG00000009728	14.58	14.67	5.64	6.33	7.93	8.83	6.78	6.71	37.34	50.08	61.78	91.3
ENSXETG00000009449	2.3	3.08	1.1	1.09	1.99	1.68	2.24	1.28	14.2	4.11	3.92	4.44
ENSXETG00000030388	2.81	1.59	5.64	0.89	1.82	0.64	6.22	3.58	0.04	0.06	1.81	1.73
ENSXETG00000000517	5.92	5.79	13.85	11.34	22.12	17.53	24.19	30.21	0.06	0.08	5.97	4.66
ENSXETG00000010771	4.55	3.37	8.77	13.64	10.87	6.14	9.18	8.17	10.03	44.2	19.98	69.74
ENSXETG00000033439	0.36	0.26	6.65	7.73	2.01	1.7	7.02	13.91	0	0.05	2.07	3.42
ENSXETG00000013343	6.15	5.72	7.9	7.83	7.99	8.7	7.38	7.62	25.3	19.26	4.28	2.82
ENSXETG00000027269	0	0	0	0	0	0	0	0	0	0	0.05	0.01
ENSXETG00000002258	1.59	2.81	4.45	6.14	0.48	0.9	0.13	0.43	0	0.01	0.9	1.42
ENSXETG00000030610	0.15	0.66	0.14	0	0.04	0	0	0	0	0.02	0.03	0.26
Locus_51798	0.33	0.29	0	0	0.19	0.18	0	0.93	0	0	2.45	0.62
ENSXETG00000007868	9.94	16.03	27.96	24.1	0.78	2.52	0.1	0.22	2.02	1.71	2.5	4.35
ENSXETG00000027965	0	0	0	0	0	0	0	0	0.08	0	0	0.09
ENSXETG00000031871	6.56	6.82	14.34	11.81	7.61	9.83	8.17	8.52	4.44	21.47	10.84	26.84
CUFF.66248	0.86	0.23	0.95	0.31	0.29	0.1	0	0	0	0.39	1.65	2.83
ENSXETG00000030949	284.06	202.07	945.57	891.95	712.3	659.41	853.27	860.75	173.48	83.53	383.17	90.01
Locus_175354	0.43	0	0	0	0	0	0	0	0	0	1.76	2.16
ENSXETG00000003671	36.76	40.02	17.57	14.77	18.07	20.51	27.13	28.94	34.03	24.51	20.11	19.3
ENSXETG00000022908	14.79	14.67	29.85	21.59	41.55	62.47	40.28	30	50.44	22.14	7.51	4.76
ENSXETG00000005650	3.02	1.36	7.4	1.65	24.92	23.54	39.21	21.08	6.83	5.98	4.47	2.72
Locus_131879	1.94	0.29	22.31	2.55	18.9	2.05	79.07	12.71	0.18	0	0.8	0.47
ENSXETG00000007895	76.68	52.84	87.71	86.53	131.87	84.72	170.19	84.57	20.32	36.27	81.3	83.2
Locus_161292	0	0	0	0	2.05	0.86	0	0	0.42	0.52	0	0.96
Locus_105613	0	0	0	0	0	0	0	0	0	0	8.53	2.91
ENSXETG00000006155	0	0	0.08	0	59.58	50.74	48.48	76.16	0	0	0.13	0.11
ENSXETG00000010235	15.07	17.29	4	7.47	2.61	4.28	2.3	3.75	5.24	3.43	17.29	29.29
ENSXETG00000031702	0.14	0	0	0	0	0.16	0.36	0.79	0	0	0	0.09
ENSXETG00000013902	1.04	0.6	34.39	45.88	28.71	44.18	15.25	13.88	4.84	16.85	6.91	11.03
ENSXETG00000022467	0.19	0.06	0.24	0.12	0.05	0.1	0	0.12	0.01	0.11	0.54	1.42
Locus_189686	0	0	0	0	0	0	0	0	0	0	1.55	2.77
ENSXETG00000003545	130.36	125.52	0.74	1.68	0.18	0.58	0	0	0	0	0.09	0.2
ENSXETG00000019946	1.47	2.32	2.27	3.13	2.72	2.28	3.34	3.22	1.17	5.78	3.34	7.87
ENSXETG00000027277	0	0	0.09	0	0	0	1.04	0.1	0	0	0.72	1.88
ENSXETG00000005920	50.29	52.53	1.77	0.38	0.14	0.37	4.67	4.76	0.46	0.23	7.01	6.97
ENSXETG00000026753	0	0	0	0	0	0	0	0	0	0	0	0.01
ENSXETG00000004252	8.87	4.73	14.21	8.86	15.11	10.97	13.05	10.73	33.37	49.42	26.99	40.37
ENSXETG00000008514	22.7	22.32	46.2	47.45	34.4	33.56	38.16	43.74	31.93	49.88	70.64	102.89
CUFF.156224	0.83	0.98	0.76	2.5	0.63	0.61	1.75	0.52	0	0.42	0.2	0.6
ENSXETG00000011232	1.04	0.04	0.36	0.45	2.26	2.09	2.64	1.66	0.14	0	3.92	3.42
ENSXETG00000034331	0.42	0	0	0	1.93	0.31	0	0	0	0	3.12	2.19
ENSXETG00000010315	32.14	40.83	0.81	0.36	4.3	4.61	0.51	1.12	0.22	0.08	12.39	8.57
