Gene	Brain_Female1	Brain_Male1	Heart_Female1	Heart_Male1	Kidney_Female1	Kidney_Male1	Liver_Female1	Liver_Male1	Ovary_Female1	Ovary_Female2	Testis_Male1	Testis_Male2
ENSXETG00000015991	0.16	0.23	0.1	0.1	0	0	0	0	0	0.03	0.07	0.33
ENSXETG00000019915	16.96	18.52	367.26	87.89	21.29	15.96	10.51	9.82	0.12	0.01	2.92	0.7
Locus_131897	1.67	1.75	0.6	0.17	1.81	2.18	0.59	1.3	0	0	0.6	0.52
Locus_57745	1	1.3	0	0	0	0	0	0	0	0	0	0.14
ENSXETG00000014617	6.33	7.19	1.2	1.25	1.39	1.63	2.45	3.3	0.61	1.68	3.05	6.26
ENSXETG00000007178	38.2	41.25	34.59	48.56	27.78	33.4	29.3	32.3	66.06	50.14	30.02	17.19
ENSXETG00000030653	0.02	0	0	0	0.51	0.49	0	0.03	48.19	32.58	10.02	9.56
ENSXETG00000014539	33.57	29.21	86.13	83.42	58.08	44.54	56.53	46	189.49	103.84	77.05	19.16
ENSXETG00000001816	1.25	1.44	2.83	1.59	4.92	4.72	11.42	9.92	2.52	6.64	0.76	1.07
ENSXETG00000030562	0.47	0.24	0.62	0.61	1.3	0.82	1.02	1	1.04	0.77	1.34	3.67
ENSXETG00000010927	0.24	0.1	0.05	0.1	0.03	0.03	0	0	3.98	3.49	0.14	0.47
ENSXETG00000031697	0	0	0.91	1.15	6.5	5.93	58.68	26.21	0.01	0.02	1.41	5.4
ENSXETG00000013014	0.25	0.35	0.18	0.03	0.43	0.3	1.32	0.39	22.04	25.53	42.19	28.58
ENSXETG00000002816	2.75	0	14.24	27.02	16.96	15.05	0	0	0.01	0.01	0.49	0.23
ENSXETG00000006176	2.24	2.87	5.1	4.28	3.88	2.34	2.42	2.05	4.21	6.78	5.94	9.66
ENSXETG00000023395	9.36	0	8.76	1.23	172.23	85.58	83554.89	128217.95	0.1	0	8.23	2.62
ENSXETG00000024379	0	0	0	0	0	0	0	0	0.01	0.04	0.29	0.84
ENSXETG00000030733	81.63	67.85	193.2	185.54	166.05	186.09	211.15	208.89	75.65	26.49	64.54	30.62
ENSXETG00000007230	7.23	6.74	6.47	4.23	5.29	5.36	4.5	4.66	29.15	32.94	10.33	11.27
ENSXETG00000014008	6.94	6.4	7.09	7.82	7.52	7.93	5.06	7.31	0.09	0.26	7.67	9.14
ENSXETG00000032246	0	0	0	0	0	0	0	0	0	0	0.13	0.03
ENSXETG00000027182	0	0	0	0	0	0	0	0	0	0	0	0
Locus_190493	0	0	0	0	0	0	0	0	0.57	0.33	0.08	0.07
ENSXETG00000007848	65.54	67.79	0	0.05	0.06	0.11	0.07	0.05	0.01	0	2.95	1.46
ENSXETG00000000967	3.06	2.88	5.02	3.81	8.91	9.07	10.53	10.55	13.67	13.7	7.14	12.95
ENSXETG00000001533	9.99	10.76	2.62	2.66	2.07	1.9	2.94	3.6	7.16	3.38	3.72	2.58
Locus_120803	0	0	0	0	0.22	0.64	0	0	0	0	0.41	0.12
ENSXETG00000003403	4.94	4.95	41.44	46.32	58.17	43.75	16.45	22.74	15.53	28.82	16.87	15.5
ENSXETG00000007888	6.94	4.43	4.04	2.05	42.71	23.11	5.31	3.72	2.68	0.66	2.77	0.64
ENSXETG00000013852	1.04	1.33	3.26	2.17	1.89	2.56	1.24	1.02	3.35	1.83	6.59	12.71
ENSXETG00000013164	18.29	15.76	51.76	43.25	161.94	134.36	226.93	196.54	41.91	71.25	68.3	70.18
ENSXETG00000005162	10.23	6.81	22.72	11.28	17.93	15.68	36.31	26.37	156.99	29	40.61	10.26
Locus_42066	2.52	1.74	0	0	0	0	0	0	0	0	0	0.12
ENSXETG00000008208	2.62	1.7	4.24	2.54	6	3.78	8.34	5.19	6.72	5.89	24.38	20.25
ENSXETG00000014235	0.02	0.05	0.13	0.29	0.02	1.25	0.13	1.81	0	0	1.12	0.51
ENSXETG00000030339	1.84	1.22	3.02	2.59	5.07	4.93	7.82	6.99	15.06	26.83	13.16	10.87
ENSXETG00000006828	6.76	7.3	6.17	8.2	7.44	8.04	7.22	8.04	5.8	12.48	5.01	10.78
ENSXETG00000022346	24.36	18.24	11.1	13.39	10.44	16.35	8.2	16.23	0.04	0.07	8.13	9.57
ENSXETG00000034287	6.58	4.26	15.16	7.02	9.41	6.32	14.85	9.24	7.12	44.45	13.21	62.97
ENSXETG00000019932	36.37	33.29	286.53	341.95	65.9	68.15	41.53	44.27	22.52	81.12	53.37	109.92
