Brain_Indiv1	Cerebellum_Indiv1	Heart_Indiv1	Kidney_Indiv1	Testis_Indiv1
ENSGALG00000021786	94723	18709	39	580	37
ENSGALG00000018251	1897	598	300	1092	349
ENSGALG00000025460	26	25	8	11	0
ENSGALG00000018308	1406295	1780119	98764	233678	10713
ENSGALG00000018256	3435	1438	557	3769	88
ENSGALG00000025424	1118	1690	626	37	132
ENSGALG00000018302	13254	12120	3973	6921	529
ENSGALG00000018325	2714	845	329	1800	652
ENSGALG00000018264	3706	5673	322	426	98
ENSGALG00000018292	0	0	22	0	0
ENSGALG00000018307	165	292	58	200	2
ENSGALG00000025199	71	67	3	8	1
ENSGALG00000024497	0	0	0	0	0
ENSGALG00000025296	3	2	0	0	0
ENSGALG00000025429	61	27	1	0	0
ENSGALG00000025563	0	0	0	0	0
ENSGALG00000025372	7	1	2	0	0
ENSGALG00000025628	527	640	659	348	731
ENSGALG00000018316	456	545	15	152	242
ENSGALG00000025397	0	0	0	0	0
ENSGALG00000018268	12	20	2	4	0
ENSGALG00000024507	24570	6345	12016	29905	645
ENSGALG00000018260	497	108	37	25	19
ENSGALG00000025501	2	0	0	2	0
ENSGALG00000018305	3333	585	400	9171	409
ENSGALG00000025274	3	2	0	0	0
ENSGALG00000025164	2	0	0	0	0
ENSGALG00000025320	0	0	0	0	0
ENSGALG00000025376	42	11	7	38	2
ENSGALG00000025215	2	0	0	0	0
ENSGALG00000025370	1	2	0	0	0
ENSGALG00000025168	0	0	0	0	0
ENSGALG00000021737	24	8	52	46	1
ENSGALG00000018237	12173	24661	7686	4904	1143
ENSGALG00000025454	0	0	0	0	0
ENSGALG00000025207	56	9	0	0	0
ENSGALG00000025559	7840	303	187	1144	9
ENSGALG00000018240	73	92	6	9	0
ENSGALG00000025325	0	0	0	0	0
ENSGALG00000021733	554793	362081	98867	772622	79335
ENSGALG00000018293	0	0	3	0	0
ENSGALG00000025330	1	3	1	0	0
ENSGALG00000018296	1265	805	74	373	90
ENSGALG00000025405	2	4	2	0	0
ENSGALG00000018257	1	1	0	1	0
ENSGALG00000025457	1	1	0	0	0
ENSGALG00000021728	1262	904	135	633	119
ENSGALG00000018243	420073	422547	113140	58692	7447
ENSGALG00000018345	3	22	12	19050	12
ENSGALG00000018320	2650	1180	3176	7819	177
ENSGALG00000025596	250	290	320	210	533
ENSGALG00000018323	412	127	235	472	16
ENSGALG00000025267	624	211	163	843	27
ENSGALG00000021792	188	161	6	29	82
ENSGALG00000025333	50	20	5	8	1
ENSGALG00000025309	94	87	0	7	0
ENSGALG00000025186	1	0	0	0	0
ENSGALG00000018301	856279	874605	447852	781618	20938
ENSGALG00000025575	78	200	2	1	6
ENSGALG00000024503	482	169	732	913	23
ENSGALG00000025522	15	0	1	0	0
ENSGALG00000018249	1643	550	518	1364	441
ENSGALG00000025532	9	4	0	0	0
ENSGALG00000025606	0	0	2	0	7
ENSGALG00000018335	3	10	10	31	1
ENSGALG00000018272	490	135	111	167	3
ENSGALG00000021791	3763	2911	18217	10207	101
ENSGALG00000018244	222210	184397	54649	41466	4255
ENSGALG00000025543	5	2	4	0	1
ENSGALG00000021776	5	0	0	0	0
ENSGALG00000025345	1	2	0	0	1
ENSGALG00000025451	0	0	0	0	0
ENSGALG00000018285	26877	16635	66	171	18
ENSGALG00000024508	0	0	0	0	0
ENSGALG00000025586	8	5	0	0	0
ENSGALG00000025485	18	3	0	0	0
ENSGALG00000025497	0	0	0	0	0
ENSGALG00000018238	524	375	36	1	2
ENSGALG00000018318	1844	3773	545	1283	315
ENSGALG00000025198	4	0	0	4	0
ENSGALG00000025469	11	7	1	2	1945
ENSGALG00000025172	7	4	3	13	2
ENSGALG00000025534	467	75	11	9	5
ENSGALG00000025202	1	0	0	0	0
ENSGALG00000018266	98	139	4	15	2
ENSGALG00000025506	22	5	7	34	3
ENSGALG00000024492	1193	1539	2959	987	47
ENSGALG00000025685	1436	504	119	213	13
ENSGALG00000018338	166	45	261	327	73
ENSGALG00000025426	0	0	0	0	3
ENSGALG00000021734	1330	73	1859	1	1
ENSGALG00000018289	145	16	0	0	1
ENSGALG00000025542	1	0	0	0	0
ENSGALG00000025264	6	1	0	0	0
ENSGALG00000025279	0	0	0	0	0
ENSGALG00000025566	146	79	18	48	1
ENSGALG00000025394	5	1	0	3	0
ENSGALG00000025560	0	0	0	0	0
ENSGALG00000025313	1	1	0	0	0
ENSGALG00000025365	2	0	0	1	0
ENSGALG00000018309	72	804	1	70	1
ENSGALG00000025494	1	0	0	0	0
ENSGALG00000021950	0	0	0	0	0
ENSGALG00000021732	11689	8241	117	203	30
ENSGALG00000018241	152568	648547	105897	176150	5594
ENSGALG00000021721	52636	27532	136763	128254	1178
ENSGALG00000018273	2217	1513	1860	2681	88
ENSGALG00000018247	61739	7971	5755	2396	207
ENSGALG00000025328	4	5	0	0	0
ENSGALG00000018337	10	12	12	21	2
ENSGALG00000018236	177	121	26	66	3
ENSGALG00000018304	3278	2211	275	820	32
ENSGALG00000024495	19556	11485	21895	79808	2221
ENSGALG00000025473	7	0	0	0	0
ENSGALG00000018265	979034	631017	318924	430422	42724
ENSGALG00000025436	1	0	0	0	0
ENSGALG00000018317	45	49	27	29	7
ENSGALG00000025459	2188	1492	425	706	198
ENSGALG00000025255	1	0	0	0	0
ENSGALG00000025334	6	2	0	2	0
ENSGALG00000018258	787	299	50	69	49
ENSGALG00000025244	1	0	0	0	0
ENSGALG00000025203	32	96	1	185	0
ENSGALG00000025321	1	0	0	1	0
ENSGALG00000021935	202	185	11	0	0
ENSGALG00000018355	75261	43424	9611	19653	659
ENSGALG00000018261	195870	320028	111656	111647	13616
ENSGALG00000018326	2	0	0	0	0
ENSGALG00000025234	2	1	0	0	0
ENSGALG00000025261	2	0	0	1	0
ENSGALG00000025143	1	0	0	0	0
ENSGALG00000025182	16	21	0	1	0
