Brain	Cerebellum	Heart	Kidney	Testis
ENSGALG00000021786	3811	851	6	31	32
ENSGALG00000018251	76	30	23	33	381
ENSGALG00000025460	2	1	0	0	0
ENSGALG00000018308	57154	80969	7493	9091	10869
ENSGALG00000018256	151	63	35	146	90
ENSGALG00000025424	38	79	50	1	157
ENSGALG00000018302	492	555	305	270	581
ENSGALG00000018325	107	29	22	74	641
ENSGALG00000018264	153	264	33	16	104
ENSGALG00000018292	0	0	1	0	0
ENSGALG00000018307	3	13	3	9	2
ENSGALG00000025199	5	3	0	1	0
ENSGALG00000024497	0	0	0	0	0
ENSGALG00000025296	0	0	0	0	0
ENSGALG00000025429	4	2	0	0	0
ENSGALG00000025563	0	0	0	0	0
ENSGALG00000025372	0	0	0	0	0
ENSGALG00000025628	20	27	60	14	754
ENSGALG00000018316	21	31	0	6	238
ENSGALG00000025397	0	0	0	0	0
ENSGALG00000018268	0	0	0	0	0
ENSGALG00000024507	1035	259	893	1166	636
ENSGALG00000018260	26	11	3	0	26
ENSGALG00000025501	0	0	0	0	0
ENSGALG00000018305	125	17	28	383	414
ENSGALG00000025274	0	0	0	0	0
ENSGALG00000025164	0	0	0	0	0
ENSGALG00000025320	0	0	0	0	0
ENSGALG00000025376	2	0	0	2	1
ENSGALG00000025215	0	0	0	0	0
ENSGALG00000025370	0	0	0	0	0
ENSGALG00000025168	0	0	0	0	0
ENSGALG00000021737	1	2	7	0	2
ENSGALG00000018237	492	1077	591	219	1106
ENSGALG00000025454	0	0	0	0	0
ENSGALG00000025207	1	0	0	0	0
ENSGALG00000025559	304	8	13	53	12
ENSGALG00000018240	3	5	0	1	0
ENSGALG00000025325	0	0	0	0	0
ENSGALG00000021733	22589	16720	7406	30233	80253
ENSGALG00000018293	0	0	0	0	0
ENSGALG00000025330	0	0	0	0	0
ENSGALG00000018296	69	19	3	13	80
ENSGALG00000025405	0	0	1	0	0
ENSGALG00000018257	0	0	0	0	0
ENSGALG00000025457	0	0	0	0	0
ENSGALG00000021728	49	37	12	24	125
ENSGALG00000018243	17223	19130	8424	2317	7512
