Brain_Indiv1	Cerebellum_Indiv1	Heart_Indiv1	Kidney_Indiv1	Testis_Indiv1	Placenta_Indiv1
ENSG00000221733	5	4	0	0	0	1
ENSG00000199072	1149	768	1666	1930	488	144
ENSG00000238660	0	0	0	0	0	0
ENSG00000221035	1735	5031	8923	2195	527	79237
ENSG00000221072	1	0	0	0	0	0
ENSG00000212013	0	0	0	0	0	0
ENSG00000221052	22	12	3	5	9	1
ENSG00000238638	0	0	0	0	0	0
ENSG00000207942	438	209	330	241	1065	45968
ENSG00000212032	0	0	0	0	0	0
ENSG00000252004	9	1	14	109	14	36
ENSG00000207744	75	131	9736	665798	77036	222802
ENSG00000207562	6530	1738	2603	1370	119220	2409
ENSG00000212066	0	0	0	0	0	0
ENSG00000221244	0	0	0	0	0	0
ENSG00000221146	0	0	0	0	0	0
ENSG00000207857	0	0	0	0	0	0
ENSG00000207988	33	27	73	65	37	206
ENSG00000211574	107	73	0	0	1	57
ENSG00000222326	2	0	1	0	5	0
ENSG00000221028	3	7	5	0	0	1
ENSG00000207795	677	297	883	1564	380	1230
ENSG00000199066	5150	2352	50	81	24	482
ENSG00000216036	0	0	0	0	0	0
ENSG00000221753	230	84	5	3	35	5
ENSG00000221724	1	0	3	4	1	9
ENSG00000222954	0	0	0	0	0	0
ENSG00000212104	0	0	0	0	0	0
ENSG00000252493	0	0	0	0	0	0
ENSG00000252445	0	0	1	0	0	0
ENSG00000199165	358	410	396	128	63	68
ENSG00000221448	0	0	0	0	2	0
ENSG00000207964	1604	504	1272	487	253	44
ENSG00000221623	0	0	0	0	0	0
ENSG00000221091	0	0	0	0	0	0
ENSG00000252142	0	0	0	0	0	0
ENSG00000207754	461	659	19	6	70	1912
ENSG00000199038	145	264	144	251	76	1001
ENSG00000244180	0	0	0	0	0	0
ENSG00000238512	0	0	0	0	0	0
ENSG00000221618	0	0	0	0	0	0
ENSG00000199051	2130	2500	807	557	340	1697
ENSG00000198983	3	11	5	1	1152	45
ENSG00000207968	459	84	337	589	106	5176
ENSG00000251912	0	0	0	0	0	0
ENSG00000212037	0	0	0	0	0	0
ENSG00000216164	0	0	0	0	0	0
ENSG00000241601	0	0	0	0	0	0
ENSG00000199089	1	2	37	0	25011	18
ENSG00000208028	8	5	15	5	3	46
ENSG00000199058	4	7	518	1	4	0
ENSG00000238919	0	0	0	0	0	0
ENSG00000202641	276	987	156	74	39	766
ENSG00000252801	0	0	0	0	0	0
ENSG00000207808	2914	287	17814	12748	2683	89106
ENSG00000222219	0	0	0	0	0	0
ENSG00000221745	12	1	0	0	3	306
ENSG00000207585	3610	2393	703	648	116	525
ENSG00000207570	1	0	0	0	0	0
ENSG00000207736	1	0	0	1	0	0
ENSG00000239109	7	8	1	1	8	6
ENSG00000221162	0	0	0	0	0	0
ENSG00000222715	23	162	0	1	0	0
