Brain	Cerebellum	Heart	Kidney	Placenta	Testis
ENSG00000221733	1	1	0	0	2	0
ENSG00000199072	653	292	474	374	46	467
ENSG00000238660	0	0	0	0	0	0
ENSG00000221035	911	1963	2555	415	25719	535
ENSG00000221072	1	0	0	0	0	0
ENSG00000212013	0	0	0	0	0	0
ENSG00000221052	8	2	1	2	0	14
ENSG00000238638	0	0	0	0	0	0
ENSG00000207942	251	96	93	39	14780	1075
ENSG00000212032	0	0	0	0	0	0
ENSG00000252004	4	0	2	22	14	15
ENSG00000207744	36	42	2695	125767	71906	77013
ENSG00000207562	3570	678	725	258	735	118457
ENSG00000212066	0	0	0	0	0	0
ENSG00000221244	0	0	0	0	0	0
ENSG00000221146	0	0	0	0	0	0
ENSG00000207857	0	0	0	0	0	0
ENSG00000207988	20	11	23	11	52	39
ENSG00000211574	46	26	0	0	17	0
ENSG00000222326	1	0	1	0	0	1
ENSG00000221028	2	2	2	0	1	0
ENSG00000207795	383	120	261	306	374	428
ENSG00000199066	2756	932	16	15	164	31
ENSG00000216036	0	0	0	0	0	0
ENSG00000221753	143	21	0	1	2	32
ENSG00000221724	2	0	2	1	1	0
ENSG00000222954	0	0	0	0	0	0
ENSG00000212104	0	0	0	0	0	0
ENSG00000252493	0	0	0	0	0	0
ENSG00000252445	0	0	1	0	0	0
ENSG00000199165	191	151	97	27	13	53
ENSG00000221448	0	0	0	0	0	2
ENSG00000207964	858	213	353	78	13	278
ENSG00000221623	0	0	0	0	0	0
ENSG00000221091	0	0	0	0	0	0
ENSG00000252142	0	0	0	0	0	0
ENSG00000207754	232	258	1	1	645	72
ENSG00000199038	73	107	44	56	327	74
ENSG00000244180	0	0	0	0	0	0
ENSG00000238512	0	0	0	0	0	0
ENSG00000221618	0	0	0	0	0	0
ENSG00000199051	1153	976	209	90	521	328
ENSG00000198983	2	4	2	0	12	1150
ENSG00000207968	239	33	109	117	1715	118
ENSG00000251912	0	0	0	0	0	0
ENSG00000212037	0	0	0	0	0	0
ENSG00000216164	0	0	0	0	0	0
ENSG00000241601	0	0	0	0	0	0
ENSG00000199089	0	0	9	0	4	24917
ENSG00000208028	4	2	10	0	11	4
ENSG00000199058	1	1	113	0	0	4
ENSG00000238919	0	0	0	0	0	0
ENSG00000202641	143	383	45	18	275	46
ENSG00000252801	0	0	0	0	0	0
ENSG00000207808	1480	92	4987	2470	28824	2646
ENSG00000222219	0	0	0	0	0	0
ENSG00000221745	11	1	0	0	106	2
ENSG00000207585	1876	920	205	122	190	122
ENSG00000207570	0	0	0	0	0	0
ENSG00000207736	2	0	0	0	0	0
ENSG00000239109	5	3	0	0	3	8
ENSG00000221162	0	0	0	0	0	0
ENSG00000222715	15	53	0	0	0	0
ENSG00000207753	133	79	2778	421	982	304
ENSG00000207631	0	0	0	1	15	5
ENSG00000222766	0	0	0	0	0	0
ENSG00000252773	1	0	0	0	0	0
ENSG00000221628	0	0	0	0	0	0
ENSG00000221674	0	0	0	0	0	0
ENSG00000207720	3	0	0	0	0	0
ENSG00000207950	37	14	6	0	28	73
ENSG00000221782	0	0	0	0	0	0
ENSG00000211582	141	50	3	2	115	38
ENSG00000221355	7	3	0	0	0	0
ENSG00000221454	3	1	0	0	0	4
ENSG00000208014	4	0	7	75	35	21
ENSG00000207868	0	0	0	0	0	37
ENSG00000207745	886	266	869	719	695	1580
ENSG00000221774	5	9	0	0	1	0
ENSG00000212098	0	0	0	0	0	0
ENSG00000208004	6	2	0	0	0	1
ENSG00000207712	20	0	65	10	21	27
ENSG00000221263	0	0	0	0	2	0
ENSG00000207978	23	20	4	2	122	32
ENSG00000221008	0	0	0	0	0	0
ENSG00000252454	1	0	0	1	39	19
ENSG00000252695	26	10	0	0	1	0
ENSG00000207800	306	24	3	5	17	17
ENSG00000221415	0	0	0	0	0	0
ENSG00000221327	0	0	0	0	0	0
ENSG00000221568	0	0	0	0	0	0
ENSG00000216173	6	0	0	0	0	4
ENSG00000207560	1	0	1	0	1	4
ENSG00000207620	0	0	0	0	0	0
ENSG00000207816	83	16	0	0	0	0
ENSG00000207982	0	0	1	3	13	5
ENSG00000211137	86	1	303	356	61	220
ENSG00000207703	47	44	2	0	1	3
ENSG00000208023	1031	438	592	196	64	348
ENSG00000221595	0	0	0	0	0	0
ENSG00000221656	6	16	0	0	0	0
ENSG00000207764	0	0	10	0	0	0
ENSG00000208007	11	18	14	112	61	198
ENSG00000252664	0	0	0	0	0	0
ENSG00000223079	0	0	0	0	0	0
ENSG00000216037	0	0	0	0	0	0
ENSG00000221185	0	0	0	0	0	0
ENSG00000221280	0	0	0	0	0	0
ENSG00000199023	382	287	143	47	173	345
ENSG00000221191	0	0	0	0	2	0
ENSG00000252153	2	0	0	0	0	0
ENSG00000199097	120	3	162	1774	8561	23234
ENSG00000211591	0	0	0	0	0	0
ENSG00000208024	1	0	36	19	18	35
ENSG00000221445	147	101	3	8	29	14
ENSG00000221520	6	1	1	2	5	12
ENSG00000252216	0	0	0	0	0	0
ENSG00000223123	0	0	0	0	0	0
ENSG00000222532	2	4	7	13	11	5
ENSG00000215924	0	0	0	0	0	0
ENSG00000221563	1	0	0	12	0	9
ENSG00000238828	355	67	98	56	31	87
ENSG00000199047	30087	40081	806547	166545	5079	22350
ENSG00000207582	451	203	1116	957	18027	1738
ENSG00000216004	0	0	0	0	0	0
ENSG00000208022	9	48	15	5	3	1
ENSG00000221755	0	0	0	0	0	0
ENSG00000252197	0	0	0	0	0	0
ENSG00000211581	4	4	1	0	1	0
ENSG00000222466	2	0	0	0	0	0
ENSG00000207749	150	154	14	5	290	197
ENSG00000202601	275	5	23	140	143	31
ENSG00000221289	0	0	0	0	0	0
ENSG00000212089	0	0	0	0	0	0
ENSG00000222899	0	0	0	0	0	0
ENSG00000221479	21	0	1	13	2	2
ENSG00000207935	127	831	4	282	128	234
ENSG00000207696	23	10	7	7	2	2
ENSG00000239150	0	0	0	0	0	0
ENSG00000252949	0	0	0	0	0	0
ENSG00000221062	97	60	8	11	0	13
ENSG00000221548	0	0	0	0	1504	0
ENSG00000238667	0	0	0	0	0	0
ENSG00000222080	21	4	1	0	2	5
ENSG00000252160	0	0	0	0	0	0
ENSG00000220978	0	0	0	0	0	0
ENSG00000221267	2	0	0	0	0	0
ENSG00000251910	3	0	0	0	0	0
ENSG00000207567	145	10	1107	458	6140	2108
ENSG00000211521	15	22	5	1	58	27
ENSG00000223030	0	0	0	0	0	0
ENSG00000207805	3	2	17	4	440	44
ENSG00000208005	4	0	1	20	42	152
ENSG00000221397	0	0	0	0	0	0
ENSG00000207584	6	0	13	3101	1066	5
ENSG00000211563	12944	2105	233	269	218	123
ENSG00000221760	6	1	10	2	6	0
ENSG00000221471	0	0	0	0	0	0
ENSG00000207743	48	25	6	1	128	63
ENSG00000215996	0	0	0	0	0	0
ENSG00000251713	0	0	0	0	0	0
ENSG00000207603	21	21	2	8	6	38
ENSG00000221424	0	0	0	0	0	0
ENSG00000199135	20	6	44	45	49	57
ENSG00000216141	0	0	0	0	0	0
ENSG00000221382	0	0	0	1	0	0
ENSG00000221181	0	0	0	0	0	0
ENSG00000211543	0	0	0	0	0	0
ENSG00000211566	0	0	0	0	0	0
ENSG00000207958	1104	3	26	2	0	8
ENSG00000222518	0	0	0	0	0	0
ENSG00000199065	196	43	421	1733	150	3068
ENSG00000212114	0	0	0	0	0	0
ENSG00000216197	0	0	0	0	0	0
ENSG00000207639	403	44	128	31	855	335
ENSG00000221037	0	0	0	0	0	0
ENSG00000221159	11	6	0	0	0	4
ENSG00000207798	15	0	0	20	8	64
ENSG00000221634	19	6	0	2	1	9
ENSG00000252528	0	0	0	0	0	0
ENSG00000221464	55	26	15	5	4	15
ENSG00000251855	0	0	0	0	0	0
ENSG00000207953	185	45	7	3	15	13
ENSG00000221287	0	0	0	0	0	0
ENSG00000216184	0	0	0	0	0	0
ENSG00000215939	111	165	0	1	88	67
ENSG00000207600	27328	35732	1360	1550	13	201
ENSG00000207794	3336	526	37839	17142	36805	12802
ENSG00000199088	17440	9554	530	535	49	13401
ENSG00000221331	6	2	10	1	12	6
ENSG00000221751	0	0	0	0	0	0
ENSG00000211556	0	0	0	0	0	0
ENSG00000216013	0	0	0	0	0	0
ENSG00000207735	1	0	0	0	4180	4
ENSG00000216179	50	31	0	0	8	4
ENSG00000216195	0	0	0	0	0	0
ENSG00000221403	0	0	0	0	0	0
ENSG00000207756	2	0	3	5	11	2
ENSG00000222494	0	0	0	0	0	0
ENSG00000207990	320	86	362	2783	9663	1133
ENSG00000252276	0	0	0	0	0	0
ENSG00000221744	0	0	0	0	0	0
ENSG00000199001	12	0	0	0	0	0
ENSG00000198982	236	75	1	4	22	86
ENSG00000207546	0	0	0	0	0	0
ENSG00000221271	0	0	0	0	0	0
ENSG00000221336	0	0	0	0	0	0
ENSG00000199180	50	4	59	30	49	164
ENSG00000207702	0	0	0	0	8	0
ENSG00000252731	0	0	0	0	0	0
ENSG00000199187	16	5	7	1	6	3
ENSG00000199012	29	2	0	0	64	8
ENSG00000222110	0	0	0	0	0	0
ENSG00000207692	46	1	1	1	2	6
ENSG00000221175	0	0	0	0	0	0
ENSG00000221441	0	0	0	0	0	0
ENSG00000207598	0	2	0	0	0	0
ENSG00000207729	1	0	4	1	1	2
ENSG00000238303	0	0	0	0	0	0
ENSG00000221027	0	0	0	0	0	0
ENSG00000221767	2002	821	827	1265	1442	309
ENSG00000221808	0	0	1	0	3	0
ENSG00000199059	4	83	2	30	150	78
ENSG00000221250	0	0	0	0	0	0
ENSG00000222121	0	0	0	0	0	0
ENSG00000221517	0	0	0	0	0	0
ENSG00000216009	8090	4047	81	112	165	173
ENSG00000199071	3893	6636	1262	660	3271	2012
ENSG00000208013	947	403	423	155	189	106
ENSG00000199130	21	3	9	1	14	10
ENSG00000216093	0	0	0	0	0	0
ENSG00000207628	5	0	24	6	29	55
ENSG00000221521	2	0	0	0	0	0
ENSG00000207965	82	26	26	49	144	141
ENSG00000223109	0	0	0	0	1	0
ENSG00000207650	0	0	2	0	0	3
ENSG00000221555	9	22	1	0	3	3
ENSG00000251826	0	0	0	0	0	0
ENSG00000199158	2	1	4	40	45	48
ENSG00000239867	0	0	0	0	0	0
ENSG00000207617	75	28	80	30	12	16
ENSG00000251765	0	0	0	0	0	0
ENSG00000207590	12	3	187	298	13	1366
ENSG00000212051	0	0	0	0	0	0
ENSG00000207763	1	0	0	0	0	0
ENSG00000208033	1	0	0	0	0	0
ENSG00000212061	0	0	0	0	0	0
ENSG00000252304	0	0	0	0	0	0
ENSG00000212065	0	0	0	0	0	0
ENSG00000222234	0	1	0	0	0	1
ENSG00000212093	0	0	0	1	0	0
ENSG00000216022	0	0	0	0	0	0
ENSG00000199107	514	765	36	20	1419	273
ENSG00000222071	2	0	0	0	0	0
ENSG00000198973	160	75	4	39	124	100
ENSG00000222548	0	0	0	0	0	0
ENSG00000221426	0	0	0	0	0	0
ENSG00000207866	0	0	0	0	0	0
ENSG00000221063	496	800	8	1	135	46
ENSG00000207980	1386	314	4965	1254	4973	5282
ENSG00000221726	0	0	0	0	0	0
ENSG00000221202	0	0	0	0	0	0
ENSG00000239160	0	0	0	0	0	0
ENSG00000207949	4	11	76	43	257	990
ENSG00000207698	37	0	177	287	324	418
ENSG00000215946	0	0	0	0	0	0
ENSG00000198987	1	1	32	12	130	89
ENSG00000221737	0	0	0	0	0	0
ENSG00000221173	0	0	0	0	0	0
ENSG00000216191	2	0	0	0	0	0
ENSG00000211534	5	0	0	0	0	0
ENSG00000238993	0	0	0	0	0	0
ENSG00000252547	1	0	0	0	0	0
ENSG00000222570	0	0	0	0	1	0
ENSG00000253008	59	42	23	14	8	8
ENSG00000220990	0	0	0	0	0	0
ENSG00000252488	0	0	0	0	0	0
ENSG00000221671	11	5	1	1	0	3
ENSG00000199025	175	15	72	7	869	323
ENSG00000212001	0	0	0	0	0	0
ENSG00000207773	5	2	6	0	0	7
ENSG00000252584	1	9	8	4	0	7
ENSG00000222833	0	0	0	0	0	0
ENSG00000223231	0	0	0	0	0	0
ENSG00000215938	11	5	5	1	22	63
ENSG00000252176	0	0	0	0	0	0
ENSG00000251856	0	4	0	0	8	26
ENSG00000221184	14	2	0	1	5	3
ENSG00000221717	0	0	0	0	0	6
ENSG00000207761	0	0	0	0	0	0
ENSG00000207793	2874	2113	15	9	1426	232
ENSG00000221621	0	0	0	0	0	0
ENSG00000238794	1	1	0	0	0	7
ENSG00000207633	59	54	19	12	15	28
ENSG00000216154	0	0	0	0	0	0
ENSG00000215930	7	0	1	0	5	3
ENSG00000216157	0	0	0	0	0	0
ENSG00000216056	15	52	0	7	1	224
ENSG00000221686	0	0	0	0	0	0
ENSG00000221763	0	0	0	0	0	0
ENSG00000207556	0	0	0	0	0	0
ENSG00000207809	4465	171	177	127	32	118
ENSG00000199005	3114	1890	24	5	143	47
ENSG00000221132	74	129	2	0	6	33
ENSG00000199149	967	172	2399	1430	569	2670
ENSG00000211513	5	3	0	0	0	2
ENSG00000221641	7	5	8	2	5	46
ENSG00000222647	0	0	0	0	0	0
ENSG00000207922	2	0	0	0	0	2
ENSG00000252286	0	0	0	0	0	4
ENSG00000207895	121	57	1	0	2	153
ENSG00000199177	115	346	13	14	650	397
ENSG00000194717	47	26	12	0	49	437
ENSG00000207581	4	0	232	34	2268	195
ENSG00000207619	32	39	1	21	1	5
ENSG00000238574	0	2	0	0	0	1
ENSG00000216204	0	0	0	0	0	0
ENSG00000207782	258	147	326	22	47	210
ENSG00000221482	0	0	0	0	0	0
ENSG00000221291	0	1	0	0	0	0
ENSG00000252940	1	0	0	0	2	0
ENSG00000199030	330819	359188	46694	10604	1493	87608
ENSG00000221296	1	5	0	0	0	1
ENSG00000199082	1625	1958	343	138	630	156
ENSG00000207651	1550	1352	3338	2248	3044	2053
ENSG00000221328	0	0	0	0	0	0
ENSG00000238916	86	17	75	23	27	44
ENSG00000221386	47	11	0	0	0	25
ENSG00000207742	4360	2782	161	36	254	439
ENSG00000252851	7	6	0	0	0	2
ENSG00000239118	0	0	0	0	0	0
ENSG00000239060	0	0	0	0	0	0
ENSG00000216077	149	39	62	11	66	54
ENSG00000207846	0	0	0	0	0	0
ENSG00000207767	0	0	0	0	0	0
ENSG00000207987	0	0	0	0	1984	18
ENSG00000211997	729	89	63	265	27	297
ENSG00000252666	0	0	0	0	0	0
ENSG00000207589	46	36	16	1387	53	82201
ENSG00000221104	1	0	0	0	3	4
ENSG00000207701	7	9	0	0	0	0
ENSG00000251782	0	0	0	0	0	0
ENSG00000208017	49384	32069	23974	26810	3697	13486
ENSG00000208001	408	308	1	0	2606	11
ENSG00000216119	0	0	0	0	0	0
ENSG00000221473	1	0	0	0	0	0
ENSG00000238728	0	0	0	0	0	0
ENSG00000211506	53	15	0	0	18	0
ENSG00000216144	0	0	0	0	0	0
ENSG00000221597	0	0	0	0	0	0
ENSG00000252492	1	0	0	0	0	2
ENSG00000238448	0	0	0	0	0	0
ENSG00000221566	1	1	2	0	0	0
ENSG00000207727	5	0	0	0	0	0
ENSG00000211520	10	5	1	15	0	38
ENSG00000199060	1991	408	8473	1164	165781	4099
ENSG00000199153	50840	46433	19019	57999	81792	6729
ENSG00000207775	0	0	0	0	0	0
ENSG00000221169	2	0	0	0	0	0
ENSG00000252340	19	7	1	1	2	21
ENSG00000208006	2	0	9	4	27	27
ENSG00000207638	4561	3039	5980	2135	361	5135
ENSG00000253030	5	3	1	0	2	1
ENSG00000216133	1	1	1	0	0	0
ENSG00000207714	2750	278	58	3	2551	40
ENSG00000207993	5707	2192	76	66	148	1232
ENSG00000221393	0	0	0	0	0	0
ENSG00000223207	0	0	0	0	0	0
ENSG00000221075	0	0	0	0	0	0
ENSG00000252270	0	1	1	0	0	6
ENSG00000221573	0	0	0	0	0	0
ENSG00000207937	0	0	0	0	0	0
ENSG00000212039	0	0	0	0	0	0
ENSG00000221625	9	2	0	0	0	9
ENSG00000207622	10	9	2	1	0	15
ENSG00000221419	39	10	36	2	37	9
ENSG00000198974	14665	3347	37921	33019	12087	16399
ENSG00000221499	0	0	0	7	0	0
ENSG00000221084	3	5	0	0	0	2
ENSG00000222631	0	0	0	0	0	0
ENSG00000207806	4	1	0	0	728	11
ENSG00000222730	0	0	0	0	0	0
ENSG00000208032	5	0	1	0	0	4
ENSG00000252939	0	0	0	0	0	0
ENSG00000207966	837	122	1380	665	938	954
ENSG00000199077	1579	1542	2	9	0	437
ENSG00000208009	387	187	844	1117	7750	3059
ENSG00000216181	0	0	0	0	0	0
ENSG00000221011	0	0	0	0	0	0
ENSG00000221096	44	14	4	0	0	12
ENSG00000207981	1	0	0	0	3732	25
ENSG00000221334	0	0	0	0	0	0
ENSG00000207986	1	0	0	0	0	0
ENSG00000252583	0	0	0	9	0	1622
ENSG00000222643	0	0	0	0	0	0
ENSG00000252938	0	0	0	0	0	0
ENSG00000211578	70	25	5	1	18	72
ENSG00000238573	0	0	0	0	0	0
ENSG00000221492	3	60	0	0	0	0
ENSG00000198986	6021	4565	800	423	248	631
ENSG00000199032	1577	1044	391	427	1017	1030
ENSG00000221110	0	0	0	0	0	0
ENSG00000211987	0	0	0	0	0	0
ENSG00000251701	0	0	0	0	0	0
ENSG00000215945	0	0	0	0	0	0
ENSG00000216055	0	0	0	0	0	0
ENSG00000221053	0	0	0	0	0	0
ENSG00000212029	0	0	0	0	0	0
ENSG00000212049	0	0	0	0	0	0
ENSG00000215937	0	0	0	0	0	0
ENSG00000221064	2	2	1	0	0	2
ENSG00000207973	240	187	19	20	65	20
ENSG00000207707	5	5	4	6	2	4
ENSG00000207737	128	100	10	15	162	15
ENSG00000211991	4	0	5	3	1	0
ENSG00000221762	0	0	0	0	1	1
ENSG00000221427	0	0	0	0	0	0
ENSG00000207989	82	99	64	37	5382	641
ENSG00000220998	0	0	0	0	0	0
ENSG00000212086	0	0	0	0	0	0
ENSG00000207755	0	0	0	0	16	3
ENSG00000252737	0	0	0	0	0	0
ENSG00000222586	0	0	0	0	0	0
ENSG00000252573	0	0	0	0	0	0
ENSG00000240779	0	0	0	0	0	0
ENSG00000207621	5	5	163	10	1337	17
ENSG00000207948	830	696	26	23	7	22
ENSG00000238346	1477	803	146	40	71	225
ENSG00000221233	0	0	0	0	0	0
ENSG00000221230	9	1	0	2	12	0
ENSG00000221193	0	2	0	0	0	0
ENSG00000207739	30	90	1	1	0	0
ENSG00000252997	0	0	0	0	0	0
ENSG00000207776	1	0	0	1	1	1
ENSG00000251832	0	0	0	0	0	0
ENSG00000211983	0	0	0	0	0	0
ENSG00000202560	137	98	1	0	359	58
ENSG00000216002	0	0	0	0	0	0
ENSG00000211515	0	0	0	0	0	0
ENSG00000221133	40	4	4	6	371	69
ENSG00000221736	0	0	0	0	0	0
