Brain_Indiv1	Cerebellum_Indiv1	Heart_Indiv1	Kidney_Indiv1	Testis_Indiv1	Placenta_Indiv1	Placenta_Indiv2
ENSMUSG00000077893	0	0	0	0	0	0	0
ENSMUSG00000080400	0	0	0	0	0	0	2
ENSMUSG00000065495	561	5553	731	115	3	865	92
ENSMUSG00000070144	0	0	88	0	0	0	0
ENSMUSG00000089433	4	15	6	5	5	215	1979
ENSMUSG00000065586	6559	14	182	332	5	5518	3901
ENSMUSG00000065536	6341	362	1304	2432	230	10864	4536
ENSMUSG00000088886	0	0	0	0	0	0	0
ENSMUSG00000088117	0	0	1	0	0	0	3
ENSMUSG00000076458	32	9	0	0	0	0	0
ENSMUSG00000065488	1	2	3	9093	8	491	342
ENSMUSG00000089213	59	283	210	59	18	1769	9238
ENSMUSG00000077941	7	10	1	1	0	430	1788
ENSMUSG00000065617	912	2320	43	2	1	1374	923
ENSMUSG00000065535	201021	120752	4146690	789225	8505	134077	57312
ENSMUSG00000065491	4666	183	76	1	3	4	6
ENSMUSG00000076323	0	0	0	0	0	0	2
ENSMUSG00000088619	6	8	2	2	4	88	573
ENSMUSG00000076361	250143	5642	6304	19270	966	2297757	1297529
ENSMUSG00000089371	1	1	6	0	1	0	2
ENSMUSG00000089200	3	2	3	0	1	24	187
ENSMUSG00000065442	2023	100	2083	7122	1459	3329	4383
ENSMUSG00000080654	1	2	2	0	2	97	175
ENSMUSG00000088287	0	0	0	0	0	0	0
ENSMUSG00000070109	563	1065	419	774	86	1609	641
ENSMUSG00000065404	1	2	12	0	187	3	0
ENSMUSG00000070106	18	13	45	344	2	17	26
ENSMUSG00000076044	0	0	0	0	0	3	4
ENSMUSG00000089570	0	0	0	0	0	0	2
ENSMUSG00000070074	256	1513	103	154	11	3369	2604
ENSMUSG00000065478	3868	2071	148	17	23	47021	26145
ENSMUSG00000088805	0	0	0	0	0	0	1
ENSMUSG00000065460	0	0	28	0	1	0	0
ENSMUSG00000076252	3	0	2	0	0	78	21
ENSMUSG00000080401	0	0	0	0	0	0	0
ENSMUSG00000087788	0	1	0	0	0	0	1
ENSMUSG00000065600	25002	24981	1797	425	7	497	36
ENSMUSG00000065456	18	5	3	279	0	5	4
ENSMUSG00000088141	1	0	0	0	0	1	0
ENSMUSG00000076366	0	0	0	0	0	0	0
ENSMUSG00000076219	609	141	27	0	0	2817	626
ENSMUSG00000065575	75	5	1	9	1224	43	8
ENSMUSG00000080418	0	0	0	0	0	0	0
ENSMUSG00000076291	8	39	23	12	6	276	2305
ENSMUSG00000077104	0	0	0	0	0	0	0
ENSMUSG00000088508	0	0	0	0	0	0	0
ENSMUSG00000089022	0	0	0	0	0	0	4
ENSMUSG00000065574	5045	1563	2293	34031	2329	15922	3179
ENSMUSG00000065529	11999	1202	23461	28617	1315	1220084	368191
ENSMUSG00000080492	2	0	0	4	1	0	2
ENSMUSG00000087972	0	0	0	0	0	0	0
ENSMUSG00000089329	0	0	0	0	0	0	9
ENSMUSG00000076959	19	18	3	4	10	764	594
ENSMUSG00000089379	0	0	0	0	0	0	0
ENSMUSG00000088871	0	0	0	0	0	0	0
ENSMUSG00000088401	0	0	0	0	0	0	0
ENSMUSG00000065566	32422	4385	1228	69	24	37545	13930
ENSMUSG00000088919	0	2	1	0	0	31	157
ENSMUSG00000065585	1	0	0	0	0	7	1
ENSMUSG00000089324	2	12	1	1	0	1	3
ENSMUSG00000077086	13	10	4	3	8	522	431
ENSMUSG00000089159	3	6	1	0	1	38	58
ENSMUSG00000076379	2551	2	615	3838	26	112	77
ENSMUSG00000065489	32	42	22	575	19	276	151
ENSMUSG00000089600	0	0	0	0	0	0	0
ENSMUSG00000070110	63	76	83	3	2	3	6
ENSMUSG00000080491	0	0	0	0	0	0	0
ENSMUSG00000087977	0	0	0	0	0	0	0
ENSMUSG00000080618	0	0	0	0	0	0	0
ENSMUSG00000088235	0	0	0	0	0	0	0
ENSMUSG00000089126	0	0	0	0	1	2	4
ENSMUSG00000065417	4863	294	656	1410	716	5643	1592
ENSMUSG00000080688	0	0	0	0	0	0	0
ENSMUSG00000065542	51	13	218	509	7	762	526
ENSMUSG00000080380	0	0	0	0	0	0	0
ENSMUSG00000076313	22	3	2	0	0	1003	490
ENSMUSG00000089424	1	5	0	0	0	14	1
ENSMUSG00000077964	0	0	0	0	0	0	0
ENSMUSG00000089010	0	0	0	0	0	0	0
ENSMUSG00000065465	1964	25	113	1279	7	215	169
ENSMUSG00000076251	638	1400	83	442	34	1271	310
ENSMUSG00000080665	7	36	36	47	1	225	41
ENSMUSG00000088664	0	0	0	0	0	0	0
ENSMUSG00000088274	0	0	0	0	0	0	0
ENSMUSG00000065516	9	7	84	136	44	2447	569
ENSMUSG00000080372	0	0	0	0	0	0	0
ENSMUSG00000087824	0	0	0	0	0	12	63
ENSMUSG00000077876	0	0	0	0	0	0	0
ENSMUSG00000080522	0	0	0	0	0	0	0
ENSMUSG00000076442	8975	1006	154960	93328	1918	4657	8423
ENSMUSG00000065608	5820	7847	3205	4556	158	17	15
ENSMUSG00000065436	6004	9572	858	379	97	1813	749
ENSMUSG00000065492	334	318	11	31	1061	106	22
ENSMUSG00000080510	0	0	0	0	0	0	0
ENSMUSG00000076123	287	844	57	83	4	46	32
ENSMUSG00000076272	1591	1322	37	0	0	11147	4334
ENSMUSG00000080580	0	0	0	0	0	0	0
ENSMUSG00000087934	0	0	0	0	0	0	0
ENSMUSG00000076360	0	0	0	0	28	0	5
ENSMUSG00000065618	50113	50250	5372	8628	1921	16728	4896
ENSMUSG00000065565	4397	1509	643	522	29	641	529
ENSMUSG00000076288	266	9	10	2	6	1301	388
ENSMUSG00000065397	104	34	821	388	4	296	1107
ENSMUSG00000076160	0	0	0	0	0	0	0
ENSMUSG00000065487	75	14	39	74	0	39	23
ENSMUSG00000080347	1	0	0	0	0	0	0
ENSMUSG00000077054	0	0	0	0	0	0	0
ENSMUSG00000065587	175823	9254	5216	11299	821538	3790	678
ENSMUSG00000077837	0	0	0	0	0	0	0
ENSMUSG00000076948	82	3	14	6	58	5406	3297
ENSMUSG00000080481	0	1	0	0	0	0	0
ENSMUSG00000077113	0	0	0	0	0	68	123
ENSMUSG00000077971	2	0	0	0	0	0	0
ENSMUSG00000080655	0	0	0	0	0	0	0
ENSMUSG00000080439	0	0	0	0	0	0	0
ENSMUSG00000088561	0	0	0	0	0	0	0
ENSMUSG00000089557	0	0	0	0	0	0	0
ENSMUSG00000080653	5	0	0	0	0	75	85
ENSMUSG00000065548	13505	311	4946	5560	69	2598	426
ENSMUSG00000065581	1	0	4	24	0	1006	27
ENSMUSG00000065596	3373	337	126	315	43841	284	34
ENSMUSG00000089249	0	0	0	0	0	0	1
ENSMUSG00000087993	4	37	2	1	0	2	3
ENSMUSG00000080564	0	0	0	0	0	0	0
ENSMUSG00000089020	0	0	0	0	0	0	2
ENSMUSG00000076140	466	10	1009	2280	123	27264	15174
ENSMUSG00000080557	0	0	0	0	0	0	0
ENSMUSG00000065403	109	15	68	209	141	706	866
ENSMUSG00000089042	0	0	0	0	0	0	0
ENSMUSG00000088639	5	9	2	5	2	14	8
ENSMUSG00000089592	0	0	0	0	8	1	2
ENSMUSG00000088466	0	0	0	0	0	0	0
ENSMUSG00000065420	2982	18	1636	5878	272	24346	17778
ENSMUSG00000065462	24124	179	1209	35142	124	2263	368
ENSMUSG00000070075	557	450	377	1	0	132	1
ENSMUSG00000087803	0	1	0	0	0	1	1
ENSMUSG00000077898	0	0	0	1	0	3	0
ENSMUSG00000089140	29	37	27	13	4	0	0
ENSMUSG00000089238	0	1	0	2	0	13	37
ENSMUSG00000078014	0	0	0	0	0	0	0
ENSMUSG00000065426	14089	16442	757	68	45	5037	3645
ENSMUSG00000080603	0	0	0	0	0	0	0
ENSMUSG00000088248	55	19	1	1	8	10	7
ENSMUSG00000065455	147577	2504	90013	599855	10846	196690	193274
ENSMUSG00000080679	0	0	0	0	0	0	0
ENSMUSG00000077136	0	0	0	0	0	0	0
ENSMUSG00000065530	34348	13889	23324	23740	997	779	209
ENSMUSG00000078031	151	376	13	20	103	529	490
ENSMUSG00000088507	0	0	0	0	0	0	0
ENSMUSG00000087725	0	0	0	0	0	1	1
ENSMUSG00000077966	0	0	0	0	0	0	0
ENSMUSG00000076988	0	0	0	0	0	0	0
ENSMUSG00000065396	164655	707495	93966	140857	3837	46267	16827
ENSMUSG00000076354	0	0	0	0	0	0	0
ENSMUSG00000088206	0	0	0	0	0	0	0
ENSMUSG00000065433	20332	6585	687	14	2	1066	1276
ENSMUSG00000080354	0	0	0	0	0	0	0
ENSMUSG00000078055	0	0	0	0	0	0	0
ENSMUSG00000076005	8	2	33	1	271	1	1
ENSMUSG00000077021	168	298	35	33	165	19425	8376
ENSMUSG00000080682	0	0	0	0	0	0	0
ENSMUSG00000080561	0	1	0	1	0	0	0
ENSMUSG00000076041	66	25	17	1428	2	6	5
ENSMUSG00000065528	2258	14151	1248	1504	138	8387	5648
ENSMUSG00000076014	0	0	0	0	0	0	0
ENSMUSG00000089478	0	2	0	0	0	2	2
ENSMUSG00000065513	13	0	1	9	0	29	17
ENSMUSG00000065537	48504	26096	2040	381	18	584	190
ENSMUSG00000077088	0	0	0	0	0	0	0
ENSMUSG00000065564	871647	1876915	219650	430852	11919	1892	2325
ENSMUSG00000077996	49	3	30	36	24	32	25
ENSMUSG00000080334	0	0	0	0	0	0	0
ENSMUSG00000088277	0	0	0	0	0	0	0
ENSMUSG00000088116	0	0	0	0	0	0	0
ENSMUSG00000080490	1	1	0	0	5	0	0
ENSMUSG00000076122	180	141	493	1460	126	4036	2108
ENSMUSG00000080659	0	0	0	0	0	0	0
ENSMUSG00000077841	0	0	0	0	0	0	0
ENSMUSG00000070100	114	15	22	117	11	380	117
ENSMUSG00000076064	0	0	0	0	0	0	1
ENSMUSG00000076017	0	0	0	0	0	0	0
ENSMUSG00000076006	4390	71	143	10	2	8469	2508
ENSMUSG00000076052	123213	29677	5557	471	172	202301	80462
ENSMUSG00000080505	0	0	0	0	0	0	0
ENSMUSG00000089260	87	1	45	12	14	4	3
ENSMUSG00000088552	5	1	0	0	1	2	1
ENSMUSG00000088962	1	4	0	0	0	3	41
ENSMUSG00000076944	0	0	0	0	0	0	0
ENSMUSG00000080366	0	0	0	0	0	0	0
ENSMUSG00000088142	0	0	0	0	0	6	15
ENSMUSG00000077981	15	17	2	0	11	140	348
ENSMUSG00000087953	0	0	0	0	0	0	0
ENSMUSG00000065607	292	504	63	89	6	138	107
ENSMUSG00000076021	0	0	0	0	0	0	0
ENSMUSG00000088315	0	0	0	0	0	0	0
ENSMUSG00000065477	12620	921	640	84	255	240557	70801
ENSMUSG00000077111	1	0	0	33	0	1	5
ENSMUSG00000089160	0	1	0	0	0	1	2
ENSMUSG00000065543	15677	15672	666	418	22	6365	1696
ENSMUSG00000065567	2910	4930	2465	6329	209	902	410
ENSMUSG00000065501	4620	159	445	257	22	39987	8523
ENSMUSG00000080420	0	0	0	0	0	0	0
ENSMUSG00000065416	19	1	25	62	266	1308	1260
ENSMUSG00000070084	3573	56267	50102	242	45	92690	91281
ENSMUSG00000065555	75	89	44	43	4	80	129
ENSMUSG00000087900	0	0	0	0	0	0	0
ENSMUSG00000065480	0	9	7	0	0	0	0
ENSMUSG00000077938	0	0	0	0	0	0	0
ENSMUSG00000080453	1	0	0	0	0	1	2
ENSMUSG00000089139	25	81	27	41	0	88	43
ENSMUSG00000076405	0	0	0	0	0	0	0
ENSMUSG00000065590	3739	1086	126	25	3	417	124
ENSMUSG00000089214	11	4	1	3	0	7	3
ENSMUSG00000077979	0	0	0	0	0	0	0
ENSMUSG00000065411	1508	846	1160	1657	714	1094	615
ENSMUSG00000088723	0	0	1	0	0	2	27
ENSMUSG00000065410	71	229	4	0	97	73044	110925
ENSMUSG00000088606	2	0	0	1	0	0	2
ENSMUSG00000076282	0	0	0	0	0	0	8
ENSMUSG00000070101	5099	609	132	5	2	12879	8857
ENSMUSG00000080635	0	0	0	0	0	0	0
ENSMUSG00000080436	0	0	0	0	0	0	0
ENSMUSG00000089012	2	3	0	4	0	2	0
ENSMUSG00000088927	0	0	0	0	0	0	0
ENSMUSG00000088901	220	398	327	112	0	101	67
ENSMUSG00000089347	2237	2742	1932	449	286	1217	5564
ENSMUSG00000077846	1	0	0	0	0	0	0
ENSMUSG00000089165	0	0	0	1	1	0	13
ENSMUSG00000080397	0	0	0	0	0	0	0
ENSMUSG00000080621	3	5	3	2	93	18	34
ENSMUSG00000080406	153	208	1	0	0	13	9
ENSMUSG00000087844	1	3	2	1	0	0	1
ENSMUSG00000078020	0	0	0	0	0	0	0
ENSMUSG00000065597	7	1	1	0	0	0	0
ENSMUSG00000077851	2	0	0	0	0	0	0
ENSMUSG00000065458	424	11	37	79	2	8	8
ENSMUSG00000065425	323	191	8	0	0	1	0
ENSMUSG00000065440	181060	36141	54018	103117	7996	44579	16635
ENSMUSG00000088642	137	101	174	57	26	269	1704
ENSMUSG00000080650	0	0	0	0	0	0	0
ENSMUSG00000076269	375	26	295	751	37	829	358
ENSMUSG00000080670	0	0	0	0	0	0	0
ENSMUSG00000080514	0	1	0	1	4	0	0
ENSMUSG00000070128	818	1368	24	1	3	2099	777
ENSMUSG00000080483	0	0	0	0	0	0	0
ENSMUSG00000076023	0	0	0	0	0	0	0
ENSMUSG00000089110	0	0	0	0	0	0	0
ENSMUSG00000065507	949	12830	79	48	22	77	7
ENSMUSG00000080363	0	0	0	0	0	0	0
ENSMUSG00000065606	12011	1837	5436	11919	3018	117838	74132
ENSMUSG00000089604	0	0	0	0	0	0	0
ENSMUSG00000076050	42	4	106	214	10	80851	34796
ENSMUSG00000065563	45	42	11	30	9	292	109
ENSMUSG00000065538	4992	7	56	1	2	39	1
ENSMUSG00000088396	0	0	0	0	0	0	1
ENSMUSG00000065500	652	2117	16708	424180	18708	357044	289378
ENSMUSG00000077991	2	0	0	2	20	109	142
ENSMUSG00000088559	10506	12092	607	3774	1969	1799	547
ENSMUSG00000089219	1	2	0	0	0	0	0
ENSMUSG00000080388	0	0	0	0	0	0	0
ENSMUSG00000080535	1	0	2	1	8	14	64
ENSMUSG00000077071	0	0	0	0	0	0	0
ENSMUSG00000087931	1	7	2	1	1	11	11
ENSMUSG00000065453	92607	66610	26879	24906	3721	64838	15717
ENSMUSG00000065527	16175	6364	11257	23316	3187	28364	12506
ENSMUSG00000087865	0	0	1	0	1	0	5
ENSMUSG00000080590	0	0	0	0	0	0	0
ENSMUSG00000087952	0	0	0	0	1	0	0
ENSMUSG00000088034	0	0	0	0	0	0	0
ENSMUSG00000088289	0	0	0	0	0	0	0
ENSMUSG00000065438	791	45	15	1	0	2106	490
ENSMUSG00000080526	0	0	1	0	0	1	1
ENSMUSG00000076976	44	1	6	5	9	95	189
ENSMUSG00000080519	0	0	0	0	0	0	0
ENSMUSG00000077812	0	0	0	0	0	0	0
ENSMUSG00000065573	128	47	20	19	29	286	120
ENSMUSG00000088788	0	0	0	0	0	0	0
ENSMUSG00000065483	15208	8436	4106	3075	146	6584	1304
ENSMUSG00000080390	0	0	0	0	0	0	0
ENSMUSG00000076387	3891	608	420	1203	17	391	358
ENSMUSG00000088676	0	0	0	0	0	0	0
ENSMUSG00000065549	23220	22	820	58912	160	3931	1248
ENSMUSG00000065476	4409	997	2184	3787	207	10907	2607
ENSMUSG00000084471	0	0	0	0	0	1	1
ENSMUSG00000065557	4837	5106	1107	2093	132	36	26
ENSMUSG00000088592	1	2	0	0	0	7	3
ENSMUSG00000088215	0	0	0	0	0	0	0
ENSMUSG00000080349	0	0	1	0	0	0	0
ENSMUSG00000088174	8	37	17	39	3	107	264
ENSMUSG00000088491	1	0	0	3	1	1	1
ENSMUSG00000077852	0	0	0	0	0	0	0
ENSMUSG00000089492	1	0	2	1	1	4	38
ENSMUSG00000065405	680237	84077	569037	1603368	12947	192356	80980
ENSMUSG00000070108	395	255	53	239	27	319	63
ENSMUSG00000065441	5658	6187	198	0	1	9	5
ENSMUSG00000065582	283	409	97	6023	30	167	43
ENSMUSG00000065481	57	108	2	3	0	1	1
ENSMUSG00000076048	261	1228	376	275	37	1020	990
ENSMUSG00000076028	0	2	0	1	2	73	56
ENSMUSG00000070126	3	1	63	69	10	86	23
ENSMUSG00000065449	23	39	13	10	13	7	1
ENSMUSG00000077864	0	0	0	0	0	0	0
ENSMUSG00000080597	0	0	0	0	0	0	0
ENSMUSG00000065469	260	1056	14	6	0	2	0
ENSMUSG00000065395	70	67	25	878	6	2988	737
ENSMUSG00000080642	1	2	1	0	31	5	0
ENSMUSG00000077038	26	23	0	7	4	995	632
ENSMUSG00000065497	6728	2977	251	3	5	195776	68831
ENSMUSG00000088765	0	0	0	0	0	0	0
ENSMUSG00000080398	0	0	0	0	0	0	0
ENSMUSG00000087840	0	0	0	0	0	0	0
ENSMUSG00000065498	208477	15948	4508	1666	1465	2622	1225
ENSMUSG00000087757	0	0	0	0	0	0	0
ENSMUSG00000088607	0	0	0	3	1	0	0
ENSMUSG00000065509	109	29	15	58	1	7613	3500
ENSMUSG00000076286	783	1033	36	92	71	617	266
ENSMUSG00000088795	0	0	0	0	0	0	0
ENSMUSG00000076335	29	6	0	3	6	1	1
ENSMUSG00000080374	1	0	0	0	0	2	5
ENSMUSG00000076300	0	0	0	0	0	0	1
ENSMUSG00000080572	0	0	0	0	0	0	0
ENSMUSG00000088381	0	0	0	0	0	0	0
ENSMUSG00000080411	12	4	1	0	0	388	183
ENSMUSG00000088801	0	0	0	0	0	0	0
ENSMUSG00000089196	0	0	0	0	0	0	0
ENSMUSG00000077087	0	0	0	0	0	0	0
ENSMUSG00000077829	1	0	0	0	0	0	0
ENSMUSG00000088272	18	80	59	12	1	217	1383
ENSMUSG00000087918	0	0	0	0	0	0	0
ENSMUSG00000070099	0	0	0	0	0	89	280
ENSMUSG00000077834	0	0	0	0	0	1	1
ENSMUSG00000076020	0	0	0	0	0	0	0
ENSMUSG00000065448	437	73	12	0	0	1083	374
ENSMUSG00000080584	0	0	0	0	0	0	0
ENSMUSG00000088771	0	0	0	0	0	0	0
ENSMUSG00000077025	707	53	15	6	0	446	289
ENSMUSG00000080475	0	0	0	0	0	1	0
ENSMUSG00000077858	2	0	0	0	0	0	0
ENSMUSG00000065419	22484	9611	757	22	10	39600	16203
ENSMUSG00000065457	67455	40457	2050	630	5	4	0
ENSMUSG00000077056	0	0	0	0	0	0	0
ENSMUSG00000080356	32	61	20	79	10	164	189
ENSMUSG00000065562	153	5	1962	123	18	41198	745
ENSMUSG00000088140	0	1	0	1	0	1	5
ENSMUSG00000065541	708	47	1907	1445	7	2566	586
ENSMUSG00000065454	20	34	2	2	7	8	7
ENSMUSG00000089283	0	0	0	0	0	0	0
ENSMUSG00000088729	0	0	0	0	0	5	6
ENSMUSG00000080620	0	0	0	0	0	1	0
ENSMUSG00000088080	0	0	0	0	0	0	0
ENSMUSG00000078021	0	0	0	0	0	0	0
ENSMUSG00000089579	2	2	0	0	1	19	12
ENSMUSG00000077420	0	0	0	0	1	0	0
ENSMUSG00000089435	5	7	2	5	1	12	6
ENSMUSG00000065474	8537	0	320	9673	82	83980	2848
ENSMUSG00000080445	1	0	0	0	0	0	0
ENSMUSG00000078057	1967	558	54	1	0	13	10
ENSMUSG00000080338	0	0	0	0	0	0	0
ENSMUSG00000077813	0	0	0	0	0	0	0
ENSMUSG00000089104	0	0	0	0	0	0	0
ENSMUSG00000088424	0	0	0	0	0	0	0
ENSMUSG00000088455	1	0	0	0	1	58	198
ENSMUSG00000076460	33112	103220	4050	3976	580	20343	9959
ENSMUSG00000076364	0	0	0	1	13	1	0
ENSMUSG00000066080	0	0	0	0	0	0	2
ENSMUSG00000080407	0	0	0	0	0	0	0
ENSMUSG00000077853	0	0	0	0	0	0	0
ENSMUSG00000077990	3	1	0	0	0	0	0
ENSMUSG00000065619	143550	4731	4443	9153	386	237517	226169
ENSMUSG00000080383	0	0	0	0	0	0	0
ENSMUSG00000065473	0	0	0	0	0	39	31
ENSMUSG00000065546	0	0	1	834	3	10	20
ENSMUSG00000088847	3	1	1	2	2	4	6
ENSMUSG00000077921	36494	1179	5513	18989	2667	6625	1652
ENSMUSG00000078065	0	1	0	1	3	1	1
ENSMUSG00000065464	12138	5399	1697	9547	107	77	47
ENSMUSG00000088815	0	0	0	0	0	0	0
ENSMUSG00000088641	0	0	0	0	4	0	1
ENSMUSG00000076141	3	0	0	0	0	3	4
ENSMUSG00000080626	1	0	1	0	0	0	1
ENSMUSG00000065475	71187	10572	43508	91363	696	318905	67142
ENSMUSG00000065418	969	16	4414	4541	232	522561	199377
ENSMUSG00000088973	0	0	0	0	0	0	0
ENSMUSG00000080516	0	0	0	0	0	0	0
ENSMUSG00000077936	0	0	0	0	0	0	0
ENSMUSG00000070071	1	0	1	0	3626	23	3
ENSMUSG00000065515	5781	437	13933	17723	778	4544	4136
ENSMUSG00000087749	0	0	0	0	1	0	1
ENSMUSG00000065526	1062	326	35	6	3	9357	2188
ENSMUSG00000065510	1702	2244	309	420	14	3394	1193
ENSMUSG00000076966	0	0	0	0	0	6	4
ENSMUSG00000076309	1	0	4	3	26	1061	992
ENSMUSG00000077954	1	0	0	0	0	0	0
ENSMUSG00000065490	43	109	90	203	4	614	564
ENSMUSG00000076316	490	687	27	5	0	9816	4390
ENSMUSG00000065394	1955	1407	2901	3568	1735	28414	16890
ENSMUSG00000087928	0	0	0	0	0	0	0
ENSMUSG00000089122	0	2	1	2	9	2	6
