Brain	Cerebellum	Heart	Kidney	Placenta	Testis
ENSMUSG00000077893	0	0	0	0	0	0
ENSMUSG00000080400	0	0	0	0	0	0
ENSMUSG00000065495	88	1051	147	12	81	2
ENSMUSG00000070144	0	0	25	0	0	0
ENSMUSG00000089433	1	5	0	0	193	3
ENSMUSG00000065586	1215	3	45	42	823	7
ENSMUSG00000065536	1145	71	214	301	1283	197
ENSMUSG00000088886	0	0	0	0	0	0
ENSMUSG00000088117	0	0	1	0	0	0
ENSMUSG00000076458	5	4	0	0	0	0
ENSMUSG00000065488	0	2	0	1174	72	7
ENSMUSG00000089213	13	59	25	6	927	21
ENSMUSG00000077941	2	3	0	0	193	0
ENSMUSG00000065617	162	449	5	0	215	1
ENSMUSG00000065535	36337	23049	734013	104919	16315	8459
ENSMUSG00000065491	866	45	11	0	0	5
ENSMUSG00000076323	0	0	0	0	0	0
ENSMUSG00000088619	1	1	0	0	55	3
ENSMUSG00000076361	44614	1033	1111	2602	307972	959
ENSMUSG00000089371	0	0	1	0	0	0
ENSMUSG00000089200	1	0	0	0	18	1
ENSMUSG00000065442	341	20	337	948	672	1505
ENSMUSG00000080654	0	0	0	0	23	2
ENSMUSG00000088287	0	0	0	0	0	0
ENSMUSG00000070109	112	202	74	99	171	100
ENSMUSG00000065404	1	0	5	0	1	209
ENSMUSG00000070106	3	4	11	51	5	2
ENSMUSG00000076044	0	0	0	0	0	0
ENSMUSG00000089570	0	0	0	0	0	0
ENSMUSG00000070074	33	273	14	30	508	6
ENSMUSG00000065478	710	371	18	2	6285	16
ENSMUSG00000088805	0	0	0	0	0	0
ENSMUSG00000065460	0	0	4	0	0	0
ENSMUSG00000076252	2	0	0	0	13	0
ENSMUSG00000080401	0	0	0	0	0	0
ENSMUSG00000087788	0	0	0	0	0	0
ENSMUSG00000065600	4454	4866	320	53	58	7
ENSMUSG00000065456	1	3	1	39	1	0
ENSMUSG00000088141	0	0	0	0	0	0
ENSMUSG00000076366	0	0	0	0	0	0
ENSMUSG00000076219	95	25	3	0	282	0
ENSMUSG00000065575	15	0	0	2	7	1199
ENSMUSG00000080418	0	0	0	0	0	0
ENSMUSG00000076291	0	5	7	3	222	6
ENSMUSG00000077104	0	0	0	0	0	0
ENSMUSG00000088508	0	0	0	0	0	0
ENSMUSG00000089022	0	0	0	0	0	0
ENSMUSG00000065574	898	311	377	4686	1627	2309
ENSMUSG00000065529	2123	222	4090	3850	135885	1279
ENSMUSG00000080492	0	0	0	0	0	1
ENSMUSG00000087972	0	0	0	0	0	0
ENSMUSG00000089329	0	0	0	0	5	0
ENSMUSG00000076959	6	4	1	2	124	10
ENSMUSG00000089379	0	0	0	0	0	0
ENSMUSG00000088871	0	0	0	0	0	0
ENSMUSG00000088401	0	0	0	0	0	0
ENSMUSG00000065566	5928	854	213	11	4424	19
ENSMUSG00000088919	0	1	0	0	15	0
ENSMUSG00000065585	0	0	0	0	0	0
ENSMUSG00000089324	0	2	0	0	0	0
ENSMUSG00000077086	3	1	0	0	91	9
ENSMUSG00000089159	0	1	0	0	8	5
ENSMUSG00000076379	450	2	104	492	17	29
ENSMUSG00000065489	4	10	4	71	24	13
ENSMUSG00000089600	0	0	0	0	0	0
ENSMUSG00000070110	12	12	15	0	1	0
ENSMUSG00000080491	0	0	0	0	0	0
ENSMUSG00000087977	0	0	0	0	0	0
ENSMUSG00000080618	0	0	0	0	0	0
ENSMUSG00000088235	0	0	0	0	0	0
ENSMUSG00000089126	0	0	0	0	1	1
ENSMUSG00000065417	842	55	109	173	587	748
ENSMUSG00000080688	0	0	0	0	0	0
ENSMUSG00000065542	12	3	32	76	122	3
ENSMUSG00000080380	0	0	0	0	0	0
ENSMUSG00000076313	6	0	0	0	142	0
ENSMUSG00000089424	0	0	0	0	0	0
ENSMUSG00000077964	0	0	0	0	0	0
ENSMUSG00000089010	0	0	0	0	0	0
ENSMUSG00000065465	361	3	27	163	41	6
ENSMUSG00000076251	114	281	16	64	147	40
ENSMUSG00000080665	2	8	7	1	26	0
ENSMUSG00000088664	0	0	0	0	0	0
ENSMUSG00000088274	0	0	0	0	0	0
ENSMUSG00000065516	2	0	19	12	254	41
ENSMUSG00000080372	0	0	0	0	0	0
ENSMUSG00000087824	0	0	0	0	9	0
ENSMUSG00000077876	0	0	0	0	0	0
ENSMUSG00000080522	0	0	0	0	0	0
ENSMUSG00000076442	1559	201	27178	12394	1161	1965
ENSMUSG00000065608	1116	1496	566	574	2	159
ENSMUSG00000065436	998	1904	137	58	221	97
ENSMUSG00000065492	59	58	4	6	10	1101
ENSMUSG00000080510	0	0	0	0	0	0
ENSMUSG00000076123	48	181	9	12	4	4
ENSMUSG00000076272	273	236	9	0	1295	0
ENSMUSG00000080580	0	0	0	0	0	0
ENSMUSG00000087934	0	0	0	0	0	0
ENSMUSG00000076360	0	0	0	0	0	21
ENSMUSG00000065618	9028	9744	932	1168	1852	1896
ENSMUSG00000065565	806	263	131	94	94	32
ENSMUSG00000076288	48	3	1	0	142	7
ENSMUSG00000065397	17	3	126	40	119	5
ENSMUSG00000076160	0	0	0	0	0	0
ENSMUSG00000065487	17	4	3	7	2	0
ENSMUSG00000080347	1	0	0	0	0	0
ENSMUSG00000077054	0	0	0	0	0	0
ENSMUSG00000065587	31330	1783	937	1476	369	823667
ENSMUSG00000077837	0	0	0	0	0	0
ENSMUSG00000076948	6	1	1	1	744	55
ENSMUSG00000080481	0	0	0	0	0	0
ENSMUSG00000077113	0	0	0	0	12	0
ENSMUSG00000077971	1	0	0	0	0	0
ENSMUSG00000080655	0	0	0	0	0	0
ENSMUSG00000080439	0	0	0	0	0	0
ENSMUSG00000088561	0	0	0	0	0	0
ENSMUSG00000089557	0	0	0	0	0	0
ENSMUSG00000080653	0	0	0	0	14	0
ENSMUSG00000065548	2415	56	865	723	290	70
ENSMUSG00000065581	0	0	2	4	90	0
ENSMUSG00000065596	613	65	26	38	21	43819
ENSMUSG00000089249	0	0	0	0	0	0
ENSMUSG00000087993	0	7	0	0	1	0
ENSMUSG00000080564	0	0	0	0	0	0
ENSMUSG00000089020	0	0	0	0	0	0
ENSMUSG00000076140	79	1	180	293	3595	120
ENSMUSG00000080557	0	0	0	0	0	0
ENSMUSG00000065403	18	2	10	32	127	121
ENSMUSG00000089042	0	0	0	0	0	0
ENSMUSG00000088639	1	1	0	1	1	0
ENSMUSG00000089592	0	0	0	0	0	9
ENSMUSG00000088466	0	0	0	0	0	0
ENSMUSG00000065420	585	3	282	801	3709	305
ENSMUSG00000065462	4372	38	204	4582	247	148
ENSMUSG00000070075	106	89	61	0	14	0
ENSMUSG00000087803	0	0	0	0	1	0
ENSMUSG00000077898	0	0	0	0	0	0
ENSMUSG00000089140	6	8	3	1	0	5
ENSMUSG00000089238	0	0	0	0	0	0
ENSMUSG00000078014	0	0	0	0	0	0
ENSMUSG00000065426	2451	3105	149	7	768	47
ENSMUSG00000080603	0	0	0	0	0	0
ENSMUSG00000088248	8	3	0	0	0	8
ENSMUSG00000065455	26722	485	15913	80082	33110	10683
ENSMUSG00000080679	0	0	0	0	0	0
ENSMUSG00000077136	0	0	0	0	0	0
ENSMUSG00000065530	6289	2683	4086	3112	79	977
ENSMUSG00000078031	31	77	3	2	95	112
ENSMUSG00000088507	0	0	0	0	0	0
ENSMUSG00000087725	0	0	0	0	0	0
ENSMUSG00000077966	0	0	0	0	0	0
ENSMUSG00000076988	0	0	0	0	0	0
ENSMUSG00000065396	29489	135589	16729	18536	5476	3816
ENSMUSG00000076354	0	0	0	0	0	0
ENSMUSG00000088206	0	0	0	0	0	0
ENSMUSG00000065433	3708	1230	99	2	216	2
ENSMUSG00000080354	0	0	0	0	0	0
ENSMUSG00000078055	0	0	0	0	0	0
ENSMUSG00000076005	0	1	7	0	0	291
ENSMUSG00000077021	24	54	4	3	2368	152
ENSMUSG00000080682	0	0	0	0	0	0
ENSMUSG00000080561	0	0	0	0	0	0
ENSMUSG00000076041	9	9	4	192	1	1
ENSMUSG00000065528	384	2697	226	185	1181	146
ENSMUSG00000076014	0	0	0	0	0	0
ENSMUSG00000089478	0	0	0	0	1	0
ENSMUSG00000065513	2	0	0	1	4	0
ENSMUSG00000065537	8623	4932	377	56	69	16
ENSMUSG00000077088	0	0	0	0	0	0
ENSMUSG00000065564	156743	360501	39220	57567	351	11729
ENSMUSG00000077996	6	0	4	5	3	25
ENSMUSG00000080334	0	0	0	0	0	0
ENSMUSG00000088277	0	0	0	0	0	0
ENSMUSG00000088116	0	0	0	0	0	0
ENSMUSG00000080490	0	0	0	0	0	6
ENSMUSG00000076122	33	24	86	208	530	121
ENSMUSG00000080659	0	0	0	0	0	0
ENSMUSG00000077841	0	0	0	0	0	0
ENSMUSG00000070100	18	3	2	16	37	7
ENSMUSG00000076064	0	0	0	0	0	0
ENSMUSG00000076017	0	0	0	0	0	0
ENSMUSG00000076006	771	18	27	1	930	1
ENSMUSG00000076052	22240	5641	977	67	24114	180
ENSMUSG00000080505	0	0	0	0	0	0
ENSMUSG00000089260	13	0	8	2	0	13
ENSMUSG00000088552	1	0	0	0	0	0
ENSMUSG00000088962	0	1	0	0	2	0
ENSMUSG00000076944	0	0	0	0	0	0
ENSMUSG00000080366	0	0	0	0	0	0
ENSMUSG00000088142	0	0	0	0	2	0
ENSMUSG00000077981	1	5	0	0	57	12
