Brain_Indiv1	Cerebellum_Indiv1	Heart_Indiv1	Kidney_Indiv1	Testis_Indiv1
ENSMODG00000026866	0	0	0	0	0
ENSMODG00000026291	1	0	0	0	48
ENSMODG00000022365	510	151	17	43	1909
ENSMODG00000026796	0	0	0	0	0
ENSMODG00000026681	10	10	0	0	2
ENSMODG00000025866	1680	4	194	24254	11
ENSMODG00000026411	0	0	0	0	0
ENSMODG00000026277	1	0	2	1	21
ENSMODG00000022411	1864	30	113	122	45
ENSMODG00000025888	2184	14454	910	1332	67
ENSMODG00000026452	146	3	2	7227	2
ENSMODG00000026428	6	112	4	0	0
ENSMODG00000026836	0	1	0	0	1
ENSMODG00000025828	2967	111	377	395	76
ENSMODG00000025918	101164	27288	175236	395066	24299
ENSMODG00000026271	0	0	0	0	0
ENSMODG00000026398	1	0	0	0	0
ENSMODG00000026373	3613	47855	1539	13536	1905
ENSMODG00000025945	2	0	1	0	0
ENSMODG00000026430	0	0	0	0	0
ENSMODG00000026446	347	936	357	313	152
ENSMODG00000022425	4033	1290	2388	4455	3017
ENSMODG00000026665	0	0	0	0	0
ENSMODG00000025923	415	1335	1710	1924	171
ENSMODG00000022444	1009	673	3242	1335	882
ENSMODG00000027299	0	0	0	0	0
ENSMODG00000022429	4638	6093	7545	6839	2013
ENSMODG00000022479	639	22	90	84	15
ENSMODG00000022414	73	52	130	707	37
ENSMODG00000027084	0	0	0	0	0
ENSMODG00000026441	0	0	0	0	0
ENSMODG00000025952	797	0	6	2953	2
ENSMODG00000026845	0	0	0	0	0
ENSMODG00000026257	0	0	0	0	0
ENSMODG00000025909	1	0	239	1	0
ENSMODG00000026772	0	0	4	0	28
ENSMODG00000027068	1001	28	474	444	5181
ENSMODG00000025842	149	61	73	973	113
ENSMODG00000023005	1229	20523	86	130	322
ENSMODG00000025812	0	0	0	0	0
ENSMODG00000022390	707	17303	50	72	61
ENSMODG00000025852	0	0	0	0	0
ENSMODG00000022436	411	2215	14	0	1
ENSMODG00000025843	0	0	0	0	0
ENSMODG00000026295	0	0	0	0	0
ENSMODG00000025839	14	2	221	70	3021
ENSMODG00000022399	534	40	5	20	6
ENSMODG00000025896	2328	964	44	27	204
ENSMODG00000022426	1761	188	219	145	408
ENSMODG00000022467	116	171	2854	435746	27884
ENSMODG00000026228	12	2	14	20	319
ENSMODG00000026417	0	0	0	0	0
ENSMODG00000025835	64	1	3	3	2
ENSMODG00000025937	2905	296	1557	437	47
ENSMODG00000025992	601	501	558	924	86
ENSMODG00000025882	2654	150	10440	12904	793
ENSMODG00000025873	3624	1048	20	24	1196
ENSMODG00000026943	0	0	0	0	0
ENSMODG00000026396	0	0	1	0	0
ENSMODG00000027273	371	87	100	137	64
ENSMODG00000025892	6286	308	9784	14660	2654
ENSMODG00000025809	1	6	2	0	0
ENSMODG00000027117	2	3	6	2	8
ENSMODG00000026424	496	13	1	0	0
ENSMODG00000025872	6692	23382	6455	2731	366
ENSMODG00000026326	1137	24	0	0	0
ENSMODG00000022461	3142	16	46	932	13
ENSMODG00000025885	15602	75	47294	7264	495
ENSMODG00000026748	0	0	0	0	0
ENSMODG00000022374	3	0	0	0	0
ENSMODG00000026340	0	0	0	0	0
ENSMODG00000025905	480	93652	35	209	313
ENSMODG00000026783	0	0	0	0	0
ENSMODG00000025949	4	0	0	0	1
ENSMODG00000025889	7	0	0	0	3
ENSMODG00000022455	7	0	0	0	0
ENSMODG00000025857	30469	3244	14546	27049	4249
ENSMODG00000025792	0	0	11	0	1
ENSMODG00000022420	2	0	1219	1	0
ENSMODG00000025838	11	0	0	0	0
ENSMODG00000025877	81	12	37	26	21
ENSMODG00000026361	0	0	0	0	0
ENSMODG00000022440	113	4	125	81	6
ENSMODG00000026359	3046	10585	108	50	96
ENSMODG00000026232	3	0	0	0	0
ENSMODG00000025898	0	0	0	0	0
ENSMODG00000026372	1307	2767	4089	1072	1452
ENSMODG00000025870	264919	164170	202561	1930006	90487
ENSMODG00000026190	3	0	992	2	1
ENSMODG00000026381	1	3	0	0	0
ENSMODG00000026337	0	0	0	0	1
ENSMODG00000026293	1	0	0	0	0
ENSMODG00000022472	74660	690	428492	188176	9208
ENSMODG00000026432	0	0	0	0	0
ENSMODG00000027280	0	0	0	0	0
ENSMODG00000026324	0	0	0	0	0
ENSMODG00000026182	2	1	0	0	0
ENSMODG00000026426	23527	10	109	160	241
ENSMODG00000026384	0	0	0	0	0
ENSMODG00000026353	0	0	0	0	0
ENSMODG00000026513	2323	1	0	4	7
ENSMODG00000022395	51155	3	315	3	1
ENSMODG00000026300	0	0	0	0	0
ENSMODG00000025824	16811	643	286	70	141
ENSMODG00000025800	1403	611	465	420	328
ENSMODG00000025881	2184	21	372	237	147
ENSMODG00000026198	0	0	0	0	0
ENSMODG00000025798	0	3	1	0	1
ENSMODG00000022383	1933	5	103	104	58
ENSMODG00000025938	255	6	0	0	0
ENSMODG00000026415	0	0	0	0	0
ENSMODG00000025891	41	10	84	153	51
ENSMODG00000026890	0	0	0	1	0
ENSMODG00000022465	50	306	0	0	0
ENSMODG00000025805	3	3	7	7	3
ENSMODG00000026256	0	0	0	0	0
ENSMODG00000026397	1	0	0	0	0
ENSMODG00000026843	0	0	0	0	0
ENSMODG00000022373	2	0	0	1	0
ENSMODG00000022380	895	0	46	12	0
ENSMODG00000027165	9	41	46	4	25
ENSMODG00000026393	46	367	72	9	15
ENSMODG00000026304	1289	4240	0	1	0
ENSMODG00000022458	16560	79	55	453	29419
ENSMODG00000025863	0	0	0	0	0
ENSMODG00000027153	0	0	0	0	0
ENSMODG00000025902	67597	1435690	59690	336568	20207
ENSMODG00000026327	0	0	0	0	0
ENSMODG00000025959	569	423	219	129	60
ENSMODG00000025910	407	42	77	89	21
ENSMODG00000026341	9	10	1	8	2
ENSMODG00000025827	6074	723	118	192	4
ENSMODG00000025794	500	9	0	0	0
ENSMODG00000027077	0	0	0	0	0
ENSMODG00000026215	0	0	0	0	0
ENSMODG00000025853	819	3819	996	1311	889
ENSMODG00000025871	387	457	47	118	71
ENSMODG00000025867	14290	16996	11268	20923	4214
ENSMODG00000027131	1	1	0	0	0
ENSMODG00000026951	0	0	0	0	0
ENSMODG00000022366	445	2	102	186	43
ENSMODG00000025876	19	0	34	22	24
ENSMODG00000022387	99	24	3	13	3
ENSMODG00000022403	43	0	1	4	32
ENSMODG00000022975	1	0	4	0	0
ENSMODG00000027257	2	2	0	0	0
ENSMODG00000022412	156	110	139	74	52
ENSMODG00000025884	7970	54	25152	8125	385
ENSMODG00000026219	0	0	0	0	0
ENSMODG00000026814	294	0	16954	33	33
ENSMODG00000027290	0	0	0	0	0
ENSMODG00000025915	0	0	0	0	0
ENSMODG00000026279	3	5	3	0	1
ENSMODG00000025849	22	60	5	11	74
ENSMODG00000025802	0	0	0	0	0
ENSMODG00000025929	43	1	2	7	2
ENSMODG00000025911	3170	1460	957	698	443
ENSMODG00000022442	26	0	5	1	4
