Brain	Cerebellum	Heart	Kidney	Testis
ENSMODG00000026866	0	0	0	0	0
ENSMODG00000026291	1	0	0	0	47
ENSMODG00000022365	297	60	9	6	1903
ENSMODG00000026796	0	0	0	0	0
ENSMODG00000026681	6	7	0	0	2
ENSMODG00000025866	1023	3	124	5207	20
ENSMODG00000026411	0	0	0	0	0
ENSMODG00000026277	1	0	1	0	13
ENSMODG00000022411	1156	10	82	41	37
ENSMODG00000025888	1416	5072	654	296	49
ENSMODG00000026452	100	2	0	1556	2
ENSMODG00000026428	3	44	3	0	0
ENSMODG00000026836	0	0	0	0	2
ENSMODG00000025828	1890	45	237	88	81
ENSMODG00000025918	63151	9244	123110	83965	24182
ENSMODG00000026271	0	0	0	0	0
ENSMODG00000026398	1	0	0	0	0
ENSMODG00000026373	2167	16176	1127	2863	1961
ENSMODG00000025945	1	0	0	0	0
ENSMODG00000026430	0	0	0	0	0
ENSMODG00000026446	211	315	243	62	138
ENSMODG00000022425	2529	418	1671	959	2944
ENSMODG00000026665	0	0	0	0	0
ENSMODG00000025923	238	442	1178	394	158
ENSMODG00000022444	608	226	2355	296	908
ENSMODG00000027299	0	0	0	0	0
ENSMODG00000022429	2892	2173	5312	1459	1970
ENSMODG00000022479	426	5	78	17	21
ENSMODG00000022414	40	20	90	148	34
ENSMODG00000027084	0	0	0	0	0
ENSMODG00000026441	0	0	0	0	0
ENSMODG00000025952	470	0	1	675	2
ENSMODG00000026845	0	0	0	0	0
ENSMODG00000026257	0	0	0	0	0
ENSMODG00000025909	0	0	159	1	0
ENSMODG00000026772	0	0	1	0	26
ENSMODG00000027068	650	9	343	109	5189
ENSMODG00000025842	85	22	48	206	115
ENSMODG00000023005	781	7082	63	23	334
ENSMODG00000025812	0	0	0	0	0
ENSMODG00000022390	436	5868	30	14	60
ENSMODG00000025852	0	0	0	0	0
ENSMODG00000022436	244	760	12	0	3
ENSMODG00000025843	0	0	0	0	0
ENSMODG00000026295	0	0	0	0	0
ENSMODG00000025839	10	2	164	18	2931
ENSMODG00000022399	328	18	2	5	2
ENSMODG00000025896	1412	365	20	3	199
ENSMODG00000022426	1033	59	165	22	382
ENSMODG00000022467	74	41	1907	92446	27732
ENSMODG00000026228	9	1	18	5	311
ENSMODG00000026417	0	0	0	0	0
ENSMODG00000025835	44	0	1	1	2
ENSMODG00000025937	1808	103	1100	82	40
ENSMODG00000025992	373	181	370	187	92
ENSMODG00000025882	1721	49	7355	2751	809
ENSMODG00000025873	2252	347	20	5	1199
ENSMODG00000026943	0	0	0	0	0
ENSMODG00000026396	0	0	1	0	0
ENSMODG00000027273	226	31	77	34	77
ENSMODG00000025892	4032	98	6998	3126	2709
ENSMODG00000025809	1	1	0	0	0
ENSMODG00000027117	0	3	1	0	7
ENSMODG00000026424	280	9	0	0	0
ENSMODG00000025872	4148	7829	4576	599	390
ENSMODG00000026326	657	12	0	0	0
ENSMODG00000022461	1974	7	38	210	11
ENSMODG00000025885	9650	27	33604	1582	512
ENSMODG00000026748	0	0	0	0	0
ENSMODG00000022374	2	0	0	0	0
ENSMODG00000026340	0	0	0	0	0
ENSMODG00000025905	272	31766	24	47	328
ENSMODG00000026783	0	0	0	0	0
ENSMODG00000025949	1	0	0	0	1
ENSMODG00000025889	2	0	0	0	1
ENSMODG00000022455	3	0	0	0	0
ENSMODG00000025857	18948	1097	10367	5777	4266
ENSMODG00000025792	0	0	9	0	1
