Brain_Indiv1	Cerebellum_Indiv1	Heart_Indiv1	Kidney_Indiv1	Testis_Indiv1
ENSOANG00000016473	290	335	331	484	17
ENSOANG00000016373	15	18	327	10	30
ENSOANG00000027910	0	0	0	0	0
ENSOANG00000028049	0	0	0	0	0
ENSOANG00000017082	0	0	0	0	0
ENSOANG00000016550	1	4	18	1	0
ENSOANG00000024722	1	0	0	0	0
ENSOANG00000016790	0	0	0	0	0
ENSOANG00000024796	2	2	0	0	144
ENSOANG00000026853	0	0	0	0	0
ENSOANG00000027246	0	0	0	0	0
ENSOANG00000016735	0	0	0	0	0
ENSOANG00000016417	0	0	4	0	0
ENSOANG00000025059	1	0	0	0	0
ENSOANG00000026457	7751	198	0	1	2
ENSOANG00000027183	0	0	0	0	0
ENSOANG00000016083	5657	1001	4	7	60
ENSOANG00000026289	0	0	0	0	0
ENSOANG00000022833	0	0	0	0	0
ENSOANG00000026165	1	5	1	3	0
ENSOANG00000024938	0	0	0	0	1
ENSOANG00000016172	20524	27827	1	50	0
ENSOANG00000026638	12	1	50	3	0
ENSOANG00000026430	1	0	0	8	0
ENSOANG00000017000	75607	69487	57446	143822	4991
ENSOANG00000025339	9	7	1	4673	4
ENSOANG00000024533	1	2	1	2	0
ENSOANG00000027919	0	0	0	0	0
ENSOANG00000016100	0	0	0	0	0
ENSOANG00000028163	0	0	0	0	0
ENSOANG00000022784	0	0	0	0	0
ENSOANG00000027399	0	0	0	0	0
ENSOANG00000022841	0	0	0	0	0
ENSOANG00000016993	0	0	1	0	0
ENSOANG00000017027	835514	1465413	159724	591709	6960
ENSOANG00000026667	2	2	2	2	0
ENSOANG00000016835	0	0	0	0	0
ENSOANG00000016269	0	0	0	0	0
ENSOANG00000026879	1	1	3	5	0
ENSOANG00000024696	83	39	2	3	0
ENSOANG00000017019	8	22	27	22423	4
ENSOANG00000028093	0	0	12	0	0
ENSOANG00000026859	0	0	0	0	0
ENSOANG00000024196	0	0	0	0	0
ENSOANG00000017022	4205	1165	0	0	0
ENSOANG00000024703	49	35	21	18	0
ENSOANG00000027332	0	0	0	0	0
ENSOANG00000028011	0	0	0	0	0
ENSOANG00000027002	0	0	0	0	0
ENSOANG00000016433	165	19908	2281	486347	2978
ENSOANG00000028173	0	0	0	0	0
ENSOANG00000017070	0	0	0	0	0
ENSOANG00000024442	2	0	2	11	1
ENSOANG00000025810	21	7	0	0	0
ENSOANG00000027487	0	0	0	0	0
ENSOANG00000017058	571	2283	738	1376	26
ENSOANG00000016608	21252	68339	49679	76015	23639
ENSOANG00000016294	59	147	21	28	2
ENSOANG00000016999	0	0	0	0	0
ENSOANG00000016151	3868	1544	865	619	56
ENSOANG00000016636	4	5	0	5	15
ENSOANG00000027262	0	0	0	0	0
ENSOANG00000024646	0	0	0	0	0
ENSOANG00000024622	357	51	1	0	0
ENSOANG00000028114	0	0	0	0	0
ENSOANG00000016770	864	666	9	29	8
ENSOANG00000024940	2	5	0	0	3478
ENSOANG00000016939	0	0	0	0	0
ENSOANG00000016769	42	19	137	72	15
ENSOANG00000024675	2	4	1	0	1
ENSOANG00000027613	0	0	0	0	0
ENSOANG00000027714	0	0	0	0	0
ENSOANG00000017064	0	0	0	0	0
ENSOANG00000027833	0	0	0	0	0
ENSOANG00000027626	0	0	0	0	0
ENSOANG00000027573	0	0	0	0	0
ENSOANG00000016984	0	0	0	0	0
ENSOANG00000027637	0	0	0	0	0
ENSOANG00000016970	2928	7024	2786	3730	233
ENSOANG00000026740	0	0	0	0	3
ENSOANG00000022834	0	0	0	0	0
ENSOANG00000017033	35714	52564	478	229	96
ENSOANG00000026779	3	12	11	52	0
ENSOANG00000027778	0	0	0	0	0
ENSOANG00000027761	0	0	0	0	0
ENSOANG00000027011	0	0	0	0	0
ENSOANG00000026978	0	0	0	0	0
ENSOANG00000027624	0	0	0	0	0
ENSOANG00000027716	0	0	0	0	0
ENSOANG00000026865	0	0	0	0	0
ENSOANG00000016343	7	56	21	67	8
ENSOANG00000016107	0	0	0	0	0
ENSOANG00000016727	0	0	0	0	0
ENSOANG00000016542	0	7	3	3	1
ENSOANG00000028054	0	0	0	0	0
ENSOANG00000026899	0	0	0	0	0
ENSOANG00000025803	0	0	4	4	16
ENSOANG00000024451	0	6	0	0	369
ENSOANG00000016604	13	270	38	30	1
ENSOANG00000025235	0	0	0	0	0
ENSOANG00000017026	0	2	0	2	0
ENSOANG00000016892	0	0	0	0	0
ENSOANG00000016424	25694	54	15	9	0
ENSOANG00000025837	339	681	0	0	0
ENSOANG00000016688	0	0	0	0	0
ENSOANG00000026374	0	0	0	0	0
ENSOANG00000016653	54865	11645	58	6515	107
ENSOANG00000027207	0	0	0	0	0
ENSOANG00000028076	0	0	0	0	0
ENSOANG00000027481	0	0	0	0	0
ENSOANG00000023366	0	0	0	0	0
ENSOANG00000016816	1	5	0	1	0
ENSOANG00000025210	1	6	17	1	33
ENSOANG00000027407	12	24	76	29	16
ENSOANG00000027082	0	0	0	0	0
ENSOANG00000016877	1423	3488	333	4000	230
ENSOANG00000026980	0	0	0	0	0
ENSOANG00000016183	118603	345780	26280	40069	1238
ENSOANG00000016120	115	390	143	1008	18
ENSOANG00000027212	0	0	0	0	0
ENSOANG00000017059	1139	1952	232	151	32
ENSOANG00000026992	0	0	0	0	0
ENSOANG00000016132	170	288	547	92	9
ENSOANG00000026480	283	20	16	7	2
ENSOANG00000017021	11762	6831	69	59	3
ENSOANG00000026122	1	1	0	0	21
ENSOANG00000024621	0	0	0	1	0
ENSOANG00000016837	0	0	0	0	0
ENSOANG00000027584	0	0	0	0	0
ENSOANG00000016985	151847	158428	50640	88351	10896
ENSOANG00000016671	0	2	0	1	0
ENSOANG00000026652	1	3	0	1	1
ENSOANG00000024999	5	30	2	0	19744
ENSOANG00000017013	2238	12940	3356	10320	914
ENSOANG00000027744	0	0	0	0	0
ENSOANG00000027785	0	0	0	0	0
ENSOANG00000027755	0	0	0	0	0
ENSOANG00000027206	0	0	0	0	0
ENSOANG00000026062	0	0	0	0	0
ENSOANG00000016834	80	21	2	12	1
ENSOANG00000025170	3	0	0	0	17
ENSOANG00000017042	805	21020	1161	441	72
ENSOANG00000016992	14186	6747	5887	13766	776
ENSOANG00000016133	226	850	389	899	18
ENSOANG00000017079	8366	10328	181	99291	389
ENSOANG00000027435	0	0	0	0	0
ENSOANG00000027724	0	0	0	0	0
ENSOANG00000027455	0	0	0	0	0
ENSOANG00000016236	0	0	0	0	0
ENSOANG00000027997	0	0	0	0	0
ENSOANG00000024827	5	20	6	5	2
ENSOANG00000016310	0	0	0	0	0
ENSOANG00000027630	0	0	0	0	0
ENSOANG00000025117	3	0	1	0	1611
ENSOANG00000027040	0	0	0	0	0
ENSOANG00000026302	370	320	97	423	1
ENSOANG00000028218	0	0	0	0	0
ENSOANG00000017072	4614	12857	339	6702	80
ENSOANG00000025355	0	0	0	0	0
ENSOANG00000024527	0	0	0	0	0
ENSOANG00000026164	61	1	7	5	0
ENSOANG00000026979	2	3	8	5	12
ENSOANG00000017056	10140	10290	0	0	10
ENSOANG00000027397	0	0	0	0	0
ENSOANG00000027922	0	0	0	0	0
ENSOANG00000028056	0	0	0	0	0
ENSOANG00000016520	4	1	4	7	2
ENSOANG00000016453	141	364	170	194	4
ENSOANG00000016775	57	94	8	0	0
ENSOANG00000027352	0	0	0	0	0
ENSOANG00000026881	0	0	0	0	0
ENSOANG00000027325	0	0	0	0	0
ENSOANG00000022853	27	34	34	35	15
ENSOANG00000027978	322	468	1007	470	398
ENSOANG00000025964	2	8	0	1	974
ENSOANG00000016647	514	626	12	63	22
