Brain	Cerebellum	Heart	Kidney	Testis
ENSOANG00000016473	39	22	47	18	18
ENSOANG00000016373	1	1	50	0	29
ENSOANG00000027910	0	0	0	0	0
ENSOANG00000028049	0	0	0	0	0
ENSOANG00000017082	0	0	0	0	0
ENSOANG00000016550	0	0	0	0	0
ENSOANG00000024722	0	0	0	0	0
ENSOANG00000016790	0	0	0	0	0
ENSOANG00000024796	0	0	0	0	151
ENSOANG00000026853	0	0	0	0	0
ENSOANG00000027246	0	0	0	0	0
ENSOANG00000016735	0	0	0	0	0
ENSOANG00000016417	0	0	1	0	0
ENSOANG00000025059	0	0	0	0	0
ENSOANG00000026457	836	10	0	0	0
ENSOANG00000027183	0	0	0	0	0
ENSOANG00000016083	578	47	1	1	67
ENSOANG00000026289	0	0	0	0	0
ENSOANG00000022833	0	0	0	0	0
ENSOANG00000026165	0	0	0	0	0
ENSOANG00000024938	0	0	0	0	1
ENSOANG00000016172	2306	1332	0	2	0
ENSOANG00000026638	0	0	9	0	0
ENSOANG00000026430	0	0	0	0	0
ENSOANG00000017000	8377	3403	6942	6776	5056
ENSOANG00000025339	0	0	0	233	4
ENSOANG00000024533	0	0	0	0	0
ENSOANG00000027919	0	0	0	0	0
ENSOANG00000016100	0	0	0	0	0
ENSOANG00000028163	0	0	0	0	0
ENSOANG00000022784	0	0	0	0	0
ENSOANG00000027399	0	0	0	0	0
ENSOANG00000022841	0	0	0	0	0
ENSOANG00000016993	0	0	0	0	0
ENSOANG00000017027	91955	73831	18888	27980	7137
ENSOANG00000026667	0	0	1	0	0
ENSOANG00000016835	0	0	0	0	0
ENSOANG00000016269	0	0	0	0	0
ENSOANG00000026879	0	0	1	0	0
ENSOANG00000024696	9	2	0	0	0
ENSOANG00000017019	1	1	4	1068	4
ENSOANG00000028093	0	0	2	0	0
ENSOANG00000026859	0	0	0	0	0
ENSOANG00000024196	0	0	0	0	0
ENSOANG00000017022	471	47	0	0	0
ENSOANG00000024703	6	1	2	1	0
ENSOANG00000027332	0	0	0	0	0
ENSOANG00000028011	0	0	0	0	0
ENSOANG00000027002	0	0	0	0	0
ENSOANG00000016433	12	1011	291	23113	3052
ENSOANG00000028173	0	0	0	0	0
ENSOANG00000017070	0	0	0	0	0
ENSOANG00000024442	1	0	0	1	0
ENSOANG00000025810	1	0	0	0	0
ENSOANG00000027487	0	0	0	0	0
ENSOANG00000017058	70	106	86	57	32
ENSOANG00000016608	2365	3448	5895	3572	24058
ENSOANG00000016294	7	9	1	4	1
ENSOANG00000016999	0	0	0	0	0
ENSOANG00000016151	403	76	111	31	69
ENSOANG00000016636	0	0	0	1	19
ENSOANG00000027262	0	0	0	0	0
ENSOANG00000024646	0	0	0	0	0
ENSOANG00000024622	31	4	0	0	0
ENSOANG00000028114	0	0	0	0	0
ENSOANG00000016770	97	30	0	2	10
ENSOANG00000024940	0	0	0	0	3504
ENSOANG00000016939	0	0	0	0	0
ENSOANG00000016769	4	2	16	3	16
ENSOANG00000024675	0	1	1	0	2
ENSOANG00000027613	0	0	0	0	0
ENSOANG00000027714	0	0	0	0	0
ENSOANG00000017064	0	0	0	0	0
ENSOANG00000027833	0	0	0	0	0
ENSOANG00000027626	0	0	0	0	0
ENSOANG00000027573	0	0	0	0	0
ENSOANG00000016984	0	0	0	0	0
ENSOANG00000027637	0	0	0	0	0
ENSOANG00000016970	300	362	334	178	237
ENSOANG00000026740	0	0	0	0	2
ENSOANG00000022834	0	0	0	0	0
ENSOANG00000017033	3998	2603	57	17	97
ENSOANG00000026779	0	0	0	3	0
ENSOANG00000027778	0	0	0	0	0
ENSOANG00000027761	0	0	0	0	0
ENSOANG00000027011	0	0	0	0	0
ENSOANG00000026978	0	0	0	0	0
ENSOANG00000027624	0	0	0	0	0
ENSOANG00000027716	0	0	0	0	0
ENSOANG00000026865	0	0	0	0	0
ENSOANG00000016343	0	0	0	1	9
ENSOANG00000016107	0	0	0	0	0
ENSOANG00000016727	0	0	0	0	0
ENSOANG00000016542	0	0	0	0	3
ENSOANG00000028054	0	0	0	0	0
ENSOANG00000026899	0	0	0	0	0
ENSOANG00000025803	0	0	1	0	15
ENSOANG00000024451	0	1	0	0	386
ENSOANG00000016604	2	10	8	7	0
ENSOANG00000025235	0	0	0	0	0
ENSOANG00000017026	0	0	0	0	0
ENSOANG00000016892	0	0	0	0	0
ENSOANG00000016424	2920	0	1	0	0
ENSOANG00000025837	42	38	0	0	0
ENSOANG00000016688	0	0	0	0	0
ENSOANG00000026374	0	0	0	0	0
ENSOANG00000016653	6019	541	7	293	99
ENSOANG00000027207	0	0	0	0	0
ENSOANG00000028076	0	0	0	0	0
ENSOANG00000027481	0	0	0	0	0
ENSOANG00000023366	0	0	0	0	0
ENSOANG00000016816	0	0	0	0	0
ENSOANG00000025210	0	0	4	0	32
ENSOANG00000027407	1	2	8	2	20
ENSOANG00000027082	0	0	0	0	0
ENSOANG00000016877	146	179	49	173	236
ENSOANG00000026980	0	0	0	0	0
ENSOANG00000016183	12935	17293	3267	1882	1245
ENSOANG00000016120	21	9	19	48	19
ENSOANG00000027212	0	0	0	0	0
ENSOANG00000017059	127	100	17	8	27
ENSOANG00000026992	0	0	0	0	0
ENSOANG00000016132	22	18	46	5	11
ENSOANG00000026480	26	0	3	0	3
ENSOANG00000017021	1291	351	11	3	1
ENSOANG00000026122	0	0	0	0	21
ENSOANG00000024621	0	0	0	0	0
ENSOANG00000016837	0	0	0	0	0
ENSOANG00000027584	0	0	0	0	0
ENSOANG00000016985	16703	7911	5900	4222	10988
ENSOANG00000016671	0	0	0	0	0
ENSOANG00000026652	0	0	0	0	0
ENSOANG00000024999	0	0	1	0	20181
ENSOANG00000017013	241	638	394	503	935
ENSOANG00000027744	0	0	0	0	0
ENSOANG00000027785	0	0	0	0	0
ENSOANG00000027755	0	0	0	0	0
ENSOANG00000027206	0	0	0	0	0
ENSOANG00000026062	0	0	0	0	0
ENSOANG00000016834	10	2	0	0	1
ENSOANG00000025170	0	0	0	0	18
ENSOANG00000017042	97	1019	123	20	68
ENSOANG00000016992	1480	326	642	676	714
ENSOANG00000016133	21	49	33	46	11
ENSOANG00000017079	940	543	23	4562	399
ENSOANG00000027435	0	0	0	0	0
ENSOANG00000027724	0	0	0	0	0
ENSOANG00000027455	0	0	0	0	0
ENSOANG00000016236	0	0	0	0	0
ENSOANG00000027997	0	0	0	0	0
ENSOANG00000024827	1	2	1	1	2
ENSOANG00000016310	0	0	0	0	0
ENSOANG00000027630	0	0	0	0	0
ENSOANG00000025117	0	0	0	0	1623
ENSOANG00000027040	0	0	0	0	0
ENSOANG00000026302	42	14	13	20	0
ENSOANG00000028218	0	0	0	0	0
ENSOANG00000017072	483	596	35	346	69
ENSOANG00000025355	0	0	0	0	0
ENSOANG00000024527	0	0	0	0	0
ENSOANG00000026164	7	0	1	0	0
ENSOANG00000026979	0	1	0	0	18
ENSOANG00000017056	1130	570	0	0	11
ENSOANG00000027397	0	0	0	0	0
ENSOANG00000027922	0	0	0	0	0
ENSOANG00000028056	0	0	0	0	0
ENSOANG00000016520	1	0	1	1	0
ENSOANG00000016453	13	17	13	8	7
ENSOANG00000016775	12	5	2	0	0
ENSOANG00000027352	0	0	0	0	0
ENSOANG00000026881	0	0	0	0	0
ENSOANG00000027325	0	0	0	0	0
ENSOANG00000022853	6	5	2	1	26
ENSOANG00000027978	31	24	99	17	383
ENSOANG00000025964	0	0	0	0	989
ENSOANG00000016647	62	39	0	0	21
ENSOANG00000016983	364	73	85	98	57
ENSOANG00000027967	0	0	0	0	0
ENSOANG00000026957	1	1	5	1	96
ENSOANG00000027186	0	0	0	0	0
ENSOANG00000016214	21	11	3	39	5
ENSOANG00000026864	0	0	0	0	0
ENSOANG00000016812	0	0	0	0	0
ENSOANG00000016954	0	0	1	0	0
ENSOANG00000026931	0	0	0	0	0
ENSOANG00000027652	0	0	0	1	0
ENSOANG00000025782	0	0	0	0	0
ENSOANG00000024915	0	0	0	0	11
ENSOANG00000016962	0	0	2	0	0
ENSOANG00000016677	0	0	0	0	0
ENSOANG00000023279	0	0	0	0	0
ENSOANG00000026680	0	0	0	0	0
ENSOANG00000022799	0	1	3	0	103
ENSOANG00000028189	0	0	0	0	0
ENSOANG00000016081	318	220	227	127	54
ENSOANG00000016989	919	696	612	362	375
ENSOANG00000027192	0	0	0	0	0
ENSOANG00000017037	0	0	0	0	0
ENSOANG00000025575	0	0	0	0	0
ENSOANG00000027856	0	0	0	0	0
ENSOANG00000016590	811	997	4331	1880	119
ENSOANG00000026472	1	0	0	0	1071
ENSOANG00000024689	0	0	0	0	0
ENSOANG00000027694	0	0	0	0	0
ENSOANG00000027402	0	0	0	0	0
ENSOANG00000027467	0	0	0	0	0
ENSOANG00000024625	22	44	12	20	9
ENSOANG00000028084	0	0	0	0	0
ENSOANG00000027225	0	0	0	0	0
ENSOANG00000027665	0	0	0	0	0
ENSOANG00000025958	9	4	1	15	64
ENSOANG00000025556	0	0	2	3	0
ENSOANG00000027334	0	0	0	0	0
ENSOANG00000027440	0	0	0	0	0
ENSOANG00000025684	10	4	23	11	102
ENSOANG00000017004	0	0	0	0	0
ENSOANG00000027177	0	0	0	0	0
ENSOANG00000028143	0	0	0	0	0
ENSOANG00000023949	0	0	0	0	0
ENSOANG00000026701	1	4	15	1	188
ENSOANG00000016401	11715	26826	4068	4450	4644
ENSOANG00000016306	512	175	148	179	142
ENSOANG00000027568	0	0	0	0	0
ENSOANG00000016738	0	0	0	0	0
ENSOANG00000027029	0	0	0	0	0
ENSOANG00000027122	0	0	0	0	0
ENSOANG00000022839	0	0	0	0	0
ENSOANG00000016138	0	0	0	0	0
ENSOANG00000024798	0	0	0	0	0
ENSOANG00000027283	0	0	0	0	0
ENSOANG00000017028	0	1	2	0	7
ENSOANG00000016235	0	0	0	0	0
ENSOANG00000026141	0	0	0	0	0
ENSOANG00000026392	0	0	1	0	0
ENSOANG00000027185	0	0	0	0	0
ENSOANG00000026700	0	0	0	0	151
ENSOANG00000024752	0	0	0	0	57
ENSOANG00000016606	0	0	0	0	3
ENSOANG00000016153	5	7	3	2	16
ENSOANG00000027405	0	0	0	0	0
ENSOANG00000026190	6	0	17	6	23
ENSOANG00000027640	0	0	0	0	0
ENSOANG00000016285	135	41	57	81	52
ENSOANG00000026576	0	0	0	0	6
ENSOANG00000027884	0	0	0	0	0
ENSOANG00000026383	0	0	0	0	32
ENSOANG00000026808	0	0	0	0	0
ENSOANG00000017055	740	641	0	0	0
ENSOANG00000016900	59	19	34	9	3
ENSOANG00000016454	5	4	0	1	0
ENSOANG00000025711	0	0	0	0	18
ENSOANG00000027796	0	0	0	0	3
ENSOANG00000027572	0	0	1	0	0
ENSOANG00000024193	0	0	0	0	0
ENSOANG00000017044	0	0	0	0	0
ENSOANG00000027939	0	0	0	0	0
ENSOANG00000016820	0	0	3	0	2
ENSOANG00000026892	0	0	0	0	0
ENSOANG00000027722	0	0	0	0	0
ENSOANG00000028005	0	0	0	0	0
ENSOANG00000026025	0	0	1	0	16031
ENSOANG00000028207	0	0	0	0	0
ENSOANG00000024673	0	1	0	0	1064
ENSOANG00000016565	0	0	0	0	0
ENSOANG00000016994	0	0	0	0	0
ENSOANG00000026095	0	0	7	1	11
ENSOANG00000025871	0	0	0	0	0
ENSOANG00000027240	0	0	0	0	0
ENSOANG00000017041	0	0	0	0	0
ENSOANG00000017038	0	0	0	496	1
ENSOANG00000026947	0	0	0	0	0
ENSOANG00000016474	351	21	0	0	173
ENSOANG00000026503	361	111	600	216	95
ENSOANG00000027672	0	0	0	0	0
ENSOANG00000022825	0	0	0	0	0
ENSOANG00000022783	0	0	0	0	0
ENSOANG00000028047	0	0	0	0	0
