ENSEMBL ID	Human_Prefrontal_Cortex_Relative_Gene_Expression_Difference(RPKM)	Chimp_Prefrontal_Cortex_Relative_Gene_Expression_Difference(RPKM)	Rhesus_Monkey_Prefrontal_Cortex_Relative_Gene_Expression_Difference(RPKM)
ENSG00000000003	30.689375222332032	41.263163870294214	28.04746090737375
ENSG00000000005	17.468182689613474	6.690952228480246	75.84086508190629
ENSG00000000419	36.88177611474777	37.033388053072656	26.084835832179575
ENSG00000000457	25.345360856438347	38.08946613880903	36.56517300475261
ENSG00000000460	31.52309514548137	36.61877590998132	31.858128944537313
ENSG00000000938	40.54144818248666	37.063468529820696	22.395083287692646
ENSG00000000971	22.738381840086888	8.924262488694172	68.33735567121893
ENSG00000001036	40.42109321355327	41.45232560526875	18.126581181177983
ENSG00000001084	29.970534337060123	43.29186718364423	26.73759847929565
ENSG00000001167	27.748882068794313	45.016758061397894	27.234359869807793
ENSG00000001460	64.00051459097529	34.22895104121057	1.7705343678141348
ENSG00000001461	35.982127132422335	39.04884268455683	24.96903018302084
ENSG00000001497	31.905691322646767	28.969415260318886	39.12489341703434
ENSG00000001561	37.985756545759216	40.808481793284145	21.205761660956636
ENSG00000001617	34.933136545943	50.62388339038204	14.442980063674948
ENSG00000001626	41.521630682592395	21.41635794650721	37.06201137090041
ENSG00000001629	35.73885178499484	39.77615037994847	24.484997835056678
ENSG00000001630	38.760801810401745	33.769543951967144	27.469654237631108
ENSG00000001631	36.55093991053388	39.72876785809651	23.720292231369605
ENSG00000002016	38.27452775971594	33.1460602291488	28.579412011135275
ENSG00000002330	42.313864567706375	30.39459089340793	27.29154453888569
ENSG00000002549	27.935861103122317	43.67415762325289	28.389981273624798
ENSG00000002726	3.0008978110640867	4.710703447984412	92.28839874095151
ENSG00000002745	22.68618704103061	40.16784995269574	37.14596300627366
ENSG00000002746	30.314972301153247	33.996100395540005	35.68892730330674
ENSG00000002822	39.379772791270504	27.635631184591436	32.98459602413806
ENSG00000002834	34.65038637423467	28.423306661393177	36.926306964372145
ENSG00000002919	31.439000161203307	30.57347253264917	37.98752730614752
ENSG00000002933	26.498886240296947	40.213648371461126	33.28746538824194
ENSG00000003056	29.421050823437273	38.909984283426766	31.668964893135954
ENSG00000003096	37.03607154300241	29.905550921514084	33.0583775354835
ENSG00000003137	45.83151544069296	35.84182779227834	18.32665676702869
ENSG00000003147	42.862178167687155	35.453543273331114	21.68427855898173
ENSG00000003249	41.84016333011827	23.358615302297164	34.80122136758456
ENSG00000003393	31.536027107533187	30.730082939307028	37.733889953159775
ENSG00000003402	35.37723703775591	35.084942256132685	29.53782070611141
ENSG00000003436	29.09677834867816	21.807889945964124	49.095331705357715
ENSG00000003509	45.65451015006279	21.242012612900993	33.10347723703623
ENSG00000003756	32.84550161528618	37.01140236368896	30.143096021024874
ENSG00000003987	31.2972522762966	31.522876830251672	37.179870893451714
ENSG00000003989	11.016916381140987	52.29409031404012	36.688993304818894
ENSG00000004059	35.89566950995732	29.34615519730845	34.75817529273424
ENSG00000004139	24.91559502441867	28.33236797722493	46.75203699835642
ENSG00000004399	40.72944276475752	32.53321935367477	26.737337881567708
ENSG00000004455	16.796817058586203	47.51654338806095	35.68663955335283
