ENSEMBL ID	Human_Primary_Visual_Cortex_Relative_Gene_Expression_Difference(RPKM)	Chimp_Primary_Visual_Cortex_Relative_Gene_Expression_Difference(RPKM)	Rhesus_Monkey_Primary_Visual_Cortex_Relative_Gene_Expression_Difference(RPKM)
ENSG00000000003	31.434351503967868	40.164331905299456	28.401316590732666
ENSG00000000005	7.844755304131865	18.40817669472187	73.74706800114626
ENSG00000000419	34.60224200901568	32.56403045301004	32.83372753797429
ENSG00000000457	16.50324362781155	36.09784502843738	47.39891134375107
ENSG00000000460	37.803030719737095	28.788140425097165	33.40882885516574
ENSG00000000938	39.192942777696615	42.22608392359394	18.58097329870944
ENSG00000000971	21.184012790813007	7.11179659869768	71.70419061048932
ENSG00000001036	43.77365390639596	32.14376984555935	24.082576248044703
ENSG00000001084	30.89730345918217	41.33575076493665	27.766945775881187
ENSG00000001167	32.64388496731214	41.51160641058994	25.844508622097923
ENSG00000001460	55.29434569856028	41.288487608683525	3.417166692756204
ENSG00000001461	33.57912735314342	33.25751427184373	33.16335837501284
ENSG00000001497	30.561982496158794	27.54196428561712	41.89605321822408
ENSG00000001561	38.540174055547	37.901774416000485	23.558051528452513
ENSG00000001617	22.436865350293726	54.96285104349198	22.600283606214298
ENSG00000001626	44.741129799148034	31.18206116371576	24.076809037136208
ENSG00000001629	38.9307415204162	33.29974240054004	27.769516079043765
ENSG00000001630	33.54750262282815	36.57847161720576	29.874025759966084
ENSG00000001631	31.41282697966551	40.87654770432649	27.71062531600801
ENSG00000002016	38.77820640458425	31.46673475548296	29.75505883993278
ENSG00000002330	45.28997269677822	40.103047039550674	14.606980263671115
ENSG00000002549	29.836176187811027	44.627943645793586	25.535880166395387
ENSG00000002726	0.0	100.0	0.0
ENSG00000002745	11.016478606852928	32.61842155414035	56.365099839006724
ENSG00000002746	18.58183769633508	33.3534502617801	48.06471204188481
ENSG00000002822	37.731735416634976	31.632233638073316	30.636030945291715
ENSG00000002834	25.18334770105127	28.94985504644471	45.86679725250402
ENSG00000002919	25.7195090423371	29.977638975780042	44.30285198188287
ENSG00000002933	35.235541830759736	36.35333004466908	28.411128124571178
ENSG00000003056	23.32463932025058	38.39767102140646	38.27768965834295
ENSG00000003096	25.751942414506644	27.910394323843523	46.33766326164982
ENSG00000003137	31.03716687839362	39.2141989553229	29.748634166283477
ENSG00000003147	36.246782310298585	36.521064953334324	27.232152736367084
ENSG00000003249	38.96514062401747	23.010355080779966	38.024504295202554
ENSG00000003393	20.034397852206133	32.7414599676784	47.22414218011547
ENSG00000003402	41.722348317992505	28.669696503304337	29.607955178703165
ENSG00000003436	25.3218308067538	28.23378178432472	46.444387408921486
