	Human_Muscle_Relative_Gene_Expression_Difference(RPKM)	Chimp_Muscle_Relative_Gene_Expression_Difference(RPKM)	Rhesus_Monkey_Muscle_Relative_Gene_Expression_Difference(RPKM)	Human_Kidney_Relative_Gene_Expression_Difference(RPKM)	Chimp_Kidney_Relative_Gene_Expression_Difference(RPKM)	Rhesus_Monkey_Kidney_Relative_Gene_Expression_Difference(RPKM)	Human_Cerebellar_Cortex_Relative_Gene_Expression_Difference(RPKM)	Chimp_Cerebellar_Cortex_Relative_Gene_Expression_Difference(RPKM)	Rhesus_Monkey_Cerebellar_Cortex_Relative_Gene_Expression_Difference(RPKM)	Human_Prefrontal_Cortex_Relative_Gene_Expression_Difference(RPKM)	Chimp_Prefrontal_Cortex_Relative_Gene_Expression_Difference(RPKM)	Rhesus_Monkey_Prefrontal_Cortex_Relative_Gene_Expression_Difference(RPKM)	Human_Primary_Visual_Cortex_Relative_Gene_Expression_Difference(RPKM)	Chimp_Primary_Visual_Cortex_Relative_Gene_Expression_Difference(RPKM)	Rhesus_Monkey_Primary_Visual_Cortex_Relative_Gene_Expression_Difference(RPKM)
TSPAN6	134.96214699744954	106.15512172501742	58.88273127753304	84.98209404172503	98.59415695915523	116.42374899911975	67.70319490411963	130.6695272783719	101.62727781750849	92.06812566699608	123.78949161088264	84.14238272212124	94.30305451190358	120.49299571589837	85.203949772198
TNMD	151.7307276569151	35.492190714618985	112.77708162846594	55.45208577382793	218.9527549323476	25.595159293824487	0.0	66.0670003906461	233.93299960935389	52.40454806884042	20.072856685440726	227.52259524571886	23.534265912395586	55.22453008416558	221.24120400343884
DPM1	105.68974786869747	111.2469981562441	83.0632539750584	102.96395902421179	91.35538357622801	105.6806573995602	101.92247996214402	87.75662837898427	110.32089165887164	110.64532834424332	111.10016415921795	78.25450749653872	103.80672602704706	97.69209135903012	98.50118261392288
SCYL3	60.035520354656704	131.62565796703137	108.33882167831189	66.12940733248925	141.15658244254564	92.71401022496512	70.09901897409605	120.68147988537777	109.21950114052623	76.03608256931504	114.26839841642709	109.69551901425785	49.509730883434635	108.29353508531214	142.1967340312532
C1orf112	96.82884904155839	117.7471768217035	85.42397413673811	142.48315099655468	106.93885984672562	50.57798915671966	109.57160259124747	101.62161473172071	88.80678267703176	94.56928543644412	109.85632772994396	95.57438683361194	113.40909215921128	86.36442127529149	100.22648656549723
FGR	165.57654486443062	80.06400475192298	54.35945038364641	82.65009107204239	168.97558110284754	48.37432782511008	87.92590678755488	114.33768706569099	97.73640614675412	121.62434454745998	111.19040558946209	67.18524986307793	117.57882833308983	126.67825177078183	55.74291989612832
CFH	173.4658580989081	49.759062288769144	76.77507961232286	56.94722796806554	80.74865463048191	162.30411740145257	25.86253728347901	39.551637264542364	234.58582545197862	68.21514552026066	26.772787466082516	205.0120670136568	63.55203837243902	21.33538979609304	215.11257183146793
FUCA2	174.48080674076598	79.2487915947774	46.270401664456614	122.50856337546792	94.98811465887268	82.50332196565941	91.9751958430455	102.80956819700523	105.21523595994925	121.26327964065982	124.35697681580622	54.379743543533955	131.3209617191879	96.43130953667804	72.2477287441341
GCLC	90.77783895280068	149.90297758447642	59.31918346272288	62.71783581272087	166.51933591927204	70.76282826800714	80.29553878983783	130.92457829531233	88.77988291484982	89.91160301118038	129.8756015509327	80.21279543788694	92.69191037754648	124.00725229480992	83.30083732764355
NFYA	76.12447447145237	130.54492547697214	93.33060005157549	70.91029408813287	130.33258519679387	98.75712071507324	78.3623192573441	138.6823347336995	82.95534600895643	83.24664620638293	135.05027418419368	81.70307960942338	97.93165490193641	124.53481923176983	77.53352586629376
STPG1	234.06472517212862	28.90506871064602	37.03020611722531	101.86879562911236	147.64978502653256	50.48141934435504	223.6677780249273	67.77324148691329	8.558980488159365	192.00154377292586	102.6868531236317	5.311603103442404	165.8830370956808	123.86546282605057	10.251500078268611
NIPAL3	96.8908777077297	154.60952257597503	48.49959971629532	74.0679932261913	95.21180195334104	130.72020482046761	85.68310818384695	87.66979622754307	126.64709558860994	107.94638139726702	117.14652805367052	74.90709054906253	100.73738205943027	99.7725428155312	99.49007512503853
