	Human_Cerebellar_Cortex_Relative_Gene_Expression_Difference(RPKM)	Chimp_Cerebellar_Cortex_Relative_Gene_Expression_Difference(RPKM)	Rhesus_Monkey_Cerebellar_Cortex_Relative_Gene_Expression_Difference(RPKM)
TSPAN6	67.70319490411963	130.6695272783719	101.62727781750849
TNMD	0.0	66.0670003906461	233.93299960935389
DPM1	101.92247996214402	87.75662837898427	110.32089165887164
SCYL3	70.09901897409605	120.68147988537777	109.21950114052623
C1orf112	109.57160259124747	101.62161473172071	88.80678267703176
FGR	87.92590678755488	114.33768706569099	97.73640614675412
CFH	25.86253728347901	39.551637264542364	234.58582545197862
FUCA2	91.9751958430455	102.80956819700523	105.21523595994925
GCLC	80.29553878983783	130.92457829531233	88.77988291484982
NFYA	78.3623192573441	138.6823347336995	82.95534600895643
STPG1	223.6677780249273	67.77324148691329	8.558980488159365
NIPAL3	85.68310818384695	87.66979622754307	126.64709558860994
LAS1L	102.33393224510283	91.54778890400884	106.11827885088833
ENPP4	60.12671259129522	132.3787510868224	107.49453632188242
SEMA3F	41.52818577207079	70.20679146713104	188.2650227607982
CFTR	37.04422402055907	218.26143513754292	44.694340841898054
ANKIB1	90.03820431104621	121.71549502113477	88.24630066781897
CYP51A1	98.39071325106801	108.49045062510886	93.11883612382313
KRIT1	98.5763663060712	111.87097306827845	89.55266062565035
RAD52	103.12851645321541	95.52703256101968	101.34445098576492
BAD	112.93067272735564	100.18305834194818	86.88626893069619
LAP3	77.79782881848928	131.22300105402084	90.97917012748992
AOC1	0.0	9.348641546171436	290.65135845382855
WNT16	41.50396992956086	143.0377518577594	115.45827821267976
HECW1	59.34467950550732	68.57874450458262	172.07657598991003
MAD1L1	98.53714039772215	91.22539386868588	110.23746573359199
LASP1	69.75959623579874	85.98209477099445	144.25830899320684
SNX11	78.67023129233935	70.89263229199106	150.43713641566956
TMEM176A	72.81192760846358	133.83684433513085	93.3512280564056
M6PR	61.837179517232286	119.07389323737681	119.08892724539093
KLHL13	70.00003497819195	103.9141186774653	126.08584634434277
CYP26B1	149.44092092061007	57.97655875497557	92.58252032441435
ICA1	164.69772489617387	88.54005429637375	46.762220807452394
DBNDD1	102.49123297075575	78.94505409275978	118.56371293648442
ALS2	78.18935630925853	124.47238463814487	97.33825905259657
CFLAR	172.02571057283683	66.59234249004979	61.381946937113405
TFPI	39.66441414935366	44.0593776268967	216.27620822374956
NDUFAF7	108.80595114963366	67.30461083103827	123.88943801932805
RBM5	106.05517350145446	107.46858437922266	86.47624211932289
MTMR7	94.77982784755167	95.20494308321132	110.01522906923702
SLC7A2	21.53514553464858	83.2776715530622	195.18718291228924
ARF5	117.11325870933027	96.07315410981448	86.81358718085525
SARM1	65.25353579695754	88.17162323493632	146.57484096810614
PLXND1	56.47121833651845	90.94507697942753	152.58370468405406
AK2	50.54107003099719	130.72726251541852	118.73166745358425
CD38	8.080213664737597	97.5950414864796	194.32474484878279
FKBP4	91.75491143120016	75.17612722187438	133.06896134692542
KDM1A	98.81715496809684	102.22912530968775	98.95371972221538
RBM6	143.52949646057894	114.80885106481409	41.66165247460698
CAMKK1	77.64516156034298	83.19365334599681	139.1611850936602
RECQL	88.29092063198108	115.85619663638668	95.85288273163218
CCDC132	87.56210504335797	89.04701291440628	123.39088204223575
HSPB6	21.188388283263404	70.74094262070733	208.07066909602926
ARHGAP33	100.71835516716115	100.98831565789862	98.29332917494023
NDUFAB1	71.13028973266881	76.25148385646074	152.61822641087045
PDK4	72.68361008759243	184.83893614578767	42.47745376661988
ZMYND10	104.58121909681093	101.31062492365932	94.10815597952971
ARX	0.0	0.0	300.0
SLC25A13	66.745930812492	95.94808414074521	137.30598504676286
ST7	106.24798720667701	122.04487694590198	71.70713584742103
CDC27	91.51255466706473	114.8256054604911	93.66183987244416
SLC4A1	248.8454928300647	18.41620028906642	32.738306880868876
CALCR	0.0	0.0	300.0
HCCS	79.8202767895239	86.36415543483115	133.81556777564498
DVL2	115.63082220441478	104.07003884644794	80.29913894913726
UPF1	84.55677156434633	95.07696455249727	120.3662638831564
SKAP2	90.53198659705353	128.2744622142456	81.19355118870088
SLC25A5	118.06990351500914	83.53719885072918	98.39289763426167
CCDC109B	7.58900168033312	136.40060183062127	156.01039648904563
POLR2J	36.25960517138761	93.10148529473916	170.63890953387323
DHX33	75.00706807713193	118.57501229489047	106.4179196279776
MEOX1	0.0	154.73752774293158	145.26247225706842
THSD7A	29.695966354445257	110.15787081309489	160.14616283245985
LIG3	103.77007503786717	95.57895755663573	100.65096740549713
RPAP3	98.1057622594302	114.77835134161074	87.11588639895905
ACSM3	48.89152420817169	61.02091351470178	190.08756227712652
