	Human_Kidney_Relative_Gene_Expression_Difference(RPKM)	Chimp_Kidney_Relative_Gene_Expression_Difference(RPKM)	Rhesus_Monkey_Kidney_Relative_Gene_Expression_Difference(RPKM)
TSPAN6	84.98209404172503	98.59415695915523	116.42374899911975
TNMD	55.45208577382793	218.9527549323476	25.595159293824487
DPM1	102.96395902421179	91.35538357622801	105.6806573995602
SCYL3	66.12940733248925	141.15658244254564	92.71401022496512
C1orf112	142.48315099655468	106.93885984672562	50.57798915671966
FGR	82.65009107204239	168.97558110284754	48.37432782511008
CFH	56.94722796806554	80.74865463048191	162.30411740145257
FUCA2	122.50856337546792	94.98811465887268	82.50332196565941
GCLC	62.71783581272087	166.51933591927204	70.76282826800714
NFYA	70.91029408813287	130.33258519679387	98.75712071507324
STPG1	101.86879562911236	147.64978502653256	50.48141934435504
NIPAL3	74.0679932261913	95.21180195334104	130.72020482046761
LAS1L	123.8229681762329	84.70257331181944	91.47445851194765
ENPP4	65.43801195671767	121.35855979842086	113.20342824486144
SEMA3F	130.58571827594932	86.00927695193101	83.40500477211968
CFTR	291.2056325406815	2.298088322033583	6.496279137284916
ANKIB1	95.62787824557113	98.55099535342869	105.82112640100017
CYP51A1	115.04515269695813	112.69188661865186	72.26296068439001
KRIT1	122.44201878302745	120.65875725724942	56.899223959723166
RAD52	102.58036297027124	106.12469338424208	91.29494364548668
BAD	98.02469762508449	111.35364038825821	90.62166198665732
LAP3	41.58300309374824	157.2011366078935	101.2158602983583
AOC1	61.33751409664181	63.445110181283646	175.2173757220745
WNT16	47.01055173765434	194.9531094549524	58.036338807393285
HECW1	23.86613827396677	69.98386886722045	206.14999285881282
MAD1L1	94.84368656110436	117.3204451523575	87.83586828653821
LASP1	84.34645521817015	110.83539330673831	104.81815147509157
SNX11	73.87251767217708	76.71637440639986	149.4111079214231
TMEM176A	102.03013702233883	152.795265618047	45.17459735961417
M6PR	75.90612755960896	104.83973102517643	119.25414141521458
KLHL13	54.89948104552306	124.37231743988617	120.72820151459085
CYP26B1	230.19662886365296	46.6312549047862	23.17211623156085
ICA1	129.474249129894	111.43252457031316	59.09322629979285
DBNDD1	52.53577035874041	144.1998308876727	103.26439875358689
ALS2	91.70330601384272	88.56610293910788	119.73059104704942
CFLAR	94.6571256228258	109.66886502578654	95.67400935138768
TFPI	70.38327200344081	154.65351257473048	74.96321542182866
NDUFAF7	103.47671513185239	93.94473638775476	102.57854848039285
RBM5	118.91858813939915	99.89052355625262	81.1908883043482
MTMR7	127.10495140143917	55.81378801183523	117.08126058672563
SLC7A2	107.20963983638556	125.0238184101558	67.76654175345863
ARF5	115.62352519046782	106.50250549133868	77.87396931819346
SARM1	161.41174736442815	112.83142578077343	25.756826854798355
PLXND1	134.22249824540145	107.28072337657748	58.496778378021084
AK2	44.52559095082969	126.25940060856773	129.21500844060256
CD38	12.858240243697153	163.5180428352853	123.62371692101748
FKBP4	81.01457619163719	114.9585355440355	104.02688826432728
KDM1A	107.220457813095	116.18332685285566	76.59621533404935
RBM6	141.61270315866176	133.52286085302003	24.864435988318178
CAMKK1	136.87366726005442	95.44263824855388	67.6836944913917
RECQL	95.54137623973942	138.92183598837505	65.53678777188551
CCDC132	88.3523595558649	97.81978647388232	113.82785397025279
HSPB6	65.55197042935413	146.29872387431743	88.14930569632847
ARHGAP33	88.23063770220875	62.066568595903014	149.70279370188823
NDUFAB1	60.02423399806286	73.04632423196792	166.9294417699692
PDK4	50.816723818139906	231.6126380207176	17.570638161142462
ZMYND10	168.508643160755	34.96940582511582	96.5219510141292
ARX	300.0	0.0	0.0
SLC25A13	55.64553094236727	128.52498927033278	115.82947978729989
ST7	100.38611648383011	101.83780090497625	97.77608261119362
CDC27	93.1842069448384	106.37798981082636	100.4378032443352
SLC4A1	98.22326518478904	61.932256282058106	139.8444785331529
CALCR	33.115436531458606	82.45241939396459	184.4321440745768
HCCS	137.56432053368619	77.41700417973037	85.01867528658346
DVL2	123.83817025897119	83.44567372862079	92.716156012408
UPF1	73.10509621051166	90.99110643164892	135.90379735783947
SKAP2	76.15925127120248	114.44937667537458	109.39137205342296
SLC25A5	109.48841106214996	79.71667031935795	110.79491861849209
CCDC109B	116.04618908777428	136.45494330444728	47.49886760777836
POLR2J	57.30935587065512	86.34983019277581	156.34081393656908
DHX33	106.52639270922552	113.4141924091326	80.05941488164191
MEOX1	267.8383257113456	32.1616742886544	0.0
THSD7A	137.68703146602752	90.53782639210681	71.77514214186569
LIG3	110.93982676058832	109.019313773537	80.04085946587468
RPAP3	96.25806701916154	108.21773791406768	95.52419506677076
ACSM3	85.81671036017082	108.27580607264542	105.90748356718377
AC004381.6	84.91334434086959	107.97543486804695	107.11122079108341
CIAPIN1	93.11349661930642	96.37301806081851	110.51348531987506
SPPL2B	112.01894682935804	69.39951924295082	118.58153392769113
FAM214B	104.92153781031313	112.38012494318869	82.69833724649818
COPZ2	87.71390158078468	75.51503131115018	136.77106710806507
PRKAR2B	86.27497817960189	162.8634622733718	50.861559547026346
MSL3	89.0748197971719	117.6915328419799	93.23364736084821
CREBBP	103.97598871476342	98.62775237671396	97.39625890852264
BZRAP1	106.76503177262913	100.5468370246707	92.6881312027002
MPO	43.50035036720979	256.4996496327902	0.0
PON1	239.3735558729273	0.0	60.62644412707272
GCFC2	144.21676502425848	105.39380807209446	50.38942690364703
WDR54	80.85540994714833	66.02986243776829	153.1147276150834
CROT	51.127893586127485	70.29340587813142	178.5787005357411
ABCB4	169.05414794792193	31.336548196167495	99.6093038559106
KMT2E	99.97047353676626	97.3372396029236	102.6922868603101
RHBDD2	143.74510892396825	108.58921525762146	47.66567581841033
SOX8	157.04136979405087	59.11613757258634	83.8424926333628
IBTK	73.59241449861408	116.9263550314377	109.48123046994829
MYCBP2	84.0579584175104	95.43071202239463	120.51132956009494
FBXL3	91.68172614826092	107.23681192376175	101.08146192797732
ITGAL	83.9765597559643	181.70026866955868	34.32317157447704
PDK2	101.27307386612374	87.35774366870905	111.3691824651672
ITGA3	117.73410692853292	86.21967817543398	96.04621489603308
ZFX	81.21971394960065	112.08410624729117	106.69617980310817
LAMP2	110.74854004922324	89.12288979090587	100.12857015987089
ITGA2B	233.1727048173835	45.76868069200446	21.05861449061205
ASB4	119.43916155542145	180.56083844457854	0.0
GDE1	85.06884893289795	97.83336217836109	117.09778888874096
C19orf60	113.9824492834008	100.52721122648099	85.4903394901182
CRLF1	169.88439974796455	126.36128143749958	3.754318814535846
OSBPL7	125.06705479473187	96.11372165744399	78.81922354782407
TMEM98	122.57469451937868	102.36082114333536	75.06448433728599
YBX2	180.23707899955483	12.239314010345447	107.52360699009972
MAP3K14	92.78753387223892	127.67946797331776	79.53299815444333
ABCC8	140.55042948779567	50.17978726132941	109.26978325087491
CACNG3	0.0	300.0	0.0
TMEM132A	205.6862988074582	63.676756327097536	30.63694486544427
AP2B1	90.98134769177481	122.00214178744304	87.01651052078213
TAC1	0.0	273.5542496605912	26.445750339408807
ZNF263	109.10400836207398	74.63785880118273	116.25813283674329
CX3CL1	197.5494365390056	102.45056346099442	0.0
SPATA20	137.51831113534746	107.40169006725229	55.07999879740031
CACNA1G	250.04364428265973	18.232100867552	31.724254849788252
TNFRSF12A	98.39846871605332	171.69228980741127	29.909241476535392
DLX6	300.0	0.0	0.0
MAP3K9	68.30801957329719	88.16164927614356	143.53033115055925
RALA	139.42367766797986	98.46891820208997	62.107404129930174
BAIAP2L1	128.7656706900862	98.34109300652746	72.89323630338633
KDM7A	108.93878165459812	102.04244440698528	89.01877393841656
ETV1	50.39675280714246	96.89312264303071	152.71012454982687
AGK	79.50362255149864	138.92576676663958	81.5706106818618
TTC22	33.36950206316744	114.02219578785741	152.60830214897518
PHTF2	122.75982849431617	75.92948753892334	101.31068396676051
CCL26	60.895477948224475	0.0	239.1045220517756
FARP2	89.67682988041061	115.05311901476666	95.27005110482271
USH1C	81.11812972191446	95.77121752828613	123.11065274979937
GGCT	96.41035855882166	111.41062384798008	92.17901759319824
DBF4	170.79125562225704	92.63532996452109	36.57341441322195
TBXA2R	101.81268659033988	116.01219599670539	82.17511741295475
IFRD1	133.55729369938666	136.53237342275744	29.910332877855883
COX10	64.4665847440039	115.47542523329012	120.05799002270594
GTF2IRD1	116.02539557918787	97.08125480310969	86.89334961770241
PAF1	121.67012535108933	106.460043184848	71.86983146406271
VPS41	81.14200042954819	142.81636258871595	76.04163698173583
ARHGAP44	95.4711474590989	77.76108339240494	126.76776914849617
ELAC2	128.38520398680976	105.22278450093192	66.3920115122583
SCIN	158.52608853134166	71.44287592451445	70.0310355441439
PNPLA4	228.13325747727382	65.04302018984126	6.8237223328849215
MYH13	98.92617169166505	0.0	201.07382830833492
ADIPOR2	93.67869611812876	101.85323305711592	104.46807082475537
CDKL3	119.00046173260344	114.46477816747738	66.53476009991915
PRSS21	170.36776994851724	4.293938808589978	125.3382912428928
MARK4	120.79149301368903	92.47945334217395	86.72905364413701
PROM1	55.60258213021103	196.08889587735817	48.3085219924308
CCDC124	108.64299787025091	108.90826855446439	82.44873357528473
PAFAH1B1	76.20594710214527	123.36762287327167	100.42643002458308
NOS2	176.03850689456482	90.94201720213684	33.01947590329837
DNAH9	158.35043559399497	79.50224727814307	62.14731712786191
KIAA0100	92.46357102832891	113.15933057365335	94.37709839801775
SLC13A2	35.31917714875306	109.34796740030296	155.332855450944
GAS7	88.84613380296747	147.7740037200154	63.379862477017156
TRAPPC6A	211.35670843669908	0.0	88.64329156330088
MATK	227.55565815978503	37.79736598757498	34.646975852640075
CD79B	135.50506952499717	75.14494408232399	89.34998639267884
SCN4A	196.7255655999965	57.95763074384639	45.31680365615711
ST7L	78.63748061302435	99.32373171337193	122.03878767360375
TKTL1	121.54471735111909	108.51006694644283	69.94521570243805
PAX6	300.0	0.0	0.0
RPUSD1	108.3576217917706	64.71616284597488	126.92621536225452
RHBDF1	107.83802578373405	113.92255549470333	78.23941872156259
LUC7L	136.82534097330156	102.2046645746495	60.96999445204896
CACNA2D2	97.65315058383727	195.54296711389088	6.80388230227179
BAIAP3	227.92065275624088	47.70330534696047	24.37604189679869
TSR3	150.48928005703416	67.05143101316166	82.4592889298042
PIGQ	121.79403964532705	55.586660485284746	122.61929986938821
CRAMP1L	102.894428886271	101.91214930530393	95.19342180842511
TEAD3	94.38015287407447	129.31466338892864	76.30518373699692
SELE	36.933747493617894	214.80443338858132	48.26181911780078
DNAJC11	92.21635070583474	115.95047882013094	91.83317047403436
FMO3	57.83701157294363	67.61500278202638	174.54798564503
MYLIP	86.73722165944694	88.80369773593642	124.45908060461666
NOX1	0.0	0.0	300.0
PSMB1	99.02076383216512	116.43621211435062	84.54302405348425
SYN1	229.82016382371003	27.196281313926075	42.98355486236393
JARID2	121.19477835450925	68.70346168304792	110.10175996244284
CDKL5	49.80672850789924	66.06330720020252	184.12996429189823
CAMK1G	196.9544303407444	103.04556965925559	0.0
CDK11A	102.82903895877232	97.92203864627969	99.24892239494795
NADK	54.05530511844295	79.72647965313692	166.21821522842015
TFAP2B	42.49476489785848	129.0853317423806	128.41990335976098
DLEC1	65.60245138558003	215.7177746213386	18.67977399308135
CYTH3	98.60443682689152	131.7901958894227	69.60536728368574
ADAM22	123.34685130169309	160.54800172053075	16.105146977776144
SYPL1	54.777563336231275	86.23551176148442	158.9869249022843
CYB561	91.7736332592718	81.5371486804687	126.68921806025946
SPAG9	116.38353454834665	121.70530141690854	61.911164034744814
CELSR3	182.02937805154255	97.11708941056297	20.853532537894388
AASS	125.66336169733576	71.64867637948099	102.68796192318325
SS18L2	83.63481754270012	76.03908910499516	140.32609335230478
MPND	96.03869753704902	106.1226742344852	97.83862822846574
MGST1	84.10521416490289	37.11370438713383	178.7810814479633
CRY1	87.54824822849788	127.96195841167619	84.4897933598259
NFIX	134.50167325364717	70.41529548046451	95.08303126588828
ST3GAL1	141.22170056939464	82.28201156221708	76.4962878683883
