	Human_Muscle_Relative_Gene_Expression_Difference(RPKM)	Chimp_Muscle_Relative_Gene_Expression_Difference(RPKM)	Rhesus_Monkey_Muscle_Relative_Gene_Expression_Difference(RPKM)
TSPAN6	134.96214699744954	106.15512172501742	58.88273127753304
TNMD	151.7307276569151	35.492190714618985	112.77708162846594
DPM1	105.68974786869747	111.2469981562441	83.0632539750584
SCYL3	60.035520354656704	131.62565796703137	108.33882167831189
C1orf112	96.82884904155839	117.7471768217035	85.42397413673811
FGR	165.57654486443062	80.06400475192298	54.35945038364641
CFH	173.4658580989081	49.759062288769144	76.77507961232286
FUCA2	174.48080674076598	79.2487915947774	46.270401664456614
GCLC	90.77783895280068	149.90297758447642	59.31918346272288
NFYA	76.12447447145237	130.54492547697214	93.33060005157549
STPG1	234.06472517212862	28.90506871064602	37.03020611722531
NIPAL3	96.8908777077297	154.60952257597503	48.49959971629532
LAS1L	111.81374547728772	89.3711609585534	98.81509356415884
ENPP4	67.46319363075544	131.56965271966993	100.96715364957464
SEMA3F	103.77861681594649	111.04232646389771	85.17905672015578
CFTR	300.0	0.0	0.0
ANKIB1	69.37204619670113	119.75848879084108	110.86946501245778
CYP51A1	92.30852882253114	140.1693797238543	67.52209145361459
KRIT1	87.47423716531608	115.72923999601285	96.79652283867107
RAD52	53.339071300255455	159.8785796004962	86.78234909924835
BAD	87.28160647081744	133.98681484695425	78.73157868222832
LAP3	49.33867133681707	202.4049254222588	48.25640324092415
AOC1	35.64561842907658	59.37609642106857	204.9782851498549
WNT16	98.72689400210804	67.8216031038461	133.45150289404583
HECW1	86.10688346937859	42.18224626949308	171.71087026112832
MAD1L1	138.26341634238767	121.96343396848715	39.77314968912521
LASP1	113.97456910351549	82.47615953005565	103.54927136642884
SNX11	56.248081663172215	89.20046649020279	154.55145184662499
TMEM176A	118.65707453295262	133.1397473785104	48.203178088536944
M6PR	79.8750122569363	127.07725887084189	93.04772887222178
KLHL13	103.98608530452604	60.139020253469525	135.87489444200443
CYP26B1	39.44411525490669	80.63340019733803	179.92248454775526
ICA1	72.10305189745118	56.56053937547082	171.33640872707798
DBNDD1	61.701775107237225	135.06641954629174	103.231805346471
ALS2	52.27482974248987	151.00546773811678	96.71970251939334
CFLAR	89.27103532801164	183.4855282034933	27.243436468495112
TFPI	56.34868572224146	223.3942400861261	20.25707419163245
NDUFAF7	116.04221651995917	81.41592920353982	102.54185427650103
RBM5	100.47054315657962	101.41825676688777	98.11120007653268
MTMR7	97.12563463317748	66.34509353924886	136.52927182757367
SLC7A2	90.90628667618942	125.02267641141012	84.07103691240049
ARF5	118.29311509087772	111.03675297288136	70.67013193624099
SARM1	127.39282411541294	52.84033847387204	119.76683741071503
PLXND1	110.20096781566922	95.02033180588501	94.77870037844578
AK2	27.78379512625631	222.53203852337356	49.68416635037014
CD38	103.90668996509204	82.34600635462506	113.7473036802829
FKBP4	84.89920337503114	127.06912828871948	88.0316683362494
KDM1A	103.10681795125791	103.36606599393707	93.52711605480496
RBM6	121.830204045772	137.848534120053	40.32126183417502
CAMKK1	101.49048872197844	148.89002524742963	49.619486030591894
RECQL	72.24195330996483	169.10840344784617	58.649643242188986
CCDC132	63.53556608353942	110.3819755268628	126.08245838959775
HSPB6	117.80542421951255	91.76278414292186	90.43179163756558
ARHGAP33	144.2619951814893	110.0160722875681	45.72193253094261
NDUFAB1	79.49024634906046	87.30246523762317	133.20728841331635
PDK4	113.3632875370026	159.24500181148082	27.39171065151667
ZMYND10	114.98337165086664	101.2198877184615	83.79674063067188
ARX	26.607361102762923	95.55388077958253	177.83875811765455
SLC25A13	137.91176382696847	129.60652634091136	32.48170983212015
ST7	107.08026840510556	77.52255024259226	115.39718135230217
CDC27	72.83627054016483	148.14731316719406	79.01641629264114
SLC4A1	288.56295411106294	1.633181118111713	9.803864770825344
CALCR	116.42048310104376	72.5084352171588	111.07108168179751
HCCS	113.24376990001169	85.3479907230336	101.40823937695464
DVL2	92.7223413065999	95.44173426655392	111.8359244268462
UPF1	74.71792921927437	118.85837990334771	106.42369087737791
SKAP2	64.41045589635326	140.87564196618726	94.7139021374595
SLC25A5	194.9923715329656	65.78356740514384	39.22406106189065
CCDC109B	127.25987263284286	73.33421606018231	99.40591130697484
POLR2J	79.35352275067106	78.78776395060126	141.85871329872762
DHX33	61.161944601732706	175.79753476965877	63.04052062860854
MEOX1	172.94090544091415	68.42967110495056	58.62942345413534
THSD7A	96.60656798625524	102.03477248037571	101.35865953336905
LIG3	91.98066780473148	138.48276498527682	69.53656720999165
RPAP3	70.21664375119751	117.82701616420064	111.95634008460192
ACSM3	66.89479913081631	76.9081088992614	156.1970919699223
AC004381.6	40.381602292295085	101.09458494713557	158.5238127605693
CIAPIN1	112.26924573716954	97.3900787173367	90.34067554549372
SPPL2B	80.41152685302366	89.85309862984214	129.73537451713426
