	Human_Prefrontal_Cortex_Relative_Gene_Expression_Difference(RPKM)	Chimp_Prefrontal_Cortex_Relative_Gene_Expression_Difference(RPKM)	Rhesus_Monkey_Prefrontal_Cortex_Relative_Gene_Expression_Difference(RPKM)
TSPAN6	92.06812566699608	123.78949161088264	84.14238272212124
TNMD	52.40454806884042	20.072856685440726	227.52259524571886
DPM1	110.64532834424332	111.10016415921795	78.25450749653872
SCYL3	76.03608256931504	114.26839841642709	109.69551901425785
C1orf112	94.56928543644412	109.85632772994396	95.57438683361194
FGR	121.62434454745998	111.19040558946209	67.18524986307793
CFH	68.21514552026066	26.772787466082516	205.0120670136568
FUCA2	121.26327964065982	124.35697681580622	54.379743543533955
GCLC	89.91160301118038	129.8756015509327	80.21279543788694
NFYA	83.24664620638293	135.05027418419368	81.70307960942338
STPG1	192.00154377292586	102.6868531236317	5.311603103442404
NIPAL3	107.94638139726702	117.14652805367052	74.90709054906253
LAS1L	95.71707396794028	86.90824578095666	117.37468025110304
ENPP4	113.95726963727766	122.42544537985245	63.617284982869904
SEMA3F	104.79940963782902	151.87165017114611	43.32894019102485
CFTR	124.56489204777716	64.24907383952161	111.18603411270125
ANKIB1	107.2165553549845	119.32845113984544	73.45499350517002
CYP51A1	116.28240543120525	101.30863185590144	82.40896271289331
KRIT1	109.65281973160164	119.18630357428954	71.16087669410882
RAD52	114.82358327914781	99.43818068744642	85.73823603340583
BAD	126.94159370311917	91.1837726802238	81.87463361665708
LAP3	83.80758330936698	131.02247286975864	85.16994382087442
AOC1	9.00269343319226	14.132110343953237	276.8651962228545
WNT16	68.05856112309185	120.50354985808723	111.43788901882097
HECW1	90.94491690345976	101.98830118661999	107.06678190992025
MAD1L1	118.13931837381149	82.90689355377432	98.95378807241418
LASP1	103.95115912270406	85.26991998417954	110.77892089311645
SNX11	94.31700048360993	91.72041759794752	113.96258191844255
TMEM176A	79.49665872089084	120.64094511438337	99.8623961647258
M6PR	88.26315247031184	116.7299528502803	95.00689467940788
KLHL13	111.10821462900722	89.71665276454226	99.17513260645052
CYP26B1	137.49454632207892	107.52548337683501	54.97997030108608
ICA1	128.58653450306144	106.36062981999336	65.0528356769452
DBNDD1	125.52048999035483	70.07584590689152	104.40366410275368
ALS2	94.60808132259956	92.19024881792109	113.20166985947932
CFLAR	106.13171111326771	105.25482676839806	88.61346211833425
TFPI	87.29033504603449	65.42366983789238	147.28599511607317
NDUFAF7	136.96353045018836	63.726037838702986	99.31043171110868
RBM5	98.53650484585852	111.03420709106686	90.42928806307461
MTMR7	93.89175682888981	94.56863049075503	111.53961268035515
SLC7A2	33.050749143422955	156.88227094212036	110.06697991445668
ARF5	107.68700852987196	88.03846559192534	104.2745258782027
SARM1	74.74678507325602	84.99710393167479	140.25611099506926
PLXND1	122.18832829427255	97.59965806102431	80.21201364470313
AK2	50.39045117575861	142.54963016418287	107.0599186600585
CD38	49.60554141274757	118.85736232287971	131.53709626437268
FKBP4	88.78219302793063	111.32948580010935	99.88832117196
KDM1A	90.43960180824632	111.66396016927011	97.89643802248358
RBM6	129.05404024387482	126.54788472928418	44.39807502684097
CAMKK1	70.52114195063108	95.6068384025223	133.87201964684664
RECQL	93.30903999093772	136.34804238079536	70.3429176282669
CCDC132	103.46912176459301	104.9769742225866	91.55390401282037
HSPB6	64.20682256274723	64.07550800452853	171.71766943272425
ARHGAP33	91.46881157020964	92.88847892399143	115.64270950579893
NDUFAB1	74.54827085444926	76.66008965910027	148.7916394864505
PDK4	98.74390964475415	171.12830865899622	30.127781696249574
ZMYND10	101.62617011576751	92.32990353228125	106.04392635195121
ARX	103.97044052200776	53.57550068796658	142.45405879002564
SLC25A13	82.1137390388322	117.22259111786445	100.66366984330341
ST7	100.34978406268284	118.82764637043175	80.82256956688535
CDC27	106.98676931462052	113.67806921923969	79.3351614661398
SLC4A1	163.70331891153364	0.0	136.29668108846636
CALCR	73.63028917892494	66.057891610754	160.31181921032106
HCCS	101.94878448675355	102.12779527047091	95.9234202427755
DVL2	104.46854639629596	102.80456792317831	92.72688568052574
UPF1	80.37048150272184	102.62049920743424	117.00901928984395
SKAP2	121.12072236766058	106.18627805016776	72.69299958217165
SLC25A5	110.44953143703071	94.10448494850888	95.44598361446039
CCDC109B	66.10707849772876	131.95656078281806	101.9363607194532
POLR2J	31.04833101469301	89.12589641795341	179.82577256735357
DHX33	89.88496295120618	115.37962211247827	94.73541493631552
MEOX1	0.0	0.0	300.0
THSD7A	71.53923236002345	111.54229476858517	116.91847287139142
LIG3	129.56442429225703	95.9199144791191	74.51566122862383
RPAP3	104.32060796073411	104.93036152032009	90.74903051894584
ACSM3	51.20775245436234	118.39881264233082	130.39343490330683
AC004381.6	115.36407587958566	127.91452966132175	56.721394459092544
CIAPIN1	123.61282122327677	96.01816802188264	80.36901075484063
SPPL2B	73.71453004002682	74.65626114585542	151.62920881411782
FAM214B	89.15783791462049	103.30768563520294	107.53447645017656
COPZ2	63.26948335515211	70.24927260669338	166.48124403815447
PRKAR2B	102.52516391917949	116.53615783673217	80.93867824408835
MSL3	112.1400148381839	117.69416900331342	70.16581615850268
CREBBP	95.40816587842677	104.0707751368604	100.52105898471282
BZRAP1	116.43079107290836	94.37825026958912	89.19095865750256
MPO	108.52234121844293	185.36242022830515	6.115238553251881
PON1	236.36761603505062	37.58291726324528	26.049466701704148
GCFC2	140.47029876253333	124.55311717584831	34.97658406161833
WDR54	91.57113478961723	88.05049817673206	120.3783670336507
CROT	140.17055846557741	120.14138211652745	39.688059417895175
ABCB4	96.03728526733056	104.47466255781666	99.48805217485275
KMT2E	91.39089559074988	115.3207808581376	93.28832355111257
RHBDD2	129.60647349362796	89.40927704508934	80.9842494612827
SOX8	82.71213926149433	97.49611627281692	119.79174446568874
IBTK	116.69916496275535	112.66964688403296	70.63118815321174
