	Human_Primary_Visual_Cortex_Relative_Gene_Expression_Difference(RPKM)	Chimp_Primary_Visual_Cortex_Relative_Gene_Expression_Difference(RPKM)	Rhesus_Monkey_Primary_Visual_Cortex_Relative_Gene_Expression_Difference(RPKM)
TSPAN6	94.30305451190358	120.49299571589837	85.203949772198
TNMD	23.534265912395586	55.22453008416558	221.24120400343884
DPM1	103.80672602704706	97.69209135903012	98.50118261392288
SCYL3	49.509730883434635	108.29353508531214	142.1967340312532
C1orf112	113.40909215921128	86.36442127529149	100.22648656549723
FGR	117.57882833308983	126.67825177078183	55.74291989612832
CFH	63.55203837243902	21.33538979609304	215.11257183146793
FUCA2	131.3209617191879	96.43130953667804	72.2477287441341
GCLC	92.69191037754648	124.00725229480992	83.30083732764355
NFYA	97.93165490193641	124.53481923176983	77.53352586629376
STPG1	165.8830370956808	123.86546282605057	10.251500078268611
NIPAL3	100.73738205943027	99.7725428155312	99.49007512503853
LAS1L	91.68594748847642	82.62589285685135	125.68815965467222
ENPP4	115.62052216664101	113.70532324800149	70.67415458535754
SEMA3F	67.31059605088117	164.88855313047597	67.8008508186429
CFTR	134.2233893974441	93.54618349114726	72.23042711140863
ANKIB1	116.79222456124859	99.89922720162012	83.30854823713129
CYP51A1	100.64250786848443	109.73541485161726	89.62207727989825
KRIT1	94.23848093899652	122.62964311297947	83.13187594802403
RAD52	116.33461921375276	94.40020426644888	89.26517651979835
BAD	135.86991809033464	120.30914111865201	43.82094079101335
LAP3	89.50852856343306	133.88383093738076	76.60764049918615
AOC1	0.0	300.0	0.0
WNT16	33.04943582055879	97.85526466242102	169.0952995170202
HECW1	55.745513089005236	100.0603507853403	144.19413612565444
MAD1L1	113.19520624990491	94.89670091421995	91.90809283587515
LASP1	75.55004310315383	86.84956513933415	137.60039175751206
SNX11	77.15852712701128	89.93291692734012	132.9085559456486
TMEM176A	105.7066254922792	109.05999013400725	85.23338437371353
M6PR	69.97391796075173	115.1930130642194	114.83306897502882
KLHL13	77.25582724351995	83.73118297153057	139.01298978494947
CYP26B1	93.11150063518085	117.6425968659687	89.24590249885044
ICA1	108.74034693089575	109.56319486000301	81.69645820910125
DBNDD1	116.89542187205242	69.03106524233989	114.07351288560763
ALS2	60.10319355661841	98.22437990303521	141.6724265403464
CFLAR	125.16704495397752	86.00908950991301	88.8238655361095
TFPI	75.9654924202614	84.70134535297417	139.33316222676447
NDUFAF7	115.1411820783211	66.83159261575862	118.02722530592027
RBM5	98.6506409806372	104.24087349205647	97.10848552730634
MTMR7	63.87784934687236	86.23214223401898	149.89000841910868
SLC7A2	31.9731742066335	128.8592660286254	139.1675597647411
ARF5	98.28140302076778	112.42386939531947	89.29472758391279
SARM1	60.90250345984736	86.93118034985075	152.16631619030184
PLXND1	92.82490761141108	108.06758303826763	99.10750935032128
AK2	66.80826818737485	136.62562914344093	96.56610266918423
CD38	52.46973165322849	95.80433271287284	151.7259356338987
FKBP4	72.86711418046781	110.34836711551783	116.78451870401436
KDM1A	81.8448420685249	108.86894199492359	109.28621593655153
RBM6	132.31264835045914	124.98989226844095	42.6974593810999
CAMKK1	41.39469477719757	119.08947268315333	139.5158325396491
RECQL	85.67971278501622	120.93154535079866	93.38874186418512
CCDC132	78.52536543422184	116.24884144230666	105.2257931234715
HSPB6	71.34279107939322	41.47750923402176	187.17969968658502
ARHGAP33	93.91193548536708	118.21427365284718	87.87379086178572
NDUFAB1	71.73075659991731	90.31775359852972	137.95148980155298
PDK4	159.74517152881637	109.7620193730903	30.492809098093332
ZMYND10	88.0380861882063	73.82582601812237	138.1360877936713
ARX	74.27230914895132	78.13566819368286	147.59202265736582
SLC25A13	99.12390429010772	116.75073770622666	84.12535800366565
ST7	94.43032763726103	111.76753751068769	93.80213485205124
CDC27	88.51928442457067	103.55445151152615	107.92626406390315
SLC4A1	181.96965004145812	0.0	118.03034995854182
CALCR	0.0	0.0	300.0
HCCS	77.47981406233284	100.56968143058225	121.95050450708496
DVL2	119.11763661969471	97.33284876373443	83.54951461657086
UPF1	70.75100354978302	100.22224569851372	129.02675075170328
SKAP2	89.83507253711909	136.72187207829637	73.44305538458454
SLC25A5	101.26309249844685	96.64811357451556	102.08879392703756
CCDC109B	52.91907326618307	137.64815512515648	109.43277160866049
POLR2J	53.11214031740759	92.51540013558014	154.37245954701228
DHX33	69.79674425336555	96.47496559853846	133.728290148096
MEOX1	88.70633190962259	80.01156886689375	131.28209922348364
THSD7A	44.64926164384272	106.10325426529631	149.24748409086095
LIG3	95.91968057430095	103.61772304677098	100.46259637892807
RPAP3	88.40551981441179	91.48089409992109	120.11358608566711
ACSM3	126.77856330856021	85.84108500581831	87.38035168562146
AC004381.6	88.7398469510673	139.7180341073809	71.54211894155176
CIAPIN1	99.39153483067454	100.63215377474432	99.97631139458116
SPPL2B	68.94336664677253	75.50167725093677	155.55495610229067
FAM214B	107.72822663435552	98.6230803611959	93.64869300444859
COPZ2	117.74252683454662	60.75580348440728	121.5016696810461
PRKAR2B	72.69363169831541	126.40812188972271	100.89824641196185
MSL3	89.97307100013924	129.01329642868018	81.01363257118054
CREBBP	77.98328447354469	100.36101709069287	121.65569843576245
BZRAP1	78.06143763444068	111.6759410769299	110.2626212886294
MPO	99.42312499142201	186.1122238693935	14.464651139184525
PON1	168.74685137294955	0.0	131.25314862705042
GCFC2	169.77009702192495	88.74507270384004	41.48483027423501
WDR54	79.97198868936083	113.30703249436338	106.72097881627577
CROT	95.42544202857064	125.18740035485972	79.38715761656961
ABCB4	131.8143515479846	96.0577782951664	72.12787015684897
