	p_Hum-Chimp	p_Hum-Rhesus_Monkey	p_Rhesus_Monkey_Chimp
TSPAN6	-0.42501928624712093	0.12909945453927296	-0.5541187407863939
TNMD	1.211505806221136	-2.0276651717792746	3.23917097800041
DPM1	-0.005906624795216864	0.498505801666945	-0.5044124264621619
SCYL3	-0.5842629471955902	-0.5256238719181594	-0.05863907527743084
C1orf112	-0.2120694369104199	-0.01494252670800389	-0.19712691020241602
FGR	0.12850698746153633	0.8485250732223681	-0.7200180857608318
CFH	1.3415863083225603	-1.5841961976417274	2.9257825059642877
FUCA2	-0.03627730955278974	1.1536735184064035	-1.1899508279591933
GCLC	-0.5299340766580558	0.16443248239901287	-0.6943665590570687
NFYA	-0.6966775067074176	0.026934988772337576	-0.7236124954797551
STPG1	0.9006006252336727	5.086986606354574	-4.186385981120901
NIPAL3	-0.11790594619741146	0.5266164239096742	-0.6445223701070857
LAS1L	0.13910355493995485	-0.2939458811534674	0.4330494360934223
ENPP4	-0.10333201057209251	0.8401048375617846	-0.9434368481338771
SEMA3F	-0.5314413041437129	1.257048077980388	-1.788489382124101
CFTR	0.774889494472552	0.13951904389901237	0.6353704505735396
ANKIB1	-0.15422649499784313	0.5447628650683054	-0.6989893600661485
CYP51A1	0.19877613802890615	0.49648274783066615	-0.29770660980176
KRIT1	-0.12015123921740933	0.6229463933228443	-0.7430976325402536
RAD52	0.20590848922692162	0.41781791327249707	-0.21190942404557545
BAD	0.47711227109134846	0.6323906608138232	-0.15527838972247476
LAP3	-0.6441923765921782	-0.023242782049933908	-0.6209495945422443
AOC1	-0.23793138901163502	-3.3734010677043265	3.1354696786926914
WNT16	-0.8119976263670035	-0.700457798085421	-0.11153982828158249
HECW1	-0.16516469251533117	-0.2352039620771018	0.07003926956177065
MAD1L1	0.5093322017428878	0.25493533943305025	0.2543968623098376
LASP1	0.28561813520145574	-0.09172721099952597	0.3773453462009817
SNX11	0.04018938598198307	-0.2724495538579692	0.3126389398399523
TMEM176A	-0.6001100343915207	-0.3280647686898881	-0.27204526570163257
M6PR	-0.40309131859448133	-0.10616263919812852	-0.2969286793963528
KLHL13	0.3069500255922497	0.16312379395677024	0.14382623163547947
CYP26B1	0.3540302653225895	1.3188163672791422	-0.9647861019565527
ICA1	0.2735726765036377	0.9821087470809982	-0.7085360705773605
DBNDD1	0.8404334889827076	0.2656226483851105	0.5748108405975971
ALS2	0.03728559780016649	-0.2584611387440594	0.2957467365442259
CFLAR	0.01193894346773483	0.259535679267918	-0.24759673580018315
TFPI	0.4099876929273796	-0.7473535914222955	1.157341284349675
NDUFAF7	1.1009672645913087	0.46282727390808454	0.6381399906832241
RBM5	-0.1721727278828018	0.12378753325411651	-0.2959602611369183
MTMR7	-0.010349564960047353	-0.24818428676340698	0.23783472180335963
SLC7A2	-2.229657872253607	-1.720328187054514	-0.5093296851990932
ARF5	0.2906028378815666	0.04645225877623105	0.24415057910533555
SARM1	-0.18491200222577753	-0.9060808983553796	0.7211688961296021
PLXND1	0.32362946978435314	0.6061175960645562	-0.28248812628020303
AK2	-1.4984235013990013	-1.08570744839629	-0.4127160530027112
CD38	-1.2469946816869664	-1.392284894781358	0.1452902130943916
FKBP4	-0.3264183147599873	-0.17000439268262113	-0.15641392207736615
KDM1A	-0.30389473334245576	-0.11420461320404574	-0.18969012013841002
RBM6	0.028276812082356884	1.5379528508144107	-1.5096760387320538
CAMKK1	-0.4388920834440224	-0.9244275077728741	0.48553542432885166
RECQL	-0.5457303740069177	0.406087806855858	-0.9518181808627757
CCDC132	-0.020848448354526816	0.17628788654015537	-0.19713633489468219
HSPB6	0.002949875145838554	-1.418103571194937	1.4210534463407756
ARHGAP33	-0.02219893294679043	-0.3380375946276004	0.31583866168081
NDUFAB1	-0.04029220023032565	-0.9968909688841467	0.9565987686538211
PDK4	-0.7916448780545551	1.7036390921313944	-2.4952839701859495
SLC22A16	-0.9324731165716927	0.19268857161285768	-1.1251616881845505
ZMYND10	0.1357691392096827	-0.06029921431957863	0.19606835352926133
ABCB5	0.0	-0.5341861390900973	0.5341861390900973
ARX	0.9548648735463265	-0.4538452835370652	1.4087101570833918
SLC25A13	-0.5112163825917566	-0.29240907718625664	-0.21880730540549997
ST7	-0.24334669815085874	0.31145210441694715	-0.5547988025678059
CDC27	-0.08742433155865648	0.4308244773183949	-0.5182488088770514
SLC4A1	3.421314874627004	0.23750550362482487	3.1838093710021793
CALCR	0.13160905696225011	-0.9985819716511773	1.1301910286134276
HCCS	-0.0025279134475475473	0.08777927017562792	-0.09030718362317547
DVL2	0.02311771268785101	0.17164485058647738	-0.14852713789862637
PRSS22	0.0	-8.492566920168255	8.492566920168255
UPF1	-0.35223688276907605	-0.5413846546472696	0.18914777187819354
SKAP2	0.18943015473954716	0.7345774651718466	-0.5451473104322995
SLC25A5	0.2310325829996085	0.21061341098363862	0.020419172015969878
CCDC109B	-0.9939011704333653	-0.6224789088422016	-0.37142226159116376
HOXA11	0.0	0.0	0.0
POLR2J	-1.5206959714979238	-2.5332084590752633	1.0125124875773395
DHX33	-0.35944827619895214	-0.0756414028628205	-0.28380687333613164
MEOX1	0.0	-3.97834208874892	3.97834208874892
THSD7A	-0.6359148334209563	-0.7034257069005094	0.06751087347955309
LIG3	0.4323574201737008	0.7950860801835651	-0.36272866000986426
RPAP3	-0.008393339059968419	0.20069282571497915	-0.20908616477494757
ACSM3	-1.1309004121137836	-1.2644634940720922	0.13356308195830868
AC004381.6	-0.14733547214760856	1.0069498324657085	-1.154285304613317
CIAPIN1	0.3641396077670196	0.6205378171038403	-0.25639820933682067
SPPL2B	-0.01828768841657702	-1.0394448252497153	1.0211571368331382
FAM214B	-0.2122241386748387	-0.2700040130636898	0.05777987438885113
COPZ2	-0.14951930054325846	-1.3866802906554554	1.237160990112197
PRKAR2B	-0.18470715069085308	0.3408717953986695	-0.5255789460895226
MSL3	-0.06967887123930971	0.6756649726427035	-0.7453438438820132
CREBBP	-0.12524861489691563	-0.07523263029796556	-0.05001598459895007
BZRAP1	0.3027545100022637	0.3842525739691185	-0.08149806396685477
MPO	-0.7659526281516573	3.9119684244158117	-4.677921052567469
PON1	2.185736615280761	2.518428593755406	-0.33269197847464493
