	v_Hum-Chimp	v_Hum-Rhesus_Monkey	v_Rhesus_Monkey_Chimp
TSPAN6	-0.3508566057944442	0.145051497279018	-0.4959081030734622
TNMD	-0.9209215896629146	-2.716597566333645	1.7956759766707304
DPM1	0.08739140214186847	0.07551929905762211	0.011872103084246355
SCYL3	-1.1209377243811578	-1.512221531581433	0.3912838072002751
C1orf112	0.3866667985390806	0.17559752529342854	0.21106927324565206
FGR	-0.10706302585115868	1.06941320005641	-1.1764762259075687
CFH	1.566531437624962	-1.7561653573475438	3.3226967949725057
FUCA2	0.44460814834441287	0.8600049140590889	-0.415396765714676
GCLC	-0.4194235323506348	0.15389569098878475	-0.5733192233394195
NFYA	-0.34602639994296513	0.3361233795156009	-0.682149779458566
STPG1	0.4201754332701011	3.962776913893349	-3.5426014806232478
NIPAL3	0.01387144458462597	0.01795783598864631	-0.00408639140402034
LAS1L	0.14993787914341716	-0.4546596784682091	0.6045975576116263
ENPP4	0.024075341460657818	0.7092990710994114	-0.6852237296387536
SEMA3F	-1.2864876701239418	-0.010395390553071149	-1.2760922795708707
CFTR	0.4749287373756829	0.8046137445800321	-0.32968500720434923
ANKIB1	0.22511101948248058	0.4867238577076334	-0.2616128382251528
CYP51A1	-0.1247034242673557	0.1671860951908437	-0.2918895194581994
KRIT1	-0.3795522031846241	0.18070256214146685	-0.560254765326091
RAD52	0.2984789548594948	0.3782757685763163	-0.07979681371682146
BAD	0.1754181246730333	1.6315321859460559	-1.4561140612730226
LAP3	-0.5804768459403062	0.22432969517812928	-0.8048065411184355
AOC1	-3.712377507249155	0.0	-3.712377507249155
WNT16	-1.511058495327681	-2.2880858299278213	0.77702733460014
HECW1	-0.8428640744963491	-1.3695906003060268	0.5267265258096776
MAD1L1	0.2536766654268501	0.2997006518673633	-0.0460239864405132
LASP1	-0.20090755176262132	-0.8643613305558233	0.663453778793202
SNX11	-0.22048991961575126	-0.7829597448439287	0.5624698252281775
TMEM176A	-0.04493897609848396	0.3096604419551978	-0.3545994180536818
M6PR	-0.7187038742604974	-0.714191053604285	-0.004512820656212391
KLHL13	-0.1153802558084327	-0.8432421597217732	0.7278619039133405
CYP26B1	-0.3360113733623793	0.06088946688127361	-0.3969008402436529
ICA1	-0.010867760801416715	0.4121829881430825	-0.42305074894449923
DBNDD1	0.7593341132088929	0.035234361773123446	0.7240997514357694
ALS2	-0.7071797240329403	-1.2348792943519742	0.5276995703190339
CFLAR	0.5399048353793328	0.49358723683769323	0.046317598541639526
TFPI	-0.15474142797673318	-0.8649561854731291	0.710214757496396
NDUFAF7	0.7828148951471974	-0.03564849665987957	0.818463391807077
RBM5	-0.07946995557923842	0.022716017453316084	-0.1021859730325545
MTMR7	-0.4320623518083311	-1.228639608156266	0.796577256347935
SLC7A2	-1.9920877375595598	-2.1026524086066853	0.11056467104712553
ARF5	-0.1939341885178898	0.1383243959132603	-0.3322585844311501
SARM1	-0.5117273399790063	-1.3177788845908083	0.806051544611802
PLXND1	-0.21903169634707087	-0.09433937678150883	-0.12469231956556204
AK2	-1.031182479542836	-0.5309191314907382	-0.5002633480520977
CD38	-0.8527769661977938	-1.5089617092968384	0.6561847430990446
FKBP4	-0.598571381779589	-0.6803386236882236	0.0817672419086346
KDM1A	-0.41125447471274246	-0.4167691485234073	0.0055146738106648385
RBM6	0.08210333126117675	1.6304318757020777	-1.548328544440901
CAMKK1	-1.5239243467622448	-1.752260204907584	0.2283358581453392
RECQL	-0.4957676998489893	-0.1238994256785686	-0.3718682741704207
CCDC132	-0.5652185519828077	-0.4216579133358893	-0.14356063864691837
HSPB6	0.7817210064222442	-1.3909675490259579	2.172688555448202
ARHGAP33	-0.331652889872716	0.09575163395878938	-0.4274045238315054
NDUFAB1	-0.3323439644871904	-0.9433251566617642	0.6109811921745738
PDK4	0.5402050573133153	2.3782076372518346	-1.8380025799385193
SLC22A16	0.0059684950719423036	0.22451684621229306	-0.21854835114035076
ZMYND10	0.24683800358322694	-0.6362965406064023	0.8831345441896292
ABCB5	0.0	0.0	0.0
ARX	-0.07296888263040024	-0.9888288359932336	0.9158599533628333
SLC25A13	-0.2352406992601539	0.23564665366709558	-0.4708873529272495
ST7	-0.2426171402895161	0.009605264086387066	-0.25222240437590315
CDC27	-0.22593934977729013	-0.28550357047370056	0.05956422069641043
SLC4A1	3.090891247079004	0.5356108860849387	2.5552803609940655
CALCR	0.0	-2.130816130384296	2.130816130384296
HCCS	-0.3756955033063196	-0.6534382409279225	0.27774273762160284
DVL2	0.29086449555927896	0.5106874477225887	-0.21982295216330971
PRSS22	0.0	0.0	0.0
UPF1	-0.5018482560749247	-0.8660304942107784	0.3641822381358537
SKAP2	-0.6034117627470454	0.28903990962283466	-0.8924516723698801
SLC25A5	0.06729010017572712	-0.01171523953537168	0.0790053397110988
CCDC109B	-1.3676540914330446	-1.0385671354465544	-0.3290869559864902
HOXA11	0.0	0.0	0.0
POLR2J	-0.8003729792901959	-1.5388722792617058	0.7384992999715099
DHX33	-0.46562622444579826	-0.9357060706979041	0.47007984625210586
MEOX1	0.10508997705011258	-0.42654286800981667	0.5316328450599292
THSD7A	-1.2400493785291067	-1.7304507526336783	0.49040137410457163
LIG3	-0.11092179107869082	-0.06648567676122763	-0.04443611431746319
RPAP3	-0.049211316542823624	-0.44122720864037746	0.39201589209755383
ACSM3	0.5354953655946701	0.511318790259537	0.024176575335133177
AC004381.6	-0.6456967443215476	0.30478099183482366	-0.9504777361563712
CIAPIN1	-0.017876379576140522	-0.00845379118200107	-0.009422588394139453
SPPL2B	-0.1309196010949787	-1.172803564670014	1.0418839635750352
FAM214B	0.127183593453859	0.2017146319524903	-0.0745310384986313
COPZ2	0.9439899692441904	-0.04499128594478119	0.9889812551889716
PRKAR2B	-0.7975914937412023	-0.47260765529691007	-0.32498383844429224
MSL3	-0.5194078440199537	0.1511288043038812	-0.6705366483238349
