	Human_Cerebellar_Cortex_Relative_Gene_Expression_Difference(RPKM)	Chimp_Cerebellar_Cortex_Relative_Gene_Expression_Difference(RPKM)	Rhesus_Monkey_Cerebellar_Cortex_Relative_Gene_Expression_Difference(RPKM)
TSPAN6	0.6770319490411962	1.3066952727837189	1.0162727781750849
TNMD	0.0	0.660670003906461	2.339329996093539
DPM1	1.0192247996214405	0.8775662837898427	1.1032089165887164
SCYL3	0.7009901897409605	1.2068147988537776	1.0921950114052623
C1orf112	1.0957160259124747	1.016216147317207	0.8880678267703176
FGR	0.8792590678755489	1.14337687065691	0.9773640614675412
CFH	0.2586253728347901	0.39551637264542355	2.3458582545197864
FUCA2	0.919751958430455	1.0280956819700524	1.0521523595994926
GCLC	0.8029553878983783	1.3092457829531232	0.8877988291484982
NFYA	0.783623192573441	1.3868233473369949	0.8295534600895643
STPG1	2.236677780249273	0.6777324148691329	0.08558980488159365
NIPAL3	0.8568310818384696	0.8766979622754307	1.2664709558860994
LAS1L	1.0233393224510283	0.9154778890400884	1.0611827885088834
ENPP4	0.6012671259129522	1.323787510868224	1.074945363218824
SEMA3F	0.4152818577207079	0.7020679146713105	1.882650227607982
CFTR	0.3704422402055907	2.182614351375429	0.44694340841898056
ANKIB1	0.9003820431104622	1.2171549502113477	0.8824630066781897
CYP51A1	0.9839071325106801	1.0849045062510887	0.9311883612382311
KRIT1	0.985763663060712	1.1187097306827845	0.8955266062565035
RAD52	1.0312851645321541	0.9552703256101969	1.0134445098576492
BAD	1.1293067272735564	1.0018305834194818	0.8688626893069619
LAP3	0.7779782881848928	1.3122300105402083	0.9097917012748993
AOC1	0.0	0.09348641546171436	2.9065135845382857
WNT16	0.4150396992956086	1.4303775185775938	1.1545827821267975
HECW1	0.5934467950550733	0.6857874450458261	1.7207657598991002
MAD1L1	0.9853714039772216	0.9122539386868587	1.1023746573359199
LASP1	0.6975959623579874	0.8598209477099445	1.4425830899320684
SNX11	0.7867023129233935	0.7089263229199106	1.5043713641566956
TMEM176A	0.7281192760846358	1.3383684433513086	0.933512280564056
M6PR	0.6183717951723229	1.190738932373768	1.1908892724539093
KLHL13	0.7000003497819195	1.039141186774653	1.2608584634434277
CYP26B1	1.494409209206101	0.5797655875497557	0.9258252032441434
ICA1	1.6469772489617387	0.8854005429637376	0.4676222080745239
DBNDD1	1.0249123297075575	0.7894505409275977	1.1856371293648442
ALS2	0.7818935630925853	1.2447238463814487	0.9733825905259655
CFLAR	1.7202571057283682	0.6659234249004979	0.613819469371134
TFPI	0.3966441414935366	0.440593776268967	2.1627620822374958
NDUFAF7	1.0880595114963363	0.6730461083103828	1.2388943801932806
RBM5	1.0605517350145446	1.0746858437922266	0.8647624211932289
MTMR7	0.9477982784755167	0.9520494308321131	1.1001522906923702
SLC7A2	0.2153514553464858	0.832776715530622	1.9518718291228923
ARF5	1.1711325870933027	0.9607315410981447	0.8681358718085526
SARM1	0.6525353579695754	0.8817162323493631	1.4657484096810616
PLXND1	0.5647121833651845	0.9094507697942752	1.5258370468405404
AK2	0.5054107003099719	1.307272625154185	1.1873166745358426
CD38	0.080802136647376	0.975950414864796	1.943247448487828
FKBP4	0.9175491143120017	0.7517612722187438	1.3306896134692543
KDM1A	0.9881715496809684	1.0222912530968777	0.9895371972221538
RBM6	1.4352949646057895	1.148088510648141	0.4166165247460698
CAMKK1	0.7764516156034298	0.8319365334599681	1.391611850936602
RECQL	0.882909206319811	1.1585619663638667	0.9585288273163218
CCDC132	0.8756210504335797	0.8904701291440628	1.2339088204223574
HSPB6	0.21188388283263404	0.7074094262070734	2.0807066909602927
ARHGAP33	1.0071835516716114	1.0098831565789863	0.9829332917494022
NDUFAB1	0.7113028973266882	0.7625148385646073	1.5261822641087046
PDK4	0.7268361008759242	1.8483893614578768	0.42477453766619877
SLC22A16			
ZMYND10	1.0458121909681093	1.0131062492365932	0.9410815597952971
ABCB5			
ARX	0.0	0.0	3.0
SLC25A13	0.66745930812492	0.9594808414074519	1.3730598504676286
ST7	1.0624798720667699	1.2204487694590198	0.7170713584742102
CDC27	0.9151255466706474	1.148256054604911	0.9366183987244417
SLC4A1	2.488454928300647	0.1841620028906642	0.3273830688086888
CALCR	0.0	0.0	3.0
HCCS	0.798202767895239	0.8636415543483115	1.3381556777564498
DVL2	1.1563082220441478	1.0407003884644794	0.8029913894913726
PRSS22	1.1384664959135293	1.5152714228875517	0.34626208119891916
UPF1	0.8455677156434633	0.9507696455249727	1.203662638831564
SKAP2	0.9053198659705354	1.2827446221424559	0.8119355118870087
SLC25A5	1.1806990351500914	0.8353719885072919	0.9839289763426169
CCDC109B	0.0758900168033312	1.3640060183062126	1.5601039648904562
HOXA11			
POLR2J	0.36259605171387616	0.9310148529473916	1.7063890953387322
DHX33	0.7500706807713193	1.1857501229489047	1.064179196279776
MEOX1	0.0	1.5473752774293157	1.4526247225706843
THSD7A	0.2969596635444526	1.101578708130949	1.6014616283245984
LIG3	1.0377007503786717	0.9557895755663571	1.0065096740549713
RPAP3	0.9810576225943021	1.1477835134161074	0.8711588639895904
ACSM3	0.4889152420817169	0.6102091351470178	1.9008756227712658
AC004381.6	0.8668520519088696	0.8911606072762769	1.2419873408148536
CIAPIN1	1.0473748752563532	0.8888570365291365	1.0637680882145106
SPPL2B	0.9789042322893059	0.6018820034919393	1.4192137642187546
FAM214B	0.8092330814610564	1.4252513298737874	0.7655155886651556
COPZ2	0.60360058233301	0.39927270892856725	1.9971267087384228
PRKAR2B	0.9540252914270184	1.1631769599295803	0.8827977486434013
MSL3	1.0535264833650906	1.1494769125219664	0.7969966041129432
CREBBP	0.8692894752628797	1.1995514494586732	0.9311590752784472
BZRAP1	0.7867877474732217	1.201468560522484	1.0117436920042944
MPO	0.6098780293745559	2.1744721610875755	0.21564980953786853
PON1	1.8269697981919102	1.1730302018080903	0.0
GCFC2	1.372127319859635	1.1548281128921953	0.4730445672481696
WDR54	0.7165884042178907	1.004594789188748	1.2788168065933616
CROT	1.3249850722125387	1.0787039382644563	0.5963109895230055
ABCB4	0.44679317856529044	0.8131841805363081	1.7400226408984014
KMT2E	0.8538293464783622	1.1163735748631567	1.0297970786584814
RHBDD2	1.0063366590035563	0.933835401774489	1.059827939221955
SOX8	0.62968256365252	1.0973260305654629	1.2729914057820175
IBTK	1.0523221546070487	1.0747402207580241	0.8729376246349274
MYCBP2	0.8434287295876005	1.0748250365742753	1.0817462338381243
FBXL3	0.8312296941199971	1.1407254941489584	1.028044811731045
ITGAL	0.9262987605973776	1.5655022366496918	0.5081990027529306
PDK2	1.0457238710562107	1.0294538170508474	0.9248223118929421
ITGA3	1.329134930688653	0.8697497524542764	0.8011153168570704
ZFX	0.7731690380319237	1.3234904386497106	0.9033405233183658
LAMP2	0.7821887152123961	1.1455880743932891	1.0722232103943143
ITGA2B	0.6125508785484671	1.4789609301014166	0.9084881913501162
ASB4	1.5385388220948857	1.4614611779051143	0.0
GDE1	0.8667541653024333	1.0457380816963209	1.0875077530012462
C19orf60	1.2548482390024474	0.6985690686540575	1.0465826923434953
CRLF1	0.3298061279912587	1.8272705079360452	0.842923364072696
OSBPL7	0.9458113203078395	0.8646752927627538	1.1895133869294068
TMEM98	0.6882065587336331	1.929041796779974	0.3827516444863929
YBX2	1.7925881547415268	0.9690795104416295	0.23833233481684363
KRT33A	0.0	3.0	0.0
MAP3K14	0.7177152650982054	1.0937606464714253	1.1885240884303687
ABCC8	1.3021128348790816	0.9213853748503068	0.7765017902706116
CACNG3	0.2947233196912196	1.2044804166385705	1.50079626367021
TMEM132A	0.6213302799435454	0.5954144342893162	1.7832552857671384
AP2B1	0.8086786995194982	1.1913684982115431	0.9999528022689586
TAC1	1.018432727400784	0.0	1.9815672725992162
ZNF263	1.0019878265691828	0.996844905700823	1.0011672677299939
CX3CL1	0.30259610900985173	2.6974038909901483	0.0
SPATA20	1.1342894555025163	1.0492313300235983	0.8164792144738853
