	Human_Kidney_Relative_Gene_Expression_Difference(RPKM)	Chimp_Kidney_Relative_Gene_Expression_Difference(RPKM)	Rhesus_Monkey_Kidney_Relative_Gene_Expression_Difference(RPKM)
TSPAN6	0.8498209404172503	0.9859415695915522	1.1642374899911976
TNMD	0.5545208577382793	2.189527549323476	0.2559515929382449
DPM1	1.0296395902421178	0.9135538357622801	1.056806573995602
SCYL3	0.6612940733248925	1.4115658244254563	0.9271401022496513
C1orf112	1.4248315099655469	1.0693885984672562	0.5057798915671966
FGR	0.8265009107204239	1.6897558110284754	0.4837432782511008
CFH	0.5694722796806554	0.807486546304819	1.6230411740145256
FUCA2	1.2250856337546792	0.9498811465887267	0.825033219656594
GCLC	0.6271783581272087	1.6651933591927204	0.7076282826800714
NFYA	0.7091029408813287	1.3033258519679387	0.9875712071507324
STPG1	1.0186879562911237	1.4764978502653254	0.5048141934435504
NIPAL3	0.7406799322619131	0.9521180195334105	1.3072020482046762
LAS1L	1.238229681762329	0.8470257331181944	0.9147445851194763
ENPP4	0.6543801195671768	1.2135855979842085	1.1320342824486145
SEMA3F	1.3058571827594931	0.8600927695193101	0.8340500477211968
CFTR	2.912056325406815	0.02298088322033583	0.06496279137284916
ANKIB1	0.9562787824557113	0.9855099535342868	1.0582112640100017
CYP51A1	1.1504515269695812	1.1269188661865186	0.7226296068439
KRIT1	1.2244201878302743	1.2065875725724942	0.5689922395972317
RAD52	1.0258036297027124	1.0612469338424209	0.9129494364548668
BAD	0.9802469762508449	1.1135364038825821	0.906216619866573
LAP3	0.4158300309374824	1.5720113660789348	1.012158602983583
AOC1	0.6133751409664181	0.6344511018128365	1.7521737572207452
WNT16	0.47010551737654344	1.949531094549524	0.5803633880739328
HECW1	0.23866138273966772	0.6998386886722046	2.0614999285881277
MAD1L1	0.9484368656110435	1.1732044515235747	0.8783586828653821
LASP1	0.8434645521817015	1.108353933067383	1.0481815147509157
SNX11	0.7387251767217708	0.7671637440639987	1.494111079214231
TMEM176A	1.0203013702233885	1.5279526561804702	0.4517459735961417
M6PR	0.7590612755960896	1.0483973102517645	1.1925414141521458
KLHL13	0.5489948104552306	1.2437231743988615	1.2072820151459083
CYP26B1	2.3019662886365295	0.46631254904786196	0.23172116231560846
ICA1	1.2947424912989398	1.1143252457031316	0.5909322629979286
DBNDD1	0.5253577035874041	1.441998308876727	1.0326439875358688
ALS2	0.9170330601384273	0.8856610293910787	1.1973059104704942
CFLAR	0.946571256228258	1.0966886502578654	0.9567400935138768
TFPI	0.7038327200344081	1.5465351257473048	0.7496321542182867
NDUFAF7	1.034767151318524	0.9394473638775476	1.0257854848039285
RBM5	1.1891858813939917	0.9989052355625262	0.8119088830434821
MTMR7	1.2710495140143916	0.5581378801183523	1.1708126058672563
SLC7A2	1.0720963983638556	1.250238184101558	0.6776654175345863
ARF5	1.1562352519046781	1.0650250549133868	0.7787396931819346
SARM1	1.6141174736442816	1.1283142578077343	0.25756826854798354
PLXND1	1.3422249824540144	1.0728072337657748	0.5849677837802109
AK2	0.44525590950829685	1.2625940060856773	1.2921500844060256
CD38	0.12858240243697153	1.6351804283528533	1.2362371692101748
FKBP4	0.8101457619163719	1.149585355440355	1.0402688826432729
KDM1A	1.07220457813095	1.1618332685285566	0.7659621533404934
RBM6	1.4161270315866175	1.3352286085302005	0.24864435988318181
CAMKK1	1.368736672600544	0.9544263824855388	0.676836944913917
RECQL	0.9554137623973942	1.3892183598837506	0.6553678777188551
CCDC132	0.8835235955586489	0.9781978647388232	1.138278539702528
HSPB6	0.6555197042935412	1.4629872387431744	0.8814930569632847
ARHGAP33	0.8823063770220876	0.6206656859590302	1.4970279370188824
NDUFAB1	0.6002423399806286	0.7304632423196792	1.669294417699692
PDK4	0.5081672381813991	2.316126380207176	0.1757063816114246
SLC22A16	0.38300587998587216	2.1543916591241734	0.46260246088995377
ZMYND10	1.68508643160755	0.34969405825115824	0.965219510141292
