	Human_Muscle_Relative_Gene_Expression_Difference(RPKM)	Chimp_Muscle_Relative_Gene_Expression_Difference(RPKM)	Rhesus_Monkey_Muscle_Relative_Gene_Expression_Difference(RPKM)
TSPAN6	1.3496214699744957	1.061551217250174	0.5888273127753304
TNMD	1.5173072765691513	0.3549219071461898	1.1277708162846594
DPM1	1.0568974786869747	1.112469981562441	0.830632539750584
SCYL3	0.600355203546567	1.3162565796703138	1.0833882167831188
C1orf112	0.9682884904155838	1.177471768217035	0.8542397413673811
FGR	1.655765448644306	0.8006400475192298	0.5435945038364641
CFH	1.7346585809890807	0.49759062288769135	0.7677507961232285
FUCA2	1.7448080674076598	0.792487915947774	0.4627040166445661
GCLC	0.9077783895280068	1.4990297758447642	0.5931918346272288
NFYA	0.7612447447145237	1.3054492547697214	0.9333060005157547
STPG1	2.3406472517212866	0.2890506871064602	0.3703020611722531
NIPAL3	0.968908777077297	1.5460952257597502	0.48499599716295316
LAS1L	1.1181374547728773	0.8937116095855341	0.9881509356415883
ENPP4	0.6746319363075545	1.3156965271966994	1.0096715364957463
SEMA3F	1.037786168159465	1.1104232646389767	0.8517905672015579
CFTR	3.0	0.0	0.0
ANKIB1	0.6937204619670113	1.1975848879084108	1.108694650124578
CYP51A1	0.9230852882253114	1.4016937972385428	0.675220914536146
KRIT1	0.8747423716531608	1.1572923999601286	0.9679652283867106
RAD52	0.5333907130025546	1.598785796004962	0.8678234909924835
BAD	0.8728160647081743	1.3398681484695423	0.7873157868222832
LAP3	0.4933867133681707	2.024049254222588	0.4825640324092415
AOC1	0.3564561842907658	0.5937609642106857	2.0497828514985486
WNT16	0.9872689400210803	0.6782160310384611	1.3345150289404584
HECW1	0.8610688346937858	0.4218224626949308	1.7171087026112832
MAD1L1	1.3826341634238768	1.2196343396848714	0.39773149689125215
LASP1	1.1397456910351549	0.8247615953005566	1.0354927136642884
SNX11	0.562480816631722	0.8920046649020279	1.5455145184662498
TMEM176A	1.1865707453295262	1.3313974737851042	0.4820317808853694
M6PR	0.7987501225693631	1.270772588708419	0.9304772887222178
KLHL13	1.0398608530452604	0.6013902025346952	1.3587489444200445
CYP26B1	0.3944411525490669	0.8063340019733803	1.7992248454775526
ICA1	0.7210305189745118	0.5656053937547082	1.71336408727078
DBNDD1	0.6170177510723722	1.3506641954629175	1.03231805346471
ALS2	0.5227482974248987	1.5100546773811678	0.9671970251939334
CFLAR	0.8927103532801164	1.8348552820349329	0.27243436468495114
TFPI	0.5634868572224146	2.233942400861261	0.20257074191632457
NDUFAF7	1.1604221651995916	0.8141592920353982	1.0254185427650102
RBM5	1.0047054315657962	1.0141825676688776	0.9811120007653267
MTMR7	0.9712563463317747	0.6634509353924887	1.3652927182757366
SLC7A2	0.9090628667618942	1.2502267641141012	0.8407103691240049
ARF5	1.1829311509087772	1.1103675297288136	0.7067013193624099
SARM1	1.2739282411541293	0.5284033847387204	1.1976683741071503
