	Human_Muscle_Relative_Gene_Expression_Difference(RPKM)	Chimp_Muscle_Relative_Gene_Expression_Difference(RPKM)	Rhesus_Monkey_Muscle_Relative_Gene_Expression_Difference(RPKM)	Human_Kidney_Relative_Gene_Expression_Difference(RPKM)	Chimp_Kidney_Relative_Gene_Expression_Difference(RPKM)	Rhesus_Monkey_Kidney_Relative_Gene_Expression_Difference(RPKM)	Human_Cerebellar_Cortex_Relative_Gene_Expression_Difference(RPKM)	Chimp_Cerebellar_Cortex_Relative_Gene_Expression_Difference(RPKM)	Rhesus_Monkey_Cerebellar_Cortex_Relative_Gene_Expression_Difference(RPKM)	Human_Prefrontal_Cortex_Relative_Gene_Expression_Difference(RPKM)	Chimp_Prefrontal_Cortex_Relative_Gene_Expression_Difference(RPKM)	Rhesus_Monkey_Prefrontal_Cortex_Relative_Gene_Expression_Difference(RPKM)	Human_Primary_Visual_Cortex_Relative_Gene_Expression_Difference(RPKM)	Chimp_Primary_Visual_Cortex_Relative_Gene_Expression_Difference(RPKM)	Rhesus_Monkey_Primary_Visual_Cortex_Relative_Gene_Expression_Difference(RPKM)
TSPAN6	1.34962147	1.061551217	0.588827313	0.84982094	0.98594157	1.16423749	0.677031949	1.306695273	1.016272778	0.920681257	1.237894916	0.841423827	0.943030545	1.204929957	0.852039498
TNMD	1.517307277	0.354921907	1.127770816	0.554520858	2.189527549	0.255951593	0	0.660670004	2.339329996	0.524045481	0.200728567	2.275225952	0.235342659	0.552245301	2.21241204
DPM1	1.056897479	1.112469982	0.83063254	1.02963959	0.913553836	1.056806574	1.0192248	0.877566284	1.103208917	1.106453283	1.111001642	0.782545075	1.03806726	0.976920914	0.985011826
SCYL3	0.600355204	1.31625658	1.083388217	0.661294073	1.411565824	0.927140102	0.70099019	1.206814799	1.092195011	0.760360826	1.142683984	1.09695519	0.495097309	1.082935351	1.42196734
C1orf112	0.96828849	1.177471768	0.854239741	1.42483151	1.069388598	0.505779892	1.095716026	1.016216147	0.888067827	0.945692854	1.098563277	0.955743868	1.134090922	0.863644213	1.002264866
FGR	1.655765449	0.800640048	0.543594504	0.826500911	1.689755811	0.483743278	0.879259068	1.143376871	0.977364061	1.216243445	1.111904056	0.671852499	1.175788283	1.266782518	0.557429199
CFH	1.734658581	0.497590623	0.767750796	0.56947228	0.807486546	1.623041174	0.258625373	0.395516373	2.345858255	0.682151455	0.267727875	2.05012067	0.635520384	0.213353898	2.151125718
FUCA2	1.744808067	0.792487916	0.462704017	1.225085634	0.949881147	0.82503322	0.919751958	1.028095682	1.05215236	1.212632796	1.243569768	0.543797435	1.313209617	0.964313095	0.722477287
GCLC	0.90777839	1.499029776	0.593191835	0.627178358	1.665193359	0.707628283	0.802955388	1.309245783	0.887798829	0.89911603	1.298756016	0.802127954	0.926919104	1.240072523	0.833008373
NFYA	0.761244745	1.305449255	0.933306001	0.709102941	1.303325852	0.987571207	0.783623193	1.386823347	0.82955346	0.832466462	1.350502742	0.817030796	0.979316549	1.245348192	0.775335259
STPG1	2.340647252	0.289050687	0.370302061	1.018687956	1.47649785	0.504814193	2.23667778	0.677732415	0.085589805	1.920015438	1.026868531	0.053116031	1.658830371	1.238654628	0.102515001
NIPAL3	0.968908777	1.546095226	0.484995997	0.740679932	0.95211802	1.307202048	0.856831082	0.876697962	1.266470956	1.079463814	1.171465281	0.749070905	1.007373821	0.997725428	0.994900751
LAS1L	1.118137455	0.89371161	0.988150936	1.238229682	0.847025733	0.914744585	1.023339322	0.915477889	1.061182789	0.95717074	0.869082458	1.173746803	0.916859475	0.826258929	1.256881597
ENPP4	0.674631936	1.315696527	1.009671536	0.65438012	1.213585598	1.132034282	0.601267126	1.323787511	1.074945363	1.139572696	1.224254454	0.63617285	1.156205222	1.137053232	0.706741546
SEMA3F	1.037786168	1.110423265	0.851790567	1.305857183	0.86009277	0.834050048	0.415281858	0.702067915	1.882650228	1.047994096	1.518716502	0.433289402	0.673105961	1.648885531	0.678008508
CFTR	3	0	0	2.912056325	0.022980883	0.064962791	0.37044224	2.182614351	0.446943408	1.24564892	0.642490738	1.111860341	1.342233894	0.935461835	0.722304271
ANKIB1	0.693720462	1.197584888	1.10869465	0.956278782	0.985509954	1.058211264	0.900382043	1.21715495	0.882463007	1.072165554	1.193284511	0.734549935	1.167922246	0.998992272	0.833085482
CYP51A1	0.923085288	1.401693797	0.675220915	1.150451527	1.126918866	0.722629607	0.983907133	1.084904506	0.931188361	1.162824054	1.013086319	0.824089627	1.006425079	1.097354149	0.896220773
KRIT1	0.874742372	1.1572924	0.967965228	1.224420188	1.206587573	0.56899224	0.985763663	1.118709731	0.895526606	1.096528197	1.191863036	0.711608767	0.942384809	1.226296431	0.831318759
RAD52	0.533390713	1.598785796	0.867823491	1.02580363	1.061246934	0.912949436	1.031285165	0.955270326	1.01344451	1.148235833	0.994381807	0.85738236	1.163346192	0.944002043	0.892651765
BAD	0.872816065	1.339868148	0.787315787	0.980246976	1.113536404	0.90621662	1.129306727	1.001830583	0.868862689	1.269415937	0.911837727	0.818746336	1.358699181	1.203091411	0.438209408
LAP3	0.493386713	2.024049254	0.482564032	0.415830031	1.572011366	1.012158603	0.777978288	1.312230011	0.909791701	0.838075833	1.310224729	0.851699438	0.895085286	1.338838309	0.766076405
AOC1	0.356456184	0.593760964	2.049782851	0.613375141	0.634451102	1.752173757	0	0.093486415	2.906513585	0.090026934	0.141321103	2.768651962	0	3	0
WNT16	0.98726894	0.678216031	1.334515029	0.470105517	1.949531095	0.580363388	0.415039699	1.430377519	1.154582782	0.680585611	1.205035499	1.11437889	0.330494358	0.978552647	1.690952995
HECW1	0.861068835	0.421822463	1.717108703	0.238661383	0.699838689	2.061499929	0.593446795	0.685787445	1.72076576	0.909449169	1.019883012	1.070667819	0.557455131	1.000603508	1.441941361
MAD1L1	1.382634163	1.21963434	0.397731497	0.948436866	1.173204452	0.878358683	0.985371404	0.912253939	1.102374657	1.181393184	0.829068936	0.989537881	1.131952062	0.948967009	0.919080928
LASP1	1.139745691	0.824761595	1.035492714	0.843464552	1.108353933	1.048181515	0.697595962	0.859820948	1.44258309	1.039511591	0.8526992	1.107789209	0.755500431	0.868495651	1.376003918
SNX11	0.562480817	0.892004665	1.545514518	0.738725177	0.767163744	1.494111079	0.786702313	0.708926323	1.504371364	0.943170005	0.917204176	1.139625819	0.771585271	0.899329169	1.329085559
TMEM176A	1.186570745	1.331397474	0.482031781	1.02030137	1.527952656	0.451745974	0.728119276	1.338368443	0.933512281	0.794966587	1.206409451	0.998623962	1.057066255	1.090599901	0.852333844
M6PR	0.798750123	1.270772589	0.930477289	0.759061276	1.04839731	1.192541414	0.618371795	1.190738932	1.190889272	0.882631525	1.167299529	0.950068947	0.69973918	1.151930131	1.14833069
KLHL13	1.039860853	0.601390203	1.358748944	0.54899481	1.243723174	1.207282015	0.70000035	1.039141187	1.260858463	1.111082146	0.897166528	0.991751326	0.772558272	0.83731183	1.390129898
CYP26B1	0.394441153	0.806334002	1.799224845	2.301966289	0.466312549	0.231721162	1.494409209	0.579765588	0.925825203	1.374945463	1.075254834	0.549799703	0.931115006	1.176425969	0.892459025
ICA1	0.721030519	0.565605394	1.713364087	1.294742491	1.114325246	0.590932263	1.646977249	0.885400543	0.467622208	1.285865345	1.063606298	0.650528357	1.087403469	1.095631949	0.816964582
DBNDD1	0.617017751	1.350664195	1.032318053	0.525357704	1.441998309	1.032643988	1.02491233	0.789450541	1.185637129	1.2552049	0.700758459	1.044036641	1.168954219	0.690310652	1.140735129
ALS2	0.522748297	1.510054677	0.967197025	0.91703306	0.885661029	1.19730591	0.781893563	1.244723846	0.973382591	0.946080813	0.921902488	1.132016699	0.601031936	0.982243799	1.416724265
