	Human_Muscle_Relative_Gene_Expression_Difference(RPKM)	Chimp_Muscle_Relative_Gene_Expression_Difference(RPKM)	Rhesus_Monkey_Muscle_Relative_Gene_Expression_Difference(RPKM)
TSPAN6	1.3496214699744955	1.0615512172501742	0.5888273127753304
TNMD	1.517307276569151	0.3549219071461898	1.1277708162846594
DPM1	1.0568974786869747	1.112469981562441	0.830632539750584
SCYL3	0.600355203546567	1.3162565796703138	1.0833882167831188
C1orf112	0.9682884904155838	1.177471768217035	0.8542397413673811
FGR	1.6557654486443059	0.8006400475192298	0.5435945038364641
CFH	1.7346585809890809	0.4975906228876914	0.7677507961232285
FUCA2	1.7448080674076598	0.792487915947774	0.4627040166445661
GCLC	0.9077783895280068	1.4990297758447642	0.5931918346272288
NFYA	0.7612447447145237	1.3054492547697214	0.9333060005157549
STPG1	2.340647251721286	0.2890506871064602	0.3703020611722531
NIPAL3	0.968908777077297	1.5460952257597502	0.4849959971629532
LAS1L	1.1181374547728773	0.8937116095855341	0.9881509356415884
ENPP4	0.6746319363075545	1.3156965271966994	1.0096715364957465
SEMA3F	1.037786168159465	1.110423264638977	0.8517905672015579
CFTR	3.0	0.0	0.0
ANKIB1	0.6937204619670113	1.1975848879084108	1.1086946501245778
CYP51A1	0.9230852882253114	1.4016937972385428	0.675220914536146
KRIT1	0.8747423716531608	1.1572923999601286	0.9679652283867106
RAD52	0.5333907130025546	1.598785796004962	0.8678234909924835
BAD	0.8728160647081743	1.3398681484695425	0.7873157868222832
LAP3	0.4933867133681707	2.024049254222588	0.4825640324092415
AOC1	0.3564561842907658	0.5937609642106857	2.049782851498549
WNT16	0.9872689400210805	0.6782160310384611	1.3345150289404584
HECW1	0.8610688346937858	0.4218224626949308	1.7171087026112832
MAD1L1	1.3826341634238768	1.2196343396848714	0.39773149689125215
LASP1	1.1397456910351549	0.8247615953005566	1.0354927136642884
SNX11	0.5624808166317221	0.8920046649020279	1.5455145184662498
TMEM176A	1.1865707453295262	1.3313974737851042	0.4820317808853694
M6PR	0.7987501225693631	1.270772588708419	0.9304772887222178
KLHL13	1.0398608530452604	0.6013902025346952	1.3587489444200445
CYP26B1	0.3944411525490669	0.8063340019733803	1.7992248454775526
ICA1	0.7210305189745118	0.5656053937547082	1.7133640872707798
DBNDD1	0.6170177510723722	1.3506641954629175	1.03231805346471
ALS2	0.5227482974248987	1.5100546773811678	0.9671970251939334
CFLAR	0.8927103532801164	1.8348552820349329	0.27243436468495114
TFPI	0.5634868572224146	2.233942400861261	0.20257074191632454
NDUFAF7	1.1604221651995916	0.8141592920353982	1.0254185427650102
RBM5	1.0047054315657962	1.0141825676688776	0.9811120007653268
MTMR7	0.9712563463317748	0.6634509353924887	1.3652927182757366
SLC7A2	0.9090628667618942	1.2502267641141012	0.8407103691240049
ARF5	1.1829311509087772	1.1103675297288136	0.7067013193624099
SARM1	1.2739282411541293	0.5284033847387204	1.1976683741071503
PLXND1	1.1020096781566922	0.95020331805885	0.9477870037844578
AK2	0.2778379512625631	2.2253203852337355	0.4968416635037014
CD38	1.0390668996509205	0.8234600635462506	1.137473036802829
FKBP4	0.8489920337503113	1.2706912828871948	0.8803166833624939
KDM1A	1.0310681795125791	1.0336606599393707	0.9352711605480496
RBM6	1.21830204045772	1.3784853412005298	0.40321261834175015
CAMKK1	1.0149048872197843	1.4889002524742965	0.4961948603059189
RECQL	0.7224195330996483	1.6910840344784617	0.5864964324218899
CCDC132	0.6353556608353942	1.103819755268628	1.2608245838959775
HSPB6	1.1780542421951254	0.9176278414292186	0.9043179163756558
ARHGAP33	1.4426199518148932	1.100160722875681	0.4572193253094261
NDUFAB1	0.7949024634906046	0.8730246523762316	1.3320728841331635
PDK4	1.133632875370026	1.5924500181148082	0.2739171065151667
SLC22A16	0.0	1.0936433757023132	1.9063566242976864
ZMYND10	1.1498337165086665	1.0121988771846149	0.8379674063067188
ABCB5	2.5336555911683103	0.4663444088316898	0.0
ARX	0.2660736110276292	0.9555388077958252	1.7783875811765455
SLC25A13	1.3791176382696846	1.2960652634091137	0.32481709832120154
ST7	1.0708026840510556	0.7752255024259226	1.1539718135230217
CDC27	0.7283627054016483	1.4814731316719405	0.7901641629264115
SLC4A1	2.8856295411106294	0.01633181118111713	0.09803864770825343
CALCR	1.1642048310104376	0.7250843521715881	1.110710816817975
HCCS	1.1324376990001168	0.8534799072303361	1.0140823937695465
DVL2	0.927223413065999	0.9544173426655391	1.118359244268462
PRSS22	3.0	0.0	0.0
UPF1	0.7471792921927437	1.188583799033477	1.064236908773779
SKAP2	0.6441045589635326	1.4087564196618725	0.947139021374595
SLC25A5	1.949923715329656	0.6578356740514384	0.3922406106189065
CCDC109B	1.2725987263284286	0.7333421606018231	0.9940591130697484
HOXA11	0.830856858538935	0.6924143177813101	1.4767288236797544
POLR2J	0.7935352275067107	0.7878776395060126	1.4185871329872763
DHX33	0.6116194460173271	1.7579753476965878	0.6304052062860854
MEOX1	1.7294090544091414	0.6842967110495056	0.5862942345413534
THSD7A	0.9660656798625524	1.0203477248037571	1.0135865953336904
LIG3	0.9198066780473148	1.3848276498527683	0.6953656720999165
RPAP3	0.702166437511975	1.1782701616420064	1.119563400846019
ACSM3	0.6689479913081631	0.7690810889926141	1.561970919699223
AC004381.6	0.4038160229229509	1.0109458494713557	1.585238127605693
CIAPIN1	1.1226924573716954	0.973900787173367	0.9034067554549372
SPPL2B	0.8041152685302366	0.8985309862984213	1.2973537451713426
FAM214B	0.5984680220142231	1.2451018117115606	1.1564301662742162
COPZ2	1.1658384877390426	0.6624489086096862	1.1717126036512713
PRKAR2B	2.147847430790353	0.5856334354297795	0.2665191337798673
MSL3	0.7142258231009427	1.7478854988434291	0.5378886780556279
CREBBP	0.8597442986516366	1.2765209800576345	0.8637347212907289
BZRAP1	1.8841480935551276	0.6225603318161607	0.4932915746287123
MPO	0.2512703955777955	2.65045066269971	0.09827894172249474
PON1	3.0	0.0	0.0
GCFC2	0.8143115608025563	1.7596367710551428	0.4260516681423012
WDR54	0.6783959287105991	0.6350016884017261	1.686602382887675
CROT	0.7976923177220797	1.1502683238999014	1.052039358378019
ABCB4	1.6236453416746657	0.635481046164782	0.7408736121605521
KMT2E	0.7913130344210879	1.2372017029243552	0.9714852626545568
RHBDD2	1.4559897457430018	0.6006335327788378	0.9433767214781608
SOX8	1.181466701198831	0.9912493520420264	0.8272839467591429
IBTK	0.7915587379869748	1.0041651134372451	1.20427614857578
MYCBP2	0.7760329211465521	1.0725630255244425	1.1514040533290057
FBXL3	0.7595817856877606	1.295462805045582	0.9449554092666574
ITGAL	1.0510510750466746	1.421201440520157	0.5277474844331687
PDK2	1.2084986194932357	1.0513910111820073	0.7401103693247573
ITGA3	1.319892174706168	0.9436610453258232	0.7364467799680091
ZFX	0.6571770208803218	1.5290074371000848	0.8138155420195934
LAMP2	0.8380093008917808	1.4371203071627796	0.7248703919454393
ITGA2B	0.8677847883160523	1.6921037533496508	0.44011145833429705
ASB4	0.8678988487523474	0.9911454104309873	1.1409557408166655
GDE1	0.8256061931667973	1.1709726775724096	1.003421129260793
C19orf60	1.2295310830476969	0.8121450821355253	0.958323834816778
CRLF1	1.1635243975922775	1.5336462651311966	0.3028293372765255
OSBPL7	1.2121046636483799	1.3153713621515428	0.4725239742000772
TMEM98	1.6585043735479152	1.0440364547249683	0.29745917172711656
YBX2	2.0143454176742503	0.5356506286991699	0.4500039536265798
MAP3K14	0.507787397825465	1.1408007545676782	1.3514118476068568
ABCC8	1.0531258298916206	1.7090350192403725	0.2378391508680067
CACNG3	0.9555055924359152	1.5298286928014038	0.5146657147626812
TMEM132A	0.6145383964486548	1.166304057298272	1.219157546253073
AP2B1	0.8445019958936409	1.3491678693244766	0.8063301347818821
TAC1	0.0	3.0	0.0
ZNF263	0.9190337568716992	0.906241188746582	1.174725054381719
CX3CL1	1.6127295717320227	1.3872704282679775	0.0
SPATA20	1.518951905676284	0.9157824804608159	0.5652656138628999
CACNA1G	0.8305406875949106	0.8227929249231559	1.3466663874819331
TNFRSF12A	0.7342496818999316	1.7434704325617765	0.5222798855382919
DLX6	0.0	3.0	0.0
MAP3K9	0.4255715607797279	1.742230909795335	0.8321975294249369
RALA	0.8107524139484401	0.9979898401082952	1.1912577459432647
BAIAP2L1	1.5416329313979824	1.4003644551732983	0.05800261342871967
KDM7A	0.4087162568687324	1.720693603429455	0.8705901397018128
ETV1	0.7181960505089822	0.8447098503746469	1.4370940991163712
AGK	1.047029844244214	1.1301644104977393	0.8228057452580467
TTC22	2.110803838578923	0.0	0.8891961614210769
PHTF2	0.4762459886716743	0.8306743038373953	1.6930797074909307
CCL26	2.148093194350281	0.8519068056497183	0.0
FARP2	0.8169894875088449	1.484660557586289	0.6983499549048662
USH1C	0.7894922779564646	0.8373828479033137	1.3731248741402216
GGCT	1.1126143113227471	0.6152166359618944	1.2721690527153584
DBF4	0.7951368873979586	1.7699070640392076	0.4349560485628336
TBXA2R	1.4823318327949406	1.216784877498024	0.3008832897070356
IFRD1	1.6432722143293386	0.8533445192538333	0.5033832664168284
COX10	0.989047820324134	1.1577353823056549	0.8532167973702112
GTF2IRD1	1.206863043724289	1.2024423456740547	0.5906946106016563
PAF1	1.208415152451055	0.9705950441774114	0.8209898033715342
VPS41	0.5697344548045313	1.6950979003696909	0.7351676448257778
ARHGAP44	1.2785825962081607	0.9103561286283008	0.8110612751635387
ELAC2	1.4079121233141434	0.9091982336321636	0.6828896430536932
SCIN	2.690704619756256	0.21198863827230655	0.09730674197143803
PNPLA4	2.736850091515684	0.18109286767318172	0.08205704081113438
MYH13	0.022057005539882813	0.04359631081159642	2.9343466836485206
ADIPOR2	0.95578109295128	1.007916447593205	1.0363024594555146
CDKL3	1.2604882785746667	0.8732648981403595	0.866246823284974
PRSS21	0.8557417759739195	0.3410386285814308	1.8032195954446504
