	Human_Prefrontal_Cortex_Relative_Gene_Expression_Difference(RPKM)	Chimp_Prefrontal_Cortex_Relative_Gene_Expression_Difference(RPKM)	Rhesus_Monkey_Prefrontal_Cortex_Relative_Gene_Expression_Difference(RPKM)
TSPAN6	0.9206812566699608	1.2378949161088264	0.8414238272212125
TNMD	0.5240454806884042	0.20072856685440732	2.2752259524571885
DPM1	1.1064532834424332	1.1110016415921795	0.7825450749653872
SCYL3	0.7603608256931504	1.1426839841642709	1.0969551901425785
C1orf112	0.9456928543644412	1.0985632772994396	0.9557438683361194
FGR	1.2162434454745998	1.111904055894621	0.6718524986307793
CFH	0.6821514552026066	0.26772787466082515	2.050120670136568
FUCA2	1.2126327964065982	1.2435697681580622	0.5437974354353395
GCLC	0.8991160301118037	1.2987560155093272	0.8021279543788694
NFYA	0.8324664620638293	1.3505027418419369	0.8170307960942339
STPG1	1.9200154377292584	1.026868531236317	0.053116031034424034
NIPAL3	1.0794638139726702	1.1714652805367052	0.7490709054906253
LAS1L	0.9571707396794028	0.8690824578095666	1.1737468025110305
ENPP4	1.1395726963727766	1.2242544537985245	0.636172849828699
SEMA3F	1.04799409637829	1.5187165017114612	0.4332894019102485
CFTR	1.2456489204777716	0.6424907383952162	1.1118603411270125
ANKIB1	1.072165553549845	1.1932845113984543	0.7345499350517003
CYP51A1	1.1628240543120525	1.0130863185590144	0.8240896271289332
KRIT1	1.0965281973160164	1.1918630357428954	0.7116087669410882
RAD52	1.148235832791478	0.994381806874464	0.8573823603340582
BAD	1.2694159370311917	0.911837726802238	0.8187463361665708
LAP3	0.8380758330936697	1.3102247286975863	0.8516994382087442
AOC1	0.0900269343319226	0.14132110343953236	2.768651962228545
WNT16	0.6805856112309184	1.2050354985808722	1.1143788901882097
HECW1	0.9094491690345976	1.0198830118662	1.0706678190992025
MAD1L1	1.1813931837381149	0.8290689355377432	0.9895378807241418
LASP1	1.0395115912270405	0.8526991998417954	1.1077892089311645
SNX11	0.9431700048360993	0.9172041759794752	1.1396258191844255
TMEM176A	0.7949665872089083	1.2064094511438337	0.998623961647258
M6PR	0.8826315247031183	1.167299528502803	0.9500689467940788
KLHL13	1.1110821462900722	0.8971665276454226	0.9917513260645052
CYP26B1	1.3749454632207891	1.07525483376835	0.5497997030108608
ICA1	1.2858653450306146	1.0636062981999337	0.650528356769452
DBNDD1	1.2552048999035483	0.7007584590689151	1.0440366410275368
ALS2	0.9460808132259956	0.9219024881792108	1.1320166985947933
CFLAR	1.0613171111326771	1.0525482676839806	0.8861346211833425
TFPI	0.8729033504603448	0.6542366983789237	1.4728599511607317
NDUFAF7	1.3696353045018836	0.6372603783870299	0.9931043171110868
RBM5	0.9853650484585852	1.1103420709106686	0.904292880630746
MTMR7	0.938917568288898	0.9456863049075502	1.1153961268035515
SLC7A2	0.3305074914342296	1.5688227094212035	1.1006697991445669
