	Human_Primary_Visual_Cortex_Relative_Gene_Expression_Difference(RPKM)	Chimp_Primary_Visual_Cortex_Relative_Gene_Expression_Difference(RPKM)	Rhesus_Monkey_Primary_Visual_Cortex_Relative_Gene_Expression_Difference(RPKM)
TSPAN6	0.943030545119036	1.2049299571589838	0.8520394977219801
TNMD	0.23534265912395586	0.5522453008416558	2.212412040034388
DPM1	1.0380672602704706	0.9769209135903012	0.9850118261392288
SCYL3	0.4950973088343464	1.0829353508531214	1.421967340312532
C1orf112	1.1340909215921129	0.8636442127529149	1.0022648656549722
FGR	1.1757882833308984	1.2667825177078182	0.5574291989612832
CFH	0.6355203837243902	0.21335389796093038	2.1511257183146792
FUCA2	1.3132096171918788	0.9643130953667804	0.722477287441341
GCLC	0.926919103775465	1.2400725229480993	0.8330083732764355
NFYA	0.9793165490193642	1.2453481923176983	0.7753352586629376
STPG1	1.6588303709568082	1.2386546282605058	0.1025150007826861
NIPAL3	1.0073738205943028	0.9977254281553121	0.9949007512503852
LAS1L	0.9168594748847639	0.8262589285685135	1.2568815965467222
ENPP4	1.15620522166641	1.1370532324800147	0.7067415458535754
SEMA3F	0.6731059605088118	1.6488855313047595	0.678008508186429
CFTR	1.342233893974441	0.9354618349114726	0.7223042711140862
ANKIB1	1.1679222456124858	0.9989922720162011	0.8330854823713129
CYP51A1	1.0064250786848445	1.0973541485161726	0.8962207727989825
KRIT1	0.9423848093899653	1.2262964311297946	0.8313187594802403
RAD52	1.1633461921375277	0.9440020426644887	0.8926517651979835
BAD	1.3586991809033464	1.20309141118652	0.43820940791013346
LAP3	0.8950852856343307	1.3388383093738077	0.7660764049918615
AOC1	0.0	3.0	0.0
WNT16	0.33049435820558787	0.9785526466242102	1.690952995170202
HECW1	0.5574551308900524	1.000603507853403	1.4419413612565444
MAD1L1	1.1319520624990493	0.9489670091421994	0.9190809283587515
LASP1	0.7555004310315382	0.8684956513933414	1.3760039175751206
SNX11	0.771585271270113	0.8993291692734012	1.329085559456486
TMEM176A	1.057066254922792	1.0905999013400725	0.8523338437371354
M6PR	0.6997391796075173	1.1519301306421939	1.1483306897502885
KLHL13	0.7725582724351995	0.8373118297153057	1.3901298978494947
CYP26B1	0.9311150063518085	1.176425968659687	0.8924590249885044
ICA1	1.0874034693089576	1.0956319486000299	0.8169645820910125
DBNDD1	1.1689542187205242	0.690310652423399	1.1407351288560765
ALS2	0.6010319355661841	0.9822437990303521	1.416724265403464
CFLAR	1.2516704495397752	0.8600908950991302	0.888238655361095
TFPI	0.7596549242026139	0.8470134535297417	1.3933316222676448
NDUFAF7	1.151411820783211	0.6683159261575862	1.1802722530592027
RBM5	0.986506409806372	1.0424087349205646	0.9710848552730634
MTMR7	0.6387784934687236	0.8623214223401898	1.4989000841910867
SLC7A2	0.31973174206633503	1.2885926602862539	1.3916755976474113
ARF5	0.9828140302076778	1.1242386939531948	0.8929472758391279
SARM1	0.6090250345984736	0.8693118034985075	1.5216631619030185
PLXND1	0.928249076114111	1.0806758303826762	0.9910750935032129
AK2	0.6680826818737485	1.3662562914344094	0.9656610266918423
CD38	0.5246973165322849	0.9580433271287283	1.5172593563389871
FKBP4	0.7286711418046781	1.1034836711551785	1.1678451870401436
KDM1A	0.8184484206852489	1.0886894199492358	1.0928621593655152
RBM6	1.3231264835045917	1.2498989226844095	0.426974593810999
CAMKK1	0.4139469477719757	1.1908947268315333	1.395158325396491
RECQL	0.8567971278501623	1.2093154535079866	0.9338874186418512
CCDC132	0.7852536543422184	1.1624884144230665	1.0522579312347151
HSPB6	0.7134279107939322	0.4147750923402176	1.8717969968658503
ARHGAP33	0.939119354853671	1.182142736528472	0.8787379086178572
NDUFAB1	0.7173075659991731	0.9031775359852972	1.3795148980155298
PDK4	1.5974517152881638	1.097620193730903	0.30492809098093326
SLC22A16	1.1012062946994996	1.092750869529539	0.8060428357709618
ZMYND10	0.880380861882063	0.7382582601812238	1.381360877936713
ABCB5			
ARX	0.7427230914895132	0.7813566819368286	1.475920226573658
SLC25A13	0.9912390429010771	1.1675073770622666	0.8412535800366565
ST7	0.9443032763726105	1.1176753751068773	0.9380213485205123
CDC27	0.8851928442457067	1.0355445151152616	1.0792626406390315
SLC4A1	1.8196965004145818	0.0	1.1803034995854182
CALCR	0.0	0.0	3.0
HCCS	0.7747981406233283	1.0056968143058223	1.2195050450708496
DVL2	1.191176366196947	0.9733284876373445	0.8354951461657086
PRSS22			
UPF1	0.7075100354978302	1.0022224569851372	1.2902675075170327
SKAP2	0.8983507253711909	1.3672187207829638	0.7344305538458453
SLC25A5	1.0126309249844685	0.9664811357451557	1.0208879392703756
CCDC109B	0.5291907326618307	1.3764815512515647	1.094327716086605
HOXA11			
POLR2J	0.5311214031740759	0.9251540013558014	1.5437245954701229
DHX33	0.6979674425336554	0.9647496559853846	1.33728290148096
MEOX1	0.8870633190962259	0.8001156886689376	1.3128209922348364
THSD7A	0.4464926164384272	1.0610325426529632	1.4924748409086095
LIG3	0.9591968057430096	1.0361772304677095	1.0046259637892807
RPAP3	0.884055198144118	0.9148089409992107	1.2011358608566713
ACSM3	1.2677856330856019	0.8584108500581832	0.8738035168562146
AC004381.6	0.8873984695106731	1.397180341073809	0.7154211894155177
CIAPIN1	0.9939153483067454	1.0063215377474433	0.9997631139458117
SPPL2B	0.6894336664677253	0.7550167725093676	1.555549561022907
FAM214B	1.0772822663435553	0.986230803611959	0.9364869300444859
COPZ2	1.1774252683454662	0.6075580348440728	1.215016696810461
PRKAR2B	0.7269363169831542	1.264081218897227	1.0089824641196186
MSL3	0.8997307100013924	1.2901329642868018	0.8101363257118054
CREBBP	0.7798328447354469	1.0036101709069287	1.2165569843576243
BZRAP1	0.7806143763444068	1.116759410769299	1.102626212886294
MPO	0.9942312499142202	1.861122238693935	0.14464651139184523
PON1	1.6874685137294956	0.0	1.3125314862705042
GCFC2	1.6977009702192496	0.8874507270384004	0.4148483027423501
WDR54	0.7997198868936083	1.1330703249436338	1.067209788162758
CROT	0.9542544202857065	1.2518740035485971	0.7938715761656961
ABCB4	1.318143515479846	0.960577782951664	0.7212787015684897
KMT2E	0.7844549380779656	1.0454329308799766	1.1701121310420581
RHBDD2	1.1773247875621797	1.0502795154631848	0.7723956969746358
SOX8	1.1715069651859333	1.0363927242895288	0.7921003105245381
IBTK	0.9854821176839205	1.135569960440778	0.8789479218753018
MYCBP2	0.6329997740168204	1.0305186008587361	1.3364816251244434
FBXL3	0.7562121530832979	0.9452365263163178	1.298551320600384
ITGAL	0.2912681368775834	2.208395476536728	0.5003363865856886
PDK2	0.8980995394177883	0.9444528909359208	1.1574475696462907
ITGA3	0.9809021353799878	1.1406879087562791	0.878409955863733
ZFX	0.8111410310074009	0.9525695536717022	1.2362894153208968
LAMP2	1.2871164325287443	1.0468493859458947	0.6660341815253611
ITGA2B	1.0521869282877225	1.5280710109467	0.4197420607655776
ASB4	2.1827256177312737	0.8172743822687264	0.0
GDE1	0.9036994020143347	1.0931812376543195	1.003119360331346
C19orf60	1.1941136814447646	1.0567305240686082	0.7491557944866272
CRLF1	1.5434855079436554	1.2617216169037222	0.19479287515262228
OSBPL7	0.9206511559684417	1.0159432891416562	1.0634055548899022
TMEM98	1.3859316981317016	1.168445656583924	0.4456226452843744
YBX2	2.4146855434222405	0.5853144565777595	0.0
KRT33A	0.0	3.0	0.0
MAP3K14	0.6206509170295461	0.9012152109105135	1.4781338720599404
ABCC8	0.9016327278448893	0.6236550976389618	1.4747121745161487
CACNG3	0.9634482348699105	1.0477445896225048	0.9888071755075847
TMEM132A	1.2188770839719247	0.9007602828331109	0.8803626331949648
AP2B1	0.7677634797911234	1.1583698070323187	1.073866713176558
TAC1	0.6206663088044482	0.6341829901787239	1.7451507010168275
ZNF263	0.9888313740362792	0.9191162483219442	1.0920523776417768
CX3CL1	1.3812928989446096	1.6187071010553902	0.0
SPATA20	1.321087773566853	1.2001824418822853	0.4787297845508615
CACNA1G	0.5686186483864915	0.9496413464775313	1.4817400051359773
TNFRSF12A	0.8853773800225461	1.5913996182834367	0.523223001694017
DLX6	0.7129371975866957	0.9437262817939416	1.3433365206193624
MAP3K9	0.5224198984292092	0.8263897437259347	1.6511903578448561
RALA	0.9731797972391139	1.0296260260993717	0.9971941766615148
BAIAP2L1	1.5349379807088162	0.6517964914311328	0.813265527860051
KDM7A	0.6103520714041915	0.8224125411190962	1.5672353874767124
ETV1	1.081398714553486	0.6875540837299055	1.2310472017166088
AGK	0.6724698740000886	1.3163083621900167	1.0112217638098944
TTC22	0.09218141757475748	0.24619548483085246	2.66162309759439
PHTF2	0.8254087280301459	1.260695545061112	0.9138957269087421
CCL26	0.0	1.6448524492023802	1.3551475507976194
FARP2	1.0384199326420787	0.9144918358635385	1.0470882314943826
