cell_1	Tier_2	Description_3	Lineage_4	Tissue_5	Karyotype	Sex	Documents	Vendor ID	Term ID	Label
BC_Skeletal_Muscle_01-11002	3	"skeletal muscle, donor 01-11002, age 83, caucasian, DNA and RNA extract"	Skeletal Muscle	mesoderm	normal	F	Myers  	BioChain BioChain_CP-S12-D1234171-05_A610262	BTO:0001103	BC_Skeletal_Muscle_01-11002
								BioChain BioChain_CP-S10-R1234171-20_A808148		
BC_Skeletal_Muscle_H12817N	3	"skeletal muscle, donor H12817N, age 71, caucasian, DNA and RNA extract"	Skeletal Muscle	mesoderm	normal	M	Myers  	BioChain BioChain_CP-S13-D1234171-05_B402065	BTO:0001103	BC_Skeletal_Muscle_H12817N
								BioChain BioChain_CP-S10-R1234230-20_A911037		
HSMM	3	Normal Human Skeletal Muscle Myoblasts	Muscle	mesoderm	normal	U	Bernstein 	Refer to the protocol documents for differing sources CC-2580	BTO:0000256 (non-specific)	HSMM
							Crawford 			
							Stam  			
HSMM_emb	3	embryonic myoblast	Muscle	missing	missing	U	Crawford  	Duke/UNC/UT/EBI ENCODE group fetal myoblast cell strain (H246 and H275) from Dr Stephen Hauschka- U. of Washington 1980		HSMM_emb
HSMM_FSHD	3	primary myoblast from facioscapulohumeral muscular dystrophy patients	Muscle	missing	missing	U	Crawford(Missing) 	Duke/UNC/UT/EBI ENCODE group Muscle needle biopsies		HSMM_FSHD
HSMMtube	3	Normal human skeletal muscle myotubes differentiated from the HSMM cell line	Muscle	mesoderm	normal	U	Bernstein 	Lonza See HSMM	BTO:0001760 (non-specific)	HSMMtube
							Crawford  			
HSMMtube_emb	3	embryonic myotube	Muscle	missing	missing	U	Crawford  	Duke/UNC/UT/EBI ENCODE group fetal myoblast cell strain (H246 and H275) from Dr Stephen Hauschka- U. of Washington 1980		HSMMtube_emb
HSMMtube_FSHD	3	myotube from FSHD patient	Muscle	missing	missing	U	Crawford(Missing) 	Duke/UNC/UT/EBI ENCODE group Muscle needle biopsies		HSMMtube_FSHD
LHCN-M2	3	"skeletal myoblasts derived from satellite cells from the pectoralis major muscle of a 41 year old caucasian heart transplant donor, immortalized with lox-hygro-hTERT (""LH""), and Cdk4-neo (""CN""), Zhu et al. (2007) in Aging Cell, vol. 6, pp 515-523."	Skeletal Muscle Myoblast	mesoderm		M	Wold  	"Woodring Wright, M.D., Ph.D. (None)"	BTO:0000023	LHCN-M2
SKMC	3	Human Skeletal Muscle Cells	Muscle	mesoderm	unknown	U	Stam  	Lonza CC-2561	BTO:0001801 (non-specific)	SKMC
