Ensembl Gene ID	Associated Gene Name
ENSG00000004776	HSPB6
ENSG00000006788	MYH13
ENSG00000009709	PAX7
ENSG00000010282	HHATL
ENSG00000047662	FAM184B
ENSG00000070808	CAMK2A
ENSG00000084628	NKAIN1
ENSG00000087085	ACHE
ENSG00000104848	KCNA7
ENSG00000105048	TNNT1
ENSG00000109061	MYH1
ENSG00000112319	EYA4
ENSG00000112619	PRPH2
ENSG00000115593	SMYD1
ENSG00000117115	PADI2
ENSG00000118298	CA14
ENSG00000119938	PPP1R3C
ENSG00000122367	LDB3
ENSG00000124701	APOBEC2
ENSG00000124743	KLHL31
ENSG00000133020	MYH8
ENSG00000137571	SLCO5A1
ENSG00000143028	SYPL2
ENSG00000144644	GADL1
ENSG00000145358	DDIT4L
ENSG00000146926	ASB10
ENSG00000148377	IDI2
ENSG00000153531	ADPRHL1
ENSG00000157119	KLHL40
ENSG00000158008	EXTL1
ENSG00000160050	CCDC28B
ENSG00000160539	PPAPDC3
ENSG00000160808	MYL3
ENSG00000162614	NEXN
ENSG00000162688	AGL
ENSG00000163126	ANKRD23
ENSG00000163157	TMOD4
ENSG00000163827	LRRC2
ENSG00000164093	PITX2
ENSG00000164879	CA3
ENSG00000165192	ASB11
ENSG00000167476	JSRP1
ENSG00000168427	KLHL30
ENSG00000168509	HFE2
ENSG00000169885	CALML6
ENSG00000172458	IL17D
ENSG00000175262	C1orf127
ENSG00000177354	C10orf71
ENSG00000180758	GPR157
ENSG00000180818	HOXC10
ENSG00000181016	LSMEM1
ENSG00000182759	MAFA
ENSG00000183785	TUBA8
ENSG00000184058	TBX1
ENSG00000185437	SH3BGR
ENSG00000188322	SBK1
ENSG00000188613	NANOS1
ENSG00000198881	ASB12
ENSG00000213171	LINGO4
ENSG00000214097	SMCO1
ENSG00000214872	SMTNL1
ENSG00000234438	KBTBD13
ENSG00000255072	PIGY
ENSG00000264424	MYH4
