Associated Gene Name	Ensembl Gene ID
MT-ND1	ENSG00000198888
MT-ND2	ENSG00000198763
MT-CO1	ENSG00000198804
MT-CO2	ENSG00000198712
MT-ATP8	ENSG00000228253
MT-ATP6	ENSG00000198899
MT-CO3	ENSG00000198938
MT-ND3	ENSG00000198840
MT-ND4L	ENSG00000212907
MT-ND4	ENSG00000198886
MT-ND5	ENSG00000198786
MT-ND6	ENSG00000198695
MT-CYB	ENSG00000198727
DISP2	ENSG00000140323
CDC42EP5	ENSG00000278444
CYP2D6	ENSG00000272532
KIR3DL3	ENSG00000278729
ARL11	ENSG00000152213
B3GALT4	ENSG00000206285
SDCBP2	ENSG00000125775
IGFALS	ENSG00000099769
ITPK1	ENSG00000274958
ZNRD1	ENSG00000235443
OTC	ENSG00000036473
RIPPLY3	ENSG00000183145
CST9L	ENSG00000101435
SLC23A2	ENSG00000089057
SPECC1L	ENSG00000100014
MMEL1	ENSG00000142606
CNOT3	ENSG00000277600
PABPN1	ENSG00000100836
GRIK1	ENSG00000171189
CD27	ENSG00000139193
CRYBB3	ENSG00000100053
KCNIP4	ENSG00000281758
SPSB3	ENSG00000162032
KIR3DL3	ENSG00000274556
NDUFA6	ENSG00000273397
LILRB2	ENSG00000277751
MAPRE1	ENSG00000101367
DXO	ENSG00000206346
VAMP1	ENSG00000139190
OR3A3	ENSG00000159961
C9orf131	ENSG00000174038
CASC10	ENSG00000204682
DENND4C	ENSG00000137145
NAT2	ENSG00000156006
FANCD2	ENSG00000144554
ZNF66	ENSG00000275050
GDF7	ENSG00000143869
TRBV23OR9-2	ENSG00000229063
AIMP2	ENSG00000106305
DGKB	ENSG00000136267
AKAP3	ENSG00000111254
KIR3DX1	ENSG00000276848
LANCL3	ENSG00000147036
KIR3DL3	ENSG00000274511
SGTA	ENSG00000104969
RRBP1	ENSG00000125844
C8orf74	ENSG00000171060
MRAP	ENSG00000170262
REM2	ENSG00000139890
DNAJC21	ENSG00000168724
SCIMP	ENSG00000161929
RGS12	ENSG00000159788
CUBN	ENSG00000107611
BCL2L13	ENSG00000099968
KRTAP16-1	ENSG00000263186
KIR2DL4	ENSG00000273575
GREB1L	ENSG00000141449
ADARB2	ENSG00000185736
NQO2	ENSG00000124588
MYOM1	ENSG00000101605
UFM1	ENSG00000120686
HLA-DQA2	ENSG00000233192
C6orf136	ENSG00000237012
WRAP73	ENSG00000116213
CXorf36	ENSG00000147113
KRAS	ENSG00000133703
MARVELD2	ENSG00000274671
PSMB8	ENSG00000230669
OR10H4	ENSG00000176231
SIT1	ENSG00000137078
CAMK2N1	ENSG00000162545
KIR2DL4	ENSG00000278271
LRRC57	ENSG00000180979
ALOX5	ENSG00000012779
FCN3	ENSG00000142748
ATP4B	ENSG00000186009
ENO1	ENSG00000074800
EIF2AK1	ENSG00000086232
HS6ST3	ENSG00000185352
BAHD1	ENSG00000140320
ZNF358	ENSG00000198816
PDPK1	ENSG00000140992
ZFYVE26	ENSG00000072121
PDE1C	ENSG00000154678
SLC22A13	ENSG00000172940
ASPN	ENSG00000106819
ITFG2	ENSG00000111203
DGCR6L	ENSG00000128185
C16orf13	ENSG00000130731
TAF1B	ENSG00000115750
DCAF12	ENSG00000198876
PBK	ENSG00000168078
LIMK2	ENSG00000182541
YIPF6	ENSG00000181704
H2AFY2	ENSG00000099284
SPATA5L1	ENSG00000171763
EARS2	ENSG00000103356
SLC44A4	ENSG00000231479
C9orf92	ENSG00000205549
ATP8B1	ENSG00000081923
CLDN23	ENSG00000253958
KLRB1	ENSG00000111796
MSLNL	ENSG00000162006
UBIAD1	ENSG00000120942
KRTAP17-1	ENSG00000263341
CLECL1	ENSG00000184293
NEDD8-MDP1	ENSG00000255526
ITGA8	ENSG00000077943
MMACHC	ENSG00000132763
MAPK4	ENSG00000141639
C19orf71	ENSG00000183397
FAM161A	ENSG00000170264
TMEM14C	ENSG00000111843
PHC2	ENSG00000134686
KLHDC1	ENSG00000197776
LCA5L	ENSG00000157578
PCMTD2	ENSG00000275018
GNL3	ENSG00000163938
SNAPC3	ENSG00000164975
TPD52L3	ENSG00000170777
SLC7A9	ENSG00000021488
FAHD2A	ENSG00000115042
OVCH2	ENSG00000183378
FAM46A	ENSG00000112773
SLC6A4	ENSG00000108576
DNAH3	ENSG00000158486
LRRTM4	ENSG00000176204
CEL	ENSG00000170835
DHRS7	ENSG00000100612
DDN	ENSG00000181418
SLC16A2	ENSG00000147100
RPS10	ENSG00000124614
ARRDC3	ENSG00000113369
PDZD7	ENSG00000186862
TMEM234	ENSG00000160055
ADAMTS17	ENSG00000140470
PDSS1	ENSG00000148459
YWHAE	ENSG00000108953
CWC27	ENSG00000153015
SH2D6	ENSG00000152292
ZSCAN21	ENSG00000166529
MYRIP	ENSG00000170011
PRKCH	ENSG00000027075
DIP2B	ENSG00000066084
TSPAN7	ENSG00000156298
LDOC1L	ENSG00000188636
DAZAP2	ENSG00000183283
NPFFR2	ENSG00000056291
RAC1	ENSG00000136238
ANKRD13C	ENSG00000118454
RPS15	ENSG00000115268
VPS37A	ENSG00000155975
LMTK2	ENSG00000164715
TMEM39B	ENSG00000121775
OR52N2	ENSG00000180988
JUN	ENSG00000177606
NDUFA13	ENSG00000186010
ADAT2	ENSG00000189007
GPR148	ENSG00000173302
FLOT1	ENSG00000236271
ARID2	ENSG00000189079
ZSCAN16	ENSG00000196812
GSTA3	ENSG00000174156
OR11A1	ENSG00000204694
SLC6A17	ENSG00000197106
BIRC6	ENSG00000115760
Y_RNA	ENSG00000281302
SNORA27	ENSG00000199474
SLC16A7	ENSG00000118596
ZFP30	ENSG00000120784
SNORA48	ENSG00000252228
SAMD9	ENSG00000205413
C1orf146	ENSG00000203910
Metazoa_SRP	ENSG00000278781
OR8B2	ENSG00000204293
U8	ENSG00000200026
SNORA11	ENSG00000261709
Y_RNA	ENSG00000199870
SNORD112	ENSG00000275662
Metazoa_SRP	ENSG00000281101
PPM1J	ENSG00000155367
Metazoa_SRP	ENSG00000272075
SCARNA20	ENSG00000251861
U6	ENSG00000281381
GLIS2	ENSG00000274636
NTPCR	ENSG00000135778
U6	ENSG00000278551
SNORD28	ENSG00000274544
U6	ENSG00000275615
Y_RNA	ENSG00000200847
SCARNA24	ENSG00000252777
GEMIN4	ENSG00000179409
Y_RNA	ENSG00000207497
MMP16	ENSG00000156103
SNORD48	ENSG00000265732
OAF	ENSG00000184232
snoU13	ENSG00000239096
SNORD65	ENSG00000212264
SNORA25	ENSG00000252011
GPATCH3	ENSG00000198746
Metazoa_SRP	ENSG00000281629
SNORD23	ENSG00000221803
Y_RNA	ENSG00000201071
Y_RNA	ENSG00000202368
