ENSG00000166794	LRG_10
ENSG00000068831	LRG_100
ENSG00000143390	LRG_101
ENSG00000064490	LRG_102
ENSG00000133111	LRG_103
ENSG00000126524	LRG_104
ENSG00000149131	LRG_105
ENSG00000183918	LRG_106
ENSG00000181830	LRG_107
ENSG00000138375	LRG_108
ENSG00000147889	LRG_11
ENSG00000115415	LRG_111
ENSG00000168610	LRG_112
ENSG00000135604	LRG_113
ENSG00000112493	LRG_114
ENSG00000110719	LRG_115
ENSG00000185339	LRG_116
ENSG00000164342	LRG_117
ENSG00000141524	LRG_118
ENSG00000167895	LRG_119
ENSG00000141756	LRG_12
ENSG00000240505	LRG_120
ENSG00000105397	LRG_121
ENSG00000092929	LRG_122
ENSG00000076248	LRG_124
ENSG00000115085	LRG_126
ENSG00000196352	LRG_127
ENSG00000010671	LRG_128
ENSG00000126759	LRG_129
ENSG00000110680	LRG_13
ENSG0000013498	LRG_130
ENSG00000075624	LRG_132
ENSG00000004455	LRG_133
ENSG00000026103	LRG_134
ENSG00000149311	LRG_135
ENSG00000204359	LRG_136
ENSG00000157131	LRG_139
ENSG00000156738	LRG_140
ENSG00000102245	LRG_141
ENSG00000110651	LRG_142
ENSG00000119535	LRG_144
ENSG00000131187	LRG_145
ENSG00000171051	LRG_146
ENSG00000131482	LRG_147
ENSG00000160211	LRG_148
ENSG00000244414	LRG_149
ENSG00000114062	LRG_15
ENSG00000147168	LRG_150
ENSG00000110324	LRG_151
ENSG00000165471	LRG_154
ENSG00000117335	LRG_155
ENSG00000110921	LRG_156
ENSG00000172936	LRG_157
ENSG00000104320	LRG_158
ENSG00000196839	LRG_16
ENSG00000165195	LRG_160
ENSG00000253729	LRG_162
ENSG00000167323	LRG_164
ENSG00000076944	LRG_165
ENSG00000178726	LRG_168
ENSG00000111732	LRG_17
ENSG00000132842	LRG_170
ENSG00000142748	LRG_171
ENSG00000140368	LRG_172
ENSG00000198677	LRG_173
ENSG00000101577	LRG_174
ENSG00000116785	LRG_175
ENSG00000171316	LRG_176
ENSG00000167207	LRG_177
ENSG00000187796	LRG_178
ENSG00000172243	LRG_179
ENSG00000160224	LRG_18
ENSG00000149781	LRG_180
ENSG00000141349	LRG_182
ENSG00000076351	LRG_183
ENSG00000159958	LRG_184
ENSG00000163961	LRG_185
ENSG00000198223	LRG_186
ENSG00000136689	LRG_188
ENSG00000113263	LRG_189
ENSG00000101966	LRG_19
ENSG00000103313	LRG_190
ENSG00000171608	LRG_191
ENSG00000173757	LRG_192
ENSG00000067182	LRG_193
ENSG00000141655	LRG_194
ENSG00000102879	LRG_195
ENSG00000107099	LRG_196
ENSG00000162711	LRG_197
ENSG00000188157	LRG_198
ENSG00000164692	LRG_2
ENSG00000197299	LRG_20
ENSG00000138379	LRG_200
ENSG00000120729	LRG_201
ENSG00000183091	LRG_202
ENSG00000108823	LRG_203
ENSG00000163069	LRG_204
ENSG00000170624	LRG_205
ENSG00000102683	LRG_207
ENSG00000185053	LRG_208
ENSG00000123096	LRG_209
ENSG00000095585	LRG_21
ENSG00000173991	LRG_210
ENSG00000119401	LRG_211
ENSG00000084073	LRG_212
ENSG00000165410	LRG_213
ENSG00000196712	LRG_214
ENSG00000119888	LRG_215
ENSG00000076242	LRG_216
ENSG00000119684	LRG_217
ENSG00000116062	LRG_219
ENSG00000173372	LRG_22
ENSG00000132781	LRG_220
ENSG00000064933	LRG_221
ENSG00000184058	LRG_226
ENSG00000134389	LRG_227
ENSG00000168040	LRG_228
ENSG00000131323	LRG_229
ENSG00000173369	LRG_23
ENSG00000169031	LRG_230
ENSG00000081052	LRG_231
ENSG00000104728	LRG_234
ENSG00000060069	LRG_236
ENSG00000122877	LRG_239
ENSG00000159189	LRG_24
ENSG00000112367	LRG_241
ENSG00000261609	LRG_242
ENSG00000106105	LRG_243
ENSG00000169562	LRG_245
ENSG00000128710	LRG_246
ENSG00000106211	LRG_248
ENSG00000152137	LRG_249
ENSG00000182326	LRG_25
ENSG00000132740	LRG_250
ENSG00000070061	LRG_251
ENSG00000054523	LRG_252
ENSG00000189067	LRG_253
ENSG00000160789	LRG_254
ENSG00000116688	LRG_255
ENSG00000158887	LRG_256
ENSG00000087053	LRG_257
ENSG00000104419	LRG_258
ENSG00000204364	LRG_26
ENSG00000134259	LRG_260
ENSG00000198400	LRG_261
ENSG00000171680	LRG_262
ENSG00000109099	LRG_263
ENSG00000105227	LRG_265
ENSG00000075785	LRG_266
ENSG00000107290	LRG_268
ENSG00000169247	LRG_269
ENSG00000125730	LRG_27
ENSG00000140199	LRG_270
ENSG00000100146	LRG_271
ENSG00000090054	LRG_272
ENSG00000134684	LRG_273
ENSG00000130164	LRG_274
ENSG00000169174	LRG_275
ENSG00000157978	LRG_276
ENSG00000104889	LRG_278
ENSG00000136104	LRG_279
ENSG00000106804	LRG_28
ENSG00000172922	LRG_280
ENSG00000101347	LRG_281
ENSG00000116678	LRG_283
ENSG00000170100	LRG_284
ENSG00000129245	LRG_285
ENSG00000114270	LRG_286
ENSG00000055118	LRG_288
ENSG00000183873	LRG_289
ENSG00000039537	LRG_29
ENSG00000159197	LRG_291
ENSG00000012048	LRG_292
ENSG00000139618	LRG_293
ENSG00000140968	LRG_294
ENSG00000179348	LRG_295
ENSG00000168646	LRG_296
ENSG00000107779	LRG_298
ENSG00000157764	LRG_299
ENSG00000168542	LRG_3
ENSG00000112936	LRG_30
ENSG00000136492	LRG_300
ENSG00000039068	LRG_301
ENSG00000146648	LRG_304
ENSG00000144554	LRG_306
ENSG00000157404	LRG_307
ENSG00000083093	LRG_308
ENSG00000134853	LRG_309
ENSG00000021852	LRG_31
ENSG00000121879	LRG_310
ENSG00000171862	LRG_311
ENSG00000108384	LRG_314
ENSG00000117118	LRG_316
ENSG00000143252	LRG_317
ENSG00000141646	LRG_318
ENSG00000118046	LRG_319
ENSG00000113600	LRG_32
ENSG00000141510	LRG_321
ENSG00000134086	LRG_322
ENSG00000112365	LRG_326
ENSG00000145362	LRG_327
ENSG00000123700	LRG_328
ENSG00000182533	LRG_329
ENSG00000003400	LRG_33
ENSG00000177098	LRG_330
ENSG00000127914	LRG_331
ENSG00000101400	LRG_332
ENSG00000120457	LRG_333
ENSG00000151067	LRG_334
ENSG00000021826	LRG_336
ENSG00000198836	LRG_337
ENSG00000064012	LRG_34
ENSG00000172893	LRG_340
ENSG00000109103	LRG_341
ENSG00000164362	LRG_343
ENSG00000182117	LRG_345
ENSG00000145912	LRG_346
ENSG00000117322	LRG_348
ENSG00000127241	LRG_349
ENSG00000177455	LRG_35
ENSG00000118004	LRG_350
ENSG00000132549	LRG_351
ENSG00000103005	LRG_352
ENSG00000102158	LRG_353
ENSG00000078747	LRG_354
ENSG00000177663	LRG_355
ENSG00000112116	LRG_356
ENSG00000139193	LRG_357
ENSG00000127666	LRG_358
ENSG00000090861	LRG_359
ENSG00000198821	LRG_36
ENSG00000150753	LRG_361
ENSG00000130816	LRG_362
ENSG00000154153	LRG_363
ENSG00000140092	LRG_364
ENSG00000156515	LRG_365
ENSG00000065427	LRG_366
ENSG00000104973	LRG_368
ENSG00000169432	LRG_369
ENSG00000167286	LRG_37
ENSG00000100596	LRG_371
ENSG00000111199	LRG_372
ENSG00000148356	LRG_373
ENSG00000115935	LRG_374
ENSG00000141499	LRG_375
ENSG00000197943	LRG_376
ENSG00000069431	LRG_377
ENSG00000114854	LRG_378
ENSG00000148677	LRG_379
ENSG00000198851	LRG_38
ENSG00000175084	LRG_380
ENSG00000203867	LRG_382
ENSG00000035403	LRG_383
ENSG00000122367	LRG_385
ENSG00000134571	LRG_386
ENSG00000159251	LRG_388
ENSG00000197616	LRG_389
ENSG00000160654	LRG_39
ENSG00000198523	LRG_390
ENSG00000155657	LRG_391
ENSG00000101306	LRG_392
ENSG00000160808	LRG_395
ENSG00000172399	LRG_396
ENSG00000046604	LRG_397
ENSG00000057294	LRG_398
ENSG00000119699	LRG_399
ENSG00000170275	LRG_4
ENSG00000134755	LRG_400
ENSG00000173801	LRG_401
ENSG00000163217	LRG_403
ENSG00000118729	LRG_404
ENSG00000181072	LRG_405
ENSG00000014919	LRG_406
ENSG00000150281	LRG_408
ENSG00000196569	LRG_409
ENSG00000085063	LRG_41
ENSG00000138347	LRG_410
ENSG00000078114	LRG_411
ENSG00000132155	LRG_413
ENSG00000075142	LRG_414
ENSG00000182253	LRG_415
ENSG00000118271	LRG_416
ENSG00000184470	LRG_417
ENSG00000105369	LRG_42
ENSG00000166257	LRG_421
ENSG00000269058	LRG_422
ENSG00000096696	LRG_423
ENSG00000121933	LRG_424
ENSG00000101605	LRG_426
ENSG00000007312	LRG_43
ENSG00000129991	LRG_432
ENSG00000112769	LRG_433
ENSG00000106692	LRG_434
ENSG00000170876	LRG_435
ENSG00000153956	LRG_437
ENSG00000175538	LRG_439
ENSG00000153563	LRG_44
ENSG00000129170	LRG_440
ENSG00000162614	LRG_442
ENSG00000120802	LRG_443
ENSG00000166333	LRG_444
ENSG00000171385	LRG_445
ENSG00000118526	LRG_446
ENSG00000134240	LRG_447
ENSG00000151498	LRG_448
ENSG00000148090	LRG_449
ENSG00000092067	LRG_45
ENSG00000072506	LRG_450
ENSG00000196177	LRG_451
ENSG00000170122	LRG_452
ENSG00000106080	LRG_454
ENSG00000067836	LRG_455
ENSG00000245848	LRG_456
ENSG00000122025	LRG_457
ENSG00000181163	LRG_458
ENSG00000197766	LRG_46
ENSG00000110711	LRG_460
ENSG00000104884	LRG_461
ENSG00000175595	LRG_463
ENSG00000225830	LRG_465
ENSG00000049167	LRG_466
ENSG00000134574	LRG_467
ENSG00000272047	LRG_469
ENSG00000000971	LRG_47
ENSG00000170734	LRG_470
ENSG00000136936	LRG_471
ENSG00000154767	LRG_472
ENSG00000163359	LRG_473
ENSG00000167986	LRG_474
ENSG00000142156	LRG_475
ENSG00000142173	LRG_476
ENSG00000205403	LRG_48
ENSG00000159216	LRG_482
ENSG00000101076	LRG_483
ENSG00000119392	LRG_484
ENSG00000160213	LRG_485
ENSG00000165699	LRG_486
ENSG00000103197	LRG_487
ENSG00000171094	LRG_488
ENSG00000156970	LRG_489
ENSG00000179583	LRG_49
ENSG00000135446	LRG_490
ENSG00000083799	LRG_491
ENSG00000100697	LRG_492
ENSG00000182197	LRG_493
ENSG00000151348	LRG_494
ENSG00000187741	LRG_495
ENSG00000181544	LRG_496
ENSG00000158169	LRG_497
ENSG00000112039	LRG_498
ENSG00000221829	LRG_499
ENSG00000109861	LRG_50
ENSG00000140525	LRG_500
ENSG00000115392	LRG_501
ENSG00000187790	LRG_502
ENSG00000188827	LRG_503
ENSG00000091483	LRG_504
ENSG00000147257	LRG_505
ENSG00000134371	LRG_507
ENSG00000133895	LRG_509
ENSG00000121966	LRG_51
ENSG00000186575	LRG_511
ENSG00000165671	LRG_512
ENSG00000109132	LRG_513
ENSG00000108946	LRG_514
ENSG00000139687	LRG_517
ENSG00000165731	LRG_518
ENSG00000167985	LRG_519
ENSG00000051523	LRG_52
ENSG00000275837	LRG_520
ENSG00000107882	LRG_521
ENSG00000135100	LRG_522
ENSG00000165409	LRG_523
