TNMD	27
DPM1	89	
SCYL3	66	
FGR	142	
CFH	404	
FUCA2	80	
GCLC	143	
NFYA	98	
STPG1	20	
NIPAL3	99	
LAS1L	125	
ENPP4	114	
SEMA3F	168	
CFTR	300	
ANKIB1	126	
CYP51A1	5	
KRIT1	136	
RAD52	70	
BAD	113	
LAP3	328	
CD99	463	
HS3ST1	14	
AOC1	1	
WNT16	1	
HECW1	2	
MAD1L1	52	
LASP1	573	
SNX11	80	
TMEM176A	46	
M6PR	346	
CYP26B1	65	
ICA1	67	
DBNDD1	183	
ALS2	144	
CASP10	68	
CFLAR	1183	
TFPI	159	
NDUFAF7	77	
RBM5	500	
MTMR7	13	
SLC7A2	975	
ARF5	181	
SARM1	106	
PLXND1	672	
AK2	299	
CD38	64	
FKBP4	682	
KDM1A	183	
RBM6	521	
CAMKK1	67	
RECQL	150	
CCDC132	94	
HSPB6	5899	
ARHGAP33	42	
NDUFAB1	298	
PDK4	3063	
SLC22A16	0	
ZMYND10	4	
ABCB5	4	
SLC25A13	56	
ST7	122	
CDC27	243	
SLC4A1	178	
CALCR	5	
HCCS	148	
DVL2	95	
PRSS22	18	
UPF1	379	
SKAP2	223	
SLC25A5	679	
CCDC109B	25	
HOXA11	0	
POLR2J	82	
DHX33	66	
MEOX1	88	
THSD7A	28	
LIG3	53	
RPAP3	88	
ACSM3	58	
CIAPIN1	111	
SPPL2B	210	
FAM214B	125	
COPZ2	113	
PRKAR2B	489	
MSL3	119	
CREBBP	613	
BZRAP1	84	
MPO	3	
PON1	0	
GCFC2	103	
WDR54	11	
CROT	50	
ABCB4	20	
RHBDD2	149	
SOX8	19	
IBTK	311	
ZNF195	63	
MYCBP2	301	
FBXL3	252	
ITGAL	97	
PDK2	544	
ITGA3	243	
ZFX	216	
ITGA2B	7	
ASB4	162	
GDE1	335	
CRLF1	75	
OSBPL7	137	
TMEM98	70	
YBX2	78	
MAP3K14	120	
ABCC8	20	
CACNG3	0	
TMEM132A	79	
AP2B1	598	
TAC1	4	
ZNF263	146	
CX3CL1	321	
SPATA20	219	
CACNA1G	5	
TNFRSF12A	217	
DLX6	0	
MAP3K9	13	
RALA	169	
BAIAP2L1	97	
KDM7A	151	
ETV1	14	
TTC22	6	
PHTF2	391	
CCL26	0	
FARP2	121	
USH1C	14	
GGCT	52	
DBF4	21	
TBXA2R	32	
IFRD1	531	
COX10	135	
GTF2IRD1	175	
PAF1	252	
VPS41	150	
ARHGAP44	47	
ELAC2	233	
SCIN	301	
ARSD	111	
PNPLA4	120	
MYH13	1	
ADIPOR2	434	
CDKL3	4	
UPP2	0	
PRSS21	0	
MARK4	243	
PROM1	6	
CCDC124	180	
PAFAH1B1	742	
NOS2	3	
DNAH9	7	
KIAA0100	783	
SLC13A2	0	
GAS7	255	
TRAPPC6A	31	
MATK	5	
CEACAM7	1	
CD79B	11	
SCN4A	1188	
ST7L	54	
TKTL1	4	
PAX6	6	
RPUSD1	41	
RHBDF1	196	
LUC7L	216	
CACNA2D2	30	
BAIAP3	88	
TSR3	184	
PIGQ	194	
CRAMP1L	91	
TEAD3	195	
SELE	295	
DNAJC11	209	
FMO3	5	
MYLIP	321	
E2F2	0	
PSMB1	308	
JARID2	89	
CDKL5	6	
CAMK1G	0	
NADK	328	
TFAP2B	0	
TFAP2D	0	
DLEC1	57	
CYTH3	249	
ADAM22	42	
SYPL1	601	
CYB561	53	
SPAG9	432	
CELSR3	14	
AASS	56	
