dataID	thres	rho	rho_stderr	E[A]	E[A]_stderr	E[W]	E[W]_stderr	alpha	alpha_stderr	tau	tau_stderr	eta	eta_stderr	gamma	gamma_stderr	lnLd	LRT[rho>0]	LRT[eta>0]	LRT[gamma>0]	em_status
AGL_GENE_cis_elements_distal	f=15%	0.137107	0.855727	0.000000	2.836157	1.704610	4.212638	0.000000	1.427294	0.268256	0.658818	0.000000	8.982815	2.307216	9.840090	-93.9198	0.4114	0	0.4142	main-converged-rho0-converged-eta0-converged-gam0-converged
CA14_GENE_cis_elements_distal	f=15%	0.176488	0.294681	0.000000	0	1.356113	1.284682	0.000000	0	0.369747	0.269855	0.000000	0	2.737439	4.072236	-156.339	1.27	0	1.274	main-converged-rho0-converged-eta0-converged-gam0-converged
DDIT4L_GENE_cis_elements_distal	f=15%	0.355484	0.643490	0.000000	0	5.879354	4.714359	0.000000	0	0.739660	0.287811	0.000000	0	5.151142	8.684287	-35.8966	2.5642	0	2.5648	main-converged-rho0-converged-eta0-converged-gam0-converged
EYA4_GENE_cis_elements_distal	f=15%	0.338879	0.198608	0.000000	0.902147	1.085458	1.000010	0.000000	0.351404	0.253027	0.220529	0.000000	0.685558	0.660844	0.405773	-546.168	5.072	0	1.74	main-converged-rho0-converged-eta0-converged-gam0-converged
FAM184B_GENE_cis_elements_distal	f=15%	0.114177	0.293809	3.262521	2.281383	0.000000	0	0.495381	0.226996	0.000000	0	7.616314	17.635569	0.000000	0	-170.599	2.982	2.982	0	main-converged-rho0-converged-eta0-converged-gam0-converged
GADL1_GENE_cis_elements_distal	f=15%	0.175862	0.100639	0.244941	0.685114	0.000000	0.492852	0.058364	0.158495	0.000000	0.110168	0.290466	0.706022	0.000000	0.516277	-1455.94	4.56	0.12	0	main-converged-rho0-converged-eta0-converged-gam0-converged
HOXC10_GENE_cis_elements_distal	f=15%	0.215794	0.348132	0.064234	1.086426	1.146595	0.997505	0.029086	0.488607	0.325254	0.276411	0.108865	1.690321	1.751756	1.827323	-552.779	2.488	-0.004	2.5	main-converged-rho0-converged-eta0-converged-gam0-converged
KLHL31_GENE_cis_elements_distal	f=15%	0.004312	0.141291	0.057324	3.439117	0.960446	3.122461	0.011350	0.673986	0.155183	0.436619	2.650798	138.895597	42.413568	1365.926088	-55.2714	0.107	-0.0004	0.1078	main-converged-rho0-converged-eta0-converged-gam0-converged
LINGO4_GENE_cis_elements_distal	f=15%	0.611086	0.311554	1.816910	1.457504	0.000000	1.134075	0.699527	0.284906	0.000000	0.853105	1.481664	1.100914	0.000000	0.542943	-65.2646	2.8504	2.1018	0	main-converged-rho0-converged-eta0-converged-gam0-converged
MYH1_GENE_cis_elements_distal	f=15%	0.089014	0.193840	0.536059	0.996827	0.000000	0.776697	0.161521	0.269973	0.000000	0.201902	1.971483	3.627055	0.000000	2.066316	-414.922	0.266	0.264	0	main-converged-rho0-converged-eta0-converged-gam0-converged
MYH4_GENE_cis_elements_distal	f=15%	0.044208	0.203068	0.300627	1.011744	0.000000	0	0.097830	0.308340	0.000000	0	2.344463	8.897307	0.000000	0	-384.439	0.062	0.07	0	main-converged-rho0-converged-eta0-converged-gam0-converged
MYH8_GENE_cis_elements_distal	f=15%	0.004457	0.158198	0.139737	0.909161	0.000000	0	0.044479	0.280281	0.000000	0	10.396813	336.582609	0.000000	0	-448.284	0.02	0.026	0	main-converged-rho0-converged-eta0-converged-gam0-converged
NEXN1_GENE_cis_elements_distal	f=15%	0.159230	0.292331	0.290190	1.103138	0.783855	1.020312	0.094707	0.351909	0.196391	0.253230	0.552385	1.331262	1.290411	1.347270	-626.877	0.682	0.024	0.688	main-converged-rho0-converged-eta0-converged-gam0-converged
NKAIN1_GENE_cis_elements_distal	f=15%	0.038720	0.220268	0.000000	0	1.233507	1.214426	0.000000	0	0.217752	0.192695	0.000000	0	6.910964	35.863959	-340.208	1.52	0	1.522	main-converged-rho0-converged-eta0-converged-gam0-converged
PADI2_GENE_cis_elements_distal	f=15%	0.636891	0.339674	0.000000	1.237129	2.916835	1.782955	0.000000	1.154933	0.646332	0.318058	0.000000	0.658459	1.041915	0.539342	-116.154	4.9	0	4.034	main-converged-rho0-converged-eta0-converged-gam0-converged
SH3BGR_GENE_cis_elements_distal	f=15%	0.223978	0.258691	2.105449	1.265198	1.205877	1.299629	0.435830	0.214189	0.215659	0.228056	2.676550	2.242747	0.952646	0.712336	-585.329	3.456	3.29	0.726	main-converged-rho0-converged-eta0-converged-gam0-converged
TMOD4_GENE_cis_elements_distal	f=15%	0.479701	0.270932	0.000000	1.476596	1.344392	1.341586	0.000000	0.760950	0.475786	0.326075	0.000000	0.825352	0.984432	0.900052	-81.0136	2.0446	0	1.1978	main-converged-rho0-converged-eta0-converged-gam0-converged
TUBA8_GENE_cis_elements_distal	f=15%	0.089117	0.179371	0.000000	0.685885	0.275982	0.879104	0.000000	0.239068	0.066038	0.204811	0.000000	2.443582	0.722716	1.719378	-644.191	0.186	0	0.078	main-converged-rho0-converged-eta0-converged-gam0-converged
