dataID		rho	rho_stderr	E[A]	E[A]_stderr	E[W]	E[W]_stderr
IDI2		0.000295	0.001389	0	1.377385	0	#NAME?
IL17D		0.000526	0.019286	0.110247	0.963074	0	0
MAFA		0.002101	0.029502	0	0	0.824865	0.687814
EXTL1		0.003713	0.005284	1.81865	1.16714	0.775214	0.971175
MYL3		0.005904	0.171051	0.797232	1.715569	0	0
SMYD1		0.010687	0.111057	1.185705	1.022992	0.091395	1.219067
TBX1		0.01236	0.156824	0.386655	0.716767	0	0
SBK1		0.025602	0.098361	1.604886	3.397907	0	0
NANOS1		0.027093	0.16801	0.788901	1.3281	2.703813	1.644489
PITX2		0.033522	0.017611	0	0	0.381852	1.033012
CCDC28B		0.112654	0.005337	0	0.705268	1.429363	0.801601
ADPRHL1		0.174336	0.004755	0.002785	1.488732	1.340854	1.516098
HFE2		0.182476	0.091782	0	1.26208	1.030933	1.816618
APOBEC2		0.187691	0.009558	0.010439	0.616047	0	0.554681
HHATL		0.210202	0.01127	1.962377	0.951638	0.437985	0.964153
PAX7		0.217176	0.185753	0.792502	0.879877	1.099107	0.879232
HSPB6		0.250936	0.0303	0	-1	0	0
KLHL30		0.255538	0.075164	0	3.338748	0	1.696593
LRRC2		0.27642	0.06565	1.350894	1.189113	0	1.000685
C1orf127		0.283416	0.134464	0	0.569499	1.386616	0.671045
ACHE		0.284495	0.199443	0	0.583424	0.599302	0.759835
SMTNL1		0.284616	0.096184	0	1.903573	2.396494	1.881639
SLCO5A1		0.318124	0.080171	0	0	2.685205	5.102622
CA3_GENE		0.319791	0.165458	0	2.211702	1.604883	2.407278
GPR15		0.347574	0.195574	0	0.986826	1.894849	1.142191
PRPH2		0.365065	0.116301	0.637934	1.005919	2.058693	1.290124
ASB10		0.36688	0.165851	2.287302	1.381888	1.443522	1.61029
PPAPDC3		0.417715	0.213265	0	2.228221	1.335974	1.911103
LDB3		0.453668	0.244293	2.72232	1.003904	1.414918	1.178799
CAMK2A		0.470127	0.145492	0	0.689568	2.481628	0.764267
SYPL2		0.705769	0.207102	0	0.585321	2.045444	0.99395
