Ensembl Gene ID	Associated Gene Name
ENSG00000003987	MTMR7
ENSG00000004660	CAMKK1
ENSG00000006116	CACNG3
ENSG00000006128	TAC1
ENSG00000008118	CAMK1G
ENSG00000011083	SLC6A7
ENSG00000011332	DPF1
ENSG00000011347	SYT7
ENSG00000011677	GABRA3
ENSG00000015592	STMN4
ENSG00000021645	NRXN3
ENSG00000033122	LRRC7
ENSG00000036530	CYP46A1
ENSG00000041515	MYO16
ENSG00000043355	ZIC2
ENSG00000046653	GPM6B
ENSG00000047662	FAM184B
ENSG00000048540	LMO3
ENSG00000054356	PTPRN
ENSG00000054803	CBLN4
ENSG00000055813	CCDC85A
ENSG00000059915	PSD
ENSG00000067840	PDZD4
ENSG00000067842	ATP2B3
ENSG00000070729	CNGB1
ENSG00000070808	CAMK2A
ENSG00000073464	CLCN4
ENSG00000073969	NSF
ENSG00000075340	ADD2
ENSG00000075461	CACNG4
ENSG00000077264	PAK3
ENSG00000078328	RBFOX1
ENSG00000078549	ADCYAP1R1
ENSG00000079215	SLC1A3
ENSG00000082684	SEMA5B
ENSG00000084444	KIAA1467
ENSG00000084628	NKAIN1
ENSG00000086717	PPEF1
ENSG00000089169	RPH3A
ENSG00000089847	ANKRD24
ENSG00000091428	RAPGEF4
ENSG00000092051	JPH4
ENSG00000099365	STX1B
ENSG00000099625	C19orf26
ENSG00000099822	HCN2
ENSG00000100146	SOX10
ENSG00000100314	CABP7
ENSG00000100346	CACNA1I
ENSG00000100505	TRIM9
ENSG00000101298	SNPH
ENSG00000101489	CELF4
ENSG00000101542	CDH20
ENSG00000102003	SYP
ENSG00000102230	PCYT1B
ENSG00000102466	FGF14
ENSG00000102468	HTR2A
ENSG00000103154	NECAB2
ENSG00000103184	SEC14L5
ENSG00000103528	SYT17
ENSG00000104112	SCG3
ENSG00000104435	STMN2
ENSG00000104722	NEFM
ENSG00000104833	TUBB4A
ENSG00000104888	SLC17A7
ENSG00000104899	AMH
ENSG00000104967	NOVA2
ENSG00000105251	SHD
ENSG00000105255	FSD1
ENSG00000105270	CLIP3
ENSG00000105409	ATP1A3
ENSG00000105605	CACNG7
ENSG00000105642	KCNN1
ENSG00000106236	NPTX2
ENSG00000106536	POU6F2
ENSG00000108309	RUNDC3A
ENSG00000108830	RND2
ENSG00000108947	EFNB3
ENSG00000109472	CPE
ENSG00000109956	B3GAT1
ENSG00000110076	NRXN2
ENSG00000110148	CCKBR
ENSG00000110427	KIAA1549L
ENSG00000110436	SLC1A2
ENSG00000111249	CUX2
ENSG00000111262	KCNA1
ENSG00000111783	RFX4
ENSG00000112232	KHDRBS2
ENSG00000112333	NR2E1
ENSG00000114757	PEX5L
ENSG00000114948	ADAM23
ENSG00000115041	KCNIP3
ENSG00000115194	SLC30A3
ENSG00000115266	APC2
ENSG00000116147	TNR
ENSG00000116254	CHD5
ENSG00000116544	DLGAP3
ENSG00000118160	SLC8A2
ENSG00000118733	OLFM3
ENSG00000118785	SPP1
ENSG00000119283	TRIM67
ENSG00000119698	PPP4R4
ENSG00000119737	GPR75
ENSG00000119946	CNNM1
ENSG00000121905	HPCA
ENSG00000122584	NXPH1
ENSG00000122585	NPY
ENSG00000122966	CIT
ENSG00000123119	NECAB1
ENSG00000124140	SLC12A5
ENSG00000124507	PACSIN1
ENSG00000124785	NRN1
ENSG00000125462	C1orf61
