dataID	thres	rho	rho_stderr	E[A]	E[A]_stderr	E[W]	E[W]_stderr	alpha	alpha_stderr	tau	tau_stderr	eta	eta_stderr	gamma	gamma_stderr	lnLd	LRT[rho>0]	LRT[eta>0]	LRT[gamma>0]	em_status
ADCYAP1R1_downregulated_GENE_cis_elements	f=15%	0.010751	0.109653	6.909363	4.567749	0.000000	0	0.785866	0.114226	0.000000	0	337.689303	3434.958507	0.000000	0	-46.3258	5.1838	5.1842	0	main-converged-rho0-converged-eta0-converged-gam0-converged
AQP4_downregulated_GENE_cis_elements	f=15%	0.206781	0.020431	0.000000	26.543888	0.000000	-nan	0.000000	6.970309	0.000000	-1.000000	0.000000	26.738309	0.000000	35.055749	-9.26261	0.04626	0	0	main-converged-rho0-converged-eta0-converged-gam0-converged
C2orf80_downregulated_GENE_cis_elements	f=15%	0.020815	0.192241	4.088321	4.062260	0.000000	0	0.982522	0.017571	0.000000	0	2644.493651	24427.828139	0.000000	0	-37.3038	2.4528	2.4546	0	main-converged-rho0-converged-eta0-converged-gam0-converged
C10orf90_downregulated_GENE_cis_elements	f=15%	0.001671	0.028430	0.000000	0	1.304219	3.102751	0.000000	0	0.208969	0.393785	0.000000	0	157.866122	2672.411836	-62.93	0.2108	0	0.2114	main-converged-rho0-converged-eta0-converged-gam0-converged
CCKBR_downregulated_GENE_cis_elements	f=15%	0.044939	0.170255	44.131138	38.848687	0.000000	0	0.929407	0.060391	0.000000	0	279.806850	1056.882105	0.000000	0	-23.2263	2.6312	2.6314	0	main-converged-rho0-converged-eta0-converged-gam0-converged
CDH20_downregulated_GENE_cis_elements	f=15%	0.006074	0.102154	0.000000	0	5.066770	8.080783	0.000000	0	0.556354	0.396632	0.000000	0	205.203042	3440.807142	-18.2218	0.7124	0	0.7126	main-converged-rho0-converged-eta0-converged-gam0-converged
CIT_downregulated_GENE_cis_elements	f=15%	0.461479	0.473823	0.000012	1.599953	0.000000	1.712322	0.000011	1.372309	0.000000	0.717990	0.000012	1.601430	0.000000	0.837856	-31.1187	1.3224	0	0	main-converged-rho0-converged-eta0-converged-gam0-converged
CPE_downregulated_GENE_cis_elements	f=15%	0.200245	0.722064	0.000000	4.680415	0.875688	3.660984	0.000000	1.596768	0.139176	0.580246	0.000000	6.377292	0.645719	1.974883	-47.7178	0.1396	0	0.0756	main-converged-rho0-converged-eta0-converged-gam0-converged
CSRNP3_downregulated_GENE_cis_elements	f=15%	0.436676	0.009895	0.000000	27.979268	0.000000	-nan	0.000000	19.264881	0.000000	-1.000000	0.000000	24.852210	0.000000	17.289697	-8.83155	0.37544	0	0	main-converged-rho0-converged-eta0-converged-gam0-converged
FAM169A_downregulated_GENE_cis_elements	f=15%	0.163371	0.835034	0.000000	0	1.009949	4.101022	0.000000	0	0.259603	0.904539	0.000000	0	1.795570	7.773674	-17.1193	0.0488	0	0.0528	main-converged-rho0-converged-eta0-converged-gam0-converged
FAM181B_downregulated_GENE_cis_elements	f=15%	0.049063	0.082340	36.506546	22.496362	13.170612	14.878942	0.923010	0.045913	0.958826	0.190120	232.364852	375.473318	451.356853	2914.403447	-30.0665	12.5304	9.6024	2.9964	main-converged-rho0-converged-eta0-converged-gam0-converged
GABRB1_downregulated_GENE_cis_elements	f=15%	0.333274	0.665241	0.000000	0	5.532841	6.230534	0.000000	0	0.619868	0.420657	0.000000	0	3.262198	6.019618	-24.1016	1.0638	0	1.0646	main-converged-rho0-converged-eta0-converged-gam0-converged
GABRG1_downregulated_GENE_cis_elements	f=15%	0.004573	0.044933	0.000000	0	4.487469	7.385255	0.000000	0	0.543672	0.409585	0.000000	0	259.313250	2539.992474	-26.7868	0.6554	0	0.6556	main-converged-rho0-converged-eta0-converged-gam0-converged
GPR37L1_downregulated_GENE_cis_elements	f=15%	0.006015	0.082145	0.000000	0	5.577304	9.984506	0.000000	0	0.468996	0.448395	0.000000	0	145.952909	1983.467281	-15.2441	0.5146	0	0.5148	main-converged-rho0-converged-eta0-converged-gam0-converged
HEPACAM_downregulated_GENE_cis_elements	f=15%	0.598562	-1.000000	0.000000	-1.000000	0.000000	0	0.000000	0.000000	0.000000	0	0.000000	-1.000000	0.000000	0	-12.9354	1.1856	0	0	main-converged-rho0-converged-eta0-converged-gam0-converged
IGSF11_downregulated_GENE_cis_elements	f=15%	0.002562	0.059595	1.378815	4.975738	0.000000	0	0.200154	0.579171	0.000000	0	97.405252	2241.604184	0.000000	0	-45.3924	0.0874	0.088	0	main-converged-rho0-converged-eta0-converged-gam0-converged
KCNH8_downregulated_GENE_cis_elements	f=15%	0.012388	0.900256	0.000000	0	0.177456	4.665675	0.000000	0	0.040103	1.035889	0.000000	0	3.330743	194.664357	-18.3665	-0.002	0	0.0008	main-converged-rho0-converged-eta0-converged-gam0-converged
KCNJ10_downregulated_GENE_cis_elements	f=15%	0.021374	0.112657	0.000000	0	21.405707	24.375571	0.000000	0	0.828839	0.164336	0.000000	0	221.714539	1165.144061	-14.9482	2.3766	0	2.3766	main-converged-rho0-converged-eta0-converged-gam0-converged
KIAA0408_GENE_cis_elements_proximal	f=15%	0.300204	0.254072	0.000000	1.051348	1.105289	1.265040	0.000000	0.458060	0.303716	0.294910	0.000000	1.067767	1.016802	0.941807	-194.108	1.13	0	0.766	main-converged-rho0-converged-eta0-converged-gam0-converged
KSR2_downregulated_GENE_cis_elements	f=15%	0.004349	0.034753	0.000000	0	3.927115	4.869457	0.000000	0	0.489144	0.310825	0.000000	0	219.195343	1745.704507	-46.1438	1.096	0	1.072	main-converged-rho0-converged-eta0-converged-gam0-converged
LHFPL4_downregulated_GENE_cis_elements	f=15%	0.011953	0.062108	5.258230	9.506713	6.573050	9.260274	0.559672	0.445627	0.755235	0.793185	105.067489	580.321953	255.060704	2367.278865	-21.3742	1.5862	0.52	1.097	main-converged-rho0-converged-eta0-converged-gam0-converged
MEGF10_downregulated_GENE_cis_elements	f=15%	0.264513	0.557592	0.000000	2.845283	6.543391	4.757988	0.000000	1.148573	0.622898	0.289545	0.000000	3.193646	4.592903	8.975317	-51.6049	3.2826	0	3.2832	main-converged-rho0-converged-eta0-converged-gam0-converged
NPY_downregulated_GENE_cis_elements	f=15%	0.153183	0.015309	0.000000	18.324171	0.000000	-nan	0.000000	7.298534	0.000000	-1.000000	0.000000	40.347253	0.000000	16.459506	-18.5049	0.0462	0	0	main-converged-rho0-converged-eta0-converged-gam0-converged
NR2E1_downregulated_GENE_cis_elements	f=15%	0.004224	0.129269	0.672296	1.836363	0.000000	0	0.470745	0.684405	0.000000	0	209.675622	6383.818816	0.000000	0	-31.8819	0.1766	0.1782	0	main-converged-rho0-converged-eta0-converged-gam0-converged
NSF_downregulated_GENE_cis_elements	f=15%	0.000811	0.001680	0.000000	1.676678	0.000000	-nan	0.000000	0.984399	0.000000	-1.000000	0.000000	1213.115613	0.000000	885.335254	-8.79558	-0.00068	0	0	main-converged-rho0-converged-eta0-converged-gam0-converged
