dataID	rho	rho_stderr	E[A]	E[A]_stderr	E[W]	E[W]_stderr
WASF3	0.00018	0.000905	0	0.899072	0	#NAME?
SHC3	0.000794	0.021023	0	0	0.595451	3.413003
NSF	0.000811	0.00168	0	1.676678	0	#NAME?
C10orf90	0.001671	0.02843	0	0	1.304219	3.102751
IGSF11	0.002562	0.059595	1.378815	4.975738	0	0
OMG	0.002874	0.050981	2.495434	6.605566	0	0
SLC24A2	0.003871	0.089207	2.670366	6.785229	0	0
RANBP3L	0.004031	0.070648	3.026852	4.890479	0	0
NR2E1	0.004224	0.129269	0.672296	1.836363	0	0
KSR2	0.004349	0.004753	0	0	3.927115	4.869457
GABRG1	0.004573	0.004933	0	0	4.487469	7.385255
GPR37L1	0.006015	0.002145	0	0	5.577304	9.984506
CDH20	0.006074	0.002154	0	0	5.06677	8.080783
RFTN2	0.006145	0.024454	0	0	1.467332	3.745511
SPP1	0.008602	0.017661	0	0	7.775048	9.828909
ADCYAP1R1	0.010751	0.009653	6.909363	4.567749	0	0
RNF182	0.010877	0.008124	0	0	4.697286	7.313415
LHFPL4	0.011953	0.002108	5.25823	9.506713	6.57305	9.260274
KCNH8	0.012388	0.010256	0	0	0.177456	4.665675
C2orf80	0.020815	0.002241	4.088321	4.06226	0	0
KCNJ10	0.021374	0.012657	0	0	21.405707	24.375571
CCKBR	0.044939	0.070255	44.131138	38.848687	0	0
FAM181B	0.049063	0.02234	36.506546	22.496362	13.170612	14.878942
NPY	0.153183	0.015309	0	18.324171	0	#NAME?
FAM169A	0.163371	0.135034	0	0	1.009949	4.101022
PSD3	0.194701	0.099412	0	2.323468	0	2.640127
SLC25A48	0.199992	0.097693	0	0	2.122634	4.443633
CPE	0.200245	0.122064	0	4.680415	0.875688	3.660984
AQP4	0.206781	0.020431	0	26.543888	0	#NAME?
MEGF10	0.264513	0.157592	0	2.845283	6.543391	4.757988
KIAA0408	0.300204	0.254072	0	1.051348	1.105289	1.26504
SYT9	0.325478	0.272993	0	0	1.952489	5.141127
GABRB1	0.333274	0.265241	0	0	5.532841	6.230534
CSRNP3	0.436676	0.009895	0	27.979268	0	#NAME?
CIT	0.461479	0.173823	0.000012	1.599953	0	1.712322
SLC1A3	0.487045	0.211674	0.661683	2.112455	2.042259	2.527565
PTPRD	0.528577	0.341693	0	7.217352	1.860133	4.399673
HEPACAM	0.598562	0.231703	0	-1	0	0
RFX4	0.631692	0.131703	0	-1	0	0
