dataID	thres	rho	rho_stderr	E[A]	E[A]_stderr	E[W]	E[W]_stderr	alpha	alpha_stderr	tau	tau_stderr	eta	eta_stderr	gamma	gamma_stderr	lnLd	LRT[rho>0]	LRT[eta>0]	LRT[gamma>0]	em_status
ACHE_GENE_cis_elements_distal	f=15%	0.284495	0.199443	0.000000	0.583424	0.599302	0.759835	0.000000	0.373025	0.208765	0.242163	0.000000	0.938158	0.663576	0.641541	-434.629	1.622	0	0.594	main-converged-rho0-converged-eta0-converged-gam0-converged
ADPRHL1_GENE_cis_elements_distal	f=15%	0.174336	0.304755	0.002785	1.488732	1.340854	1.516098	0.000795	0.424997	0.233564	0.260727	0.003769	2.009226	1.443269	1.486912	-623.012	1.558	0	1.526	main-converged-rho0-converged-eta0-converged-gam0-converged
APOBEC2_GENE_cis_elements_distal	f=15%	0.187691	0.109558	0.010439	0.616047	0.000000	0.554681	0.003622	0.213268	0.000000	0.123718	0.015732	0.922681	0.000000	0.535440	-1004.06	4.3	0	0	main-converged-rho0-converged-eta0-converged-gam0-converged
ASB10_GENE_cis_elements_distal	f=15%	0.366880	0.365851	2.287302	1.381888	1.443522	1.610290	0.599292	0.256814	0.325990	0.352569	2.580906	1.985601	0.834642	0.590330	-317.085	2.974	2.948	0.64	main-converged-rho0-converged-eta0-converged-gam0-converged
C1orf127_GENE_cis_elements_distal	f=15%	0.283416	0.134464	0.000000	0.569499	1.386616	0.671045	0.000000	0.228799	0.295536	0.130806	0.000000	0.578489	1.060703	0.404640	-1505.1	6.9	0	5.5	main-converged-rho0-converged-eta0-converged-gam0-converged
CA3_GENE_cis_elements_distal	f=15%	0.319791	0.365458	0.000000	2.211702	1.604883	2.407278	0.000000	0.759277	0.336303	0.417973	0.000000	1.615014	1.077797	1.311813	-77.7042	0.66	0	0.4624	main-converged-rho0-converged-eta0-converged-gam0-converged
CAMK2A_GENE_cis_elements_distal	f=15%	0.470127	0.145492	0.000000	0.689568	2.481628	0.764267	0.000000	0.317595	0.504104	0.134434	0.000000	0.357957	1.145740	0.274840	-1224.03	20.5	0	16.58	main-converged-rho0-converged-eta0-converged-gam0-converged
CCDC28B_GENE_cis_elements_distal	f=15%	0.112654	0.205337	0.000000	0.705268	1.429363	0.801601	0.000000	0.269406	0.324086	0.161670	0.000000	2.122033	3.776699	5.695049	-1168.57	4.92	0	4.94	main-converged-rho0-converged-eta0-converged-gam0-converged
EXTL1_GENE_cis_elements_distal	f=15%	0.003713	0.005284	1.818650	1.167140	0.775214	0.971175	0.372413	0.150007	0.297438	0.312409	159.236465	247.979307	113.606477	293.647837	-336.891	4.258	3.374	1.644	main-converged-rho0-converged-eta0-converged-gam0-converged
GPR157_GENE_cis_elements_distal	f=15%	0.347574	0.195574	0.000000	0.986826	1.894849	1.142191	0.000000	0.364882	0.399635	0.196887	0.000000	0.684916	1.249492	0.648955	-536.868	3.69	0	3.172	main-converged-rho0-converged-eta0-converged-gam0-converged
HFE2_GENE_cis_elements_distal	f=15%	0.182476	0.391782	0.000000	1.262080	1.030933	1.816618	0.000000	0.797126	0.215167	0.354452	0.000000	3.571264	1.228266	2.090001	-119.471	0.302	0	0.308	main-converged-rho0-converged-eta0-converged-gam0-converged
