Gene	Gene description
MYH1	Myosin, heavy chain 1, skeletal muscle, adult
IDI2	Isopentenyl-diphosphate delta isomerase 2
MYH4	Myosin, heavy chain 4, skeletal muscle
MYBPC2	Myosin binding protein C, fast type
LBX1	Ladybird homeobox 1
SLC36A2	Solute carrier family 36 (proton/amino acid symporter), member 2
ATP2A1	ATPase, Ca++ transporting, cardiac muscle, fast twitch 1
MYH2	Myosin, heavy chain 2, skeletal muscle, adult
NEB	Nebulin
KCNA7	Potassium voltage-gated channel, shaker-related subfamily, member 7
NMRK2	Nicotinamide riboside kinase 2
MYLPF	Myosin light chain, phosphorylatable, fast skeletal muscle
TNNT3	Troponin T type 3 (skeletal, fast)
MYLK2	Myosin light chain kinase 2
C8orf22	Chromosome 8 open reading frame 22
AL158147.2	HCG2011465; Uncharacterized protein 
TNNC2	Troponin C type 2 (fast)
YIPF7	Yip1 domain family, member 7
GBX1	Gastrulation brain homeobox 1
CACNA1S	Calcium channel, voltage-dependent, L type, alpha 1S subunit
DCD	Dermcidin
C20orf166	Chromosome 20 open reading frame 166
ANKRD23	Ankyrin repeat domain 23
FBXO40	F-box protein 40
FGF6	Fibroblast growth factor 6
HRC	Histidine rich calcium binding protein
JSRP1	Junctional sarcoplasmic reticulum protein 1
PPP1R27	Protein phosphatase 1, regulatory subunit 27
C10orf71	Chromosome 10 open reading frame 71
CASQ1	Calsequestrin 1 (fast-twitch, skeletal muscle)
ACTN2	Actinin, alpha 2
CACNG1	Calcium channel, voltage-dependent, gamma subunit 1
FSD2	Fibronectin type III and SPRY domain containing 2
RP11-766F14.2	Protein LOC285556 
SMTNL1	Smoothelin-like 1
MYOZ1	Myozenin 1
TNNI2	Troponin I type 2 (skeletal, fast)
ASB12	Ankyrin repeat and SOCS box containing 12
TTN	Titin
CKMT2	Creatine kinase, mitochondrial 2 (sarcomeric)
MYPN	Myopalladin
PYGM	Phosphorylase, glycogen, muscle
ART1	ADP-ribosyltransferase 1
