dataID	rho	rho_stderr	E[A]	E[A]_stderr	E[W]	E[W]_stderr
NANOS1	0.000012	0.000738	0	0.696222	0	#NAME?
MYL3	0.000234	0.001034	0	1.031932	0	#NAME?
CALML6	0.000755	0.002158	0	2.141487	0	#NAME?
HFE2	0.00218	0.002731	0	2.726792	0	#NAME?
IDI2	0.004973	0.088001	4.078418	7.541242	0	0
PITX2	0.005229	0.0723	1.457834	6.330342	2.88661	3.682385
L17D	0.006522	0.092174	1.777317	4.75298	3.248599	4.720968
EXTL1	0.008264	0.048309	0.031355	3.641086	7.373553	6.271766
SMYD1	0.009965	0.0654905	8.136014	-1	1.833606	-1
PAX7	0.011335	0.102453	0	0	11.10964	12.650995
PRPH2	0.023337	0.09575	9.454489	10.177377	13.793387	10.317116
APOBEC2	0.060575	0.015556	0	16.493853	0	#NAME?
SYPL2	0.133755	0.016636	0	20.228056	0	#NAME?
PPAPDC3	0.13508	0.019015	0	22.118582	0	#NAME?
C1orf127	0.201212	0.078918	0	2.835059	1.448162	2.434147
ADPRHL1	0.358249	0.129389	0	0	0.881225	4.799551
TBX1	0.552329	0.103596	0	-1	0	0
CAMK2A	0.554409	0.445085	2.403376	3.719972	0	0
LDB3	0.639202	0.120359	0	-1	0	0
LRRC2	0.694273	0.304835	0	-1	0	0
