dataID	thres	rho	rho_stderr	E[A]	E[A]_stderr	E[W]	E[W]_stderr	alpha	alpha_stderr	tau	tau_stderr	eta	eta_stderr	gamma	gamma_stderr	lnLd	LRT[rho>0]	LRT[eta>0]	LRT[gamma>0]	em_status
ATP1A3_GENE_cis_elements_distal	f=15%	0.593809	0.211180	0.000000	0.676050	1.346362	0.612258	0.000000	0.621537	0.575491	0.213893	0.000000	0.425158	0.927330	0.342165	-811.314	11.712	0	7.55	main-converged-rho0-converged-eta0-converged-gam0-converged
B3GAT1_GENE_cis_elements_proximal	f=15%	0.015542	0.063653	0.000000	0	14.605002	6.842231	0.000000	0	0.764072	0.086155	0.000000	0	205.132710	838.031120	-69.0897	13.6934	0	13.6936	main-converged-rho0-converged-eta0-converged-gam0-converged
C1orf61_GENE_cis_elements_proximal	f=15%	0.490941	0.361855	0.000000	3.955310	0.843871	1.956107	0.000000	0.887891	0.327530	0.585821	0.000000	0.920657	0.505029	1.093849	-33.9446	1.583	0	0.2468	main-converged-rho0-converged-eta0-converged-gam0-converged
C1orf95_GENE_cis_elements_proximal	f=15%	0.007282	0.123222	0.000000	0	5.700517	6.728909	0.000000	0	0.645518	0.273119	0.000000	0	248.264387	4194.787075	-15.5075	2.0362	0	2.0364	main-converged-rho0-converged-eta0-converged-gam0-converged
CACNG3_GENE_cis_elements_proximal	f=15%	0.009274	0.039152	4.173274	6.978380	5.071693	7.039076	0.604933	0.401558	0.700679	0.752929	163.579742	691.964725	250.078424	1886.982453	-29.6945	1.7196	0.6232	1.1026	main-converged-rho0-converged-eta0-converged-gam0-converged
CALN1_GENE_cis_elements_proximal	f=15%	0.006238	0.080579	0.335438	3.251057	3.562432	3.682350	0.061559	0.561059	0.456562	0.303271	10.449722	147.643352	133.835961	1800.153209	-60.6092	1.4208	0.0104	1.4108	main-converged-rho0-converged-eta0-converged-gam0-converged
CAMK2A_GENE_cis_elements_proximal	f=15%	0.554409	0.445085	2.403376	3.719972	0.000000	0	0.626608	0.500955	0.000000	0	1.348766	1.946717	0.000000	0	-41.2336	0.864	0.5042	0	main-converged-rho0-converged-eta0-converged-gam0-converged
CDK5R2_GENE_cis_elements_proximal	f=15%	0.020734	0.107349	20.510250	22.036198	0.000000	0	0.930000	0.071086	0.000000	0	627.479093	3244.169758	0.000000	0	-13.5252	3.3428	3.3428	0	main-converged-rho0-converged-eta0-converged-gam0-converged
CPLX2_GENE_cis_elements_proximal	f=15%	0.255372	0.525434	2.910793	3.208037	0.000000	0	0.592428	0.374043	0.000000	0	4.238356	7.865407	0.000000	0	-49.3872	1.0308	1.0326	0	main-converged-rho0-converged-eta0-converged-gam0-converged
GALNT9_GENE_cis_elements_proximal	f=15%	0.003387	0.002238	0.000000	0.965208	0.000000	3.648809	0.000000	0.367951	0.000000	0.552517	0.000000	108.252592	0.000000	162.552536	-29.5286	-0.002	0	0	main-converged-rho0-converged-eta0-converged-gam0-converged
IL17D_GENE_cis_elements_proximal	f=15%	0.006522	0.092174	1.777317	4.752980	3.248599	4.720968	0.381578	0.633855	0.500965	1.329737	93.985325	1324.184141	152.910497	2955.055823	-26.2649	1.1302	0.1876	0.9448	main-converged-rho0-converged-eta0-converged-gam0-converged
KCNJ6_GENE_cis_elements_proximal	f=15%	0.008428	0.096962	7.696585	8.479870	0.000000	0	0.642885	0.256100	0.000000	0	211.804535	2425.195170	0.000000	0	-22.574	1.521	1.5212	0	main-converged-rho0-converged-eta0-converged-gam0-converged
KCTD16_GENE_cis_elements_proximal	f=15%	0.003077	0.003419	0.000000	3.411998	0.000000	-nan	0.000000	1.085833	0.000000	-1.000000	0.000000	351.768013	0.000000	380.055284	-8.41637	-0.00126	0	0	main-converged-rho0-converged-eta0-converged-gam0-converged
KIAA0408_GENE_cis_elements_proximal	f=15%	0.300204	0.254072	0.000000	1.051348	1.105289	1.265040	0.000000	0.458060	0.303716	0.294910	0.000000	1.067767	1.016802	0.941807	-194.108	1.13	0	0.766	main-converged-rho0-converged-eta0-converged-gam0-converged
KIAA1644_GENE_cis_elements_proximal	f=15%	0.166849	0.022155	0.000000	26.932957	0.000000	-nan	0.000000	8.077947	0.000000	-1.000000	0.000000	40.336834	0.000000	25.659266	-10.608	0.0262	0	0	main-converged-rho0-converged-eta0-converged-gam0-converged
LSAMP_GENE_cis_elements_proximal	f=15%	0.520097	0.479129	0.416739	3.322927	0.000000	0	0.163213	1.181112	0.000000	0	0.179974	1.334726	0.000000	0	-19.598	1.0404	0.0124	0	main-converged-rho0-converged-eta0-converged-gam0-converged
NAP1L5_GENE_cis_elements_proximal	f=15%	0.011081	0.060927	5.205962	7.652949	5.719693	7.574969	0.681092	0.321509	0.766528	0.879982	190.606033	1044.950896	293.014825	3013.855351	-24.4003	2.188	0.9126	1.2834	main-converged-rho0-converged-eta0-converged-gam0-converged
NECAB1_GENE_cis_elements_proximal	f=15%	0.109334	0.886848	1.305915	4.093331	0.000000	0	0.375658	0.881489	0.000000	0	4.901534	34.187756	0.000000	0	-19.1618	0.115	0.1172	0	main-converged-rho0-converged-eta0-converged-gam0-converged
NMNAT2_GENE_cis_elements_proximal	f=15%	0.178096	0.467508	0.000000	0	0.000000	2.941953	0.000000	0	0.000000	0.811387	0.000000	0	0.000000	3.744720	-42.5675	0.1494	0	0	main-converged-rho0-converged-eta0-converged-gam0-converged
NPTXR_GENE_cis_elements_proximal	f=15%	0.000008	0.000706	0.000000	0.671549	0.000000	-nan	0.000000	0.395572	0.000000	-1.000000	0.000000	49305.555139	0.000000	21415.041177	-8.47597	0	0	0	main-converged-rho0-converged-eta0-converged-gam0-converged
OPCML_GENE_cis_elements_proximal	f=15%	0.014468	0.099399	3.235971	5.627297	1.013851	4.080101	0.417788	0.429209	0.243104	0.736971	48.880947	327.243265	21.878718	190.647210	-30.6376	0.5292	0.4462	0.0578	main-converged-rho0-converged-eta0-converged-gam0-converged
PACSIN1_GENE_cis_elements_proximal	f=15%	0.001287	0.002270	0.000000	2.264203	0.000000	-nan	0.000000	1.134570	0.000000	-1.000000	0.000000	880.765528	0.000000	498.781655	-9.87157	-0.0008	-2e-05	-2e-05	main-converged-rho0-converged-eta0-converged-gam0-converged
PMP2_GENE_cis_elements_proximal	f=15%	0.437186	0.013544	0.000000	38.657760	0.000000	-nan	0.000000	15.117734	0.000000	-1.000000	0.000000	19.461928	0.000000	11.637225	-9.21063	0.38706	0	0	main-converged-rho0-converged-eta0-converged-gam0-converged
SHC3_GENE_cis_elements_proximal	f=15%	0.000794	0.021023	0.000000	0	0.595451	3.413003	0.000000	0	0.117331	0.593888	0.000000	0	167.327429	4414.347576	-24.8081	0.0344	0	0.0348	main-converged-rho0-converged-eta0-converged-gam0-converged
SHISA9_GENE_cis_elements_proximal	f=15%	0.000660	0.001446	0.000000	1.439570	0.000000	-nan	0.000000	0.335125	0.000000	-1.000000	0.000000	507.055668	0.000000	414.477524	-18.3508	-0.0006	0	0	main-converged-rho0-converged-eta0-converged-gam0-converged
SLC1A2_GENE_cis_elements_proximal	f=15%	0.390130	0.608951	0.234136	2.291128	1.507169	3.334080	0.142762	1.275784	0.279342	0.594694	0.260339	2.322028	0.605950	1.034485	-34.4027	0.365	0.0066	0.2008	main-converged-rho0-converged-eta0-converged-gam0-converged
SPOCK1_GENE_cis_elements_proximal	f=15%	0.001987	0.028840	1.144155	2.397868	0.000000	0	0.281940	0.424950	0.000000	0	197.233013	2847.841171	0.000000	0	-54.7945	0.2796	0.2804	0	main-converged-rho0-converged-eta0-converged-gam0-converged
SYT7_GENE_cis_elements_proximal	f=15%	0.000684	0.001605	0.000000	1.601852	0.000000	-nan	0.000000	1.026958	0.000000	-1.000000	0.000000	1500.486064	0.000000	880.219566	-8.03053	-0.0006	0	0	main-converged-rho0-converged-eta0-converged-gam0-converged
TNR_GENE_cis_elements_proximal	f=15%	0.009589	-1.000000	5.791031	-1.000000	3.353788	-1.000000	0.671804	0.000000	0.596614	0.000000	211.424815	-1.000000	152.762895	-1.000000	-36.7187	2.4338	1.7448	0.9304	main-converged-rho0-converged-eta0-converged-gam0-converged
