Chromosome Name	Gene Start (bp)	Gene End (bp)	Ensembl Gene ID	Associated Gene Name
1	7968237	7991742	ENSPTRG00000000102	PARK7
7	16374609	16524524	ENSPTRG00000018957	SNX13
11	900519	903795	ENSPTRG00000003141	POLR2L
11	1581335	1590605	ENSPTRG00000003154	DUSP8
13	21007834	21119661	ENSPTRG00000005696	EFHA1
21	3906155	3913263	ENSPTRG00000017695	
21	2183226	2332066	ENSPTRG00000013793	USP25
21	1412993	1516965	ENSPTRG00000013792	NRIP1
11	988759	1078596	ENSPTRG00000003144	AP2A2
13	20696214	20719447	ENSPTRG00000005693	SKA3
13	20682495	20691589	ENSPTRG00000005692	SAP18
5	35008924	35081510	ENSPTRG00000017038	ZFYVE16
7	15044017	15048388	ENSPTRG00000018949	SOSTDC1
11	908277	929219	ENSPTRG00000003142	TSPAN4
1	7927343	7948789	ENSPTRG00000000101	TNFRSF9
21	68565	100026	ENSPTRG00000024151	
1	8329801	8360446	ENSPTRG00000000104	SLC45A1
5	34558859	34832178	ENSPTRG00000017043	MSH3
1	8966776	8997045	ENSPTRG00000000111	CA6
13	20889666	20890534	ENSPTRG00000029128	
13	20719078	20721923	ENSPTRG00000005694	MRP63
1	8017943	8032552	ENSPTRG00000000103	ERRFI1
AACZ03155834.1	622	3072	ENSPTRG00000028486	
1	8884915	8898818	ENSPTRG00000000109	ENO1
11	1492043	1510021	ENSPTRG00000003153	MOB2
8	18417380	18430532	ENSPTRG00000020055	PHYHIP
5	34158229	34190574	ENSPTRG00000024170	CKMT2
13	20312296	20441149	ENSPTRG00000005690	XPO4
5	35414917	35462944	ENSPTRG00000017031	THBS4
11	646395	649231	ENSPTRG00000003126	IRF7
8	18343455	18352172	ENSPTRG00000020052	LGI3
Y	20407239	20422983	ENSPTRG00000022488	DDX3Y
13	19931438	20057521	ENSPTRG00000005684	CRYL1
8	18357099	18359914	ENSPTRG00000020053	SFTPC
1	6586646	6596531	ENSPTRG00000000091	KLHL21
5	32335016	32359344	ENSPTRG00000017053	
11	661084	662920	ENSPTRG00000028769	SCT
1	6609272	6619588	ENSPTRG00000000092	PHF13
5	33101890	33114913	ENSPTRG00000028763	ATP6AP1L
11	672545	675450	ENSPTRG00000003128	DRD4
11	682184	745400	ENSPTRG00000003129	DEAF1
1	6620765	6629192	ENSPTRG00000000093	THAP3
8	18361640	18409452	ENSPTRG00000020054	BMP1
13	20099353	20224361	ENSPTRG00000005685	IFT88
5	33141954	33145027	ENSPTRG00000017052	RPS23
5	33165499	33453435	ENSPTRG00000017050	ATG10
1	6629785	6697720	ENSPTRG00000000094	DNAJC11
1	6783078	7769440	ENSPTRG00000000096	CAMTA1
5	33674270	34000721	ENSPTRG00000017049	SSBP2
Y	20773566	21007977	ENSPTRG00000022489	UTY
5	34026763	34093370	ENSPTRG00000017048	ACOT12
11	745276	756237	ENSPTRG00000003130	TMEM80
7	15337439	15368180	ENSPTRG00000018952	TSPAN13
11	802069	819776	ENSPTRG00000003132	TALDO1
5	34110723	34122285	ENSPTRG00000017047	ZCCHC9
1	6519865	6550127	ENSPTRG00000000089	NOL9
Y	18220375	18257013	ENSPTRG00000042501	
7	15107871	15164426	ENSPTRG00000028653	LRRC72
5	34832348	34859674	ENSPTRG00000017042	DHFR
1	8369115	8841466	ENSPTRG00000000106	RERE
8	18443627	18449367	ENSPTRG00000020056	POLR3D
11	930023	973352	ENSPTRG00000003143	CHID1
21	551011	648911	ENSPTRG00000013785	LIPI
11	868223	871152	ENSPTRG00000003137	RPLP2
11	878559	885440	ENSPTRG00000003138	PNPLA2
5	34198073	34470628	ENSPTRG00000017044	RASGRF2
7	15442717	15465347	ENSPTRG00000018954	AGR3
13	20263284	20309390	ENSPTRG00000005687	N6AMT2
1	7848931	7858246	ENSPTRG00000000100	UTS2
11	886028	890200	ENSPTRG00000003139	CRACR2B
7	15880090	15924714	ENSPTRG00000018955	AHR
11	892764	899629	ENSPTRG00000003140	CD151
7	15373357	15386495	ENSPTRG00000018953	AGR2
1	7774857	7784966	ENSPTRG00000000098	VAMP3
1	7788563	7847740	ENSPTRG00000000099	PER3
1	9029619	9053165	ENSPTRG00000023465	SLC2A7
11	1636548	1637498	ENSPTRG00000004015	
13	20511967	20601172	ENSPTRG00000005691	LATS2
8	18474157	18555364	ENSPTRG00000022613	PIWIL2
7	17075705	17577012	ENSPTRG00000018959	HDAC9
