dataID	rho	rho_stderr	E[A]	E[A]_stderr	E[W]	E[W]_stderr
LHFPL3	0.000005	0.000687	0	0.601301	0	#NAME?
NPTXR	0.000008	0.000706	0	0.671549	0	#NAME?
ARC	0.000049	0.000928	0	0.906468	0	#NAME?
CAMK2N2	0.000071	0.000949	0	0.952718	0	#NAME?
SHISA9	0.00066	0.001446	0	1.43957	0	#NAME?
GRIN2B	0.00068	0.001991	0	1.98061	0	#NAME?
SYT7	0.000684	0.001605	0	1.601852	0	#NAME?
JAKMIP3	0.000798	0.002462	0	2.434202	0	#NAME?
PACSIN1	0.001287	0.00227	0	2.264203	0	#NAME?
DLGAP2	0.001586	0	1.25761	-1	0.267245	-1
SPOCK1	0.001987	0.02884	1.144155	2.397868	0	0
GNG4	0.002207	0	1.297427	-1	0.835475	-1
KCTD16	0.003077	0.003419	0	3.411998	0	#NAME?
KCTD8	0.00334	0.062055	2.809505	7.221096	0	0
GALNT9	0.003387	0.002238	0	0.965208	0	3.648809
AJAP1	0.003736	0.074021	0	0	3.004882	7.529967
OSTN	0.004293	0.059575	3.931759	6.597943	0	0
CALN	0.006238	0.080579	0.335438	3.251057	3.562432	3.68235
IL17D	0.006522	0.092174	1.777317	4.75298	3.248599	4.720968
CNGB1	0.006851	0.138542	4.665791	7.060538	0	0
C1orf95	0.007282	0.123222	0	0	5.700517	6.728909
PURG	0.007604	0.082773	7.249132	8.048342	0	0
KCNJ6	0.008428	0.096962	7.696585	8.47987	0	0
CACNG3	0.009274	0.039152	4.173274	6.97838	5.071693	7.039076
LUZP2	0.009326	0.024126	5.631734	5.05181	1.641892	3.75675
TNR	0.009589	0	5.791031	-1	3.353788	-1
NAP1L5	0.011081	0.060927	5.205962	7.652949	5.719693	7.574969
KHDRBS2	0.012529	0.016348	11.955327	12.611947	0	0
PRR18	0.013699	0.065094	6.421864	9.539986	7.19761	9.516904
OPCML	0.014468	0.099399	3.235971	5.627297	1.013851	4.080101
B3GAT1	0.015542	0.063653	0	0	14.605002	6.842231
CDK5R2	0.020734	0.007349	20.51025	22.036198	0	0
OR14I1	0.074449	0.015897	0	17.124819	0	#NAME?
NECAB1	0.109334	0.086848	1.305915	4.093331	0	0
LRRC55	0.144301	0.019083	0	22.457907	0	#NAME?
LHFPL5	0.151972	0.018356	0	21.831369	0	#NAME?
KIAA1644	0.166849	0.022155	0	26.932957	0	#NAME?
NMNAT2	0.178096	0.067508	0	0	0	2.941953
YPEL4	0.21887	0.014592	0	23.592211	0	#NAME?
CPLX2	0.255372	0.025434	2.910793	3.208037	0	0
KCNQ3	0.340504	0.019588	0	34.449327	0	#NAME?
LIX1	0.357547	0.013245	0	24.711739	0	#NAME?
FAM19A1	0.374257	0.124336	0.668769	4.213722	0	0
SLC1A2	0.39013	0.208951	0.234136	2.291128	1.507169	3.33408
PMP2	0.437186	0.013544	0	38.65776	0	#NAME?
C1orf61	0.490941	0.261855	0	3.95531	0.843871	1.956107
LSAMP	0.520097	0.279129	0.416739	3.322927	0	0
EIF4E1B	0.54528	0.353886	1.714837	3.765165	0	0
CAMK2A	0.554409	0.345085	2.403376	3.719972	0	0
PALM2	0.577196	0.222253	0	0	0.657113	2.988101
ATP1A3	0.593809	0.21118	0	0.67605	1.346362	0.612258
