dataID	rho	rho_stderr	E[A]	E[A]_stderr	E[W]	E[W]_stderr
SLC25A48	0.000567	0.000054	0.182189	0.904721	0	0
WASF3	0.001771	0.003194	0.85702	-1	0.262441	-1
RANBP3L	0.00333	0.009167	1.1896	1.15708	1.314316	1.295473
GABRG1	0.003543	0.004631	2.257148	1.663544	0.783286	1.211484
NSF	0.004414	0.031821	0	0	3.065678	3.210984
LHFPL4	0.005916	0	4.823778	-1	0.396376	-1
TMEFF1	0.013893	0.02685	0	0	4.744021	5.393704
SPP1	0.022293	0.01898	1.528031	4.388247	9.240843	7.511833
SALL3	0.028522	0.018915	0	0	19.329778	12.593472
PTCHD2	0.041324	0.065333	0.306088	1.919636	1.288212	1.843382
SHC3	0.043923	0.024124	0.000001	2.367585	2.682786	4.368201
AQP4	0.0475	0.017506	0	0	0.914397	2.019132
RNF182	0.047871	0.028199	0.266374	1.329767	0	0.817357
CPE	0.048812	0.017303	0.294053	1.454616	0.440152	1.422935
SLC1A3	0.056742	0.051611	0	0.676164	0	0.807938
HEPACAM	0.05902	0.063058	1.012264	0.955333	0	0
IGSF11	0.061447	0.06438	4.823552	3.302837	2.802066	3.133665
ZIC2	0.071676	0.001447	0	0	0	0.934619
NPY	0.073824	0.066559	0.863625	1.501048	0	1.152616
SLC24A2	0.08076	0.040065	0.482965	2.35254	2.529648	2.195278
RFX4	0.098174	0.067814	0	1.04936	0.213855	1.135121
GPR98	0.121414	0.099193	0	0.520872	0	0.573425
PTPRD	0.150033	0.095594	0	1.010367	0.462017	1.51817
CIT	0.154735	0.031969	0	0.508499	0.490147	0.619812
PSD3	0.158568	0.059935	0.460464	1.002354	0.483644	1.044139
SYT9	0.177547	0.03683	0	1.787342	0.393459	1.816093
C2orf80	0.185078	0.028005	0.559111	0.899577	0	0.897916
RFTN2	0.197073	0.089282	0	1.33607	1.138896	1.53357
LMO3	0.213176	0.034924	0.199257	1.533998	1.137801	1.3343
C10orf90	0.213438	0.189452	0.324912	0.974948	0	0.799039
KCNH8	0.221504	0.081156	1.58381	3.089283	0.421547	3.272942
EFNA3	0.241719	0.137007	0.246544	1.127007	0.95905	1.105548
GPR37L1	0.253472	0.015045	0.003186	1.62133	2.783994	1.837306
CAMK1G	0.275344	0.242224	0.000004	0.903427	0.233938	0.978496
KCNK4	0.279232	0.170162	0.413521	0.754829	1.511434	0.82228
CCKBR	0.279543	0.023321	0	1.028527	1.632525	1.324129
CSRNP3	0.320458	0.111544	0	1.699801	2.213383	1.980553
GABRB1	0.322998	0.120104	0	1.152516	1.031966	1.463078
CDH20	0.340115	0.070535	0	3.207078	3.262557	3.697465
FAM169A	0.342348	0.178856	0	0.68565	2.062374	0.846647
FAM181B	0.393066	0.138808	0	4.592791	0	0
PSD2	0.423911	0.213458	0	1.036183	0	0.866718
MEGF10	0.444412	0.020598	1.864964	1.324538	1.772575	1.650268
NR2E1	0.454562	0.32785	0	1.078897	3.168374	1.399636
FAM163B	0.471158	0.199234	1.03758	0.957526	1.265857	1.000383
STX1B	0.494581	0.356054	0.886032	1.316155	1.4167	1.245145
GPRC5B	0.50673	0.364942	0	2.330529	1.791217	2.070974
ADCYAP1R1	0.513749	0.280662	2.179874	1.281937	2.312885	1.318446
KSR2	0.603118	0.296982	0.98836	1.763713	3.375137	1.883691
ELOVL2	0.658923	0.250963	2.914825	2.104349	4.780889	2.25523
