Gene	Brain_Female1	Brain_Male1	Brain_Male2	Cerebellum_Female1	Cerebellum_Male1	Heart_Female1	Heart_Male1	Kidney_Female1	Kidney_Male1	Liver_Female1	Liver_Male1	Ovary_Female1	Ovary_Female2	Testis_Male1	Testis_Male2	Testis_Male3
ENSGALG00000009623	0.46	0	0.84	0	0.36	0	0.51	0.26	0	0	0	2.19	1.86	326.74	52.77	43.04
ENSGALG00000008067	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1	0	0
ENSGALG00000008372	25.14	25.75	36.4	24.4	23.2	28.5	22.67	23.91	21.3	23.42	22.44	48.62	40.67	26.92	31.43	42.55
CUFF.264046	0.66	1.51	1.21	0	0.26	0	0	0.37	0	0.44	0	0.04	0	0.47	1.36	0.59
ENSGALG00000015952	39.29	32.76	24.72	12.76	10.59	0.59	1.23	2.11	1.79	0.96	0.94	0.47	1.33	16.56	8.25	6.83
ENSGALG00000001312	12.75	15.25	19.58	7.93	10.8	11.39	12.15	10.57	10.6	17.22	11.2	11.77	15.55	10.17	5.01	14.02
ENSGALG00000006384	7.76	77.84	179.92	5.59	84.96	36.39	23.43	14.59	16.29	88.87	24.58	1429.47	411.81	0.43	5.52	26.61
ENSGALG00000005027	74.01	62.05	65.71	54.27	59.48	23.77	35.24	27.58	27.59	20.6	31.84	25.37	16.34	106.2	63.5	70.03
ENSGALG00000010052	12.31	8.74	20.92	9.36	9.23	12.48	8.7	6.36	8.88	10.55	11.62	11	12.73	12.5	15.47	32.44
Locus_87615	0	0	0	0	0	0	0	0	0	0	0	0.41	0.33	0.39	0.38	0
ENSGALG00000023937	13.66	10.42	2.68	15.57	9.73	13.67	13.85	24.66	15.92	16.04	20.3	5.66	11.59	16.24	7.8	4.99
ENSGALG00000009734	4.76	4.03	13.49	3.72	2.63	3.71	5.33	7.33	2.75	11.7	6.43	7.83	3.32	3.19	4.01	8.61
CUFF.196301	0	0	0	0	0	0.12	0	0	0	0	0	0	0	0.36	0.57	0.66
Locus_50232	0.13	0.19	0	0.26	0.29	0	0	0	0	0	0	3.94	0.42	0	0	0.09
ENSGALG00000005410	6.34	5.24	12.71	0.54	0.89	6.02	4.87	7.53	9.38	0.95	3.44	37.18	14.98	20.42	21.06	24.25
ENSGALG00000010346	75.16	69.35	81.13	54.7	60.11	41.05	51.41	11.28	21.75	13.42	44.48	36.93	58.03	6.61	14.41	10.71
Locus_48640	0.15	0.46	0.1	0.04	0.03	0	0	0	0.1	0	0.06	5.83	3.8	0.71	0.42	0.68
ENSGALG00000015466	0	0	0	0	0.04	0	0	27.04	31.58	0	0	0	0	0.58	0.07	0.04
ENSGALG00000002655	9.58	8.87	11.02	17.33	18.39	10.2	11.84	17.85	19.67	20.15	11.16	51.4	21.5	10.42	13.5	21.37
ENSGALG00000008200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSGALG00000010206	2.11	1.38	10.76	1.42	1.48	1.3	1.33	4.24	7.35	5.25	1.7	32.67	3.22	27.78	130.6	441.01
