dataID	rho	rho_stderr	E[A]	E[A]_stderr	E[W]	E[W]_stderr
IL17D	0.000526	0.019286	0.110247	0.963074	0	0
GPR123	0.000777	0.019425	0	0	0.13632	0.441081
XKR4	0.002652	0.049434	0	0	1.090938	1.47459
LRRC55	0.002746	0.026976	1.345328	1.334378	0	1.525203
KCNJ6	0.003042	0.02538	0.309834	1.098993	0.426151	1.085896
SPRN	0.004995	0.01828	0.630833	0.903114	1.20223	0.827269
JAKMIP3	0.005801	0.009672	0.053539	0.717283	0	0
NECAB1	0.006235	0.039496	0.607135	1.097046	0.65551	0.987576
RIMKLA	0.006279	0.000923	0	1.103189	0	2.305235
SPOCK1	0.006534	0.02356	0	0	0.108288	0.647038
PURG	0.006868	0.016976	2.566113	3.489575	3.533398	4.296521
KCTD16	0.008483	0.056768	4.201376	6.78196	3.997143	6.822442
KIAA1644	0.008571	0.041787	8.490826	11.779284	0	0
ADCY1	0.017799	0.075109	0.176606	1.656886	1.325006	1.602398
ATOH7	0.021431	0.070049	0	0	0.103882	1.313489
OR14I1	0.02181	0.040596	0.721964	2.180025	1.772416	2.613194
FAM19A1	0.024709	0.083153	0.346252	1.432674	0	0
SBK1	0.025602	0.098361	1.604886	3.397907	0	0
NAP1L5	0.027896	0.048292	0	0	2.747691	3.204838
LHFPL5	0.035381	0.036142	0	0	0	1.323734
RTN4RL2	0.040678	0.065317	0	0	0.492593	0.715694
KCNQ3	0.04675	0.075382	0	0	1.095721	2.932996
SH2D5	0.049129	0.051778	0	0	0.004022	1.51366
CNGB1	0.0682	0.011657	0	0	0.379044	1.00906
NPTXR	0.082147	0.08246	0	1.989509	0.725549	1.771056
DLGAP2	0.094491	0.02662	1.45538	1.744584	0.497275	1.604001
KCNA1	0.097706	0.059183	0.329329	1.698985	0	1.114185
SLC1A2	0.103764	0.00959	0	0.432088	0.006151	0.558992
B3GAT1	0.109988	0.001247	0.518894	0.659825	0	0.506211
C1orf61	0.117822	0.020061	0	0.363965	0.05045	0.567434
FBXL16	0.119187	0.008695	0	0	3.272558	2.367281
PACSIN1	0.121119	0.038217	0	0	0.036848	0.729074
OSTN	0.130178	0.059107	0	3.296043	2.141451	3.677082
GRIN2B	0.134939	0.047654	0	0.904251	0	0.989492
SHISA9	0.146413	0.048311	1.076771	2.006256	2.813926	2.25004
YPEL4	0.152732	0.017346	0	0.794102	1.994573	1.08586
NMNAT2	0.161853	0.032808	0	0.812741	1.721235	1.036361
KCTD8	0.16967	0.019557	0	23.921546	0	#NAME?
KCNJ9	0.174341	0.008315	1.043734	3.01909	1.101965	2.897193
AJAP1	0.178795	0.074634	1.356007	0.960605	0	0.889887
CACNG8	0.188171	0.094676	0	1.582614	3.622506	1.584156
PMP2	0.191663	0.066904	0	0	1.880774	3.889573
LUZP2	0.191816	0.023323	0.989451	1.383095	1.7449	1.359881
LSAMP	0.194459	0.052514	0.689398	1.278863	0.000344	1.161794
CACNG3	0.205552	0.01805	0	2.470488	0.000017	2.909542
NKAIN2	0.219114	0.044148	0.445217	2.572529	0.067422	2.348779
SYT7	0.219787	0.045043	0.558456	1.334166	0.710998	1.306172
C1orf95	0.224445	0.052892	0	1.711248	1.911476	2.169078
PALM2	0.231208	0.074596	0	1.198698	0.789189	1.546394
PRR18	0.240813	0.025881	0.219748	1.412798	0	1.228712
TUBB3	0.240962	0.033795	0	0.913041	1.287149	0.942022
CDK5R2	0.256254	0.071609	0	2.443855	2.563469	2.725164
CPLX2	0.266095	0.027426	0	1.056063	1.2539	1.048809
CDK5R1	0.289758	0.050005	0	1.436727	2.553167	1.789778
LHFPL3	0.292831	0.006582	0.735396	2.073527	0.94009	2.108997
GALNT9	0.300838	0.002129	1.33065	0.991549	0.804091	0.940127
FUT9	0.303239	0.087035	0.088671	3.121982	0	2.608434
CALN1	0.339837	0.067896	0.480652	1.343611	2.197095	1.153244
OPCML	0.343174	0.026457	0	0.682808	0.966498	0.65551
EIF4E1B	0.352242	0.009218	0	1.098232	0.395149	1.180535
EFNB3	0.354717	0.043558	0.547406	2.391475	0.669357	2.328504
GNG4	0.361791	0.090262	0	1.428329	1.47559	1.448832
CAMK2N2	0.385243	0.035049	0	1.058314	2.351206	2.03367
CABP7	0.40601	0.000444	0	0	5.469539	3.095072
CAMK2A	0.470127	0.045492	0	0.689568	2.481628	0.764267
TNR	0.551752	0.058228	1.475439	1.009244	0.720709	1.192993
ARC	0.592937	0.287754	2.925783	1.612694	2.425963	1.551867
ATP1A3	0.593809	0.21118	0	0.67605	1.346362	0.612258
XKR7	0.604108	0.305669	0	1.081609	2.394747	1.514023
KHDRBS2	0.614307	0.222712	0	1.969689	0.090118	1.403073
KCNK12	0.619619	0.269457	1.503852	1.288156	1.354044	1.367599
LIX1	0.639106	0.060807	1.432954	1.548445	2.338301	1.830604
CECR6	0.666753	0.03263	0	0	4.01792	3.448665
SERP2	0.738007	0.231955	3.985027	1.491317	2.411746	1.303297
