dataID	thres	rho	rho_stderr	E[A]	E[A]_stderr	E[W]	E[W]_stderr	alpha	alpha_stderr	tau	tau_stderr	eta	eta_stderr	gamma	gamma_stderr	lnLd	LRT[rho>0]	LRT[eta>0]	LRT[gamma>0]	em_status
AGL	f=15%	0.387127	0.611956	1.717814	3.362247	0	0	0.557674	0.624555	0	0	1.995979	3.903374	0	0	-18.8793	0.353	0.3084	0	main-converged-rho0-converged-eta0-converged-gam0-converged
ANKRD23	f=15%	0.000587	0.001144	0	0.943717	0	#NAME?	0	0.655392	0	-1	0	1116.108791	0	468.91673	-17.6589	-0.0008	0	0	main-converged-rho0-converged-eta0-converged-gam0-converged
EYA4	f=15%	0.248894	0.428561	0	3.261876	0	0	0	1.164124	0	0	0	3.512956	0	0	-41.5167	0.3318	0	0	main-converged-rho0-converged-eta0-converged-gam0-converged
FAM184B	f=15%	0.000238	0.001288	0	1.275642	0	#NAME?	0	0.373144	0	-1	0	1564.493025	0	1920.827672	-9.21881	-0.00026	0	0	main-converged-rho0-converged-eta0-converged-gam0-converged
GADL1	f=15%	0.473089	0.525677	0	0	1.854202	4.647547	0	0	0.380372	0.733563	0	0	0.68371	1.503139	-20.5461	0.49	0	0.171	main-converged-rho0-converged-eta0-converged-gam0-converged
KLHL31	f=15%	0.123507	0.017959	0	20.482162	0	#NAME?	0	6.436377	0	-1	0	45.677126	0	41.789274	-14.9577	0.009	0	0	main-converged-rho0-converged-eta0-converged-gam0-converged
LINGO4	f=15%	0.249351	0.020619	0	28.99661	0	#NAME?	0	14.010819	0	-1	0	42.178225	0	19.039318	-9.49483	0.07752	0	0	main-converged-rho0-converged-eta0-converged-gam0-converged
MYH1	f=15%	0.002413	0.00288	0	2.874664	0	#NAME?	0	1.098742	0	-1	0	454.244756	0	459.423983	-7.80692	-0.00118	0	0	main-converged-rho0-converged-eta0-converged-gam0-converged
MYH4	f=15%	0.038692	0.010947	0	11.34498	0	#NAME?	0	3.830363	0	-1	0	95.164889	0	84.740635	-8.5656	-0.0033	0	0	main-converged-rho0-converged-eta0-converged-gam0-converged
MYH8	f=15%	0.007491	0.045256	3.835276	6.592906	3.508269	6.675286	0.581186	0.42039	0.668176	1.421305	183.850789	1103.665309	266.780316	3262.191572	-22.8258	1.0088	0.577	0.436	main-converged-rho0-converged-eta0-converged-gam0-converged
NEXN1	f=15%	0.339572	0.472404	0	3.712591	0	0	0	1.021637	0	0	0	1.986924	0	0	-18.6092	0.3618	0	0	main-converged-rho0-converged-eta0-converged-gam0-converged
NKAIN1	f=15%	0.000682	-1	0	-1	0	0	0	0	0	0	0	-1	0	0	-30.3164	-0.0008	0	0	main-converged-rho0-converged-eta0-converged-gam0-converged
PADI2	f=15%	0.348199	0.650294	1.688639	3.50036	0.811899	3.996987	0.545846	0.653306	0.128763	0.625339	2.249848	4.872629	0.276657	1.130811	-28.3787	0.315	0.272	0.035	main-converged-rho0-converged-eta0-converged-gam0-converged
SH3BGR	f=15%	0.013957	0.114448	3.614674	4.678233	0.503193	3.501119	0.551003	0.326122	0.138761	0.783298	86.698798	701.362535	11.38268	123.057277	-32.5978	0.9904	0.961	0.0124	main-converged-rho0-converged-eta0-converged-gam0-converged
TUBA8	f=15%	0.651112	-1	0	-1	0	0	0	0	0	0	0	-1	0	0	-23.1252	1.6912	0	0	main-converged-rho0-converged-eta0-converged-gam0-converged
