dataID	thres	rho	rho_stderr	E[A]	E[A]_stderr	E[W]	E[W]_stderr	alpha	alpha_stderr	tau	tau_stderr	eta	eta_stderr	gamma	gamma_stderr	lnLd	LRT[rho>0]	LRT[eta>0]	LRT[gamma>0]	em_status
AJAP1_upregulated_GENE_cis_elements_proximal	f=15%	0.003736	0.074021	0.000000	0	3.004882	7.529967	0.000000	0	0.346968	0.569849	0.000000	0	141.687846	2790.732770	-16.6547	0.219	0	0.2194	main-converged-rho0-converged-eta0-converged-gam0-converged
ARC_upregulated_GENE_cis_elements_proximal	f=15%	0.000049	0.000928	0.000000	0.906468	0.000000	-nan	0.000000	0.292100	0.000000	-1.000000	0.000000	5999.400868	0.000000	3512.136904	-8.78912	-8e-05	0	0	main-converged-rho0-converged-eta0-converged-gam0-converged
ATP1A3_GENE_cis_elements_distal	f=15%	0.593809	0.211180	0.000000	0.676050	1.346362	0.612258	0.000000	0.621537	0.575491	0.213893	0.000000	0.425158	0.927330	0.342165	-811.314	11.712	0	7.55	main-converged-rho0-converged-eta0-converged-gam0-converged
B3GAT1_GENE_cis_elements_proximal	f=15%	0.015542	0.063653	0.000000	0	14.605002	6.842231	0.000000	0	0.764072	0.086155	0.000000	0	205.132710	838.031120	-69.0897	13.6934	0	13.6936	main-converged-rho0-converged-eta0-converged-gam0-converged
C1orf61_GENE_cis_elements_proximal	f=15%	0.490941	0.361855	0.000000	3.955310	0.843871	1.956107	0.000000	0.887891	0.327530	0.585821	0.000000	0.920657	0.505029	1.093849	-33.9446	1.583	0	0.2468	main-converged-rho0-converged-eta0-converged-gam0-converged
C1orf95_GENE_cis_elements_proximal	f=15%	0.007282	0.123222	0.000000	0	5.700517	6.728909	0.000000	0	0.645518	0.273119	0.000000	0	248.264387	4194.787075	-15.5075	2.0362	0	2.0364	main-converged-rho0-converged-eta0-converged-gam0-converged
CACNG3_GENE_cis_elements_proximal	f=15%	0.009274	0.039152	4.173274	6.978380	5.071693	7.039076	0.604933	0.401558	0.700679	0.752929	163.579742	691.964725	250.078424	1886.982453	-29.6945	1.7196	0.6232	1.1026	main-converged-rho0-converged-eta0-converged-gam0-converged
CALN1_GENE_cis_elements_proximal	f=15%	0.006238	0.080579	0.335438	3.251057	3.562432	3.682350	0.061559	0.561059	0.456562	0.303271	10.449722	147.643352	133.835961	1800.153209	-60.6092	1.4208	0.0104	1.4108	main-converged-rho0-converged-eta0-converged-gam0-converged
CAMK2A_GENE_cis_elements_proximal	f=15%	0.554409	0.445085	2.403376	3.719972	0.000000	0	0.626608	0.500955	0.000000	0	1.348766	1.946717	0.000000	0	-41.2336	0.864	0.5042	0	main-converged-rho0-converged-eta0-converged-gam0-converged
CAMK2N2_upregulated_GENE_cis_elements_proximal	f=15%	0.000071	0.000949	0.000000	0.952718	0.000000	-nan	0.000000	1.094408	0.000000	-1.000000	0.000000	15475.927761	0.000000	2345.024534	-7.32124	-0.0001	0	0	main-converged-rho0-converged-eta0-converged-gam0-converged
CDK5R2_GENE_cis_elements_proximal	f=15%	0.020734	0.107349	20.510250	22.036198	0.000000	0	0.930000	0.071086	0.000000	0	627.479093	3244.169758	0.000000	0	-13.5252	3.3428	3.3428	0	main-converged-rho0-converged-eta0-converged-gam0-converged
CNGB1_upregulated_GENE_cis_elements_proximal	f=15%	0.006851	0.138542	4.665791	7.060538	0.000000	0	0.705597	0.317855	0.000000	0	347.455274	7012.856316	0.000000	0	-18.0316	0.8336	0.834	0	main-converged-rho0-converged-eta0-converged-gam0-converged
CPLX2_GENE_cis_elements_proximal	f=15%	0.255372	0.525434	2.910793	3.208037	0.000000	0	0.592428	0.374043	0.000000	0	4.238356	7.865407	0.000000	0	-49.3872	1.0308	1.0326	0	main-converged-rho0-converged-eta0-converged-gam0-converged
DLGAP2_upregulated_GENE_cis_elements_proximal	f=15%	0.001586	-1.000000	1.257610	-1.000000	0.267245	-1.000000	0.169166	0.000000	0.133769	0.000000	128.154456	-1.000000	97.198059	-1.000000	-64.4826	0.102	0.1024	0.0626	main-converged-rho0-converged-eta0-converged-gam0-converged
EIF4E1B_upregulated_GENE_cis_elements_proximal	f=15%	0.545280	0.453886	1.714837	3.765165	0.000000	0	0.512337	0.693555	0.000000	0	0.876115	1.738740	0.000000	0	-18.8617	0.7946	0.2366	0	main-converged-rho0-converged-eta0-converged-gam0-converged
FAM19A1_upregulated_GENE_cis_elements_proximal	f=15%	0.374257	0.624336	0.668769	4.213722	0.000000	0	0.204320	1.131261	0.000000	0	0.429338	2.334523	0.000000	0	-20.2722	0.294	0.0204	0	main-converged-rho0-converged-eta0-converged-gam0-converged
GALNT9_GENE_cis_elements_proximal	f=15%	0.003387	0.002238	0.000000	0.965208	0.000000	3.648809	0.000000	0.367951	0.000000	0.552517	0.000000	108.252592	0.000000	162.552536	-29.5286	-0.002	0	0	main-converged-rho0-converged-eta0-converged-gam0-converged
GNG4_upregulated_GENE_cis_elements_proximal	f=15%	0.002207	-1.000000	1.297427	-1.000000	0.835475	-1.000000	0.282026	0.000000	0.346572	0.000000	177.597507	-1.000000	239.801824	-1.000000	-24.1777	0.2108	0.092	0.2086	main-converged-rho0-converged-eta0-converged-gam0-converged
GRIN2B_upregulated_GENE_cis_elements_proximal	f=15%	0.000680	0.001991	0.000000	1.980610	0.000000	-nan	0.000000	0.963822	0.000000	-1.000000	0.000000	1416.261573	0.000000	534.016115	-8.78983	-0.00048	0	0	main-converged-rho0-converged-eta0-converged-gam0-converged
IL17D_GENE_cis_elements_proximal	f=15%	0.006522	0.092174	1.777317	4.752980	3.248599	4.720968	0.381578	0.633855	0.500965	1.329737	93.985325	1324.184141	152.910497	2955.055823	-26.2649	1.1302	0.1876	0.9448	main-converged-rho0-converged-eta0-converged-gam0-converged
JAKMIP3_upregulated_GENE_cis_elements_proximal	f=15%	0.000798	0.002462	0.000000	2.434202	0.000000	-nan	0.000000	0.508829	0.000000	-1.000000	0.000000	637.285344	0.000000	510.646154	-7.95916	-0.00046	0	0	main-converged-rho0-converged-eta0-converged-gam0-converged
KCNJ6_GENE_cis_elements_proximal	f=15%	0.008428	0.096962	7.696585	8.479870	0.000000	0	0.642885	0.256100	0.000000	0	211.804535	2425.195170	0.000000	0	-22.574	1.521	1.5212	0	main-converged-rho0-converged-eta0-converged-gam0-converged
KCNQ3_upregulated_GENE_cis_elements_proximal	f=15%	0.340504	0.019588	0.000000	34.449327	0.000000	-nan	0.000000	10.653925	0.000000	-1.000000	0.000000	20.634733	0.000000	18.028347	-11.0737	0.1848	0	0	main-converged-rho0-converged-eta0-converged-gam0-converged
KCTD8_upregulated_GENE_cis_elements_proximal	f=15%	0.003340	0.062055	2.809505	7.221096	0.000000	0	0.389337	0.612843	0.000000	0	190.242937	3515.480245	0.000000	0	-14.8714	0.2064	0.2066	0	main-converged-rho0-converged-eta0-converged-gam0-converged
KCTD16_GENE_cis_elements_proximal	f=15%	0.003077	0.003419	0.000000	3.411998	0.000000	-nan	0.000000	1.085833	0.000000	-1.000000	0.000000	351.768013	0.000000	380.055284	-8.41637	-0.00126	0	0	main-converged-rho0-converged-eta0-converged-gam0-converged
KHDRBS2_upregulated_GENE_cis_elements_proximal	f=15%	0.012529	0.116348	11.955327	12.611947	0.000000	0	0.670882	0.237231	0.000000	0	160.656132	1482.573110	0.000000	0	-21.8639	1.724	1.7242	0	main-converged-rho0-converged-eta0-converged-gam0-converged
KIAA1644_GENE_cis_elements_proximal	f=15%	0.166849	0.022155	0.000000	26.932957	0.000000	-nan	0.000000	8.077947	0.000000	-1.000000	0.000000	40.336834	0.000000	25.659266	-10.608	0.0262	0	0	main-converged-rho0-converged-eta0-converged-gam0-converged
LHFPL3_upregulated_GENE_cis_elements_proximal	f=15%	0.000005	0.000687	0.000000	0.601301	0.000000	-nan	0.000000	0.174375	0.000000	-1.000000	0.000000	36705.955837	0.000000	41362.496288	-7.07847	0	0	0	main-converged-rho0-converged-eta0-converged-gam0-converged
LHFPL5_upregulated_GENE_cis_elements_proximal	f=15%	0.151972	0.018356	0.000000	21.831369	0.000000	-nan	0.000000	5.301111	0.000000	-1.000000	0.000000	29.581092	0.000000	59.934925	-11.9264	0.0182	0	0	main-converged-rho0-converged-eta0-converged-gam0-converged
LIX1_upregulated_GENE_cis_elements_proximal	f=15%	0.357547	0.013245	0.000000	24.711739	0.000000	-nan	0.000000	14.878888	0.000000	-1.000000	0.000000	26.734952	0.000000	26.208968	-10.7966	0.2038	0	0	main-converged-rho0-converged-eta0-converged-gam0-converged
LRRC55_upregulated_GENE_cis_elements_proximal	f=15%	0.144301	0.019083	0.000000	22.457907	0.000000	-nan	0.000000	6.232146	0.000000	-1.000000	0.000000	36.956392	0.000000	41.101990	-11.7389	0.016	0	0	main-converged-rho0-converged-eta0-converged-gam0-converged
LSAMP_GENE_cis_elements_proximal	f=15%	0.520097	0.479129	0.416739	3.322927	0.000000	0	0.163213	1.181112	0.000000	0	0.179974	1.334726	0.000000	0	-19.598	1.0404	0.0124	0	main-converged-rho0-converged-eta0-converged-gam0-converged
LUZP2_upregulated_GENE_cis_elements_proximal	f=15%	0.009326	0.024126	5.631734	5.051810	1.641892	3.756750	0.605591	0.216278	0.422258	0.871720	163.105328	397.449207	77.638844	447.651710	-62.9248	2.3646	2.1342	0.2552	main-converged-rho0-converged-eta0-converged-gam0-converged
NAP1L5_GENE_cis_elements_proximal	f=15%	0.011081	0.060927	5.205962	7.652949	5.719693	7.574969	0.681092	0.321509	0.766528	0.879982	190.606033	1044.950896	293.014825	3013.855351	-24.4003	2.188	0.9126	1.2834	main-converged-rho0-converged-eta0-converged-gam0-converged
NECAB1_GENE_cis_elements_proximal	f=15%	0.109334	0.886848	1.305915	4.093331	0.000000	0	0.375658	0.881489	0.000000	0	4.901534	34.187756	0.000000	0	-19.1618	0.115	0.1172	0	main-converged-rho0-converged-eta0-converged-gam0-converged
NMNAT2_GENE_cis_elements_proximal	f=15%	0.178096	0.467508	0.000000	0	0.000000	2.941953	0.000000	0	0.000000	0.811387	0.000000	0	0.000000	3.744720	-42.5675	0.1494	0	0	main-converged-rho0-converged-eta0-converged-gam0-converged
NPTXR_GENE_cis_elements_proximal	f=15%	0.000008	0.000706	0.000000	0.671549	0.000000	-nan	0.000000	0.395572	0.000000	-1.000000	0.000000	49305.555139	0.000000	21415.041177	-8.47597	0	0	0	main-converged-rho0-converged-eta0-converged-gam0-converged
OPCML_GENE_cis_elements_proximal	f=15%	0.014468	0.099399	3.235971	5.627297	1.013851	4.080101	0.417788	0.429209	0.243104	0.736971	48.880947	327.243265	21.878718	190.647210	-30.6376	0.5292	0.4462	0.0578	main-converged-rho0-converged-eta0-converged-gam0-converged
OR14I1_upregulated_GENE_cis_elements_proximal	f=15%	0.074449	0.015897	0.000000	17.124819	0.000000	-nan	0.000000	4.861844	0.000000	-1.000000	0.000000	60.442124	0.000000	51.825909	-9.8516	-0.00018	0	0	main-converged-rho0-converged-eta0-converged-gam0-converged
OSTN_upregulated_GENE_cis_elements_proximal	f=15%	0.004293	0.059575	3.931759	6.597943	0.000000	0	0.604296	0.402724	0.000000	0	354.222566	4901.868479	0.000000	0	-14.6301	0.6176	0.6178	0	main-converged-rho0-converged-eta0-converged-gam0-converged
