dataID	thres	rho	rho_stderr	E[A]	E[A]_stderr	E[W]	E[W]_stderr	alpha	alpha_stderr	tau	tau_stderr	eta	eta_stderr	gamma	gamma_stderr	lnLd	LRT[rho>0]	LRT[eta>0]	LRT[gamma>0]	em_status
ADCY1_upregulated_GENE_cis_elements_distal	f=15%	0.017799	0.275109	0.176606	1.656886	1.325006	1.602398	0.047327	0.432252	0.239327	0.243640	2.741408	29.585496	17.362036	257.476870	-276.781	1.218	0	1.206	main-converged-rho0-converged-eta0-converged-gam0-converged
AJAP1_upregulated_GENE_cis_elements_distal	f=15%	0.178795	0.174634	1.356007	0.960605	0.000000	0.889887	0.281782	0.178390	0.000000	0.187076	1.801996	1.139547	0.000000	0.859240	-1293.73	3.62	3.3	0	main-converged-rho0-converged-eta0-converged-gam0-converged
ARC_upregulated_GENE_cis_elements_distal	f=15%	0.592937	0.287754	2.925783	1.612694	2.425963	1.551867	0.672093	0.250276	0.531957	0.309538	1.407119	0.638040	0.780267	0.354663	-373.464	2.646	2.608	1.82	main-converged-rho0-converged-eta0-converged-gam0-converged
ATOH7_upregulated_GENE_cis_elements_distal	f=15%	0.021431	0.270049	0.000000	0	0.103882	1.313489	0.000000	0	0.027779	0.345861	0.000000	0	1.304656	15.070986	-194.375	-0.006	0	0.002	main-converged-rho0-converged-eta0-converged-gam0-converged
ATP1A3_GENE_cis_elements_distal	f=15%	0.593809	0.211180	0.000000	0.676050	1.346362	0.612258	0.000000	0.621537	0.575491	0.213893	0.000000	0.425158	0.927330	0.342165	-811.314	11.712	0	7.55	main-converged-rho0-converged-eta0-converged-gam0-converged
B3GAT1_GENE_cis_elements_distal	f=15%	0.109988	0.101247	0.518894	0.659825	0.000000	0.506211	0.105019	0.127431	0.000000	0.099323	0.949522	0.838073	0.000000	0.803715	-2644.28	1.78	0.64	0	main-converged-rho0-converged-eta0-converged-gam0-converged
C1orf61_GENE_cis_elements_distal	f=15%	0.117822	0.120061	0.000000	0.363965	0.050450	0.567434	0.000000	0.173458	0.013051	0.146148	0.000000	1.298748	0.099010	1.042820	-1418.67	1.54	0	0	main-converged-rho0-converged-eta0-converged-gam0-converged
C1orf95_GENE_cis_elements_distal	f=15%	0.224445	0.528920	0.000000	1.711248	1.911476	2.169078	0.000000	0.988583	0.411195	0.406485	0.000000	3.415986	2.413119	4.264441	-104.508	1.076	0	1.078	main-converged-rho0-converged-eta0-converged-gam0-converged
CABP7_upregulated_GENE_cis_elements_distal	f=15%	0.406010	0.400444	0.000000	0	5.469539	3.095072	0.000000	0	0.655896	0.236997	0.000000	0	2.788602	2.514843	-82.8518	4.2788	0	4.2796	main-converged-rho0-converged-eta0-converged-gam0-converged
CACNG3_GENE_cis_elements_distal	f=15%	0.205552	0.518050	0.000000	2.470488	0.000017	2.909542	0.000000	0.945241	0.000004	0.692447	0.000000	3.653315	0.000016	2.676264	-61.6858	0.2146	0	0	main-converged-rho0-converged-eta0-converged-gam0-converged
CACNG8_GENE_cis_elements_distal	f=15%	0.188171	0.194676	0.000000	1.582614	3.622506	1.584156	0.000000	0.292136	0.478468	0.144727	0.000000	1.260366	3.958073	3.726051	-565.411	7.244	0	7.244	main-converged-rho0-converged-eta0-converged-gam0-converged
CALN1_GENE_cis_elements_distal	f=15%	0.339837	0.267896	0.480652	1.343611	2.197095	1.153244	0.145865	0.391904	0.429003	0.212743	0.331745	0.720269	1.459510	0.788661	-557.821	5.092	0.088	5.064	main-converged-rho0-converged-eta0-converged-gam0-converged
CAMK2A_GENE_cis_elements_distal	f=15%	0.470127	0.145492	0.000000	0.689568	2.481628	0.764267	0.000000	0.317595	0.504104	0.134434	0.000000	0.357957	1.145740	0.274840	-1224.03	20.5	0	16.58	main-converged-rho0-converged-eta0-converged-gam0-converged
CAMK2N2_upregulated_GENE_cis_elements_distal	f=15%	0.385243	0.335049	0.000000	1.058314	2.351206	2.033670	0.000000	0.783457	0.432454	0.315046	0.000000	1.250210	1.215926	0.898569	-133.312	1.362	0	1.33	main-converged-rho0-converged-eta0-converged-gam0-converged
CDK5R1_GENE_cis_elements_distal	f=15%	0.289758	0.450005	0.000000	1.436727	2.553167	1.789778	0.000000	0.814986	0.644658	0.256287	0.000000	1.997658	4.446874	6.328732	-88.9731	3.0284	0	3.0298	main-converged-rho0-converged-eta0-converged-gam0-converged
CDK5R2_GENE_cis_elements_distal	f=15%	0.256254	0.571609	0.000000	2.443855	2.563469	2.725164	0.000000	0.885559	0.456476	0.418554	0.000000	2.570230	2.437555	4.140427	-97.104	1.3302	0	1.333	main-converged-rho0-converged-eta0-converged-gam0-converged
CECR6_upregulated_GENE_cis_elements_distal	f=15%	0.666753	0.332630	0.000000	0	4.017920	3.448665	0.000000	0	0.787949	0.242819	0.000000	0	1.857208	1.657193	-26.8228	2.7568	0	2.484	main-converged-rho0-converged-eta0-converged-gam0-converged
CNGB1_upregulated_GENE_cis_elements_distal	f=15%	0.068200	0.211657	0.000000	0	0.379044	1.009060	0.000000	0	0.090058	0.230700	0.000000	0	1.352220	3.302849	-460.399	0.108	0	0.116	main-converged-rho0-converged-eta0-converged-gam0-converged
CPLX2_GENE_cis_elements_distal	f=15%	0.266095	0.227426	0.000000	1.056063	1.253900	1.048809	0.000000	0.358795	0.265757	0.213829	0.000000	0.989576	0.998266	0.571964	-689.487	3.404	0	2.4	main-converged-rho0-converged-eta0-converged-gam0-converged
DLGAP2_upregulated_GENE_cis_elements_distal	f=15%	0.094491	0.226620	1.455380	1.744584	0.497275	1.604001	0.196774	0.223939	0.065403	0.209391	2.347638	3.576927	0.670612	1.120350	-1201.95	0.98	0.98	0.04	main-converged-rho0-converged-eta0-converged-gam0-converged
EFNB3_GENE_cis_elements_distal	f=15%	0.354717	0.643558	0.547406	2.391475	0.669357	2.328504	0.237784	0.931056	0.195536	0.668151	0.567508	1.873688	0.442169	1.121224	-47.1399	0.2572	0.0346	0.0604	main-converged-rho0-converged-eta0-converged-gam0-converged
EIF4E1B_upregulated_GENE_cis_elements_distal	f=15%	0.352242	0.209218	0.000000	1.098232	0.395149	1.180535	0.000000	0.397054	0.105745	0.305197	0.000000	0.730167	0.217455	0.564913	-306.364	4.31	0	0.122	main-converged-rho0-converged-eta0-converged-gam0-converged
FAM19A1_upregulated_GENE_cis_elements_distal	f=15%	0.024709	0.183153	0.346252	1.432674	0.000000	0	0.063699	0.254402	0.000000	0	2.685294	14.959437	0.000000	0	-485.43	0.038	0.046	0	main-converged-rho0-converged-eta0-converged-gam0-converged
FBXL16_GENE_cis_elements_distal	f=15%	0.119187	0.308695	0.000000	0	3.272558	2.367281	0.000000	0	0.407783	0.228444	0.000000	0	5.088636	11.818050	-178.085	2.792	0	2.792	main-converged-rho0-converged-eta0-converged-gam0-converged
FUT9_GENE_cis_elements_distal	f=15%	0.303239	0.487035	0.088671	3.121982	0.000000	2.608434	0.027581	0.957430	0.000000	0.657244	0.065171	2.223092	0.000000	1.510168	-56.2902	0.67	0	0	main-converged-rho0-converged-eta0-converged-gam0-converged
GALNT9_GENE_cis_elements_distal	f=15%	0.300838	0.202129	1.330650	0.991549	0.804091	0.940127	0.327856	0.218128	0.183099	0.212384	1.133616	0.524814	0.520909	0.368909	-1491.43	2.14	1.54	0.6	main-converged-rho0-converged-eta0-converged-gam0-converged
GNG4_upregulated_GENE_cis_elements_distal	f=15%	0.361791	0.290262	0.000000	1.428329	1.475590	1.448832	0.000000	0.577235	0.342027	0.293263	0.000000	1.018259	0.916976	0.759492	-166.479	1.93	0	1.304	main-converged-rho0-converged-eta0-converged-gam0-converged
GPR123_upregulated_GENE_cis_elements_distal	f=15%	0.000777	0.019425	0.000000	0	0.136320	0.441081	0.000000	0	0.030696	0.096396	0.000000	0	40.722937	1000.799761	-2271.97	0.1	0	0.1	main-converged-rho0-converged-eta0-converged-gam0-converged
GRIN2B_upregulated_GENE_cis_elements_distal	f=15%	0.134939	0.147654	0.000000	0.904251	0.000000	0.989492	0.000000	0.273483	0.000000	0.204429	0.000000	1.753234	0.000000	1.310545	-355.478	0.798	0	0	main-converged-rho0-converged-eta0-converged-gam0-converged
IL17D_GENE_cis_elements_distal	f=15%	0.000526	0.019286	0.110247	0.963074	0.000000	0	0.031658	0.267907	0.000000	0	62.155544	2244.000420	0.000000	0	-527.202	0.01	0.012	0	main-converged-rho0-converged-eta0-converged-gam0-converged
JAKMIP3_upregulated_GENE_cis_elements_distal	f=15%	0.005801	0.109672	0.053539	0.717283	0.000000	0	0.013918	0.184768	0.000000	0	2.418813	37.250209	0.000000	0	-1711.31	0	0	0	main-converged-rho0-converged-eta0-converged-gam0-converged
KCNA1_upregulated_GENE_cis_elements_distal	f=15%	0.097706	0.259183	0.329329	1.698985	0.000000	1.114185	0.074220	0.368212	0.000000	0.261629	0.740356	2.867333	0.000000	2.416083	-269.486	0.116	0.024	0	main-converged-rho0-converged-eta0-converged-gam0-converged
KCNJ6_GENE_cis_elements_distal	f=15%	0.003042	0.025380	0.309834	1.098993	0.426151	1.085896	0.083391	0.271704	0.094586	0.216453	29.817879	239.955438	34.238976	309.283124	-288.261	0.246	0.074	0.152	main-converged-rho0-converged-eta0-converged-gam0-converged
KCNJ9_GENE_cis_elements_distal	f=15%	0.174341	0.831500	1.043734	3.019090	1.101965	2.897193	0.290824	0.779824	0.265424	0.683550	1.942119	5.436805	1.711212	5.035289	-109.509	0.272	0.12	0.17	main-converged-rho0-converged-eta0-converged-gam0-converged
KCNK12_upregulated_GENE_cis_elements_distal	f=15%	0.619619	0.269457	1.503852	1.288156	1.354044	1.367599	0.511317	0.369831	0.403722	0.396446	0.642329	0.372601	0.415650	0.288019	-331.337	5.896	1.156	0.846	main-converged-rho0-converged-eta0-converged-gam0-converged
KCNQ3_upregulated_GENE_cis_elements_distal	f=15%	0.046750	0.475382	0.000000	0	1.095721	2.932996	0.000000	0	0.190426	0.463648	0.000000	0	4.796138	42.166009	-69.378	0.1776	0	0.18	main-converged-rho0-converged-eta0-converged-gam0-converged
KCTD8_upregulated_GENE_cis_elements_distal	f=15%	0.169670	0.019557	0.000000	23.921546	0.000000	-nan	0.000000	6.513731	0.000000	-1.000000	0.000000	31.876888	0.000000	39.738229	-9.48354	0.02614	0	0	main-converged-rho0-converged-eta0-converged-gam0-converged
KCTD16_GENE_cis_elements_distal	f=15%	0.008483	0.056768	4.201376	6.781960	3.997143	6.822442	0.626852	0.379689	0.619953	1.557007	196.350832	1307.769985	190.664713	2506.393810	-22.4118	1.2698	0.6894	0.5854	main-converged-rho0-converged-eta0-converged-gam0-converged
KHDRBS2_upregulated_GENE_cis_elements_distal	f=15%	0.614307	0.222712	0.000000	1.969689	0.090118	1.403073	0.000000	0.995019	0.045195	0.687374	0.000000	0.624724	0.029719	0.456198	-58.8925	6.175	0	0.0056	main-converged-rho0-converged-eta0-converged-gam0-converged
KIAA1644_GENE_cis_elements_distal	f=15%	0.008571	0.041787	8.490826	11.779284	0.000000	0	0.738423	0.269324	0.000000	0	326.522138	1587.224724	0.000000	0	-27.2536	1.1274	1.1274	0	main-converged-rho0-converged-eta0-converged-gam0-converged
LHFPL3_upregulated_GENE_cis_elements_distal	f=15%	0.292831	0.406582	0.735396	2.073527	0.940090	2.108997	0.202233	0.531688	0.186598	0.414713	0.612185	1.169200	0.553996	0.765660	-244.914	0.522	0.088	0.148	main-converged-rho0-converged-eta0-converged-gam0-converged
LHFPL5_upregulated_GENE_cis_elements_distal	f=15%	0.035381	0.236142	0.000000	0	0.000000	1.323734	0.000000	0	0.000000	0.291368	0.000000	0	0.000000	7.943460	-174.272	0.004	0	0	main-converged-rho0-converged-eta0-converged-gam0-converged
LIX1_upregulated_GENE_cis_elements_distal	f=15%	0.639106	0.360807	1.432954	1.548445	2.338301	1.830604	0.547803	0.483629	0.567201	0.411610	0.684075	0.510897	0.740043	0.374148	-167.345	2.024	0.74	1.258	main-converged-rho0-converged-eta0-converged-gam0-converged
LRRC55_upregulated_GENE_cis_elements_distal	f=15%	0.002746	0.026976	1.345328	1.334378	0.000000	1.525203	0.291126	0.204249	0.000000	0.743494	149.150750	1486.316933	0.000000	270.016495	-269.363	1.37	1.372	0	main-converged-rho0-converged-eta0-converged-gam0-converged
LSAMP_GENE_cis_elements_distal	f=15%	0.194459	0.252514	0.689398	1.278863	0.000344	1.161794	0.170695	0.299656	0.000080	0.270156	0.852644	0.944481	0.000331	1.118853	-573.27	1.564	0.488	0	main-converged-rho0-converged-eta0-converged-gam0-converged
LUZP2_upregulated_GENE_cis_elements_distal	f=15%	0.191816	0.233230	0.989451	1.383095	1.744900	1.359881	0.202164	0.264506	0.251726	0.192795	1.067619	0.883705	1.417401	1.078543	-903.768	1.71	0.424	1.708	main-converged-rho0-converged-eta0-converged-gam0-converged
