dataID	thres	rho	rho_stderr	E[A]	E[A]_stderr	E[W]	E[W]_stderr	alpha	alpha_stderr	tau	tau_stderr	eta	eta_stderr	gamma	gamma_stderr	lnLd	LRT[rho>0]	LRT[eta>0]	LRT[gamma>0]	em_status
ADCYAP1R1_downregulated_GENE_cis_elements_distal	f=15%	0.513749	0.280662	2.179874	1.281937	2.312885	1.318446	0.559493	0.270164	0.505936	0.271312	1.202134	0.465035	0.969219	0.350165	-503.677	2.342	2.05	2.118	main-converged-rho0-converged-eta0-converged-gam0-converged
AQP4_downregulated_GENE_cis_elements_distal	f=15%	0.047500	0.317506	0.000000	0	0.914397	2.019132	0.000000	0	0.165237	0.334446	0.000000	0	3.969271	22.340326	-148.821	0.236	0	0.24	main-converged-rho0-converged-eta0-converged-gam0-converged
C2orf80_downregulated_GENE_cis_elements_distal	f=15%	0.185078	0.228005	0.559111	0.899577	0.000000	0.897916	0.203221	0.293149	0.000000	0.256668	1.123030	1.337007	0.000000	1.130143	-433.159	1.012	0.48	0	main-converged-rho0-converged-eta0-converged-gam0-converged
C10orf90_downregulated_GENE_cis_elements_distal	f=15%	0.213438	0.189452	0.324912	0.974948	0.000000	0.799039	0.096286	0.277145	0.000000	0.207011	0.392639	0.945830	0.000000	0.762876	-602.893	2.538	0.132	0	main-converged-rho0-converged-eta0-converged-gam0-converged
CAMK1G_downregulated_GENE_cis_elements_distal	f=15%	0.275344	0.242224	0.000004	0.903427	0.233938	0.978496	0.000002	0.403279	0.066094	0.275373	0.000004	1.061360	0.186259	0.652976	-455.838	3.982	0	0.086	main-converged-rho0-converged-eta0-converged-gam0-converged
CCKBR_downregulated_GENE_cis_elements_distal	f=15%	0.279543	0.233210	0.000000	1.028527	1.632525	1.324129	0.000000	0.396126	0.295551	0.222987	0.000000	1.020922	1.081290	0.661053	-437.111	2.364	0	1.99	main-converged-rho0-converged-eta0-converged-gam0-converged
CDH20_downregulated_GENE_cis_elements_distal	f=15%	0.340115	0.570535	0.000000	3.207078	3.262557	3.697465	0.000000	0.999658	0.450433	0.460755	0.000000	1.939517	1.590203	1.851553	-84.0785	1.2474	0	1.238	main-converged-rho0-converged-eta0-converged-gam0-converged
CIT_downregulated_GENE_cis_elements_distal	f=15%	0.154735	0.131969	0.000000	0.508499	0.490147	0.619812	0.000000	0.192022	0.122500	0.148021	0.000000	1.048952	0.762596	0.702947	-1166.16	1.3	0	0.62	main-converged-rho0-converged-eta0-converged-gam0-converged
CPE_downregulated_GENE_cis_elements_distal	f=15%	0.048812	0.317303	0.294053	1.454616	0.440152	1.422935	0.075387	0.364154	0.083093	0.266975	1.588824	5.921807	1.765949	7.431088	-614.26	0.118	0.018	0.108	main-converged-rho0-converged-eta0-converged-gam0-converged
CSRNP3_downregulated_GENE_cis_elements_distal	f=15%	0.320458	0.411544	0.000000	1.699801	2.213383	1.980553	0.000000	0.705584	0.417224	0.342069	0.000000	1.496212	1.518145	1.310718	-188.7	1.972	0	1.954	main-converged-rho0-converged-eta0-converged-gam0-converged
EFNA3_downregulated_GENE_cis_elements_distal	f=15%	0.241719	0.337007	0.246544	1.127007	0.959050	1.105548	0.105442	0.466049	0.260327	0.294385	0.369765	1.303542	1.104073	0.953196	-388.972	0.97	0.022	0.898	main-converged-rho0-converged-eta0-converged-gam0-converged
ELOVL2_downregulated_GENE_cis_elements_distal	f=15%	0.658923	0.340963	2.914825	2.104349	4.780889	2.255230	0.674400	0.345992	0.718181	0.269411	1.072138	0.578272	1.319111	0.597916	-166.102	3.856	1.56	3.838	main-converged-rho0-converged-eta0-converged-gam0-converged
FAM163B_downregulated_GENE_cis_elements_distal	f=15%	0.471158	0.199234	1.037580	0.957526	1.265857	1.000383	0.341591	0.278755	0.306621	0.236601	0.582330	0.378032	0.496352	0.260429	-638.261	5.59	0.95	1.296	main-converged-rho0-converged-eta0-converged-gam0-converged
FAM169A_downregulated_GENE_cis_elements_distal	f=15%	0.342348	0.178856	0.000000	0.685650	2.062374	0.846647	0.000000	0.337152	0.413618	0.151619	0.000000	0.647670	1.355025	0.540444	-651.192	8.542	0	8.258	main-converged-rho0-converged-eta0-converged-gam0-converged
FAM181B_downregulated_GENE_cis_elements_distal	f=15%	0.393066	0.438808	0.000000	4.592791	0.000000	0	0.000000	1.029871	0.000000	0	0.000000	1.590178	0.000000	0	-17.8544	0.5592	0	0	main-converged-rho0-converged-eta0-converged-gam0-converged
GABRB1_downregulated_GENE_cis_elements_distal	f=15%	0.322998	0.220104	0.000000	1.152516	1.031966	1.463078	0.000000	0.415342	0.227034	0.288801	0.000000	0.870553	0.615630	0.684924	-202.573	1.802	0	0.496	main-converged-rho0-converged-eta0-converged-gam0-converged
GABRG1_downregulated_GENE_cis_elements_distal	f=15%	0.003543	0.004631	2.257148	1.663544	0.783286	1.211484	0.318103	0.160385	0.361951	0.462782	131.184254	147.677515	159.524993	472.599472	-271.439	2.884	2.446	0.716	main-converged-rho0-converged-eta0-converged-gam0-converged
GPR37L1_downregulated_GENE_cis_elements_distal	f=15%	0.253472	0.504500	0.003186	1.621330	2.783994	1.837306	0.001532	0.779496	0.515943	0.313776	0.004519	2.292613	3.139227	4.860520	-451.494	4.97	0	4.97	main-converged-rho0-converged-eta0-converged-gam0-converged
GPR98_downregulated_GENE_cis_elements_distal	f=15%	0.121414	0.099193	0.000000	0.520872	0.000000	0.573425	0.000000	0.174334	0.000000	0.132938	0.000000	1.261532	0.000000	0.961979	-872.784	1.55	0	0	main-converged-rho0-converged-eta0-converged-gam0-converged
GPRC5B_downregulated_GENE_cis_elements_distal	f=15%	0.506730	0.364942	0.000000	2.330529	1.791217	2.070974	0.000000	1.054279	0.553158	0.389114	0.000000	1.026275	1.205044	1.362846	-38.1604	1.4202	0	1.026	main-converged-rho0-converged-eta0-converged-gam0-converged
HEPACAM_downregulated_GENE_cis_elements_distal	f=15%	0.059020	0.163058	1.012264	0.955333	0.000000	0	0.252893	0.198035	0.000000	0	5.396749	12.870101	0.000000	0	-616.798	1.308	1.312	0	main-converged-rho0-converged-eta0-converged-gam0-converged
IGSF11_downregulated_GENE_cis_elements_distal	f=15%	0.061447	0.364380	4.823552	3.302837	2.802066	3.133665	0.607514	0.218212	0.397709	0.257180	23.642439	134.377648	10.085995	59.750435	-114.535	5.196	3.962	1.212	main-converged-rho0-converged-eta0-converged-gam0-converged
KCNH8_downregulated_GENE_cis_elements_distal	f=15%	0.221504	0.781156	1.583810	3.089283	0.421547	3.272942	0.388452	0.670410	0.106020	0.818650	2.232451	5.071508	0.416806	2.085916	-89.1538	0.3502	0.3554	0.0008	main-converged-rho0-converged-eta0-converged-gam0-converged
KCNK4_downregulated_GENE_cis_elements_distal	f=15%	0.279232	0.270162	0.413521	0.754829	1.511434	0.822280	0.192083	0.334383	0.402714	0.212622	0.613694	0.685352	1.740381	1.021917	-1244.25	4.92	0.18	4.94	main-converged-rho0-converged-eta0-converged-gam0-converged
KSR2_downregulated_GENE_cis_elements_distal	f=15%	0.603118	0.396982	0.988360	1.763713	3.375137	1.883691	0.406077	0.642692	0.662933	0.323411	0.449921	0.586381	1.294231	0.622584	-178.749	3.684	0.304	3.642	main-converged-rho0-converged-eta0-converged-gam0-converged
LHFPL4_downregulated_GENE_cis_elements_distal	f=15%	0.005916	-1.000000	4.823778	-1.000000	0.396376	-1.000000	0.540150	0.000000	0.467342	0.000000	197.365021	-1.000000	147.420886	-1.000000	-67.909	1.5738	1.5742	0.571	main-converged-rho0-converged-eta0-converged-gam0-converged
LMO3_downregulated_GENE_cis_elements_distal	f=15%	0.213176	0.349240	0.199257	1.533998	1.137801	1.334300	0.060829	0.462396	0.260617	0.301769	0.239059	1.505018	1.300986	1.203807	-464.258	1.344	0	1.256	main-converged-rho0-converged-eta0-converged-gam0-converged
MEGF10_downregulated_GENE_cis_elements_distal	f=15%	0.444412	0.320598	1.864964	1.324538	1.772575	1.650268	0.508369	0.303845	0.375913	0.340743	1.292728	0.611818	0.753025	0.374444	-410.97	1.472	1.46	0.822	main-converged-rho0-converged-eta0-converged-gam0-converged
NPY_downregulated_GENE_cis_elements_distal	f=15%	0.073824	0.266559	0.863625	1.501048	0.000000	1.152616	0.204078	0.314602	0.000000	0.252735	3.216757	9.060384	0.000000	3.170726	-270.717	0.362	0.368	0	main-converged-rho0-converged-eta0-converged-gam0-converged
NR2E1_downregulated_GENE_cis_elements_distal	f=15%	0.454562	0.327850	0.000000	1.078897	3.168374	1.399636	0.000000	0.682776	0.619119	0.226914	0.000000	0.819277	1.950463	1.021963	-287.969	8.288	0	8.294	main-converged-rho0-converged-eta0-converged-gam0-converged
NSF_downregulated_GENE_cis_elements_distal	f=15%	0.004414	0.031821	0.000000	0	3.065678	3.210984	0.000000	0	0.465816	0.261518	0.000000	0	196.661857	1412.309620	-61.5838	1.4976	0	1.4978	main-converged-rho0-converged-eta0-converged-gam0-converged
PSD2_downregulated_GENE_cis_elements_distal	f=15%	0.423911	0.213458	0.000000	1.036183	0.000000	0.866718	0.000000	0.576931	0.000000	0.504045	0.000000	0.784041	0.000000	0.684991	-106.52	3.394	0	0	main-converged-rho0-converged-eta0-converged-gam0-converged
