Gene	Gene synonym	Ensembl	Gene description	Chromosome	Position	Protein class	Evidence summary	HPA evidence	UniProt evidence	MS evidence	Antibody	Reliability (IH)	Reliability (IF)	Subcellular location	RNA tissue category	RNA TS	RNA TS FPKM	FPKM max in non-specific
OPALIN	HTMP10, TMEM10, TMP10	ENSG00000197430	Oligodendrocytic myelin paranodal and inner loop protein	10	98102973-98119092	Predicted membrane proteins, Protein evidence (Ezkurdia et al 2014), Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at protein level	Evidence at transcript level	Evidence at protein level	HPA014372	Supportive			Tissue enriched	542	cerebral cortex: 54.2	adipose tissue: 0.0
GFAP	FLJ45472	ENSG00000131095	Glial fibrillary acidic protein	17	42982376-42994305	Candidate cardiovascular disease genes, Disease related genes, Plasma proteins, Protein evidence (Ezkurdia et al 2014), Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	CAB000039, HPA056030	Supportive			Tissue enriched	463	cerebral cortex: 1372.3	heart muscle: 3.0
RFX4		ENSG00000111783	Regulatory factor X, 4 (influences HLA class II expression)	12	106976685-107156581	Protein evidence (Kim et al 2014), Transcription factors	Evidence at protein level	Evidence at transcript level	Evidence at protein level	Evidence at protein level	HPA050527	Uncertain			Group enriched	293	cerebral cortex: 17.6;testis: 71.4	thyroid gland: 0.2
OLIG2	BHLHB1, bHLHe19, OLIGO2, PRKCBP2, RACK17	ENSG00000205927	Oligodendrocyte lineage transcription factor 2	21	34398153-34401504	Cancer-related genes, Disease related genes, Transcription factors	Evidence at protein level	Evidence at protein level	Evidence at protein level		HPA003254, CAB019381	Supportive	Uncertain	Nucleoli, Nucleus but not nucleoli, Plasma membrane, Golgi apparatus	Tissue enriched	284	cerebral cortex: 39.2	urinary bladder: 0.1
ZDHHC22	C14orf59	ENSG00000177108	Zinc finger, DHHC-type containing 22	14	77597613-77609077	Enzymes, Predicted membrane proteins	Evidence at protein level	Evidence at transcript level	Evidence at protein level						Tissue enriched	117	cerebral cortex: 28.6	testis: 0.2
NEUROD6	Atoh2, bHLHa2, Math-2, Nex1, NEX1M	ENSG00000164600	Neuronal differentiation 6	7	31377075-31380508	Transcription factors	Evidence at transcript level	Evidence at transcript level	Evidence at transcript level						Tissue enriched	108	cerebral cortex: 10.8	adipose tissue: 0.0
VSTM2B		ENSG00000187135	V-set and transmembrane domain containing 2B	19	30017406-30055386	Predicted secreted proteins	Evidence at transcript level	Evidence at transcript level	Evidence at transcript level						Tissue enriched	108	cerebral cortex: 20.1	smooth muscle: 0.2
SLC17A7	BNPI, VGLUT1	ENSG00000104888	Solute carrier family 17 (vesicular glutamate transporter), member 7	19	49932658-49945617	Predicted membrane proteins, Protein evidence (Ezkurdia et al 2014), Protein evidence (Kim et al 2014), Transporters	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	CAB037183, HPA050458, HPA063679	Supportive			Tissue enriched	100	cerebral cortex: 263.5	adipose tissue: 2.6
KCNJ9	GIRK3, Kir3.3	ENSG00000162728	Potassium inwardly-rectifying channel, subfamily J, member 9	1	160051360-160060353	Predicted membrane proteins, Protein evidence (Kim et al 2014), Voltage-gated ion channels	Evidence at protein level	Evidence at transcript level	Evidence at transcript level	Evidence at protein level					Tissue enriched	97	cerebral cortex: 26.9	testis: 0.3
PMP2	FABP8, M-FABP, MP2	ENSG00000147588	Peripheral myelin protein 2	8	82352561-82359758	Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at transcript level	Evidence at protein level	Evidence at protein level					Tissue enriched	94	cerebral cortex: 157.5	adrenal gland: 1.7
CREG2		ENSG00000175874	Cellular repressor of E1A-stimulated genes 2	2	101962013-102004057	Predicted secreted proteins, Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	HPA038224	Supportive	Uncertain	Nucleus but not nucleoli	Tissue enriched	91	cerebral cortex: 56.7	fallopian tube: 0.6
C2orf80	GONDA1, LOC389073	ENSG00000188674	Chromosome 2 open reading frame 80	2	209030067-209054797		Evidence at protein level	Evidence at protein level	Evidence at transcript level		HPA042639	Uncertain	Uncertain	Golgi apparatus	Tissue enriched	82	cerebral cortex: 19.3	testis: 0.2
SLC39A12	FLJ30499	ENSG00000148482	Solute carrier family 39 (zinc transporter), member 12	10	18240768-18332221	Predicted membrane proteins, Protein evidence (Kim et al 2014), Transporters	Evidence at protein level	Evidence at transcript level	Evidence at transcript level	Evidence at protein level					Tissue enriched	77	cerebral cortex: 15.7	adipose tissue: 0.2
POU3F2	BRN2, OCT7, OTF7, POUF3	ENSG00000184486	POU class 3 homeobox 2	6	99282580-99286660	Protein evidence (Ezkurdia et al 2014), Transcription factors	Evidence at protein level	Evidence at transcript level	Evidence at protein level	Evidence at protein level					Tissue enriched	65	cerebral cortex: 13.6	testis: 0.2
TMEM235		ENSG00000204278	Transmembrane protein 235	17	76227391-76237068	Predicted membrane proteins	Evidence at transcript level	Evidence at transcript level	Evidence at transcript level		HPA053939	Uncertain			Tissue enriched	65	cerebral cortex: 6.5	testis: 0.1
MMD2	PAQR10	ENSG00000136297	Monocyte to macrophage differentiation-associated 2	7	4945620-4998844	Predicted membrane proteins	Evidence at protein level	Evidence at transcript level	Evidence at protein level		HPA048714	Uncertain			Group enriched	64	cerebral cortex: 20.8;testis: 7.2	adrenal gland: 0.2
CACNG7		ENSG00000105605	Calcium channel, voltage-dependent, gamma subunit 7	19	54412589-54447195	Predicted membrane proteins, Protein evidence (Kim et al 2014), Transporters	Evidence at protein level	Evidence at transcript level	Evidence at transcript level	Evidence at protein level	HPA049881	Uncertain			Tissue enriched	60	cerebral cortex: 30.6	adrenal gland: 0.5
NCAN	CSPG3	ENSG00000130287	Neurocan	19	19322782-19363042	Plasma proteins, Predicted secreted proteins, Protein evidence (Ezkurdia et al 2014), Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	HPA036814	Uncertain	Uncertain	Vesicles, Centrosome	Tissue enriched	60	cerebral cortex: 87.0	testis: 1.5
FEZF2	FEZL, FKSG36, FLJ10142, TOF, Zfp312, ZNF312	ENSG00000153266	FEZ family zinc finger 2	3	62355356-62359999	Transcription factors	Evidence at transcript level	Evidence at transcript level	Evidence at transcript level						Tissue enriched	59	cerebral cortex: 5.9	adipose tissue: 0.0
SLC24A2	NCKX2	ENSG00000155886	Solute carrier family 24 (sodium/potassium/calcium exchanger), member 2	9	19507450-19786926	Predicted membrane proteins, Protein evidence (Ezkurdia et al 2014), Protein evidence (Kim et al 2014), Transporters	Evidence at protein level	Evidence at transcript level	Evidence at protein level	Evidence at protein level	HPA057278	Uncertain			Group enriched	58	adrenal gland: 6.2;cerebral cortex: 30.8	endometrium: 0.3
POU3F3	BRN1, OTF8	ENSG00000198914	POU class 3 homeobox 3	2	105471969-105476929	Transcription factors	Evidence at transcript level	Evidence at transcript level	Evidence at transcript level						Group enriched	56	cerebral cortex: 18.9;kidney: 25.9	skin: 0.4
NEUROD2	bHLHa1, NDRF	ENSG00000171532	Neuronal differentiation 2	17	37759789-37766030	Protein evidence (Kim et al 2014), Transcription factors	Evidence at protein level	Evidence at transcript level	Evidence at transcript level	Evidence at protein level	HPA060457	Uncertain			Tissue enriched	55	cerebral cortex: 9.2	skin: 0.2
SOHLH1	bA100C15.3, bHLHe80, C9orf157, NOHLH, SPATA27, TEB2	ENSG00000165643	Spermatogenesis and oogenesis specific basic helix-loop-helix 1	9	138585253-138591374	Disease related genes, Transcription factors	Evidence at protein level	Evidence at transcript level	Evidence at protein level						Group enriched	54	cerebral cortex: 2.7;testis: 8.5	adipose tissue: 0.1
GRM3	GPRC1C, mGlu3, MGLUR3	ENSG00000198822	Glutamate receptor, metabotropic 3	7	86273230-86494200	G-protein coupled receptors, Predicted membrane proteins, Predicted secreted proteins, Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	HPA045227	Uncertain			Tissue enriched	52	cerebral cortex: 53.7	adrenal gland: 1.0
SNCB		ENSG00000074317	Synuclein, beta	5	176047085-176057530	Protein evidence (Ezkurdia et al 2014), Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	CAB002681, HPA035876	Supportive	Supportive	Golgi apparatus, Nucleus but not nucleoli, Cytoplasm	Tissue enriched	49	cerebral cortex: 132.3	adrenal gland: 2.7
MOG	BTN6	ENSG00000204655	Myelin oligodendrocyte glycoprotein	6	29624758-29640149	Disease related genes, Predicted membrane proteins, Predicted secreted proteins, Protein evidence (Ezkurdia et al 2014), Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	HPA021873	Supportive			Tissue enriched	48	cerebral cortex: 118.5	heart muscle: 2.5
TTC9B	FLJ30373	ENSG00000174521	Tetratricopeptide repeat domain 9B	19	40721965-40724306	Predicted secreted proteins, Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at transcript level	Evidence at transcript level	Evidence at protein level	HPA042496	Uncertain			Tissue enriched	45	cerebral cortex: 25.4	adrenal gland: 0.6
CACNG8		ENSG00000142408	Calcium channel, voltage-dependent, gamma subunit 8	19	54466294-54493469	Predicted membrane proteins, Protein evidence (Kim et al 2014), Transporters	Evidence at protein level	Evidence at protein level	Evidence at transcript level	Evidence at protein level	HPA041351	Supportive			Tissue enriched	44	cerebral cortex: 13.2	testis: 0.3
NXPH1		ENSG00000122584	Neurexophilin 1	7	8473585-8792593	Predicted secreted proteins	Evidence at protein level	Evidence at protein level	Evidence at transcript level		HPA020062	Uncertain			Group enriched	44	adrenal gland: 30.5;cerebral cortex: 22.5	salivary gland: 0.6
CSPG5	NGC	ENSG00000114646	Chondroitin sulfate proteoglycan 5 (neuroglycan C)	3	47603729-47622282	Predicted membrane proteins, Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at transcript level	Evidence at protein level	Evidence at protein level					Tissue enriched	43	cerebral cortex: 71.7	testis: 1.7
HTR5A-AS1		ENSG00000220575	HTR5A antisense RNA 1	7	154858777-154863267		Evidence at transcript level	Evidence at transcript level			HPA052539	Uncertain			Tissue enriched	41	cerebral cortex: 4.1	adipose tissue: 0.0
LRTM2		ENSG00000166159	Leucine-rich repeats and transmembrane domains 2	12	1929433-1945918	Predicted membrane proteins, Predicted secreted proteins	Evidence at protein level	Evidence at protein level	Evidence at transcript level		HPA055094	Uncertain			Tissue enriched	40	cerebral cortex: 6.5	testis: 0.2
SCN1A	FEB3, GEFSP2, HBSCI, NAC1, Nav1.1, SCN1, SMEI	ENSG00000144285	Sodium channel, voltage-gated, type I, alpha subunit	2	166845670-166984523	Disease related genes, FDA approved drug targets, Predicted membrane proteins, Protein evidence (Kim et al 2014), Transporters, Voltage-gated ion channels	Evidence at protein level	Evidence at transcript level	Evidence at protein level	Evidence at protein level	HPA034686	Uncertain			Group enriched	40	cerebral cortex: 11.1;fallopian tube: 6.5;lung: 3.7	placenta: 0.2
GPR37L1	ETBR-LP-2	ENSG00000170075	G protein-coupled receptor 37 like 1	1	202091986-202102720	G-protein coupled receptors, Predicted membrane proteins, Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at transcript level	Evidence at protein level	Evidence at protein level					Tissue enriched	39	cerebral cortex: 18.4	colon: 0.5
CAMK2N2	CaM-KIIN	ENSG00000163888	Calcium/calmodulin-dependent protein kinase II inhibitor 2	3	183977001-183979251		Evidence at protein level	Evidence at protein level	Evidence at transcript level		HPA050835		Supportive	Nucleus, Centrosome	Group enriched	38	adrenal gland: 7.8;cerebral cortex: 17.8;pancreas: 11.4	liver: 0.3
ELAVL3	DKFZp547J036, HUC, HUCL, MGC20653, PLE21	ENSG00000196361	ELAV like neuron-specific RNA binding protein 3	19	11562141-11591861	Protein evidence (Ezkurdia et al 2014), Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	CAB013066	Supportive			Tissue enriched	36	cerebral cortex: 33.5	adrenal gland: 0.9
