Gene	Gene synonym	Ensembl	Gene description	Chromosome	Position	Protein class	Evidence summary	HPA evidence	UniProt evidence	MS evidence	Antibody	Reliability (IH)	Reliability (IF)	Subcellular location	RNA tissue category	RNA TS	RNA TS FPKM	FPKM max in non-specific
MYH1	MGC133384, MYHa, MyHC-2X/D, MYHSA1	ENSG00000109061	Myosin, heavy chain 1, skeletal muscle, adult	17	10395624-10421860	Plasma proteins, Protein evidence (Ezkurdia et al 2014), Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	HPA001349, CAB010759	Supportive			Tissue enriched	508	skeletal muscle: 1834.3	prostate: 3.6
IDI2	IPPI2	ENSG00000148377	Isopentenyl-diphosphate delta isomerase 2	10	1064847-1071799	Enzymes, Protein evidence (Ezkurdia et al 2014), Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	HPA041254	Uncertain			Tissue enriched	298	skeletal muscle: 88.0	esophagus: 0.3
MYH4	MYH2B, MyHC-2B, MyHC-IIb	ENSG00000264424	Myosin, heavy chain 4, skeletal muscle	17	10346607-10372876	Plasma proteins, Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	HPA001349	Supportive			Tissue enriched	188	skeletal muscle: 27.4	prostate: 0.1
MYBPC2	MGC163408, MYBPC, MYBPCF	ENSG00000086967	Myosin binding protein C, fast type	19	50936160-50969578	Protein evidence (Ezkurdia et al 2014), Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	HPA042991, HPA046745	Uncertain			Tissue enriched	90	skeletal muscle: 1163.0	prostate: 13.0
LBX1	HPX6, LBX1H	ENSG00000138136	Ladybird homeobox 1	10	102986733-102989551	Transcription factors	Evidence at transcript level	Evidence at transcript level	Evidence at transcript level		HPA002086	Uncertain			Tissue enriched	80	skeletal muscle: 8.0	adipose tissue: 0.0
SLC36A2	PAT2, TRAMD1, tramdorin	ENSG00000186335	Solute carrier family 36 (proton/amino acid symporter), member 2	5	150694539-150727151	Disease related genes, Potential drug targets, Predicted membrane proteins, Protein evidence (Ezkurdia et al 2014), Protein evidence (Kim et al 2014), Transporters	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	HPA044002	Uncertain			Group enriched	80	kidney: 65.1;skeletal muscle: 38.8	testis: 0.6
ATP2A1	ATP2A, SERCA1	ENSG00000196296	ATPase, Ca++ transporting, cardiac muscle, fast twitch 1	16	28889726-28915830	Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted membrane proteins, Protein evidence (Ezkurdia et al 2014), Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	CAB002310, CAB032706	Supportive	Uncertain	Endoplasmic reticulum	Tissue enriched	76	skeletal muscle: 1985.2	esophagus: 26.0
MYH2	MYH2A, MYHas8, MyHC-2A, MyHC-IIa, MYHSA2	ENSG00000125414	Myosin, heavy chain 2, skeletal muscle, adult	17	10424465-10453274	Disease related genes, Plasma proteins, Protein evidence (Ezkurdia et al 2014), Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	HPA001349, CAB010760	Supportive			Tissue enriched	69	skeletal muscle: 2658.0	prostate: 38.7
NEB	NEB177D, NEM2	ENSG00000183091	Nebulin	2	152341850-152591001	Cancer-related genes, Disease related genes, Plasma proteins, Protein evidence (Ezkurdia et al 2014), Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	HPA016601	Supportive			Tissue enriched	68	skeletal muscle: 2485.5	prostate: 36.5
KCNA7	HAK6, Kv1.7	ENSG00000104848	Potassium voltage-gated channel, shaker-related subfamily, member 7	19	49570675-49576198	FDA approved drug targets, Predicted membrane proteins, Voltage-gated ion channels	Evidence at transcript level	Evidence at transcript level	Evidence at transcript level						Tissue enriched	58	skeletal muscle: 30.4	prostate: 0.5
NMRK2	ITGB1BP3, MIBP, NRK2	ENSG00000077009	Nicotinamide riboside kinase 2	19	3933101-3942414	Enzymes	Evidence at protein level	Evidence at transcript level	Evidence at protein level		HPA049909	Uncertain			Group enriched	58	heart muscle: 347.5;skeletal muscle: 192.7	esophagus: 4.7
MYLPF	HUMMLC2B, MRLC2, MYL11	ENSG00000180209	Myosin light chain, phosphorylatable, fast skeletal muscle	16	30382255-30389312	Protein evidence (Ezkurdia et al 2014), Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at transcript level	Evidence at transcript level	Evidence at protein level	HPA039262	Uncertain			Tissue enriched	55	skeletal muscle: 3729.4	prostate: 68.4
TNNT3	AMCD2B, DA2B, DKFZp779M2348, FSSV	ENSG00000130595	Troponin T type 3 (skeletal, fast)	11	1940792-1959936	Disease related genes, Protein evidence (Ezkurdia et al 2014), Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	CAB002451, HPA037810	Supportive			Tissue enriched	53	skeletal muscle: 4586.0	esophagus: 87.1
MYLK2	KMLC, MLCK2, skMLCK	ENSG00000101306	Myosin light chain kinase 2	20	30407111-30422492	Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Protein evidence (Ezkurdia et al 2014), Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	HPA059704, HPA059890	Uncertain			Tissue enriched	51	skeletal muscle: 266.3	esophagus: 5.3
C8orf22		ENSG00000168333	Chromosome 8 open reading frame 22	8	49966870-49988649		Evidence at transcript level	Evidence at transcript level	Evidence at transcript level		HPA060329	Uncertain			Tissue enriched	49	skeletal muscle: 373.4	prostate: 7.5
AL158147.2		ENSG00000269305	HCG2011465; Uncharacterized protein 	9	4859120-4859260		Evidence at transcript level	Evidence at transcript level							Group enriched	47	adipose tissue: 7.0;endometrium: 3.0;liver: 5.3;skeletal muscle: 3.4	smooth muscle: 0.0
TNNC2		ENSG00000101470	Troponin C type 2 (fast)	20	44451853-44462384	Protein evidence (Ezkurdia et al 2014), Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	HPA043174	Supportive			Tissue enriched	45	skeletal muscle: 4643.0	esophagus: 104.2
YIPF7	FinGER9, FLJ39576	ENSG00000177752	Yip1 domain family, member 7	4	44624086-44680573	Predicted membrane proteins	Evidence at protein level	Evidence at transcript level	Evidence at protein level		HPA030642	Uncertain			Tissue enriched	43	skeletal muscle: 32.1	esophagus: 0.8
GBX1		ENSG00000164900	Gastrulation brain homeobox 1	7	150845676-150871832	Transcription factors	Evidence at protein level	Evidence at transcript level	Evidence at protein level		HPA055783	Uncertain			Group enriched	40	skeletal muscle: 6.5;testis: 2.6	prostate: 0.1
CACNA1S	CACNL1A3, Cav1.1, HOKPP, hypoPP, MHS5	ENSG00000081248	Calcium channel, voltage-dependent, L type, alpha 1S subunit	1	201008642-201081694	Disease related genes, FDA approved drug targets, Predicted membrane proteins, Protein evidence (Ezkurdia et al 2014), Protein evidence (Kim et al 2014), Voltage-gated ion channels	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	CAB009507, HPA048892, HPA056815	Supportive			Tissue enriched	37	skeletal muscle: 108.4	esophagus: 2.9
DCD	AIDD, DCD-1, DSEP, HCAP, PIF	ENSG00000161634	Dermcidin	12	55038375-55042277	Plasma proteins, Predicted secreted proteins, Protein evidence (Ezkurdia et al 2014), Protein evidence (Kim et al 2014), Transporters	Evidence at protein level	Evidence at transcript level	Evidence at protein level	Evidence at protein level					Tissue enriched	37	skeletal muscle: 4.0	testis: 0.1
C20orf166	dJ353C17.1	ENSG00000174407	Chromosome 20 open reading frame 166	20	61147660-61167971		Evidence at protein level	Evidence at protein level	Evidence at transcript level		HPA045553	Uncertain			Tissue enriched	36	skeletal muscle: 224.2	heart muscle: 6.3
ANKRD23	DARP, FLJ32449, MARP3	ENSG00000163126	Ankyrin repeat domain 23	2	97490263-97523671		Evidence at protein level	Evidence at protein level	Evidence at protein level		HPA036201	Uncertain	Supportive	Nucleus but not nucleoli, Cytoskeleton (Actin filaments)	Tissue enriched	34	skeletal muscle: 485.2	prostate: 14.4
FBXO40	Fbx40, KIAA1195	ENSG00000163833	F-box protein 40	3	121311966-121349139	Plasma proteins, Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at transcript level	Evidence at protein level	Evidence at protein level					Group enriched	32	heart muscle: 67.2;skeletal muscle: 62.7	prostate: 2.0
FGF6		ENSG00000111241	Fibroblast growth factor 6	12	4537321-4554780	Cancer-related genes, RAS pathway related proteins	Evidence at protein level	Evidence at transcript level	Evidence at protein level						Tissue enriched	32	skeletal muscle: 6.5	esophagus: 0.2
HRC	MGC133236	ENSG00000130528	Histidine rich calcium binding protein	19	49654455-49658681	Predicted secreted proteins, Protein evidence (Ezkurdia et al 2014), Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at protein level	Evidence at transcript level	Evidence at protein level	HPA004833	Supportive			Group enriched	32	heart muscle: 356.7;skeletal muscle: 163.3	prostate: 8.0
JSRP1	FLJ32416, JP-45	ENSG00000167476	Junctional sarcoplasmic reticulum protein 1	19	2252251-2269758	Predicted secreted proteins, Protein evidence (Ezkurdia et al 2014), Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at transcript level	Evidence at protein level	Evidence at protein level	HPA044741	Uncertain	Uncertain	Endoplasmic reticulum	Tissue enriched	32	skeletal muscle: 120.7	prostate: 3.8
PPP1R27	DYSFIP1, toonin	ENSG00000182676	Protein phosphatase 1, regulatory subunit 27	17	79791368-79792926	Protein evidence (Ezkurdia et al 2014)	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	HPA048632	Uncertain			Tissue enriched	32	skeletal muscle: 175.8	prostate: 5.5
C10orf71	FLJ45913	ENSG00000177354	Chromosome 10 open reading frame 71	10	50507187-50535537	Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at transcript level	Evidence at transcript level	Evidence at protein level	HPA037962	Uncertain			Group enriched	31	heart muscle: 35.3;skeletal muscle: 117.8	prostate: 2.5
CASQ1	CASQ, PDIB1	ENSG00000143318	Calsequestrin 1 (fast-twitch, skeletal muscle)	1	160160285-160171676	Mitochondrial proteins, Predicted secreted proteins, Protein evidence (Ezkurdia et al 2014), Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	HPA007845, CAB015170, HPA026823	Supportive			Tissue enriched	31	skeletal muscle: 1297.3	esophagus: 42.4
ACTN2		ENSG00000077522	Actinin, alpha 2	1	236849754-236927931	Cytoskeleton related proteins, Disease related genes, Plasma proteins, Protein evidence (Ezkurdia et al 2014), Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	HPA006035, HPA008315	Uncertain	Uncertain	Cytoskeleton (Actin filaments)	Group enriched	30	heart muscle: 990.1;skeletal muscle: 1175.9	esophagus: 36.1
CACNG1	CACNLG	ENSG00000108878	Calcium channel, voltage-dependent, gamma subunit 1	17	65040706-65052909	FDA approved drug targets, Predicted membrane proteins, Transporters	Evidence at transcript level	Evidence at transcript level	Evidence at transcript level		HPA054153	Uncertain			Tissue enriched	30	skeletal muscle: 129.1	esophagus: 4.3
FSD2	RP11-127F21, SPRYD1	ENSG00000186628	Fibronectin type III and SPRY domain containing 2	15	83424114-83474822	Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at protein level	Evidence at transcript level	Evidence at protein level	HPA048450	Uncertain			Group enriched	30	heart muscle: 33.9;skeletal muscle: 55.8	esophagus: 1.5
RP11-766F14.2		ENSG00000248713	Protein LOC285556 	4	100557686-100575805	Protein evidence (Ezkurdia et al 2014), Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at transcript level		Evidence at protein level					Tissue enriched	30	skeletal muscle: 29.2	prostate: 1.0
