dataID	rho	rho_stderr	E[A]	E[A]_stderr	E[W]	E[W]_stderr
FAM184B	0.000238	0.001288	0	1.275642	0	#NAME?
ANKRD23	0.000587	0.001144	0	0.943717	0	#NAME?
NKAIN1	0.000682	0	0	-1	0	0
MYH1	0.002413	0.00288	0	2.874664	0	#NAME?
MYH8	0.007491	0.045256	3.835276	6.592906	3.508269	6.675286
SH3BGR	0.013957	0.014448	3.614674	4.678233	0.503193	3.501119
MYH4	0.038692	0.010947	0	11.34498	0	#NAME?
KLHL31	0.123507	0.017959	0	20.482162	0	#NAME?
EYA4	0.248894	0.128561	0	3.261876	0	0
LINGO4	0.249351	0.020619	0	28.99661	0	#NAME?
NEXN1	0.339572	0.272404	0	3.712591	0	0
PADI2	0.348199	0.250294	1.688639	3.50036	0.811899	3.996987
AGL	0.387127	0.211956	1.717814	3.362247	0	0
GADL1	0.473089	0.225677	0	0	1.854202	4.647547
TUBA8	0.651112	0.32901	0	-1	0	0
