dataID	rho	rho_stderr	E[A]	E[A]_stderr	E[W]	E[W]_stderr
KLHL31	0.004312	0.141291	0.057324	3.439117	0.960446	3.122461
MYH8	0.004457	0.158198	0.139737	0.909161	0	0
NKAIN1	0.03872	0.020268	0	0	1.233507	1.214426
MYH4	0.044208	0.003068	0.300627	1.011744	0	0
MYH1	0.089014	0.019384	0.536059	0.996827	0	0.776697
TUBA8	0.089117	0.079371	0	0.685885	0.275982	0.879104
FAM184B	0.114177	0.093809	3.262521	2.281383	0	0
AGL	0.137107	0.055727	0	2.836157	1.70461	4.212638
NEXN1	0.15923	0.092331	0.29019	1.103138	0.783855	1.020312
GADL1	0.175862	0.000639	0.244941	0.685114	0	0.492852
CA14	0.176488	0.094681	0	0	1.356113	1.284682
HOXC10	0.215794	0.048132	0.064234	1.086426	1.146595	0.997505
SH3BGR	0.223978	0.058691	2.105449	1.265198	1.205877	1.299629
EYA4	0.338879	0.198608	0	0.902147	1.085458	1.00001
DDIT4L	0.355484	0.14349	0	0	5.879354	4.714359
TMOD4	0.479701	0.270932	0	1.476596	1.344392	1.341586
LINGO4	0.611086	0.311554	1.81691	1.457504	0	1.134075
PADI2	0.636891	0.339674	0	1.237129	2.916835	1.782955
