dataID	thres	rho	rho_stderr	E[A]	E[A]_stderr	E[W]	E[W]_stderr	alpha	alpha_stderr	tau	tau_stderr	eta	eta_stderr	gamma	gamma_stderr	lnLd	LRT[rho>0]	LRT[eta>0]	LRT[gamma>0]	em_status
ADPRHL1_GENE_cis_elements_proximal	f=15%	0.358249	0.629389	0.000000	0	0.881225	4.799551	0.000000	0	0.170727	0.862294	0.000000	0	0.368796	1.696491	-41.1698	0.2536	0	0.0294	main-converged-rho0-converged-eta0-converged-gam0-converged
APOBEC2_GENE_cis_elements_proximal	f=15%	0.060575	0.015556	0.000000	16.493853	0.000000	-nan	0.000000	5.920318	0.000000	-1.000000	0.000000	91.814724	0.000000	43.368332	-7.91275	-0.0013	0	0	main-converged-rho0-converged-eta0-converged-gam0-convergedCA3_GENE_cis_elements_proximal	f=15%	0.029767	0.575730	0.000000	0	10.343884	10.047199	0.000000	0	0.726450	0.248436	0.000000	0	86.557347	1657.165475	-23.5207	2.3874	0	2.3874	main-converged-rho0-converged-eta0-converged-gam0-converged
C1orf127_GENE_cis_elements_proximal	f=15%	0.201212	0.578918	0.000000	2.835059	1.448162	2.434147	0.000000	1.040441	0.348814	0.455086	0.000000	4.130433	2.126506	6.191793	-29.1795	0.5144	0	0.519	main-converged-rho0-converged-eta0-converged-gam0-converged
CALML6_GENE_cis_elements_proximal	f=15%	0.000755	0.002158	0.000000	2.141487	0.000000	-nan	0.000000	0.635931	0.000000	-1.000000	0.000000	841.602174	0.000000	580.598614	-9.28841	-0.00048	0	0	main-converged-rho0-converged-eta0-converged-gam0-converged
CAMK2A_GENE_cis_elements_proximal	f=15%	0.554409	0.445085	2.403376	3.719972	0.000000	0	0.626608	0.500955	0.000000	0	1.348766	1.946717	0.000000	0	-41.2336	0.864	0.5042	0	main-converged-rho0-converged-eta0-converged-gam0-converged
EXTL1_GENE_cis_elements_proximal	f=15%	0.008264	0.048309	0.031355	3.641086	7.373553	6.271766	0.008818	1.015058	0.633141	0.223774	1.067659	123.452002	207.106685	1203.890887	-46.1143	2.717	0	2.7172	main-converged-rho0-converged-eta0-converged-gam0-converged
HFE2_GENE_cis_elements_proximal	f=15%	0.002180	0.002731	0.000000	2.726792	0.000000	-nan	0.000000	1.253457	0.000000	-1.000000	0.000000	573.606022	0.000000	428.935556	-8.26717	-0.00112	0	0	main-converged-rho0-converged-eta0-converged-gam0-converged
IDI2_GENE_cis_elements_proximal	f=15%	0.004973	0.088001	4.078418	7.541242	0.000000	0	0.546866	0.460729	0.000000	0	241.464845	4254.411531	0.000000	0	-18.0609	0.4718	0.472	0	main-converged-rho0-converged-eta0-converged-gam0-converged
L17D_GENE_cis_elements_proximal	f=15%	0.006522	0.092174	1.777317	4.752980	3.248599	4.720968	0.381578	0.633855	0.500965	1.329737	93.985325	1324.184141	152.910497	2955.055823	-26.2649	1.1302	0.1876	0.9448	main-converged-rho0-converged-eta0-converged-gam0-converged
LDB3_GENE_cis_elements_proximal	f=15%	0.639202	-1.000000	0.000000	-1.000000	0.000000	0	0.000000	0.000000	0.000000	0	0.000000	-1.000000	0.000000	0	-11.1876	1.5626	0	0	main-converged-rho0-converged-eta0-converged-gam0-converged
LRRC2_GENE_cis_elements_proximal	f=15%	0.694273	-1.000000	0.000000	-1.000000	0.000000	0	0.000000	0.000000	0.000000	0	0.000000	-1.000000	0.000000	0	-18.9407	2.3496	0	0	main-converged-rho0-converged-eta0-converged-gam0-converged
MYL3_GENE_cis_elements_proximal	f=15%	0.000234	0.001034	0.000000	1.031932	0.000000	-nan	0.000000	0.757083	0.000000	-1.000000	0.000000	3228.253917	0.000000	2898.397394	-8.81942	-0.00032	0	0	main-converged-rho0-converged-eta0-converged-gam0-converged
NANOS1_GENE_cis_elements_proximal	f=15%	0.000012	0.000738	0.000000	0.696222	0.000000	-nan	0.000000	0.233387	0.000000	-1.000000	0.000000	19332.335212	0.000000	17317.092191	-7.52125	-2e-05	0	0	main-converged-rho0-converged-eta0-converged-gam0-converged
PAX7_GENE_cis_elements_proximal	f=15%	0.011335	0.102453	0.000000	0	11.109640	12.650995	0.000000	0	0.723897	0.230101	0.000000	0	228.676047	2063.419124	-14.4439	2.4002	0	2.4002	main-converged-rho0-converged-eta0-converged-gam0-converged
PITX2_GENE_cis_elements_proximal	f=15%	0.005229	0.072300	1.457834	6.330342	2.886610	3.682385	0.282905	0.869401	0.634573	1.385341	75.058805	1309.299760	330.383042	6520.420909	-43.5249	1.5682	0.1936	1.4384	main-converged-rho0-converged-eta0-converged-gam0-converged
PPAPDC3_GENE_cis_elements_proximal	f=15%	0.135080	0.019015	0.000000	22.118582	0.000000	-nan	0.000000	5.925090	0.000000	-1.000000	0.000000	37.938596	0.000000	42.196550	-10.4271	0.013	0	0	main-converged-rho0-converged-eta0-converged-gam0-converged
PRPH2_GENE_cis_elements_proximal	f=15%	0.023337	0.095750	9.454489	10.177377	13.793387	10.317116	0.659758	0.245941	0.895083	0.259840	81.150362	331.161054	357.034385	2444.060883	-32.2709	8.9652	1.6318	7.3692	main-converged-rho0-converged-eta0-converged-gam0-converged
SMYD1_GENE_cis_elements_proximal	f=15%	0.009965	-1.000000	8.136014	-1.000000	1.833606	-1.000000	0.804138	0.000000	0.711426	0.000000	407.919990	-1.000000	244.943261	-1.000000	-34.9159	5.3576	5.1046	0.6874	main-converged-rho0-converged-eta0-converged-gam0-converged
SYPL2_GENE_cis_elements_proximal	f=15%	0.133755	0.016636	0.000000	20.228056	0.000000	-nan	0.000000	16.936922	0.000000	-1.000000	0.000000	109.689340	0.000000	28.507959	-8.74832	0.01164	0	0	main-converged-rho0-converged-eta0-converged-gam0-converged
TBX1_GENE_cis_elements_proximal	f=15%	0.552329	-1.000000	0.000000	-1.000000	0.000000	0	0.000000	0.000000	0.000000	0	0.000000	-1.000000	0.000000	0	-12.3538	0.8338	0	0	main-converged-rho0-converged-eta0-converged-gam0-converged
